rid,DOS024_VCAP_6H:BRD-K09068728-001-01-2:5,DOS024_VCAP_24H:BRD-K09068728-001-01-2:5,DOS053_A375_24H:BRD-K09068728-001-01-2:5,DOS053_A549_24H:BRD-K09068728-001-01-2:5,DOS053_MCF7_24H:BRD-K09068728-001-01-2:5,DOS053_PC3_24H:BRD-K09068728-001-01-2:5,DOSBIO001_A375_24H:BRD-K09068728:10,DOSBIO001_A549_24H:BRD-K09068728:10,DOSBIO001_HT29_24H:BRD-K09068728:10,DOSBIO001_MCF7_24H:BRD-K09068728:10,DOSBIO001_PC3_24H:BRD-K09068728:10,DOSBIO001_NEU_24H:BRD-K09068728:10,DOSBIO001_NPC_24H:BRD-K09068728:10
5720,1.03489995003,-3.0106420517,0.307649999857,-0.625299990177,0.42539998889,-0.0289999991655,-1.74908947945,0.117464564741,-1.53605806828,-0.582255721092,-0.735177516937,2.46519994736,0.0550735220313
466,1.58780002594,-1.19983911514,0.102899998426,-0.13140001893,-0.431100010872,0.223099991679,-4.42533969879,0.160818502307,-1.55721080303,-0.553180456161,0.0279144197702,-0.195599973202,-0.304292500019
6009,0.363999992609,2.55407094955,1.0773999691,2.02609992027,-0.678600013256,0.437049984932,0.6213504076,-0.460775613785,0.578347504139,-0.174820125103,0.402559250593,-0.0830000042915,-0.621732950211
2309,0.173700004816,-0.0744099318981,-0.00784999132156,0.0617999956012,-0.788299977779,-0.121799990535,0.315426975489,0.149239033461,0.880768418312,0.551463484764,0.290035784245,-3.50745010376,-0.318633764982
387,3.31259989738,4.92520236969,1.07464993,1.71770000458,-0.50309997797,1.28114998341,1.77865433693,-0.264661818743,0.585921287537,-0.553567647934,0.712004125118,-0.172450006008,0.435639858246
3553,-1.14390003681,-0.0998802781105,-1.6644500494,-0.708649992943,-1.64830005169,-0.488199979067,-0.527215480804,1.5548992157,0.383926779032,0.0731422975659,0.344874233007,-0.619899988174,-0.194442391396
427,1.16050004959,-0.633763730526,-0.150150001049,-0.764900028706,-0.984399974346,0.442749977112,-2.47206735611,1.92156624794,-1.43994677067,2.04844856262,-1.01368510723,1.30795001984,-0.501632750034
5898,-0.966899991035,-0.110488966107,-0.199000000954,0.0309999976307,-0.960799992085,-1.40179991722,-0.517865002155,0.478587210178,0.402518630028,0.0136939883232,-0.390394210815,0.46770003438,-0.912660777569
23365,-0.501299977303,1.17117774487,0.94319999218,0.404949992895,-0.736500024796,1.75454998016,2.07427597046,0.326244622469,-0.839618265629,0.589866399765,1.2333419323,0.0292499959469,1.1362940073
6657,-1.1642999649,-0.958121776581,-0.514700055122,-0.0292999744415,0.201499998569,-0.860199987888,-0.410953372717,1.3091840744,0.471722006798,0.237163692713,-0.94512796402,0.498199999332,-0.411792099476
5054,-0.907800018787,1.84527921677,-0.256399959326,0.520699977875,0.232800006866,0.259000003338,2.68269634247,0.211914792657,0.0855175256729,1.04117548466,-0.0971875488758,0.816650032997,0.572988092899
3108,-0.674499988556,5.05365085602,0.894250035286,0.886799991131,-0.193000003695,5.64865016937,1.59663176537,0.0878951251507,1.33401322365,1.0253508091,1.33728325367,-0.165850013494,-0.363906502724
1950,-1.2338000536,-0.876425623894,0.33579993248,-0.849050045013,0.370999991894,-0.143500000238,-0.970849573612,0.498890548944,0.653711080551,-0.560723543167,-0.197871372104,0.357299983501,-0.0387125313282
351,0.0,1.17008888721,0.0939000025392,0.730400025845,1.49419999123,-0.200199991465,-3.2436876297,0.679056823254,0.0191024877131,0.271966159344,-0.649927556515,-0.777350068092,0.0618204474449
