rid,CPC002_HA1E_6H:BRD-K80348542-001-01-4:10,CPC002_HA1E_24H:BRD-K80348542-001-01-4:10,CPC002_HCC515_6H:BRD-K80348542-001-01-4:10,CPC002_HCC515_24H:BRD-K80348542-001-01-4:10,CPC002_PC3_6H:BRD-K80348542-001-01-4:10,CPC002_PC3_24H:BRD-K80348542-001-01-4:10,CPC016_A375_6H:BRD-K80348542-001-01-4:10,CPC016_A549_6H:BRD-K80348542-001-01-4:10,CPC016_A549_24H:BRD-K80348542-001-01-4:10,CPC016_ASC_24H:BRD-K80348542-001-01-4:10,CPC016_HEPG2_6H:BRD-K80348542-001-01-4:10,CPC016_HT29_6H:BRD-K80348542-001-01-4:10,CPC016_MCF7_6H:BRD-K80348542-001-01-4:10,CPC016_MCF7_24H:BRD-K80348542-001-01-4:10,CPC016_NEU_24H:BRD-K80348542-001-01-4:10,CPC016_NPC_24H:BRD-K80348542-001-01-4:10,CPC016_SKB_24H:BRD-K80348542-001-01-4:10
5720,-2.88424992561,-3.73479986191,-2.43859243393,-1.41739201546,-1.42725205421,-4.80603122711,-1.76048767567,-3.01855015755,-3.19579219818,0.31786262989,-1.24744069576,-2.39823484421,-2.16337704659,-1.92680001259,1.67428731918,-0.0878928601742,-0.715997099876
466,1.06570005417,4.69973707199,3.40363502502,6.56508207321,1.56401920319,5.43894577026,2.42757844925,4.63459968567,4.47639369965,1.48631465435,2.86480879784,-0.374304801226,3.54570698738,4.82639980316,1.19479048252,0.529860377312,0.394610315561
6009,-1.02485001087,-4.37846851349,-1.18421709538,-4.06594181061,-1.99242973328,-2.97258925438,0.462371855974,-0.435049980879,-4.0416970253,2.32129240036,-0.442314058542,-0.567678809166,-1.73540449142,-1.03289997578,2.03861713409,-0.338374614716,1.01111352444
2309,3.50549983978,-0.149798884988,4.87948989868,9.64255237579,2.96410989761,4.44609498978,1.32321560383,2.89569997787,3.71444797516,0.567437410355,0.76229262352,3.68230319023,1.28730869293,0.633449971676,0.948374032974,-1.66379189491,-0.493057250977
387,-2.03819990158,-2.05279445648,-0.839171051979,-0.882645964622,-2.03901219368,-1.83307111263,-0.728989303112,-0.541800022125,-0.860937595367,-0.131646364927,-2.09392404556,-1.82455897331,-2.72887563705,-4.22849988937,-1.11438274384,-1.86017131805,-2.68110466003
3553,1.27705001831,0.177528843284,-0.00101420283318,0.450948834419,3.51318049431,0.444949507713,0.397937655449,0.217600002885,0.808853387833,7.35634326935,0.365031927824,0.319602012634,-0.226476609707,0.953899979591,-0.892904162407,1.44270920753,1.79794812202
427,-1.68529999256,-0.858172595501,-0.822539925575,-1.81742548943,-0.874054253101,-0.288670748472,-0.474433362484,-0.600549995899,0.165261775255,-0.257713466883,0.867113113403,-0.0484192371368,-0.120840460062,0.199649989605,-0.780547499657,-0.109783872962,0.569043040276
5898,-1.09014999866,-0.101675987244,0.258382439613,1.17001128197,-0.745515525341,1.41928899288,-1.97349619865,-1.64065003395,1.62494277954,0.0845882296562,-0.0664654672146,-1.76328396797,-1.67615294456,1.16849994659,-0.303988754749,-1.16353082657,-0.00739189982414
23365,-0.549199998379,-1.26359319687,-0.688547194004,-1.30250644684,-0.445980608463,1.33212709427,0.295052170753,1.69359993935,2.31671285629,0.352312982082,0.978575229645,-0.261039495468,-1.64515328407,1.43764996529,-0.259639203548,0.204198747873,-1.13251924515
6657,-0.417699992657,-1.57317054272,0.0732902958989,1.17749917507,-0.438992738724,0.614647388458,-0.768533229828,0.206950008869,0.918020009995,-1.79614496231,0.657726466656,-0.0440206304193,0.163957536221,0.247099995613,-1.21048736572,-0.946642696857,-1.00942087173
