rid,CPC001_HA1E_6H:BRD-K09963420-066-03-4:10,CPC001_HA1E_24H:BRD-K09963420-066-03-4:10,CPC001_HCC515_6H:BRD-K09963420-066-03-4:10,CPC001_HCC515_24H:BRD-K09963420-066-03-4:10,CPC001_PC3_6H:BRD-K09963420-066-03-4:10,CPC001_PC3_24H:BRD-K09963420-066-03-4:10,CPC001_VCAP_6H:BRD-K09963420-066-03-4:10,CPC001_VCAP_24H:BRD-K09963420-066-03-4:10,CPC011_A375_6H:BRD-K09963420-066-10-9:10,CPC011_A549_6H:BRD-K09963420-066-10-9:10,CPC011_A549_24H:BRD-K09963420-066-10-9:10,CPC011_HA1E_6H:BRD-K09963420-066-10-9:10,CPC011_HT29_6H:BRD-K09963420-066-10-9:10,CPC011_MCF7_6H:BRD-K09963420-066-10-9:10,CPC011_MCF7_24H:BRD-K09963420-066-10-9:10,CPC011_PC3_6H:BRD-K09963420-066-10-9:10,CPC011_PC3_24H:BRD-K09963420-066-10-9:10,CPC011_VCAP_6H:BRD-K09963420-066-10-9:10,CPC011_VCAP_24H:BRD-K09963420-066-10-9:10,CPC017_A375_6H:BRD-K09963420-066-03-4:10,CPC017_A549_6H:BRD-K09963420-066-03-4:10,CPC017_A549_24H:BRD-K09963420-066-03-4:10,CPC017_ASC_24H:BRD-K09963420-066-03-4:10,CPC017_HEPG2_6H:BRD-K09963420-066-03-4:10,CPC017_HT29_6H:BRD-K09963420-066-03-4:10,CPC017_MCF7_6H:BRD-K09963420-066-03-4:10,CPC017_MCF7_24H:BRD-K09963420-066-03-4:10,CPC017_NPC_24H:BRD-K09963420-066-03-4:10,CPC017_PHH_24H:BRD-K09963420-066-03-4:10,CPC017_SKB_24H:BRD-K09963420-066-03-4:10,CPD003_MCF7_6H:BRD-K70158168-066-01-5:10,CPD003_MCF7_24H:BRD-K70158168-066-01-5:10,CPD003_PC3_6H:BRD-K70158168-066-01-5:10,CPD003_PC3_24H:BRD-K70158168-066-01-5:10
5720,0.123116523027,0.0732197016478,-4.36220026016,-0.156294465065,0.460628092289,-0.448754876852,-0.556945800781,-0.81070715189,-2.04112529755,0.968350052834,-0.792298793793,-0.458650022745,-8.08425712585,-8.1561498642,1.17444992065,0.59358215332,0.0965962260962,-0.353570014238,-0.172692924738,-1.69289731979,-0.275223374367,-0.199432104826,-0.297566384077,-0.515534341335,0.0412243530154,-0.0335650928319,-0.255317091942,-0.231880500913,1.81346678734,4.57245016098,0.290399998426,-0.0282101929188,-1.28145265579,0.120949998498
466,0.356912195683,-0.129484429955,1.89929997921,-0.304538875818,-0.0178380012512,0.0245946347713,-0.240165382624,0.817586839199,1.407807827,0.168050006032,-0.421335786581,-0.807549953461,1.2670429945,0.859150052071,0.752799987793,-0.457298159599,-1.80056643486,-1.43743991852,-0.393444925547,-0.427340209484,0.627028524876,0.21241658926,0.29711124301,-1.75808060169,0.505226492882,-0.19566822052,-0.053583547473,-0.877356886864,-0.725533366203,0.683449983597,-0.0821000039577,-0.599219799042,-0.822892546654,0.360249996185
6009,-0.290075689554,-0.135503724217,0.144050002098,-1.50310015678,0.149242043495,-0.258340209723,0.482281684875,-1.9009783268,0.419780373573,0.155349999666,-0.529875159264,0.106550000608,0.0368735305965,-0.0613999962807,1.02135002613,0.329229950905,0.514668107033,0.30776911974,-1.26251637936,-2.8048825264,0.752602398396,-0.0661927089095,-0.290751129389,-0.375919222832,1.07986545563,-0.17404396832,0.184837162495,0.0666625127196,0.0545333325863,-0.371999979019,-0.65290004015,-1.35006856918,-1.95540523529,0.169449985027
2309,0.242137506604,0.64056801796,2.15945005417,0.376720696688,-0.219951882958,0.392151594162,-1.93797504902,1.3969168663,1.46954011917,0.627749979496,-0.473312228918,-0.309849977493,0.82716935873,1.10269999504,0.613200008869,0.52635961771,-0.2564265728,-0.864105701447,0.636640787125,0.281210422516,0.228158459067,-0.166112750769,-0.193552434444,-0.34244453907,-0.304474771023,1.01053738594,-0.224653914571,0.390070050955,-0.0631000101566,0.926549971104,0.989099979401,-0.243257343769,0.178176701069,0.0771499946713
387,-0.334741055965,-0.171649649739,0.676750004292,-0.700851082802,-0.464911937714,-0.96866697073,-0.283060997725,0.481075435877,0.260554432869,0.633700013161,-0.497206896544,0.0306000113487,1.24513864517,1.96210002899,0.014599993825,0.766195356846,-0.890591800213,-0.0701466202736,-0.730406463146,-0.799692094326,-0.151792705059,0.0124649107456,0.334916472435,-0.366865605116,-0.752977967262,-0.0191023051739,-0.431750148535,1.11995542049,0.376466661692,0.0294499993324,-0.745999991894,-0.704925656319,-0.729681909084,-0.320949971676
3553,0.364017575979,-0.436785161495,1.76145005226,0.0412533916533,-0.388357847929,0.209690362215,-0.145076408982,0.265051364899,0.173632949591,-0.765249967575,1.62635493279,0.0896499752998,-0.171123728156,1.0040500164,-0.874899983406,0.527945280075,0.978379011154,0.305920869112,-0.412243515253,0.976825296879,-0.513841688633,-0.161392748356,-1.15538835526,0.292119503021,-0.228612840176,-0.769254744053,-0.723943710327,0.218925565481,-0.25236672163,-0.767300009727,-1.1834499836,1.17945790291,-1.112236619,0.708500027657
427,0.170851826668,0.376783460379,0.95459997654,-0.550024986267,0.108954757452,0.0693758875132,-0.676757633686,0.717097997665,1.36019003391,0.179600000381,0.143937945366,0.302799999714,0.837643265724,1.35000002384,-0.071850001812,0.0129439979792,0.123494617641,-0.16204944253,0.306744366884,1.54011416435,-0.389315724373,-0.295293867588,0.264204710722,-0.195224016905,0.464986741543,-0.0506380498409,-0.276604503393,-0.397571027279,-0.530233383179,-0.773000001907,-1.51935005188,-0.442680299282,-0.79738420248,0.20759999752
5898,-0.169170558453,-0.356638520956,0.764650046825,0.674757361412,-0.102753140032,-0.45882615447,0.190177083015,-1.05796837807,1.17484307289,-0.501450002193,0.0667335391045,-0.188149988651,0.854964137077,1.12380003929,0.633149981499,-0.59761095047,-4.53978824615,-0.584194540977,-0.305551499128,-0.702457427979,-0.176168680191,-0.234737873077,0.363303869963,-1.11650121212,-0.644957602024,-0.475360482931,-0.2610861063,-0.711492061615,0.465166687965,0.34350001812,0.0861500054598,-0.680625379086,0.291871070862,-0.431199997663
23365,-0.492595613003,-0.262070029974,1.85800004005,0.472431838512,1.96543741226,-0.0680207982659,0.412727594376,-0.482162535191,1.57067918777,-0.933799982071,-1.10586178303,-1.94290006161,0.899062275887,2.39615011215,-0.632050037384,0.726247131824,0.885409891605,-0.225005283952,-0.0910323113203,1.80729711056,-0.597870647907,0.498144567013,0.375247299671,-0.529279232025,0.776303708553,0.321315228939,0.416164070368,-0.393880903721,0.0735999941826,-0.297649979591,-0.735899984837,-0.192283898592,0.983167290688,0.213699996471
6657,-0.464028835297,-1.38091123104,1.55455005169,-0.100642621517,0.352101117373,0.672988533974,0.782953739166,0.495739489794,-0.500879585743,-0.362049996853,1.10199153423,0.396849989891,1.3415491581,-0.443300008774,-1.40299999714,0.130512788892,-0.164845764637,0.683906674385,0.253960877657,0.816628098488,-0.0151547640562,-0.296986192465,0.029382687062,0.102448411286,-0.652058601379,0.314780890942,-0.202683568001,0.712022781372,-0.290166676044,-0.10925000906,-1.29830002785,0.917414307594,1.15871858597,0.130100011826
