rid,DOS059_A549_24H:BRD-K23208702-001-01-6:5,DOS059_HT29_24H:BRD-K23208702-001-01-6:5,DOS059_MCF7_24H:BRD-K23208702-001-01-6:5,ERG012_PC3_24H:BRD-K23208702-001-01-6:10.1783,ERG012_PC3_6H:BRD-K23208702-001-01-6:10.1783,ERG012_VCAP_24H:BRD-K23208702-001-01-6:10.1783,ERG012_VCAP_6H:BRD-K23208702-001-01-6:10.1783
5720,1.16779994965,0.252799987793,-0.113799996674,-0.914159417152,-0.78466629982,-0.505073487759,0.453219532967
466,-0.534799993038,-0.0566000007093,0.894749999046,0.433831214905,0.332031309605,0.194969668984,0.442753970623
6009,-1.14180004597,2.58579993248,0.37239998579,-0.148343235254,-0.0262713469565,0.588983893394,0.327682763338
2309,0.932699978352,1.92079997063,-0.108750015497,-0.540626525879,-0.525547742844,0.409883111715,-0.115243129432
387,-0.388399988413,0.0888999998569,0.975400030613,-0.294450223446,0.542836666107,-0.0142300724983,-0.283026903868
3553,-2.14109992981,-2.51329994202,-0.600149989128,-0.350760191679,2.47435545921,-0.43393522501,-0.359242618084
427,-1.64740002155,2.02970004082,0.780300021172,0.602813899517,0.0385477244854,0.355429649353,0.162954837084
5898,-1.89629995823,-0.794099986553,-1.41604995728,-0.190984457731,-0.69383507967,0.0163084492087,1.46335637569
23365,-1.8137999773,-0.103500001132,-0.188249990344,0.0781849175692,0.637070715427,0.5764092803,0.362089514732
6657,-0.2037999928,-2.04139995575,-0.155400007963,0.646228194237,-0.892919063568,-0.290277838707,-0.888512015343
5054,-0.743499994278,1.55439996719,-0.606050014496,0.529310286045,-0.0630682259798,-0.111295387149,-0.695752024651
3108,1.86600005627,0.206599995494,1.01254999638,-0.446692883968,-0.0273729730397,1.11088454723,0.899224042892
1950,-0.122199997306,-0.94470000267,5.00082969666e-05,0.146547347307,-0.292910158634,0.204448372126,-0.00443577766418
351,1.2907999754,1.58449995518,-0.575299978256,0.703983724117,0.37853205204,0.631953835487,0.157818958163
4846,-1.18939995766,-2.73259997368,-0.89794999361,-0.526822149754,-0.574083149433,-1.07076454163,-0.133563280106
1452,-0.446099996567,-0.775600016117,0.479499995708,-0.163767814636,0.394982039928,0.260699480772,0.787159562111
4776,-1.48870003223,-0.76700001955,-0.0616000294685,0.510066330433,0.865899860859,0.00868132710457,-0.558130681515
6908,-3.76290011406,1.15880000591,1.10440003872,-0.287371873856,0.55361610651,-0.0540210455656,0.0536667108536
672,-0.610599994659,-0.303000003099,-0.877449989319,-0.137489020824,-0.30054461956,0.332127720118,0.905779063702
5710,-0.0657000020146,0.468499988317,-0.439549982548,-0.115194052458,0.574717342854,0.950849235058,-0.135315656662
2115,-0.712700009346,-1.5271999836,0.199050009251,-0.0421752631664,-0.142117187381,-0.213228285313,-1.46452951431
7015,-1.09130001068,-0.882399976254,-0.043349981308,0.51720136404,-0.797327160835,-0.36487993598,-0.569862008095
8726,-0.350100010633,1.47169995308,-0.391300022602,-0.124438583851,0.685301363468,0.884269118309,0.475462347269
2185,-0.92619997263,-2.50239992142,0.0391000211239,0.856532037258,-0.269988417625,0.0487297326326,-0.0311630964279
3315,0.441900014877,1.12919998169,-0.819299995899,0.356543153524,0.329109877348,-0.36117118597,0.335220694542
5289,-0.784200012684,-1.67610001564,1.13380002975,0.74393337965,-0.774087548256,-0.161398872733,-0.272887051105
868,2.71059989929,-1.47780001163,-0.444799989462,-0.382338196039,-0.333801627159,-0.246243476868,-0.223808825016
1677,-2.02160000801,0.042199999094,-0.137649998069,0.202382773161,-1.14191949368,-0.202144086361,0.271476268768
7043,-2.44129991531,-2.53020000458,-0.0972499996424,-0.226034462452,-0.358231037855,-0.452423125505,-0.305675595999
5613,-1.00520002842,-0.714100003242,0.147650003433,0.310873508453,-0.443744719028,-0.811444282532,-0.939176440239
