rid,CPC018_A375_6H:BRD-M41783010-238-01-9:10,CPC018_A549_6H:BRD-M41783010-238-01-9:10,CPC018_A549_24H:BRD-M41783010-238-01-9:10,CPC018_ASC_24H:BRD-M41783010-238-01-9:10,CPC018_HEPG2_6H:BRD-M41783010-238-01-9:10,CPC018_HT29_6H:BRD-M41783010-238-01-9:10,CPC018_MCF7_6H:BRD-M41783010-238-01-9:10,CPC018_MCF7_24H:BRD-M41783010-238-01-9:10,CPD002_MCF7_24H:BRD-M41783010-238-02-7:10,CPC018_NPC_24H:BRD-M41783010-238-01-9:10,CPC018_PHH_24H:BRD-M41783010-238-01-9:10,CPC018_SKB_24H:BRD-M41783010-238-01-9:10,CPD002_MCF7_6H:BRD-M41783010-238-02-7:10,CPD002_PC3_6H:BRD-M41783010-238-02-7:10,CPD002_PC3_24H:BRD-M41783010-238-02-7:10
5720,-0.164488688111,0.17629237473,-0.288799971342,-0.652266681194,-0.155966699123,-1.30784606934,-0.273975968361,-1.65135586262,0.155745953321,0.451610118151,-0.383033335209,0.753893852234,0.271638423204,0.0972666740417,0.102049738169
466,-0.477353155613,-1.3490858078,-0.484699994326,0.252399981022,-0.445800036192,-1.00107979774,-0.625966906548,-1.45389127731,-0.345759510994,0.341141313314,0.0339000076056,-0.18689635396,0.546484053135,0.76983332634,0.244380414486
6009,-0.536619901657,0.7687510252,0.482600033283,0.287400007248,-0.312133342028,-0.279313385487,0.302140980959,0.560927450657,0.239206850529,-0.0420202165842,-0.467533379793,0.996483683586,0.0914113000035,-0.240566685796,-0.0573020577431
2309,-0.212308496237,0.0626299157739,0.0132499933243,-1.02263331413,0.310633331537,-0.583788335323,-0.934508085251,-1.26876723766,0.0921516865492,-0.385156720877,-0.617300033569,0.134325236082,0.0243678987026,0.225833326578,-0.182607218623
387,0.185139045119,1.07123219967,0.0738499909639,0.114166632295,0.580300033092,-0.331702798605,-0.037836432457,0.193107843399,0.362892448902,-0.0144388079643,-0.0199999958277,0.847675025463,1.03911232948,-0.639733374119,0.22719052434
3553,0.334061682224,0.0761817544699,-0.363550007343,1.17366671562,0.280900001526,0.979830086231,1.64840948582,2.56044197083,-0.469831049442,-0.34355995059,0.0160999894142,0.00147879868746,-0.0794528871775,-0.141266673803,-0.230850666761
427,1.68840098381,-0.44908863306,-0.684049963951,0.0203333348036,-0.167999997735,-0.875855982304,-0.745700120926,-0.827830672264,-0.9397611022,0.447626113892,2.60136699677,0.141194552183,0.619663596153,-0.203966677189,0.0269936621189
5898,0.379064440727,-0.5855884552,0.353749990463,1.13150000572,-0.945466697216,-0.989417970181,-0.442847818136,-0.0141033679247,0.0639436841011,-0.477151781321,-0.0791666656733,-0.549569368362,-1.35404276848,-0.0246666669846,0.0664174556732
23365,0.330463528633,-0.431032955647,1.56515002251,-0.127099990845,-0.738566637039,-0.46995267272,-0.0454247891903,-0.767868340015,0.730982065201,-0.136368796229,-0.431166648865,-0.928534448147,0.0732195973396,-0.68873333931,-0.136532381177
6657,0.0909713804722,-0.835282802582,-0.464349985123,-0.424666702747,0.0380999967456,1.13850951195,1.28038406372,2.2850446701,-0.52400547266,-0.164279744029,-0.170999988914,-0.0768964290619,-0.287994384766,0.202533319592,-0.501396238804
5054,-0.097449734807,-0.847260534763,-0.999849975109,-0.358900010586,-2.28403329849,1.50334489346,-0.638534665108,0.509092330933,-0.789951324463,-0.217525184155,-0.161833330989,0.00483818212524,0.574579417706,0.0216999650002,0.163136422634
3108,-0.276348739862,1.38711440563,4.14284992218,-0.383033335209,1.0000667572,-0.488426923752,0.0242146998644,0.234223842621,-0.104495100677,-0.247616797686,-0.843966722488,-1.28838205338,-0.319345980883,-0.280333340168,-0.739387869835
1950,-0.431846261024,-0.511202454567,-0.084500014782,-0.881433367729,0.106200002134,0.532033205032,0.512429952621,1.38385677338,-0.692019641399,0.00360810756683,1.04023337364,-0.754657804966,0.94771784544,-0.0855333358049,0.544100224972
351,0.785004854202,-0.0924343541265,0.607450008392,-0.0115999877453,0.506433367729,0.872092068195,0.329943299294,0.774712562561,-1.53902685642,0.259859889746,0.223766684532,-0.189909890294,0.4885224998,-0.256500005722,-0.204079657793
4846,0.479258269072,-0.825890660286,-1.86329996586,-0.647066652775,-0.929966628551,-0.512219071388,0.0386133342981,-0.383625864983,0.756826400757,-0.00146082788706,-0.678766727448,0.0355697870255,0.233624473214,-0.270866662264,0.87810254097
1452,-0.481972098351,0.383074432611,0.237000018358,-0.991433382034,0.0255000032485,-0.828907728195,-0.865729033947,-0.854668498039,-0.999644100666,1.05302929878,-0.272000014782,-0.312255561352,0.904313087463,-0.200566649437,0.0218476355076
4776,0.211957603693,-0.63824814558,0.197050005198,0.314533412457,0.71230006218,1.1916872263,1.58592247963,2.66430926323,-0.576657295227,0.192985475063,0.334933310747,0.00350402295589,0.780359268188,0.156100004911,-0.840773820877
6908,-0.527648687363,0.33673402667,-0.166500031948,-0.107300013304,0.428233355284,-1.04294228554,-0.734668850899,-1.5838688612,0.377905488014,0.29048281908,-1.03913331032,0.58180809021,0.31909480691,0.0164666771889,1.17594242096
672,-0.677904367447,-1.44469761848,0.121249973774,-0.263366669416,0.601033329964,-0.751958668232,0.140897154808,-1.18136918545,-0.172973424196,0.79721724987,0.32230001688,-0.499738872051,2.38836145401,-0.105133339763,0.751655220985
5710,-0.295739650726,0.205461576581,-4.36964988708,0.0374000072479,0.527166724205,-0.495435863733,0.456582784653,0.449443399906,-0.66614484787,0.596415817738,0.161533355713,0.619866371155,-1.28279852867,-0.0254333615303,0.440295755863
2115,0.490394413471,-0.632495999336,5.82875013351,2.56619977951,0.0586332976818,0.230547919869,0.538544178009,-0.00756888464093,-0.337934404612,0.307618230581,-0.569599986076,0.142655059695,-0.00639554858208,4.61479997635,-0.153894275427
7015,0.541761934757,-0.698334097862,0.255150020123,-0.12839999795,0.842966675758,1.37904882431,1.319257617,3.23680591583,-0.231529578567,-0.514433205128,-0.0612333267927,-0.329952955246,-0.36498272419,0.301699995995,-0.637500524521
8726,-0.0206947177649,0.451074004173,0.548900008202,-0.00603334233165,-0.0145666748285,-0.319842815399,-0.12984123826,-1.03357982635,0.964414834976,0.16698166728,-0.228933349252,-1.25401115417,0.0883611738682,3.4240000248,0.851784706116
2185,0.471537530422,-0.438755273819,0.55009996891,3.7911002636,-0.083666652441,1.36761856079,1.83572852612,3.56206345558,-0.712835073471,-0.89489197731,-0.331066668034,0.0615861676633,0.0555857419968,0.726566672325,-0.947651028633
3315,-0.442445605993,-0.0204543974251,-0.419650018215,-1.51126694679,-0.0737333446741,-0.462153732777,0.213837891817,0.126890286803,-0.18310508132,-0.216250255704,-0.242200016975,0.17767611146,0.292607456446,-0.440233379602,-0.921388268471
5289,0.103782922029,-0.664935410023,-2.44659996033,0.237900018692,-0.344200015068,-0.170090064406,-0.850518345833,-0.0491017699242,-0.0382013246417,-0.59957420826,-0.419300019741,-0.881478786469,-0.195709332824,1.38646674156,-0.859862267971
868,0.0100633949041,0.509671270847,-0.440849989653,-0.245866656303,-0.090399980545,2.62194442749,-0.120240554214,-0.0999948680401,-0.00862694904208,0.143920242786,0.228866696358,-0.868073582649,0.937438905239,-0.487000018358,-0.168121099472
1677,-0.620766639709,-0.571482181549,0.403499990702,-0.524900019169,-0.777599990368,0.698842763901,0.72796279192,0.890333294868,0.0132150314748,0.141143172979,-0.58073335886,-0.378672301769,2.52210712433,-0.700066685677,-0.461664646864
7043,0.515722095966,-0.0260739028454,0.822399973869,0.400766730309,0.11630000174,1.41189324856,0.384958446026,1.74097120762,0.0397256650031,-0.210275992751,0.0556333661079,-0.00512526929379,-1.16912865639,-0.00863333046436,-0.607919156551
5613,-0.069302521646,-0.475327372551,0.542299985886,-0.0327666699886,-0.195433333516,1.35698354244,1.27007853985,0.721814870834,-0.956597745419,0.0126194506884,-0.779366672039,-0.716639637947,-0.666959643364,0.960166752338,-0.65725427866
595,0.289788007736,0.432584971189,0.3450999856,-0.763166666031,0.469166666269,2.28295493126,0.0646624267101,-1.18442285061,0.218907237053,2.29954051971,-0.200366660953,0.747788012028,0.114086963236,0.476966679096,-0.273747980595
4793,-0.239892065525,0.788354337215,-0.208450004458,-0.654966711998,-0.347433328629,-0.566629171371,-1.06128668785,-0.807924151421,0.223339006305,1.2722274065,-0.366666644812,-0.698650360107,-0.62217181921,3.05043339729,-0.336666822433
2736,0.335037738085,0.77158343792,2.13825011253,0.0808333307505,0.172399997711,1.16729795933,1.12189006805,3.42110013962,-0.110151879489,-0.282695889473,0.426566720009,0.25065523386,-0.945941090584,-0.284833341837,-0.594925701618
5290,-0.336319327354,-0.192953437567,-0.0146499872208,0.998466670513,0.413033366203,1.52896142006,1.84197747707,3.12080669403,-0.687587440014,-1.55401670933,-0.335900038481,-0.403752595186,0.450386464596,0.204133331776,-0.370657026768
6194,-0.0187748428434,0.0264938306063,0.813449978828,0.0,-0.000233333325014,0.0200028419495,-0.202802568674,0.212592273951,0.284289687872,0.000382389174774,-0.00156666676048,0.0,-0.412340581417,-0.835333347321,0.508107960224
1676,0.287479907274,-0.16217264533,-1.49224996567,0.869899988174,0.382733374834,1.51359963417,1.55460929871,2.70535683632,-1.01903367043,-0.342560738325,-0.15750002861,-0.326758921146,-0.422098875046,0.110333353281,-0.738501429558
23512,0.359164357185,-0.976154923439,0.47570002079,-0.180900007486,0.148033350706,-0.655700087547,0.183437049389,-0.655193090439,-0.520016431808,-1.33455264568,0.496400028467,0.321331113577,-0.515925705433,-0.215466678143,0.459544897079
148022,0.508126676083,-0.61443656683,-0.892700016499,0.0147000104189,0.285866677761,0.225009217858,-0.692333638668,-0.722800672054,0.658151268959,-0.276814639568,-0.600499987602,0.026304885745,-1.1322568655,0.231500014663,-0.346315830946
1906,0.629072129726,0.0130633711815,0.418200016022,0.432699978352,0.02460000664,2.29001235962,0.823452234268,2.30476570129,-0.593007266521,-0.685413122177,-0.357800006866,-0.575262010098,-0.481992036104,0.0800666734576,-0.536850392818
8878,-0.397327363491,-0.171448349953,-0.858250021935,-0.371866703033,-0.413133352995,-1.05133652687,-0.610039770603,0.330211192369,-0.0392739772797,-0.503557920456,-2.4171333313,0.297715395689,-0.993915677071,-0.0964667201042,-0.219933718443
