rid,DOS013_VCAP_6H:BRD-K92758184-001-01-3:5,DOS013_VCAP_24H:BRD-K92758184-001-01-3:5,DOS040_A375_24H:BRD-K92758184-001-01-3:5,DOS040_HT29_24H:BRD-K92758184-001-01-3:5
5720,0.175457835197,1.7082798481,-0.415450006723,-0.433849990368
466,0.499919384718,1.33291316032,-0.726249992847,-0.34714999795
6009,0.251754760742,-0.0196804925799,-1.04404997826,-0.255899995565
2309,-2.27601885796,-0.986681044102,-0.811800003052,0.687400043011
387,-0.745871186256,-0.703464627266,-0.189649999142,-0.303900003433
3553,1.15723538399,0.780570745468,0.632950007915,0.776449978352
427,0.823937416077,0.0101937875152,0.00634999573231,0.317300021648
5898,0.296256631613,0.665948748589,0.696249961853,0.756850004196
23365,0.198508545756,-0.512825489044,1.69934999943,1.10959994793
6657,1.03891432285,0.647614955902,0.264800012112,1.51409995556
5054,-0.311677753925,-0.13950972259,0.605000019073,-1.07834994793
3108,-0.0344096422195,-1.50361955166,0.625349998474,-1.44464993477
1950,0.744765460491,-0.199423879385,0.153549998999,-0.0498499944806
351,-0.260302633047,0.0,0.277400016785,0.739250004292
4846,-1.02310228348,0.327489584684,-0.0613499879837,-0.24224999547
1452,-0.710808515549,0.651915967464,0.201249986887,0.649349987507
4776,0.0131772458553,-0.131721019745,0.337449997663,0.674650013447
6908,-0.387496948242,0.848587751389,-0.555750012398,0.497299998999
672,-2.8329615593,0.615597128868,0.381049990654,-0.468250006437
5710,-1.56459474564,-0.189912587404,0.610450029373,0.77009999752
2115,0.606068849564,0.605759620667,-0.25309997797,0.240449994802
7015,0.63743686676,0.357227265835,0.196699991822,0.0434000007808
8726,-0.109448939562,0.319324404001,0.331449985504,-1.97994995117
2185,0.948294460773,-0.351393073797,0.0134500041604,1.19679999352
3315,0.611998677254,0.682184576988,-1.04594993591,-0.0205499827862
5289,0.513725936413,0.211052775383,0.740750014782,0.130350008607
868,-0.159074157476,0.0319408774376,0.396100014448,1.96619987488
1677,0.749682128429,-0.340954750776,1.2404999733,-0.609899997711
7043,2.28715372086,0.201909810305,1.39960002899,1.74269998074
5613,1.03239405155,-0.0276102125645,0.237599998713,1.1617000103
595,-1.18775546551,0.495578169823,-0.134700000286,0.763949990273
4793,0.170221358538,-0.0850132927299,0.393999993801,-0.605400025845
2736,1.55350387096,-0.426770418882,1.62169992924,1.71395003796
5290,1.11824297905,-0.727974772453,-0.332699984312,-0.452749997377
6194,0.768703460693,-0.260959357023,-0.0010000000475,-0.00065000000177
1676,0.956854343414,-0.0515906065702,0.724050045013,0.548849999905
23512,-0.973312735558,0.0769293233752,-0.158899992704,1.31384992599
148022,-1.31421911716,-0.869108557701,0.116750001907,1.27824997902
1906,0.490088045597,0.106411978602,0.182349994779,-0.597800016403
8878,-0.790923476219,-0.503469049931,-0.489249974489,-0.245149999857
3091,0.0274176895618,-0.0266354978085,0.995450019836,0.735899984837
5743,0.169680714607,0.208425477147,0.427599996328,-0.649100005627
5321,0.44781896472,-0.0379923135042,5.11240005493,0.565750002861
4144,-0.126451060176,-0.123146168888,0.417949974537,0.216250017285
1981,-1.07699143887,0.236465707421,-0.12539999187,-0.316749989986
695,-0.0777483358979,0.536545753479,0.940150022507,-0.00240000011399
10398,0.226585298777,1.22959733009,0.751399993896,0.219650015235
5708,-1.14037466049,-0.675671458244,-0.958100020885,-1.07895004749
1213,-0.813887238503,-0.640387177467,-0.240800008178,-0.276050001383
226,-0.400610327721,-1.09584999084,5.44234991074,0.50125002861
6777,0.662455677986,0.122777700424,-0.193549990654,-0.367749989033
2113,1.02727556229,0.360301822424,0.858350038528,1.31980001926
3329,-0.908740341663,-0.148570895195,-1.56630003452,-0.614449977875
1050,-1.71730649471,-0.122385539114,0.342750012875,0.879099965096
9491,1.00075650215,-0.14473849535,-0.748550057411,-0.0813499987125
22926,0.0472634583712,-0.64889639616,0.587599992752,-1.12539994717
5899,0.27487167716,-0.0114863216877,-0.820399999619,-1.24814999104
5467,0.224351719022,-0.686408221722,2.41595005989,-0.622250020504
6774,0.442584514618,-0.582452118397,2.72539997101,0.287849992514
1788,1.02152311802,0.774944543839,-0.247699990869,0.7132999897
5921,0.692912578583,0.462913274765,0.517650008202,0.499049961567
5721,-0.492908746004,0.66178882122,0.396099984646,-0.747000038624
2263,1.35466504097,-0.446741819382,-0.252649992704,1.28780007362
808,0.577826559544,-0.638386249542,0.328349977732,0.242699995637
30001,-0.45950204134,0.0528142303228,0.21495001018,-0.177199989557
348,1.41463708878,0.70318454504,0.498349964619,-0.476049989462
30849,-0.396861851215,-0.609734296799,-0.200650006533,-0.00910000503063
1454,0.223526760936,-0.597834289074,-0.173600018024,-3.09564995766
6500,0.459364980459,1.10818552971,0.230849981308,0.502449989319
5627,-1.00870323181,-0.0631424933672,-0.065750002861,-0.315950006247
5715,-0.45160767436,-0.675717115402,0.84610003233,-0.571250021458
