rid,CPD001_MCF7_6H:BRD-A22101059-001-11-4:10,CPD001_MCF7_24H:BRD-A22101059-001-11-4:10,CPD001_PC3_24H:BRD-A22101059-001-11-4:10,BRAF001_A375_24H:BRD-A22101059-001-11-4:10,BRAF001_A375_24H:BRD-A22101059-001-11-4:2.5,BRAF001_A375_24H:BRD-A22101059-001-11-4:0.625,BRAF001_A375_24H:BRD-A22101059-001-11-4:0.15625,BRAF001_A375_6H:BRD-A22101059-001-11-4:10,BRAF001_A375_6H:BRD-A22101059-001-11-4:2.5,BRAF001_A375_6H:BRD-A22101059-001-11-4:0.625,BRAF001_A375_6H:BRD-A22101059-001-11-4:0.15625,BRAF001_HEK293T_24H:BRD-A22101059-001-11-4:10,BRAF001_HEK293T_24H:BRD-A22101059-001-11-4:2.5,BRAF001_HEK293T_24H:BRD-A22101059-001-11-4:0.625,BRAF001_HEK293T_24H:BRD-A22101059-001-11-4:0.15625,BRAF001_HEK293T_6H:BRD-A22101059-001-11-4:10,BRAF001_HEK293T_6H:BRD-A22101059-001-11-4:2.5,BRAF001_HEK293T_6H:BRD-A22101059-001-11-4:0.625,BRAF001_HEK293T_6H:BRD-A22101059-001-11-4:0.15625
5720,1.3013330698,0.395267486572,-0.500550031662,-0.400327205658,0.0504338517785,-0.0857727527618,0.0587451048195,-0.516901195049,-0.320573598146,-0.138580426574,-0.251695513725,-1.38436150551,0.142028510571,-0.416399717331,-0.31651031971,-1.37333166599,-0.508683204651,-0.766487717628,-0.116956949234
466,0.558424830437,-0.961502671242,0.54733300209,0.180660068989,-0.171395748854,-0.124153584242,0.496980309486,-0.0174589306116,-0.359808415174,0.406320661306,0.144532173872,-0.162612497807,-0.642365455627,-0.338172197342,0.809340596199,-0.307318985462,-0.163531899452,0.237596467137,0.429707467556
6009,0.427175551653,1.06451356411,0.146089747548,0.876341104507,0.446544408798,0.465710788965,0.603375911713,0.291039437056,0.366044700146,-0.220851168036,0.227862372994,0.972848176956,0.488830804825,0.416966736317,-0.156664550304,0.760012924671,0.240422397852,-0.655272901058,-0.0723159760237
2309,-0.658280551434,2.38174510002,-0.316911190748,0.606744945049,-0.100963771343,0.255620598793,-0.482966452837,0.0137322470546,0.824944257736,-0.198697149754,-0.177033305168,1.18925881386,-0.0868705511093,0.661439836025,-0.778517067432,1.19601070881,0.0107728336006,-1.20424008369,-0.237725108862
387,-0.185897797346,1.87041509151,0.115639723837,0.896248221397,0.677174925804,0.778996944427,0.829249918461,0.694328308105,0.253801167011,0.402604699135,0.391725838184,2.01514196396,-0.141212299466,-0.850648462772,0.330480724573,0.282325714827,0.0548038929701,0.129178315401,0.274117320776
3553,-1.11735987663,-0.183651357889,-0.648619115353,-0.37379643321,-0.0867418646812,-0.285410672426,-0.440063506365,-0.350306302309,-0.410646349192,0.0558777302504,-0.381464242935,-0.00119842588902,-0.0735308974981,-0.00160820409656,0.849950730801,0.184854418039,-0.351980090141,0.0917815566063,0.115881815553
427,1.02168858051,-0.370954841375,0.0071926265955,0.0413097627461,-0.466882318258,-0.131415441632,-0.366746485233,-0.461739897728,-0.171994030476,-0.268406629562,-0.119434423745,-0.4495036304,0.0463280789554,-0.375407844782,0.246342867613,-0.396363765001,-0.276526629925,-0.186741799116,-0.0732424855232
5898,-0.00502973794937,-4.60110282898,0.683634638786,-0.0206289440393,-0.0156967565417,-0.102385915816,-0.00809507071972,-0.155289649963,-0.348729670048,-0.427037060261,-0.363842189312,-0.182433798909,0.438825398684,0.0752543658018,0.0703059732914,0.219555586576,-1.05724644661,-0.436399638653,0.023989809677
23365,-0.447699278593,-0.270276039839,0.359543710947,1.21225214005,0.443420886993,0.478943109512,0.55728405714,0.23298573494,0.691549599171,0.765098631382,0.130723536015,0.940626144409,-0.662634313107,-0.226791709661,0.251024574041,0.347745597363,-0.0624459125102,0.796173155308,0.11503072083
6657,-0.487494945526,0.84831404686,-0.722038269043,-0.250515252352,-0.0562414824963,-0.0935391113162,-0.267101168633,0.022884465754,-0.191748872399,-0.524240493774,0.110751733184,-1.04116404057,0.609652221203,0.401274293661,-0.265956968069,0.906560897827,0.100524544716,-0.444164484739,0.429564416409
5054,-0.101786762476,-0.642827749252,0.712683916092,-0.331601321697,-0.143030062318,0.795082807541,-0.0909462571144,-0.273314595222,-0.0698953419924,-0.327863693237,0.137967407703,0.480198979378,-0.213130474091,0.466787874699,0.536683499813,0.904766261578,0.567134797573,1.17355406284,-0.159918516874
3108,-0.515303552151,4.63509654999,0.106576085091,0.302315294743,0.248819455504,0.321990549564,0.111713439226,0.354473412037,0.483121603727,0.0270565003157,0.130643308163,-0.29720968008,-0.260217368603,-0.420293748379,-0.216997012496,0.185283511877,0.60085016489,0.471515506506,-0.0236495248973
1950,-0.444055855274,0.273879408836,0.0105470325798,-0.919595241547,-0.246707394719,-0.672172486782,-0.294423937798,0.265981733799,0.0131777375937,-0.593538105488,0.348451197147,0.598265051842,1.44591510296,0.14746530354,0.522523343563,0.484672129154,-0.460002839565,0.00574097037315,0.0663381069899
351,-0.422381311655,-0.48163741827,0.319022864103,-0.939482629299,-0.242541655898,-0.185563266277,0.0257673244923,-0.414440155029,-0.443591594696,-0.362924337387,-0.465339839458,0.265640318394,-0.109680145979,0.394513636827,-0.512546122074,1.47799158096,-0.140934690833,-0.492582023144,0.0149273118004
4846,0.87532299757,-0.0829248055816,0.0186046436429,-0.352566480637,-0.394747316837,-0.0848975330591,-0.138917267323,-0.172711089253,0.119331613183,-0.526160359383,-0.620720267296,-0.675049185753,0.123972773552,-0.179639577866,0.0179054364562,-0.466917395592,0.174787834287,0.289396822453,0.161774873734
1452,0.298584669828,0.298905342817,-0.60750579834,0.0269154533744,0.0772930756211,0.644493699074,0.367032766342,0.210391998291,0.46446031332,-0.153004586697,0.0549193918705,1.85786545277,0.517928898335,0.58545678854,0.604209005833,-0.427670955658,0.58605992794,-0.10950627923,-0.239511296153
4776,-0.267766714096,-0.0831067562103,-0.681323170662,0.0695232376456,-0.135404780507,-0.338895499706,-0.27797716856,0.0640543103218,-0.445838809013,0.363656580448,0.0660137832165,-0.372376739979,-0.169824972749,-0.084394171834,0.786170125008,-0.634510457516,0.159446418285,-0.120524734259,0.266012996435
6908,0.46213182807,2.02621173859,-0.102785915136,0.122575193644,0.0167181938887,0.209652602673,0.769496619701,0.0155289024115,0.0559462979436,0.297289788723,0.078167706728,-0.597396552563,-0.110154345632,0.448872983456,-0.0724727362394,-0.618521213531,-0.39463815093,-0.45702880621,-0.098963983357
672,-0.210009127855,-1.70248508453,0.406759589911,0.0523574650288,0.0433038920164,0.346753686666,-0.306712716818,-0.793011546135,-0.444542318583,-0.297980099916,-0.278220713139,-1.26811373234,-0.0419854447246,0.54092746973,-0.469718158245,-0.480353474617,-0.0104240328074,-0.202445149422,0.596992194653
5710,0.119534820318,0.543080866337,0.460357367992,0.430728256702,0.46890848875,0.36349645257,0.405784547329,-0.730282366276,0.23895201087,-0.0337132364511,0.231729373336,-0.39275559783,-0.810479104519,-0.158618494868,0.385010749102,-0.354748606682,0.197132855654,-0.122552379966,-0.0484699346125
2115,-0.1526543051,-0.00638592243195,-0.290233641863,0.146261453629,0.479465454817,0.677813470364,0.0689834356308,0.299763739109,0.465260148048,0.457068145275,0.197608068585,-1.113088727,0.352149128914,0.314712315798,1.04695141315,0.525285899639,-0.0130580663681,-0.120384395123,0.033257715404
7015,-0.534926176071,3.90361499786,-0.339975178242,0.546766877174,-0.00014965236187,0.100906178355,0.193796083331,-0.229032993317,0.416384130716,-0.0969806164503,0.417575061321,-0.178635895252,-0.134909376502,-0.242110565305,-0.268847227097,0.124173648655,-0.295681357384,0.0326373875141,0.0342505425215
