rid,DOS021_VCAP_24H:BRD-K46730958-001-01-3:5,DOS044_A375_24H:BRD-K46730958-001-01-3:5
5720,0.947800040245,-0.301950007677
466,0.515300035477,0.790700018406
6009,-4.73155021667,0.0390499979258
2309,-0.697600007057,0.215949982405
387,-0.313199996948,0.0265499949455
3553,0.178449988365,-0.760599970818
427,-0.150649994612,-0.316049993038
5898,0.305399984121,0.126499995589
23365,0.241849988699,-0.0729999989271
6657,1.52290010452,-0.0895000100136
5054,0.596899986267,0.0506500005722
3108,-0.421850025654,0.188999995589
1950,-0.879450023174,0.53125
351,0.0435999929905,0.0804999992251
4846,-1.14505004883,0.256749987602
1452,-1.03620004654,0.264200001955
4776,1.79110002518,0.581250011921
6908,-0.78250002861,-0.0928000062704
672,0.00685000419617,0.121649980545
5710,-0.243550032377,0.291800022125
2115,0.523199975491,-1.08354997635
7015,0.759299993515,0.2418500036
8726,0.903200030327,0.369350016117
2185,0.530300021172,-0.381900012493
3315,-0.563399970531,0.404899984598
5289,1.17925000191,-1.10249996185
868,0.204449981451,-0.343449980021
1677,-0.493699997663,-0.0370500013232
7043,-0.721849918365,-0.149300009012
5613,1.31455004215,-0.212799996138
595,0.11930000782,0.857050001621
4793,-0.180649995804,0.0571499913931
2736,0.910249948502,-0.2132999897
5290,0.471650004387,1.47049999237
6194,-0.381099998951,0.00034999998752
1676,1.71634995937,-0.206699997187
23512,0.223700001836,-5.25505018234
148022,-0.419099986553,0.31685000658
1906,1.56905007362,0.588400006294
8878,-0.396149992943,0.365550011396
3091,1.17019999027,-0.142599999905
5743,-0.0919999927282,0.313149988651
5321,-2.40689992905,0.613200008869
4144,0.617749989033,-0.0132500082254
1981,-0.480999976397,0.529049992561
695,-0.819299995899,-0.0341000035405
10398,1.12199997902,-0.75049996376
5708,-2.59819984436,-0.498149991035
1213,-0.142150014639,0.825199961662
226,0.299800008535,0.588500022888
6777,0.100449994206,0.256550014019
2113,1.58019995689,-0.101799994707
3329,-0.798649966717,0.559500038624
1050,-0.555100023746,0.417249977589
9491,0.89745002985,0.632149994373
22926,-1.0936999321,-0.174899995327
5899,-0.0939500033855,-0.183550000191
5467,0.546700000763,-0.633249998093
6774,0.310050010681,-1.71724998951
1788,0.933849990368,-0.521700024605
5921,1.96595001221,0.0190500020981
5721,0.107499986887,0.189050018787
2263,0.976750016212,0.630449950695
808,1.13129997253,0.197099998593
30001,-1.07509994507,0.741549968719
348,1.32330000401,1.21675002575
30849,-0.559800028801,-0.119749993086
1454,0.0630500018597,1.15639996529
6500,0.231600016356,0.0162999927998
5627,-0.236049979925,-0.029650002718
5715,-0.750599980354,0.382550001144
4791,0.935599982738,-0.358000010252
56924,-1.7309499979,0.545549988747
2690,0.0910499989986,1.59189999104
1019,-0.00250002741814,0.454699993134
51422,-0.790199995041,0.565150022507
5788,2.02300000191,-0.0358500033617
6709,-0.160800009966,0.112350016832
1277,-0.21749997139,-2.13575005531
993,-1.32020008564,0.631999969482
7157,-0.349900007248,-0.251650005579
1958,-0.627449989319,-0.478199988604
4582,-0.28639999032,-0.454750031233
9212,-0.181600004435,-0.273999989033
8440,-2.41254997253,-0.310199975967
6790,0.21280002594,-0.0935499966145
8851,-0.169049993157,1.29219996929
2534,0.651300013065,-0.309850007296
4893,1.89864993095,-0.736400008202
665,-0.827049970627,-0.133850008249
4313,1.50250005722,-0.0430499985814
1022,-0.0794999599457,0.270449995995
5880,0.0124000012875,-0.898750007153
3162,-0.389050006866,0.144850000739
1282,1.06204998493,-0.369049996138
3383,-0.725199997425,1.57109999657
727,2.54739999771,-0.650250017643
4792,0.182949990034,0.876649975777
4794,1.10255002975,-0.42230001092
902,1.07109999657,0.798699975014
8091,0.481449991465,0.217200011015
3486,0.255800008774,-2.01394987106
10818,5.31895017624,-0.697849988937
3454,1.15590000153,-1.39269995689
4282,-0.619199991226,-1.47105002403
1605,-0.752900004387,-0.287699997425
10644,0.530300021172,-0.270700007677
2065,-1.59974992275,-0.109549999237
8321,0.410349994898,-0.177150011063
8503,-1.36620008945,-0.522599995136
7027,0.0875000059605,-0.382299989462
6850,1.05009996891,0.0212999880314
1978,-0.671000003815,-0.195500001311
896,-0.19684997201,0.277200013399
5777,-1.00609993935,-0.471099972725
1846,-1.14935004711,-0.129199981689
5925,0.755400002003,-1.57679998875
142,-0.406049996614,-0.78845000267
1021,4.93975019455,0.431600004435
5699,1.80379998684,0.222400009632
8061,0.407800018787,0.0264999866486
1870,-0.693949997425,0.882550001144
1398,-0.894749999046,0.227300003171
3312,0.875100016594,0.28749999404
891,1.15415000916,-1.23635005951
4775,0.0866500064731,-0.591400027275
5111,-0.169949993491,0.141149997711
5696,0.190099999309,-0.00300000049174
5588,0.828700006008,-0.29255002737
6839,0.411049991846,-0.231550008059
329,-0.5013499856,-0.294250011444
5058,-0.238150000572,-0.364699989557
998,-0.432449996471,-1.80084991455
9134,0.870099961758,-1.69595003128
6616,1.48204994202,0.874899983406
5223,-0.600449979305,-2.62620019913
4690,0.369349986315,3.17420005798
958,2.03954982758,1.28655004501
1616,0.211700022221,1.18864989281
991,-0.301499992609,-5.00034999847
6347,0.099650003016,1.40869998932
6714,-0.451300024986,-0.762199997902
652,0.905149996281,2.43914985657
4331,0.0782999992371,0.0033999979496
7099,3.08034992218,0.891400039196
10320,0.194149985909,-2.97044992447
2042,0.535199999809,0.606850028038
843,0.916249990463,-1.09874999523
840,1.07969999313,0.0821999907494
7048,4.16734981537,-0.270549982786
4851,0.633450031281,-0.941200017929
6464,1.66245007515,-0.19604998827
23410,0.614399969578,-1.25285005569
54205,1.24944996834,-0.554399967194
2770,-0.465249955654,1.15890002251
80204,0.41400000453,-0.914399981499
4208,0.920599997044,-0.835850000381
1845,-0.919049978256,1.31690001488
23368,0.164849996567,-0.49255001545
5583,-2.08474993706,-0.30554997921
8900,-0.0183500051498,-0.634899973869
581,0.835399985313,-0.433699965477
6193,-1.59305000305,-0.540449976921
6622,-0.685699999332,0.126200005412
11261,-1.12479996681,5.13329982758
6696,-0.69855004549,-0.490049988031
8312,-0.00425001978874,3.08034992218
835,-1.45004999638,0.492900013924
8324,-0.517050027847,-0.329750001431
1848,-2.06019997597,0.0142499990761
154,2.0450501442,0.724300026894
4312,3.75755000114,1.34180009365
994,-1.18904995918,-0.395749986172
2048,-0.892949998379,-0.598049998283
1111,1.89299988747,0.791099965572
5154,-0.917450010777,-0.52429997921
2920,-0.0287999995053,-0.505300045013
3122,0.244499996305,0.321650028229
2769,0.588450014591,-0.711349964142
5900,-1.51055002213,-0.157349988818
6304,2.42054986954,-0.442550003529
5211,-0.465099990368,-0.337000012398
2886,1.50165009499,1.27285003662
9261,0.138800024986,0.0792000070214
8569,2.20399999619,0.543749988079
3303,0.0789999961853,-0.190850019455
5331,-0.851850032806,1.05629992485
5347,0.34249997139,-0.423150002956
4638,0.765850007534,-1.40234994888
2264,-0.377399981022,1.15030002594
1029,-0.19374999404,0.151950001717
1027,0.167450010777,0.376949995756
2597,0.898499965668,-0.00130000000354
55847,-0.495999991894,0.0276499986649
25803,0.0212499946356,-0.191299974918
3480,0.0960499942303,0.590200006962
2946,0.953750014305,0.0479499995708
9517,-0.977750003338,-0.108550012112
25987,-1.46584999561,-0.106049999595
23670,-0.328799962997,-0.363799989223
11182,0.836350023746,-0.0334499776363
2146,-2.20980000496,-0.572450041771
3385,0.322349995375,0.216499999166
5261,1.16049993038,0.942149996758
10765,0.165399998426,-1.40614998341
25839,-1.83605003357,-0.882700026035
4172,-0.368149995804,-0.596099972725
23161,1.09319996834,-0.606549978256
10298,-0.587350010872,0.0792500004172
1802,0.636950016022,-0.473650038242
58533,0.845650017262,-0.0244499891996
147179,-0.470799982548,0.0947999954224
29937,0.364999979734,-0.0484500043094
6184,-0.563199996948,-0.589749991894
