rid,CPC018_A375_6H:BRD-K88329126-001-01-0:10,CPC018_A549_6H:BRD-K88329126-001-01-0:10,CPC018_A549_24H:BRD-K88329126-001-01-0:10,CPC018_ASC_24H:BRD-K88329126-001-01-0:10,CPC018_HT29_6H:BRD-K88329126-001-01-0:10,CPC018_MCF7_6H:BRD-K88329126-001-01-0:10,CPC018_MCF7_24H:BRD-K88329126-001-01-0:10,CPC018_NPC_24H:BRD-K88329126-001-01-0:10,CPC018_PHH_24H:BRD-K88329126-001-01-0:10,CPC018_SKB_24H:BRD-K88329126-001-01-0:10
5720,-0.935849308968,-0.582677960396,-1.85944998264,0.44793432951,-1.58550560474,-0.319963693619,-1.38476204872,-0.160027846694,-0.289600014687,-0.882650017738
466,-0.122308462858,-0.894130885601,-0.707199990749,0.601162850857,-1.75550186634,0.218575432897,-1.11229431629,0.484241336584,0.197950005531,-0.487049996853
6009,-0.234178110957,-0.73246461153,0.233099997044,-0.018559128046,0.124770611525,1.02166152,-0.158205747604,-0.101322963834,0.187300026417,0.959550023079
2309,-0.102942302823,-0.523076474667,0.117899984121,0.481652855873,-0.295175909996,0.109285145998,-0.205941230059,0.488070100546,-1.28215003014,-1.33270001411
387,-0.712624430656,-0.525673389435,0.277949988842,0.462622374296,0.128861173987,-0.700051426888,0.452962338924,-0.288320839405,0.159149989486,-2.27745008469
3553,1.31703746319,1.47655498981,0.48985004425,1.84673953056,2.67350721359,2.15606117249,1.97785770893,1.04063725471,0.27095001936,1.32434999943
427,-0.491853177547,-0.524044275284,0.0665999948978,0.11788263917,-1.89303731918,-0.172146394849,-0.943076193333,0.0895377248526,0.847699999809,0.456149965525
5898,-0.732057929039,0.0183414146304,0.630549967289,1.09685897827,-0.225381135941,-0.371947407722,0.498384654522,0.514104008675,0.15925000608,0.610099971294
23365,-0.518554568291,0.454304873943,1.25574994087,0.201024830341,-0.373855233192,-1.13342642784,0.267789661884,-0.821058750153,0.153800010681,-0.627200007439
6657,-0.393463134766,0.66377389431,0.305399984121,1.83707547188,1.29088532925,0.6762586236,1.05201852322,0.170260876417,0.418999999762,1.71805000305
5054,-0.116367451847,-1.72480487823,-1.00170004368,-0.850101709366,1.92042613029,0.956119060516,3.135658741,0.232858151197,0.16369998455,-0.567550003529
3108,-1.11383032799,3.27268242836,-0.914149999619,1.3085770607,-0.495999395847,-0.241355091333,0.391172260046,-0.534426450729,0.13195002079,0.258599966764
1950,-0.344787061214,1.29016244411,-1.08485007286,0.574861466885,0.594399929047,0.623835206032,0.263335168362,-0.322710216045,0.778499960899,0.916700005531
351,-0.00948229432106,-0.292807161808,1.17770004272,-1.51649570465,0.0750771462917,0.53670835495,0.129432111979,0.000659929355606,0.337000012398,0.483399987221
4846,0.0557980798185,-1.07130503654,0.721199989319,0.971268236637,-1.01182484627,-0.896229326725,-0.00497807376087,-0.044881850481,-0.461950004101,0.72034996748
1452,0.234220251441,-0.166390120983,-0.492649972439,0.346824556589,-0.545893013477,0.181457743049,0.147398382425,-0.478681087494,-0.238550007343,-0.65474998951
4776,0.602653443813,1.23834764957,-0.0726000070572,0.481678724289,2.44209313393,1.58929300308,1.16761028767,2.12129545212,0.299300014973,1.87865006924
