rid,ERG011_VCAP_6H:BRD-K72539944-001-01-2:9.998,ERG011_VCAP_24H:BRD-K72539944-001-01-2:9.998,ERG017_VCAP_24H:BRD-K72539944:10,ERG017_VCAP_24H:BRD-K72539944:3.33,ERG017_VCAP_24H:BRD-K72539944:1.11,ERG017_VCAP_24H:BRD-K72539944:0.37
5720,2.07520008087,-0.170144170523,0.0232560783625,2.73345541954,0.466505944729,0.996358156204
466,0.492250025272,0.331502020359,0.919635236263,0.920118689537,1.14411950111,1.08339941502
6009,0.859449982643,0.155475616455,0.385861814022,0.426922798157,0.00806380808353,0.543676733971
2309,-0.341649979353,-0.496186614037,1.06860637665,-0.00541150569916,0.406997174025,-0.408752560616
387,0.27500000596,-0.162840023637,-0.205054700375,0.627116262913,-0.24964492023,-0.275499343872
3553,-0.220550000668,1.03226077557,-0.28072014451,-0.799785494804,-0.733722567558,-0.697461843491
427,-0.128000020981,0.321514517069,1.05535840988,1.40228664875,0.90158200264,1.11557638645
5898,0.485599994659,-0.298193961382,0.827684283257,0.515878915787,0.896000742912,0.505890071392
23365,-0.347900032997,-0.385381489992,0.00725829601288,0.573193252087,-0.0129264295101,0.62622076273
6657,0.143200010061,0.272439539433,-0.616082429886,-1.14860510826,-0.81635594368,-0.878553152084
5054,-0.840299963951,0.374170571566,1.35527455807,0.377255380154,0.248627483845,-0.091608196497
3108,-0.18694999814,-0.677795648575,-0.2237406075,-0.360602676868,-0.220346733928,-0.389237552881
1950,-0.332049995661,-0.0895972847939,-0.335758388042,-1.06147933006,-1.19093763828,-0.0842920392752
351,-0.139200001955,-0.273584753275,0.238855555654,-0.36426115036,0.296601772308,0.603261828423
4846,-0.243150010705,-1.00836980343,-0.263886094093,1.28344464302,0.0209436863661,-0.480757564306
1452,-0.0936000049114,-0.632915854454,-0.4544942379,0.817705929279,0.836668252945,-0.104930050671
4776,-0.456550002098,0.859721779823,-0.892919063568,-1.43083322048,-1.22304654121,-0.615228891373
6908,-0.821750044823,-0.547033309937,-0.187530711293,0.16955049336,-0.333969056606,0.802467763424
672,-0.0101999938488,-0.762048363686,-0.511368632317,0.672996997833,1.5306866169,1.43145346642
5710,-5.59420013428,-0.692374289036,-0.483143895864,0.661440968513,0.292578518391,0.0581322312355
2115,-0.243400007486,-1.2002825737,0.216323494911,-0.162638157606,-0.352194011211,-0.62178504467
7015,-0.343650013208,0.0211841352284,-0.699055194855,-1.55646729469,-0.587130129337,-0.698256731033
8726,-0.107600003481,0.320652037859,-0.536619126797,1.13714575768,0.903764486313,1.22300887108
2185,-0.0687500089407,0.389288127422,-0.782419860363,-1.14299201965,-0.75081717968,-0.744825303555
3315,0.0711499974132,-0.347420692444,-0.11479100585,-0.319736599922,-0.328573346138,-0.630839586258
5289,0.582800030708,0.40188190341,-0.543286204338,-1.04591119289,-0.553695738316,-0.783333182335
868,-0.393600016832,-0.147631585598,-1.14651679993,-0.965734422207,-0.476990640163,-0.289022147655
1677,0.203049987555,-0.809995174408,-0.0573037266731,-1.03152179718,-0.407524079084,-1.03183591366
7043,0.141249999404,0.171777784824,-0.780172586441,-0.764767289162,-0.520128488541,-0.619533061981
5613,0.190400004387,3.27196025848,-0.827835917473,-0.91484695673,-0.661463856697,-0.993448734283
595,0.0974999964237,-0.568767666817,0.176242694259,1.30305981636,0.715778589249,0.0464974343777
4793,-1.00040006638,-0.946114242077,0.588497757912,1.40504527092,-0.282806634903,-0.35403496027
2736,0.142049968243,0.0680491179228,-1.36731362343,-1.18955087662,-0.500927209854,-0.604990422726
5290,-0.340250015259,1.11576187611,-0.251631498337,-1.49979043007,-0.78936624527,-0.609923839569
6194,-0.996550023556,-0.892325103283,-0.34987860918,0.270263314247,-0.310486227274,0.0190555304289
1676,0.0530000030994,1.22188329697,-0.956686794758,-0.70810520649,-1.42701983452,-0.86870855093
23512,0.317299991846,-0.421716064215,0.060087710619,0.536976516247,1.24908304214,1.27415919304
148022,4.79214954376,-0.823157310486,0.19746863842,1.23311185837,-0.0297539830208,-1.57962369919
1906,-0.218250006437,0.10236209631,-1.81835925579,-1.90722870827,-0.994195282459,-1.70092606544
8878,-0.587249994278,-0.330842018127,-0.0390132963657,0.721714019775,-0.420001149178,-0.111631065607
3091,0.480250000954,0.177872940898,-0.227303981781,0.0538545399904,0.718102455139,-0.249584525824
5743,-0.0748500004411,4.65038442612,0.2198176682,0.235825195909,-0.257148683071,-0.348110973835
5321,-0.0873999893665,0.635074079037,-0.783735096455,-1.05984449387,-0.824674069881,-0.42857503891
4144,-4.36164999008,-0.244026571512,0.393213272095,-0.145976781845,-0.294079840183,0.127986431122
1981,-0.0754500031471,3.74710559845,-1.14272129536,0.147212266922,-0.397047072649,-0.205354005098
695,0.0275000035763,-0.853135883808,-0.629166960716,0.402818828821,0.212305605412,1.39054739475
10398,-0.271699994802,-0.0891095548868,-0.262875974178,-1.3112436533,-1.08191800117,-1.02189779282
5708,0.0529000014067,-0.649920165539,-1.15368485451,-0.428296327591,-0.510818362236,-0.957795798779
1213,0.54289996624,0.0476115942001,-0.029103256762,0.900976657867,0.129573136568,0.182596892118
226,0.186300009489,-0.0212386604398,0.075795724988,0.597973823547,0.510483801365,0.311079859734
6777,1.47059988976,5.40865421295,0.0327705442905,0.261893868446,-0.759880304337,-0.834988951683
2113,-0.225450009108,-0.429527640343,-0.712540566921,-1.55432140827,-1.62202835083,-0.830922782421
3329,0.022699996829,-0.215916678309,-0.485572755337,0.550041139126,-0.034026645124,-0.960993528366
1050,0.421799987555,-0.0194682702422,0.209848433733,1.17701137066,0.859892129898,0.116982042789
9491,-0.237000003457,0.233290538192,-0.993035435677,-1.97848820686,-0.757178544998,-0.900040984154
