rid,DOS007_VCAP_24H:BRD-K36959991-001-01-9:5.12,MUC.CP001_MCF7_6H:BRD-K36959991-001-01-9:10.2434,MUC.CP001_MCF7_6H:BRD-K36959991-001-01-9:3.4145,MUC.CP001_MCF7_6H:BRD-K36959991-001-01-9:1.1382,MUC.CP001_MCF7_6H:BRD-K36959991-001-01-9:0.3794,MUC.CP001_MCF7_24H:BRD-K36959991-001-01-9:10.2434,MUC.CP001_MCF7_24H:BRD-K36959991-001-01-9:3.4145,MUC.CP001_MCF7_24H:BRD-K36959991-001-01-9:1.1382,MUC.CP001_MCF7_24H:BRD-K36959991-001-01-9:0.3794,MUC.CP001_NKDBA_24H:BRD-K36959991-001-01-9:10.2434,MUC.CP001_NKDBA_24H:BRD-K36959991-001-01-9:1.1382,MUC.CP001_NKDBA_24H:BRD-K36959991-001-01-9:3.4145,MUC.CP001_NKDBA_24H:BRD-K36959991-001-01-9:0.3794
5720,-0.370842456818,-0.509298086166,1.03848028183,1.72519052029,-0.60880947113,-0.674499988556,-0.160800009966,0.0229000151157,-0.13520000875,-0.291623711586,0.514149427414,2.87080001831,0.125699996948
466,0.58230650425,-2.89576888084,-3.62522101402,-4.42348480225,-3.11733388901,-2.07470011711,-0.677300035954,-0.673099994659,-0.986700057983,-0.591656148434,-0.790710926056,0.290549993515,-1.07659995556
6009,0.319202661514,1.45965719223,1.68701457977,1.4268296957,1.94991159439,-1.25279998779,-0.294066667557,-0.123149991035,-0.974366605282,-1.1096111536,-0.306635349989,0.975699961185,-0.543299973011
2309,-0.0138459689915,2.74850177765,1.77844595909,-0.0972349643707,1.81988310814,-0.698300004005,-0.342066675425,-0.446800023317,-0.605666637421,1.17451143265,-2.7306189537,2.34605002403,0.80220001936
387,0.460261762142,3.00055122375,2.61020421982,1.59619545937,1.73853862286,2.03649997711,0.858600020409,0.184950008988,-0.533533334732,1.23851180077,-1.15826308727,1.22514998913,1.43134999275
3553,0.421821147203,2.71250009537,0.141146346927,4.95924758911,1.18622100353,0.669200003147,-0.103399991989,0.601900041103,-0.129966676235,1.33346927166,1.90816175938,-0.103399991989,0.64929997921
427,0.04868067801,0.991031050682,0.832570493221,0.708867788315,0.17597296834,-0.64770001173,-0.0828666687012,-0.870399951935,-0.238433390856,-0.598366618156,-0.305882543325,0.341000020504,-1.7254499197
5898,-0.266242295504,-3.57539439201,-5.91567516327,-1.47676539421,-4.47102975845,-1.69920003414,-0.801000118256,-0.427150011063,-0.929833292961,-0.482777655125,0.977790355682,0.116349995136,-1.63479995728
23365,-1.19128787518,-1.30298376083,-1.4303766489,-1.13703274727,-1.08687615395,0.405800014734,2.49690008163,-0.386950016022,0.424933344126,-0.0442878380418,-0.0313320308924,0.804800033569,0.636700034142
6657,1.35743319988,2.88833332062,1.56325602531,4.36996078491,2.11032414436,1.66250002384,0.429266691208,0.602249979973,0.347366690636,0.994753658772,1.05577385426,0.406399995089,0.709900021553
5054,0.374305874109,0.106410980225,0.373014450073,1.06420278549,0.444811761379,1.87109994888,-0.911800026894,1.80855000019,0.714266657829,-3.99808907509,-4.1451921463,-1.9685999155,-2.61995005608
3108,-0.144917547703,5.17911291122,7.27092647552,1.42316484451,-0.242210328579,1.46300005913,0.462899953127,0.0223499834538,0.658533334732,0.19000531733,0.808238744736,5.33724975586,0.418500036001
1950,0.780084490776,1.16833484173,0.0761631578207,1.86307048798,1.28766703606,2.64369988441,-0.124200001359,0.82279998064,1.04823338985,1.63455164433,1.94183075428,0.705000042915,1.22195005417
351,-0.570293664932,-0.72494584322,-2.16969561577,-0.796062588692,-1.25956869125,0.745299994946,-0.178033351898,0.159999996424,0.170200005174,-0.569159209728,-5.32488536835,-0.919250011444,-2.14479994774
4846,-0.291473090649,2.54907798767,0.0321331471205,2.80182862282,0.298158168793,0.492599993944,0.166866660118,0.478850007057,0.132433339953,3.4815518856,5.27301883698,2.14569997787,0.226100027561
1452,-1.29458332062,0.838118255138,-0.754543066025,0.0630029886961,0.397680729628,2.31579995155,-0.236766636372,-0.261799991131,0.325666636229,0.900665462017,1.58293318748,0.590000033379,0.896549999714
4776,0.235302120447,2.18333363533,1.0479336977,3.59382510185,1.11195003986,1.75650000572,0.371733367443,0.340399980545,0.347400009632,1.40033864975,1.07682096958,0.300899982452,1.0978499651
6908,0.257509857416,0.868169665337,0.0804806947708,-0.212362468243,1.48817169666,-0.878600001335,-0.430599987507,-0.275250017643,-0.750533342361,-0.750214934349,-0.192687094212,0.406099975109,0.931499958038
672,0.577871203423,-1.92397010326,-3.855884552,-2.91591119766,-2.22307538986,-1.42709994316,-0.474799990654,-0.55965000391,0.157466694713,-1.17447471619,-0.370666354895,-2.21749997139,-2.26679992676
