rid,DOS003_VCAP_6H:BRD-K29799191-001-01-6:5,DOS003_VCAP_24H:BRD-K29799191-001-01-6:5
5720,0.735899984837,0.716425359249
466,-0.476549983025,0.622438430786
6009,0.281300008297,-0.559745788574
2309,-0.0720999985933,-0.110691465437
387,0.667750000954,-0.570071399212
3553,0.673400044441,0.707514226437
427,-0.553299963474,-0.699023842812
5898,-0.530499994755,-0.475944936275
23365,0.738950014114,0.801550984383
6657,-1.34430003166,-0.909796893597
5054,0.439049988985,0.190800324082
3108,-0.188850000501,-0.371359169483
1950,-0.373250007629,-0.429665982723
351,0.0,-0.432271361351
4846,-0.298350006342,-0.414882153273
1452,-0.196050003171,0.465390443802
4776,-1.15844988823,0.0257962271571
6908,-0.242050021887,-1.06492888927
672,0.707650005817,0.478027462959
5710,0.589950025082,0.696685194969
2115,-0.472250014544,-0.689405322075
7015,-0.475250005722,0.0475193746388
8726,1.08660006523,-0.411157250404
2185,-0.0537499971688,-0.314672797918
3315,0.126000002027,-1.09470689297
5289,0.575899958611,-0.632197439671
868,-0.807000041008,1.3547719717
1677,-1.85199999809,-0.917721867561
7043,-0.673449993134,0.380597054958
5613,-0.843100011349,1.65948867798
595,-0.178949996829,0.766620099545
4793,-0.533950030804,-0.201011955738
2736,-1.47099995613,0.597579777241
5290,-0.155849993229,-0.762832343578
6194,0.0,0.0
1676,-0.787400007248,0.143549054861
23512,0.655950009823,0.782760560513
148022,-0.0646499991417,0.435120880604
1906,-0.62475001812,0.0707201883197
8878,0.246899992228,0.0274791270494
3091,0.306199997663,0.389648169279
5743,-0.238999992609,0.918807566166
5321,-1.30115008354,-0.522304773331
4144,-0.866750001907,0.165707007051
1981,-0.950250029564,-0.251668602228
695,0.183650001884,0.67429459095
10398,0.780399978161,0.852514982224
5708,-0.67484998703,0.480353206396
1213,0.630049943924,0.916950702667
226,0.191499993205,1.0550917387
6777,-0.842299997807,0.234990119934
2113,-1.04340004921,0.0119129512459
3329,0.0741499960423,0.905011534691
1050,-0.15530000627,1.08650195599
9491,2.1345000267,0.402043819427
22926,0.0260999985039,-0.732133507729
5899,0.613250017166,0.750346302986
5467,0.30814999342,0.25476321578
6774,-0.0512999892235,1.51909101009
1788,-0.832249999046,0.182295396924
5921,-0.168200001121,0.599449634552
5721,0.318100005388,-0.812539219856
2263,-0.761099994183,-0.815433204174
808,0.505549967289,-0.0705024451017
30001,0.968350052834,-0.0618285313249
348,-0.565899968147,-0.82735824585
30849,-0.680400013924,-0.598797500134
1454,-0.194099992514,0.0356111675501
6500,0.441550016403,0.377211272717
5627,-0.471450001001,-0.369632542133
5715,0.705500006676,-1.25753903389
4791,-0.353850007057,-0.306229919195
56924,0.578050017357,-1.51680314541
2690,0.0679000020027,-0.13416980207
1019,-1.65600001812,0.518615186214
51422,-0.326999992132,-0.351688474417
5788,-0.62524998188,-0.423005610704
6709,0.830100059509,0.707506358624
1277,0.230899989605,-0.858055591583
993,0.723899960518,-0.251687079668
7157,0.409299969673,0.128487855196
1958,0.183699995279,-0.337032079697
4582,-0.690699994564,0.590304613113
9212,-0.102699995041,0.548277854919
8440,-0.0232000052929,0.0774018466473
6790,0.391099989414,0.0423506125808
8851,-0.875999987125,-0.318406075239
2534,-0.155900001526,-0.0641247034073
4893,-0.7242000103,-0.0549737140536
665,-0.944000005722,-1.47337031364
4313,1.58959984779,-0.613340735435
1022,-0.133900001645,-1.49669861794
5880,-0.0247000046074,0.0732909291983
3162,1.31349992752,0.919213414192
1282,-0.473849982023,0.0585308969021
3383,0.256350010633,0.229340583086
727,-0.510349988937,0.719762027264
4792,0.29129999876,0.216789007187
4794,-1.46819996834,-0.0440345406532
902,-0.285099983215,-0.020674135536
8091,-0.342799991369,-0.470711231232
3486,0.790149986744,-0.118476167321
10818,-0.258149981499,-0.339335948229
3454,-1.41794991493,-0.387932300568
4282,0.0,-0.0160459000617
1605,0.904699981213,0.040692307055
10644,-0.0195000004023,-0.621738910675
2065,0.565400004387,0.104347579181
8321,-0.937150001526,-0.0236800014973
8503,-0.0835499987006,1.9361975193
7027,-0.453649997711,-0.128396213055
6850,-0.299499988556,-0.0206792987883
1978,-0.122299998999,1.4663131237
896,1.24625003338,-0.255257040262
5777,1.22504997253,0.224416717887
1846,-0.673299968243,-0.424214810133
5925,-0.15419998765,0.429224342108
142,0.801450014114,1.36747384071
1021,-0.471749991179,0.146939009428
5699,-1.04914999008,-0.0690550431609
8061,-0.432249993086,0.114157304168
1870,-0.120450004935,-0.363572895527
1398,-0.607599973679,-0.0527532361448
3312,-0.298449993134,0.43541765213
891,-1.66509997845,0.339658647776
4775,-0.962000012398,-0.0418093837798
5111,-0.873399972916,0.185969442129
5696,0.469000011683,-0.420498281717
5588,-0.371250003576,-0.67770254612
6839,-0.341749995947,0.638752281666
329,-0.308200001717,-0.285396307707
5058,4.50685024261,-0.592212736607
998,-0.155599996448,-0.241544917226
9134,-1.14709997177,-0.163640618324
6616,0.411499977112,-0.824699997902
5223,0.740650057793,0.111621253192
4690,-1.6590000391,-0.945846319199
958,-0.947000026703,-1.20013952255
1616,0.269800007343,-0.191297337413
991,0.746399998665,0.597607493401
6347,-0.744799971581,-0.317145287991
6714,0.476499974728,0.482852190733
652,-1.68770003319,-0.498073786497
4331,0.614150047302,-0.184963107109
7099,-1.62709999084,-0.304798513651
10320,-0.73189997673,-0.822555840015
2042,-0.761500000954,0.0390994250774
843,-0.9049000144,-0.567462861538
840,0.297900021076,0.467786550522
7048,9.54400062561,0.559717774391
4851,-1.18505001068,-0.121432468295
6464,-0.420750021935,-0.517753779888
23410,-0.424400031567,1.24955761433
54205,-5.05245018005,0.0300826355815
2770,-0.959399998188,1.95915794373
80204,-0.82539999485,-0.286954969168
4208,-0.98685002327,-1.02796816826
1845,-0.461150020361,-0.648630440235
23368,-0.771050035954,0.0470693036914
5583,-0.652700006962,-0.210687220097
8900,0.897850036621,0.316749364138
581,0.0179999768734,0.723055183887
6193,0.708000004292,2.08724451065
6622,-1.62584996223,0.408403933048
11261,0.281849980354,-0.917692244053
6696,-0.439399987459,-0.721719264984
8312,0.195749998093,-0.230780854821
835,0.628149986267,-0.29199975729
8324,-0.749599993229,-0.315993130207
1848,-0.281049966812,-0.125372216105
154,2.05194997787,0.343270838261
4312,-0.10949999094,-0.577062547207
994,0.206349998713,0.922773659229
2048,-0.545399963856,-0.132241874933
1111,-0.925999999046,1.22546672821
5154,0.396800011396,0.254294514656
2920,-0.308849990368,0.239260107279
3122,0.430149972439,-0.0341166891158
2769,-0.171900004148,-0.442499041557
5900,-0.808950006962,0.804072856903
6304,0.241650000215,-0.260405242443
5211,1.1373000145,0.991967380047
2886,-0.233950003982,-0.18178576231
9261,0.115050002933,-0.204893186688
8569,-0.983649969101,-0.823892235756
3303,-0.457049995661,-0.516728281975
5331,-0.0654500052333,0.117561668158
5347,0.147850006819,1.05432975292
4638,-0.475149989128,0.209607928991
2264,-0.296400010586,1.54116928577
1029,0.730049967766,1.02359366417
1027,-4.44435024261,1.41339826584
2597,0.0,0.0
55847,-0.760850012302,-0.271840840578
25803,-0.0324500054121,0.0300807692111
3480,0.689149975777,0.444974511862
2946,-0.412550002337,0.134154856205
9517,0.368000000715,-1.59497976303
25987,0.333649992943,-0.359482467175
23670,0.875250041485,0.682885825634
11182,0.272450000048,0.616492927074
2146,-0.595700025558,0.676849901676
3385,0.786350011826,0.860072374344
5261,-0.478599995375,-0.214288145304
10765,-0.963549971581,-0.159151256084
25839,-0.423600018024,0.0504159629345
4172,-0.249599993229,0.432840228081
23161,-0.939350008965,-0.334558337927
10298,-0.0139999985695,-0.324667692184
1802,-0.153600007296,0.307353854179
58533,0.385800004005,0.917953312397
147179,-1.03410005569,0.253116995096
29937,0.341700017452,0.484900683165
6184,0.300949990749,-0.393387556076
9854,-0.241700023413,-0.418281495571
2553,0.610949993134,-0.591622173786
5440,-0.023199999705,-1.26327800751
54623,0.0157999992371,1.20464920998
9533,0.101749993861,-1.19697618484
8607,0.375400006771,0.816267549992
207,0.648599982262,0.655649185181
26054,0.261000007391,0.527459144592
10682,-0.264699995518,0.661826491356
8573,-0.0883000046015,-0.742842137814
23378,0.353049993515,-0.11860075593
8553,-0.0785499960184,1.22236275673
622,0.255349993706,0.781318485737
9467,-0.0201999992132,0.0151336435229
5525,0.649250030518,-0.610960483551
256364,-0.131650000811,-0.126032710075
332,0.033649995923,1.12998402119
2058,0.221349999309,-0.574131369591
7849,-0.243650004268,0.658293843269
23244,0.407600015402,-0.0600478723645
7494,1.63704991341,0.6613073349
4836,0.182050004601,0.706789791584
23647,1.24010002613,0.383083373308
10617,-1.25115001202,0.693183541298
2184,0.197600007057,0.684683561325
5355,1.91264998913,0.363350272179
6659,-0.181499987841,0.0431229025126
7016,-1.30519998074,0.38651496172
90861,0.453049987555,0.760436952114
10670,0.400050014257,-0.193791180849
79071,-0.994400024414,-0.0194348432124
64746,0.162850007415,0.0797300636768
5366,-0.177249997854,-0.371174097061
11344,-0.381699979305,-1.41860353947
10013,-0.108649998903,0.837994933128
5829,0.464950025082,-0.524336755276
5257,0.54414999485,-1.46102905273
22794,0.789300024509,0.260327935219
9761,0.763949990273,1.08168971539
23326,0.674499988556,0.630554318428
10972,0.418000012636,-0.600659310818
10523,0.328900009394,-0.904578983784
79090,-0.840049982071,-1.01481723785
27032,0.493900001049,0.519616723061
9097,-0.101149991155,-0.986491203308
10513,0.3492000103,0.651750028133
1891,0.870400011539,0.306877911091
3066,0.493699997663,0.917348861694
9801,-0.324550002813,-0.0124420821667
1459,2.578799963,-0.143834844232
9703,0.990399956703,0.712322533131
10606,0.615949988365,-0.0625615417957
1017,-0.644400000572,-0.533312857151
9813,-0.0724499821663,0.0455288439989
7485,0.568850040436,-0.667680621147
2109,1.20554995537,0.0121580213308
23271,-0.675899982452,-0.493880003691
9915,-1.04359996319,-0.462860941887
9552,0.0306000113487,0.634533286095
93487,0.251699984074,-1.22720301151
2956,0.157649993896,0.750057458878
11065,-0.179849997163,1.18390715122
9653,1.06569993496,-0.944522500038
200081,0.192750006914,0.687483966351
3337,-0.0802499949932,0.556796491146
11073,-0.701599955559,-0.159222871065
23,-0.254249989986,-0.602015018463
5641,0.83520001173,-0.0845190286636
8720,0.122900001705,-0.441504389048
10782,-0.33884999156,-0.17832095921
25932,0.0558000206947,-1.09581077099
3028,0.0234000086784,0.127742931247
6804,-0.0491499975324,-0.340527892113
890,3.79295015335,0.339255601168
6390,0.986599981785,0.648604810238
4303,-0.261750012636,-0.506461381912
10953,-0.072650000453,0.270617097616
22889,-0.386649996042,-0.632438421249
3098,0.58235001564,0.110757887363
11044,-0.779000043869,-0.575391590595
8985,-0.750899970531,0.668516695499
66008,0.329650014639,0.0255418699235
9217,0.371450006962,-0.169700309634
701,-0.966949999332,-0.202884599566
6182,1.02760004997,1.17864716053
4860,0.832050025463,0.39537602663
7398,-0.0500500053167,0.617842257023
6117,0.666149973869,-0.726279556751
23588,-4.94929981232,-0.853517532349
949,-0.37420001626,-0.0341927520931
7168,1.11434996128,-0.478157401085
9375,0.896700024605,-0.566746771336
4927,0.261449992657,0.219679266214
2523,0.422800004482,-0.278927862644
58497,0.652999997139,-1.28209650517
6856,0.669800043106,-0.269431531429
26036,0.417799949646,-0.0380615219474
10206,-0.978500008583,0.0788066312671
25793,-0.0333000123501,0.600989580154
55556,0.128199994564,0.148189306259
3978,0.156700000167,0.443815380335
10681,0.355300009251,-0.0171526931226
3638,-0.0855499953032,0.565884113312
8349,-0.792450010777,-0.347474694252
6275,-0.638599991798,-0.859959959984
3895,0.758499979973,1.02725040913
392,0.323300004005,-0.0263949371874
9170,3.80935001373,-0.868270158768
80347,0.467700004578,0.617334425449
23300,0.753999948502,-0.580678641796
836,0.0895999968052,-0.00994692277163
11188,0.348300009966,0.178838819265
10898,0.0715000033379,0.512431740761
9276,1.05094993114,-0.188075378537
1647,0.081149995327,-0.450597822666
10285,-0.281200021505,-0.539750099182
23386,-1.20060002804,0.437392443419
3156,-0.29105001688,-0.641361534595
10237,0.455550014973,0.407943636179
7077,-0.414650022984,0.346988588572
11157,-0.973600029945,1.06521165371
22908,1.11205005646,-0.592536389828
10915,-0.0754500031471,1.01721060276
9897,-0.574599981308,0.834119975567
1759,0.207950010896,-0.312669724226
54541,-0.103600010276,0.618416488171
211,-0.122099995613,0.537065088749
5048,-0.031300008297,0.902330040932
84722,-0.992650032043,-1.49003875256
29890,-2.15864992142,-1.030408144
9868,0.680750012398,0.460755616426
873,1.14425003529,-0.59892821312
5580,0.992900013924,1.02648711205
3725,-0.838099956512,-0.350827693939
23585,0.335799992085,-0.339061081409
51097,-0.132899999619,-0.137537240982
1831,-0.400400012732,-1.092856884
7020,-0.60490000248,-0.0891510099173
55893,0.396549999714,0.212208375335
6944,-0.717750012875,0.681914627552
22883,1.53030002117,-0.966618180275
5601,0.161449998617,-0.693866550922
10775,1.18260002136,-0.430830746889
4780,-0.218549996614,-0.507864534855
10904,-0.3125,-0.229135721922
9917,-0.113549992442,-0.520132184029
1399,0.119400002062,-0.131350234151
24149,-0.158200010657,-0.128227367997
2222,-0.63330000639,0.263395965099
10131,-0.382650017738,-0.154380336404
2958,0.439999997616,-0.264589011669
9650,0.0846000015736,0.174754157662
7319,0.314850002527,0.963956356049
4817,-0.134949997067,-0.87251162529
9143,-0.28125,1.71796476841
10494,0.0610499978065,-0.743566215038
55324,0.113150000572,0.0391011722386
23149,0.505649983883,0.346969306469
9943,-0.51574999094,0.326042830944
6599,0.663100004196,-0.418858736753
51031,1.1155500412,0.253719419241
3566,-0.214300006628,0.450277924538
3815,3.77135014534,0.0511943772435
8624,-0.664999961853,0.925238311291
27346,-0.547349989414,0.683768212795
10489,-0.335049986839,0.586063563824
26128,-0.842649996281,0.347918897867
79921,0.0187499821186,0.122511669993
55746,1.60510003567,-0.224260419607
23636,0.438650012016,1.49321174622
10892,0.823199987411,0.329075068235
10652,0.725300014019,0.137410834432
11004,0.519749999046,0.969308257103
23530,0.0528500080109,-0.259249418974
8826,0.904949963093,0.582170248032
3308,-0.477400004864,-0.404039025307
7153,-0.452600002289,0.417796194553
11041,0.724399983883,0.180669471622
6342,0.76115000248,-0.962695419788
5883,0.152899980545,0.530764937401
10589,0.440500020981,-0.376317709684
5110,-0.250200003386,1.81119215488
4609,-0.0533500015736,-0.656270742416
5423,0.047900006175,0.801284015179
1070,-0.944249987602,0.995571374893
10051,-0.431899964809,1.17580521107
6603,0.183400005102,0.127193316817
9019,-0.360400021076,-0.208936318755
10969,-0.244899988174,0.742363929749
9797,1.06279993057,0.492947518826
4043,0.574499964714,-0.587629616261
9519,0.309699982405,0.594126999378
8480,0.549549996853,0.153221577406
983,-1.11424994469,0.115275382996
10559,0.0614000037313,-0.845071732998
8508,1.01250004768,-0.223361372948
9275,0.288199990988,0.12662345171
8914,-0.0244999974966,-0.552848875523
54505,1.48959994316,-0.0976999029517
6919,0.547800004482,-0.8582239151
2274,-0.692099988461,0.215183719993
2288,-1.36459994316,-1.12076973915
7994,-0.439999997616,-0.738665163517
4216,0.544999957085,-0.574055850506
7538,0.472449958324,0.241892755032
3628,0.215599983931,-0.594077348709
2037,-0.541400015354,-0.906345844269
2771,0.702300012112,0.360977202654
7264,0.205599993467,0.0506038069725
1786,-1.02869999409,-0.670970320702
5873,0.12760001421,-0.507083654404
780,0.314300000668,-0.15860915184
9926,-1.23439991474,-0.709922671318
8446,-0.784250020981,0.434771448374
7159,0.607499957085,0.367775470018
1026,0.277999997139,0.327265143394
7082,-0.0880500078201,-0.297576546669
10058,0.844699978828,-3.34267568588
10797,-0.0386999920011,0.891595184803
11230,0.360050022602,-0.444040983915
30836,0.628649950027,0.149307176471
27336,-0.463100016117,0.0926575064659
9918,-0.51709997654,-1.64283692837
79073,0.028599999845,-0.157672569156
9688,0.906650006771,0.840188860893
23659,-0.0521000027657,-1.09303975105
8396,0.936699986458,0.824060678482
23077,-0.641649961472,-0.566045999527
10857,0.0667499899864,0.468272775412
16,0.488299995661,-0.69922876358
2817,-0.980750024319,-0.425094664097
60528,0.569800019264,-0.0676409378648
5359,-1.33724999428,0.257752865553
1514,1.20860004425,-0.597479522228
1509,-0.247899994254,0.563316404819
9181,-0.891600012779,-1.21553981304
3611,-0.242049992085,-0.174323230982
4783,-0.021950000897,-0.63386464119
10123,-1.32910001278,-0.200671389699
8895,0.359849989414,-0.17592446506
9805,0.539650022984,-0.637008726597
4125,0.275849997997,0.400805175304
1635,0.422349989414,-0.746365845203
4154,-0.269100010395,0.675256729126
26292,-0.481700003147,-0.242243364453
5770,-0.379199981689,0.753721117973
25874,-0.395599991083,-0.674574553967
11319,0.759299993515,-0.822893798351
1153,0.177749991417,-2.41897559166
11098,0.0481500029564,0.163232535124
8974,-0.0587499961257,-0.230109170079
533,0.200650006533,-0.464977800846
823,0.712949991226,-0.589398860931
6812,-0.624249994755,0.523455023766
3693,0.671549975872,-0.176137119532
4891,0.0734000056982,-0.366694897413
10954,0.837650001049,-0.123239576817
5909,-0.00364997982979,0.54433619976
9221,0.518400013447,-0.590037286282
847,-0.443399995565,0.340963333845
11072,0.37475001812,-0.257107198238
10221,0.860650062561,0.325413197279
7158,0.207400009036,-0.514313876629
8678,0.768899977207,0.35578674078
11014,0.476750016212,-1.08086884022
1994,0.787949979305,0.0492461100221
3482,-0.841050028801,0.317335724831
25976,0.468149989843,0.505897939205
10491,-0.139400005341,-0.348907828331
51053,0.20560002327,-0.252397269011
9267,0.969649970531,0.76527941227
5547,0.604600012302,-2.31536531448
6597,0.216399997473,0.363419175148
5836,-0.0223000049591,-0.239031463861
6118,0.511950016022,0.699115216732
2961,-0.61210000515,1.23319077492
310,0.613799989223,0.118275925517
7296,1.48689997196,-0.8804038167
1429,-0.567550003529,0.0281452462077
2548,0.420350015163,0.687472939491
6499,0.312849998474,-0.961138486862
642,1.02630007267,0.129667177796
23076,0.720950007439,1.74436795712
10099,0.980800032616,1.17087042332
9817,0.354249984026,0.92068529129
9126,-0.115900009871,0.453733831644
3930,-0.25744998455,0.740300476551
10450,0.535799980164,0.0198942702264
54386,2.01609992981,-0.177794650197
664,0.638549983501,0.461843878031
596,-0.706849992275,0.325102299452
10180,-0.828649997711,-0.382798582315
1445,0.803849995136,0.471322655678
230,0.548849999905,-0.0943957567215
9246,0.0175999999046,-0.622419714928
5092,0.644749999046,-0.425722628832
23463,-0.354200005531,0.713743031025
10007,1.41540002823,-0.0856328010559
4925,0.558200001717,-1.27069234848
6251,-0.244249999523,0.908266603947
5782,-0.338250011206,1.05701220036
5106,-0.159050002694,-0.0705965682864
2673,0.758949995041,0.922647476196
644,-0.481499999762,-1.0071297884
6284,0.342350006104,0.245936557651
4605,0.441000014544,0.621054232121
6810,-0.0270499996841,-0.332180559635
54499,0.385949999094,0.896767437458
11007,-0.314950019121,1.34958863258
