rid,CPC011_A375_6H:BRD-K71289571-001-08-0:10,CPC011_A549_6H:BRD-K71289571-001-08-0:10,CPC011_A549_24H:BRD-K71289571-001-08-0:10,CPC011_HA1E_6H:BRD-K71289571-001-08-0:10,CPC011_HT29_6H:BRD-K71289571-001-08-0:10,CPC011_MCF7_6H:BRD-K71289571-001-08-0:10,CPC011_MCF7_24H:BRD-K71289571-001-08-0:10,CPC011_PC3_6H:BRD-K71289571-001-08-0:10,CPC011_PC3_24H:BRD-K71289571-001-08-0:10,CPC011_VCAP_6H:BRD-K71289571-001-08-0:10,CPC011_VCAP_24H:BRD-K71289571-001-08-0:10,CPC020_A375_6H:BRD-K71289571-001-04-9:10,CPC020_A549_6H:BRD-K71289571-001-04-9:10,CPC020_HA1E_6H:BRD-K71289571-001-04-9:10,CPC020_HCC515_6H:BRD-K71289571-001-04-9:10,CPC020_HT29_6H:BRD-K71289571-001-04-9:10,CPC020_MCF7_6H:BRD-K71289571-001-04-9:10,CPC020_MCF7_24H:BRD-K71289571-001-04-9:10,CPD002_MCF7_24H:BRD-K71289571-001-07-2:10,CPC020_PC3_6H:BRD-K71289571-001-04-9:10,CPC020_PC3_24H:BRD-K71289571-001-04-9:10,CPC020_VCAP_6H:BRD-K71289571-001-04-9:10,CPC020_VCAP_24H:BRD-K71289571-001-04-9:10,CPD002_MCF7_6H:BRD-K71289571-001-07-2:10,CPD002_PC3_6H:BRD-K71289571-001-07-2:10,CPD002_PC3_24H:BRD-K71289571-001-07-2:10
5720,-0.818866729736,-0.514548957348,0.0059338323772,0.732800006866,0.370245993137,0.169599995017,0.731699943542,0.406574040651,0.247623980045,0.785350799561,1.38761019707,-0.102782994509,-0.867449998856,0.0167929530144,-0.50150001049,-0.345353722572,0.413845211267,0.44137480855,1.54270815849,-0.6378890872,-0.609029471874,-0.673659861088,-0.0308492798358,1.35383701324,0.635227680206,0.330812752247
466,-2.07433319092,-0.215771302581,-0.483864754438,-0.756699979305,-0.137507051229,0.523900032043,0.790650010109,-0.0708723366261,-0.783067941666,0.606372535229,0.86571598053,-0.325286209583,-0.740499973297,-0.653768002987,-0.0879999995232,0.298263013363,-1.06411194801,0.0770833194256,1.08568692207,-0.253500282764,0.512078404427,-1.11825454235,-0.0842089802027,0.906815230846,-0.143424421549,-0.0535028278828
6009,-3.67153334618,0.138482809067,-0.708744049072,0.21384999156,1.00166630745,-0.699400007725,-0.0546500049531,-0.192527711391,0.259276598692,-0.573068380356,-0.216823607683,0.767050743103,-0.847000002861,1.40624153614,0.91890001297,0.821785569191,0.0542011708021,-0.0271348133683,-0.427371025085,-0.193998664618,0.314429223537,-0.648195028305,0.540816664696,0.658430099487,0.344079405069,0.255381315947
2309,0.976833343506,0.257334440947,0.20768097043,-0.864699959755,-0.542995810509,-0.386800020933,0.296400010586,0.877955913544,0.778105318546,0.570119142532,-0.317059516907,-1.09927535057,-0.0941999852657,-0.335690736771,0.330650001764,-0.353953361511,-0.626069128513,-0.0331089422107,-0.254752993584,1.15874576569,0.0521904118359,-0.0160558894277,-1.14996123314,0.360556781292,1.81851816177,0.695043444633
387,-0.420900017023,-0.557255208492,-0.465724080801,-0.582650005817,-0.155344486237,-1.0556499958,0.86185002327,-0.517231941223,0.0973049402237,-0.35789680481,-0.0432961434126,0.494802087545,-0.603500008583,-2.12808918953,1.4754999876,0.224436208606,0.156525582075,-0.538161277771,0.219403982162,-1.02277290821,-0.421049892902,-1.14175403118,0.573069036007,1.46081793308,0.0553436949849,-1.2136605978
3553,1.28960001469,0.328502058983,-0.0702489316463,0.0562500059605,0.0892447084188,0.658949971199,0.524349987507,2.90381789207,3.63279914856,-0.25607585907,0.470165133476,1.58868587017,1.09144997597,1.19734573364,-0.136900007725,0.282906651497,-0.452825367451,0.076895147562,-0.355478107929,1.18601191044,1.87430155277,0.2557092309,0.0528954565525,-1.32686138153,0.707730650902,3.33055090904
427,0.434866666794,-0.558450579643,1.0805028677,-0.0661499947309,-0.347281754017,-0.0371499955654,-0.36179998517,-0.16654291749,0.14773362875,-0.108746215701,0.288699954748,-0.386681079865,1.1549500227,0.12666991353,0.286650002003,-1.41760158539,0.794808745384,-0.297887116671,-0.14769256115,-1.04073965549,0.374054223299,-0.462260425091,0.666864931583,0.16984847188,-0.621754944324,-1.56041622162
5898,-1.07906675339,-1.02616178989,0.10577505827,0.172650009394,0.454713076353,0.359349995852,0.613499999046,0.573939919472,0.891418397427,-3.21012043953,-0.411190003157,-0.384211719036,0.915700018406,-0.986328125,0.186499997973,0.0586844533682,-1.64979147911,-0.744804143906,-0.0929628238082,-0.4115216434,1.25604987144,0.204775303602,0.388191312551,-1.59407639503,-0.298990368843,0.442846655846
23365,-0.35763335228,0.0567172467709,-0.507960736752,-0.387549996376,-0.236230328679,-1.54305005074,-0.320349991322,-0.336105585098,-0.525243461132,-0.855892658234,-1.00990629196,0.502800941467,0.649650037289,-0.633609890938,0.0117999911308,-0.0826496034861,-0.229190826416,0.944366633892,-1.15276920795,-0.422432601452,-0.166381344199,-0.336668878794,0.45447999239,-1.55922305584,0.560984492302,-0.969474673271
6657,1.76753330231,0.625839412212,-0.383467555046,0.0401000007987,-0.555533111095,0.647799968719,0.883000016212,0.211037740111,-0.0795758664608,-0.744578480721,-0.516350507736,1.21814966202,0.604100048542,1.66870748997,0.336600005627,-0.508507728577,0.259662955999,0.34083712101,-0.200190916657,0.7077267766,-0.23145596683,1.45130634308,-0.638166427612,-1.78622484207,-1.15100002289,0.62614440918
5054,0.432066679001,-0.737508893013,0.441854208708,-0.658649981022,-0.357566207647,0.413800001144,-0.42484998703,0.381594538689,-0.853494286537,-0.245994091034,-0.195996165276,0.563085138798,-1.58104991913,-1.80974292755,-1.65740001202,-0.686387896538,0.272859036922,0.477607250214,0.272940218449,0.210968330503,0.17188668251,-0.821373522282,0.152428507805,0.853300213814,0.520990490913,-1.03577327728
3108,0.087133333087,-1.16271924973,-0.102076523006,-0.178700000048,0.0343822464347,-0.460599988699,0.406549990177,-0.164814636111,-0.0293079987168,-0.596312403679,-0.739174902439,0.25209107995,0.0558000057936,1.1106659174,-0.317550003529,-0.735206782818,-2.75531888008,-1.05859971046,-0.139504253864,-0.43930709362,-0.278782486916,0.494539827108,-0.629725575447,0.506329417229,0.188218012452,-0.237705186009
1950,0.753566682339,0.853467702866,-0.114840209484,0.749800026417,0.0887029096484,1.09665000439,-0.700349986553,-1.12407064438,-0.0802739262581,-1.06821072102,-0.390674173832,-0.2058455199,0.248550027609,0.842477440834,-0.25799998641,-0.682308077812,0.457599520683,-0.964547991753,0.973567306995,0.0476601459086,-1.15126538277,1.48963725567,-0.180970340967,-0.297509163618,-0.937730491161,-0.461065292358
351,-3.17973351479,-0.378250926733,-0.365879237652,0.178000018001,-0.56068199873,0.340000003576,-1.12674999237,-0.256944328547,-1.16143500805,0.187138199806,-0.289908796549,-0.312905192375,0.513700008392,0.86036169529,0.192749992013,0.237453639507,-0.159699589014,0.0422787666321,0.422735601664,0.582333743572,0.404584288597,-0.154497891665,-0.237149253488,-0.102706320584,0.203967660666,0.832717895508
4846,1.34319996834,-0.279800474644,0.674562990665,0.210299998522,0.317311495543,-0.00709999725223,0.510599970818,0.149899989367,-0.0854946821928,2.33421683311,-0.973025560379,-0.0707021653652,0.344650030136,2.60545229912,0.058950021863,0.26048886776,-0.24690502882,-0.581127822399,-1.72355377674,-0.222814694047,0.326642155647,0.147671818733,0.0391667559743,0.690382003784,0.177165850997,0.388282835484
1452,0.285700023174,-1.86844801903,0.0891679897904,-1.36345005035,0.176535815001,0.359750002623,-0.409600019455,-0.683525919914,-0.18233576417,-1.3404648304,-1.01364350319,0.278727442026,0.18995000422,-0.647414147854,0.668949961662,-0.203459620476,0.229484319687,-0.506575107574,-0.221973180771,-0.278340607882,-0.210746616125,-0.175886794925,-0.469405412674,0.604944288731,0.487630367279,-0.601493835449
4776,0.600266695023,0.938857197762,-0.216094568372,0.591300010681,-0.177503272891,1.40995001793,0.54549998045,-0.326129317284,-0.782920002937,-0.751710176468,-0.432653665543,0.203612267971,0.797450006008,3.26602268219,0.505850017071,-0.220535695553,-0.457680165768,-0.248362958431,-0.415182650089,0.931924521923,-0.358218431473,0.208129763603,-0.297603935003,-1.54390192032,-0.677818953991,0.217603862286
6908,-0.180133357644,-0.373641043901,1.27166938782,0.0884000062943,-0.0658520907164,-0.757300019264,0.080349996686,-0.200852170587,0.656994640827,0.408967524767,0.968607723713,-0.173588201404,-0.239049971104,-0.674085915089,-0.430049985647,0.368548154831,0.273162484169,0.0880064591765,-0.258713781834,-0.225608766079,-0.0934407487512,-0.61859703064,0.213482379913,1.8628937006,0.984427452087,0.149793297052
672,0.0164666771889,-0.303616881371,-0.342246174812,0.00709998607635,-0.707946181297,-0.075100004673,-0.405799984932,-0.509912192822,0.425878971815,-0.596657037735,0.156926900148,-0.872270941734,0.0581499971449,-1.08028626442,-0.91069996357,-0.677753150463,-0.189998626709,0.968892991543,0.462177425623,-0.69699293375,0.269335865974,-0.375582307577,0.42539358139,1.04292273521,-0.144491553307,-0.151269257069
5710,0.456033349037,-0.0282795727253,-0.478612035513,0.327149987221,0.088602758944,-1.34414994717,-3.58459997177,0.0819820016623,-0.896869897842,0.403993904591,0.278866589069,0.0622338280082,-0.57564997673,-0.417058557272,1.87989997864,0.932995557785,-0.218011036515,-0.594874024391,-0.810072243214,-0.474189430475,-0.891700744629,-0.456614613533,0.237066522241,-0.0700390636921,0.0872873365879,-0.209760218859
2115,0.391800045967,-0.608110904694,-0.281034350395,-0.307300001383,0.0411231704056,1.00365006924,0.394799977541,0.215422078967,-2.20504641533,-0.280020713806,-0.408938646317,0.0422121286392,0.168399959803,1.27698421478,0.146599978209,-0.271480560303,-0.224789559841,-0.260898709297,-0.191904008389,-2.06586790085,-0.583928346634,0.255168110132,-0.522660851479,-1.54743540287,-0.56772339344,-1.3795722723
7015,0.495133340359,0.637840986252,-0.199586093426,0.437099993229,-0.455555915833,1.10074996948,0.920699954033,0.461872518063,0.469951659441,-0.0771676301956,-0.700976014137,-0.0252175033092,0.755900025368,1.58448767662,-0.417849987745,-0.756282567978,0.162086188793,-0.412116706371,0.312896966934,1.30062270164,0.238744080067,0.34602573514,-0.379105716944,-1.12219238281,1.25288319588,0.60741853714
8726,0.143266677856,0.142603129148,-0.184414476156,-0.477200001478,-0.462241172791,-0.507849991322,0.294250011444,0.3004963696,-0.0272303521633,0.420521974564,-0.039143897593,0.442894101143,0.0128000080585,-0.534343004227,0.382450014353,1.22446417809,0.0624894276261,0.500652432442,0.0101892650127,-0.190364822745,0.63627320528,-0.224525719881,-0.0364449545741,0.554018378258,0.190287813544,-0.615013718605
2185,0.537900030613,0.452524542809,-0.503338634968,0.332699984312,-0.173852667212,-0.074100010097,0.400849997997,0.586719870567,0.61900806427,-0.895668625832,-0.584367275238,0.00149387121201,0.445899993181,1.61133933067,0.24905000627,-0.449097752571,-0.237631350756,-0.291566848755,-0.452464342117,0.675421059132,0.28371360898,0.540117263794,-0.024644093588,-1.50386106968,-1.23933255672,1.3156414032
