rid,CPC019_A375_6H:BRD-K18794550-001-01-5:10,CPC019_A549_6H:BRD-K18794550-001-01-5:10,CPC019_HA1E_6H:BRD-K18794550-001-01-5:10,CPC019_HCC515_6H:BRD-K18794550-001-01-5:10,CPC019_HEPG2_6H:BRD-K18794550-001-01-5:10,CPC019_HT29_6H:BRD-K18794550-001-01-5:10,CPC019_MCF7_6H:BRD-K18794550-001-01-5:10,CPC019_MCF7_24H:BRD-K18794550-001-01-5:10,CPC019_PC3_6H:BRD-K18794550-001-01-5:10,CPC019_PC3_24H:BRD-K18794550-001-01-5:10,CPC019_VCAP_6H:BRD-K18794550-001-01-5:10,CPC019_VCAP_24H:BRD-K18794550-001-01-5:10,MUC.CP003_MCF7_6H:BRD-K18794550-001-01-5:9.9968,MUC.CP003_MCF7_6H:BRD-K18794550-001-01-5:3.3323,MUC.CP003_MCF7_6H:BRD-K18794550-001-01-5:1.1108,MUC.CP003_MCF7_6H:BRD-K18794550-001-01-5:0.3703,MUC.CP003_MCF7_24H:BRD-K18794550-001-01-5:9.9968,MUC.CP003_MCF7_24H:BRD-K18794550-001-01-5:3.3323,MUC.CP003_MCF7_24H:BRD-K18794550-001-01-5:1.1108,MUC.CP003_MCF7_24H:BRD-K18794550-001-01-5:0.3703,MUC.CP003_NKDBA_24H:BRD-K18794550-001-01-5:9.9968,MUC.CP003_NKDBA_24H:BRD-K18794550-001-01-5:3.3323,MUC.CP003_NKDBA_24H:BRD-K18794550-001-01-5:1.1108,MUC.CP003_NKDBA_24H:BRD-K18794550-001-01-5:0.3703
5720,-0.555814445019,0.0210999846458,-0.167804941535,0.382966697216,0.101999998093,-0.360292941332,0.77373200655,0.533353507519,0.533850491047,-3.80494260788,1.16870868206,0.368991434574,-0.818446040154,-0.264906108379,-1.39206063747,-0.262233346701,-0.593223035336,0.239660665393,0.46370396018,-0.322500735521,-0.980849981308,0.031199991703,-0.841949999332,-0.376700013876
466,0.0876897424459,1.12985002995,0.195626616478,0.543333351612,1.55425000191,-0.229942858219,0.881359994411,-1.69588446617,0.0919031500816,0.281595498323,0.636251330376,-0.794114768505,-0.0844462662935,-0.138333201408,-1.18756651878,-0.0602333322167,0.458131670952,0.825446069241,0.758862793446,0.724727451801,-0.249700009823,0.505400002003,-0.438199996948,0.130199998617
6009,-0.351068079472,-0.315649986267,-0.663256645203,-0.182200014591,-0.230200007558,-0.338158369064,0.4493303895,1.08340096474,0.166087299585,-4.19705820084,0.619604110718,0.136873334646,-0.501711785793,0.439189076424,-0.0981116890907,-0.682066679001,0.595987141132,0.119872331619,0.0263729169965,0.288110494614,0.509000003338,0.987249970436,0.552599966526,0.753700017929
2309,0.0997060239315,-0.264750033617,0.551600396633,-0.0322666689754,0.575100004673,-0.116416990757,-0.710666775703,0.173311680555,-0.64922785759,-0.131050497293,-0.341746628284,-0.427898138762,-0.441973537207,0.248924031854,-1.41024279594,-0.428066670895,-0.0645000636578,-0.278196334839,-0.148559823632,-0.305866509676,-0.933200001717,0.237450003624,-0.769999980927,-0.099849998951
387,0.205907419324,-0.714500010014,-0.0113866999745,-0.703900039196,-1.1794500351,-0.429409384727,-0.631195425987,1.63099420071,0.129839941859,-2.1561460495,0.239457681775,1.78984463215,-0.774820744991,-0.414843529463,-0.30894356966,-0.440566658974,-0.411785155535,-0.025954477489,-0.0464895889163,0.305874288082,0.0368000045419,0.500599980354,0.198300004005,0.289900004864
3553,-0.279972493649,-0.400649994612,-0.852732419968,-0.00810000300407,0.632100045681,0.657034873962,0.680094182491,-0.364780694246,-1.01820254326,0.718243598938,-0.967043042183,0.612723112106,0.26538553834,-0.982446074486,0.0025936216116,-0.265833348036,-0.22259041667,-0.669054627419,-0.354244709015,-0.748858451843,0.552100002766,-0.743499994278,0.490450024605,-0.337999999523
427,0.959118783474,0.104799985886,-0.508440494537,0.33123332262,-0.46724998951,0.255151480436,0.700567901134,-0.742244005203,0.35696837306,1.76054883003,-0.197204887867,0.764702439308,-0.380929559469,-0.385626196861,0.584480583668,0.0103666484356,-0.137685775757,-0.215345427394,-0.212493985891,0.216259360313,-0.653549969196,-0.120699986815,-1.28104996681,-0.785149991512
5898,0.554238140583,-0.515349984169,-0.779436051846,0.310400038958,-0.0809499919415,-0.1087898314,0.313405036926,-3.51918053627,-0.0349505767226,-0.198739767075,0.444272279739,-1.22515749931,-0.174180746078,-1.05745100975,-0.0129733681679,0.166266664863,0.229713827372,0.0276951640844,-0.304257243872,0.17796857655,0.136449992657,0.274250000715,-0.37705001235,-0.43774998188
23365,0.163513839245,0.927600026131,-0.257264852524,-0.417499959469,-0.475549995899,-0.357423722744,-0.637622356415,1.25885248184,-0.229714334011,1.44982147217,-0.00354950129986,0.697595179081,-0.741450428963,-0.844762980938,-0.152022659779,0.0219999551773,-0.123234808445,-0.0647653192282,-0.583877623081,0.918091535568,0.742049992085,0.675599992275,-0.278800010681,0.895249962807
6657,0.370844602585,-0.0813499689102,-0.488472789526,0.838266730309,2.26749992371,0.906112015247,0.289710104465,-0.148130387068,-0.0765446871519,0.789642214775,-0.834458947182,0.976848483086,-0.0973316431046,-0.408021748066,-0.732086062431,-0.329100012779,-0.147564873099,-0.877313971519,-1.10240900517,-1.03731191158,0.581499993801,-0.855899989605,0.000600010156631,-0.347150027752
