rid,DOS060_A549_24H:BRD-K21246672-001-01-4:5,DOS060_HT29_24H:BRD-K21246672-001-01-4:5
5720,1.23215007782,-0.0497500002384
466,0.0748999863863,0.503499984741
6009,1.25995004177,0.141349971294
2309,-0.188400000334,0.272650003433
387,1.14245009422,0.546949982643
3553,-0.267350018024,-0.52974998951
427,0.526950001717,0.397900015116
5898,-0.366649985313,-1.98734998703
23365,-4.76424980164,0.263600021601
6657,-0.160099998116,-0.938899993896
5054,0.188099995255,0.160199999809
3108,-0.481299996376,-1.05235004425
1950,-0.956000030041,-0.85590004921
351,-0.401050001383,0.993199944496
4846,-0.0775499939919,0.0116499960423
1452,1.17779994011,1.26390004158
4776,-1.5936999321,-0.693500041962
6908,-0.239549994469,-0.135399997234
672,0.741649985313,0.543500006199
5710,0.401950001717,0.00185000896454
2115,1.38475012779,0.174300014973
7015,-0.0124499797821,-0.662400007248
8726,2.5258500576,-0.472200036049
2185,-0.723550021648,-0.783500015736
3315,0.724900007248,-0.638050019741
5289,0.460500001907,0.63244998455
868,-0.931900024414,0.0786999762058
1677,-0.493899971247,0.062550008297
7043,-0.727949976921,-1.05690002441
5613,1.14155006409,0.0480999946594
595,-0.897849977016,-0.367199987173
4793,0.201350003481,-0.686599969864
2736,-1.10559999943,0.0747999846935
5290,-0.617650032043,-1.25795006752
6194,-2.24845004082,-0.241600006819
1676,0.399199992418,-0.670099973679
23512,-0.648100018501,0.247050002217
148022,-0.433749973774,0.241700008512
1906,0.978850007057,0.0295000076294
8878,-0.0989000201225,-0.03860001266
3091,0.458200007677,-0.993650019169
5743,-0.676149964333,0.294849991798
5321,-3.69280004501,0.0863000005484
4144,-0.0514000020921,0.0948000103235
1981,0.406350016594,-3.9280500412
695,1.36199998856,0.31559997797
10398,-0.238549992442,0.289649993181
5708,-0.75024998188,0.607200026512
1213,-0.0613000094891,-0.894050002098
226,0.0439500212669,-0.0596500039101
6777,-0.175300002098,-0.416649997234
2113,-0.438549995422,-0.880349993706
3329,0.304800003767,0.369450032711
1050,-0.773149967194,-0.611050009727
9491,0.285199999809,-0.065750002861
22926,0.331200003624,0.324000000954
5899,-0.402649998665,-0.555999994278
5467,-0.413299977779,-0.887199997902
6774,-0.867300033569,-1.02104997635
1788,-0.167600005865,-0.0549000203609
5921,-0.0365000367165,0.752950012684
5721,0.219599992037,-0.0898000001907
2263,-0.127950012684,1.69340002537
808,-0.614400029182,0.686900019646
30001,0.53385001421,1.69249999523
348,-1.24175000191,1.14740002155
30849,0.386449992657,-0.0606000013649
1454,-0.0689000040293,0.271499991417
6500,-0.229400008917,0.649100065231
5627,0.244499996305,-1.04179990292
5715,0.143650025129,-1.16215002537
4791,-1.27660000324,-0.775950014591
56924,0.186550021172,0.225900024176
2690,-0.516700029373,0.598200023174
1019,-1.44745004177,0.848500013351
51422,-0.871349990368,-0.0451500415802
5788,-0.931150019169,-0.293849974871
6709,0.139200001955,1.15910005569
1277,-1.63339996338,0.868749976158
993,-1.61360001564,0.090499997139
7157,0.727850019932,-0.84625005722
1958,-0.799800038338,0.295000016689
4582,-1.12575006485,0.0829499959946
9212,0.44549998641,0.318399965763
8440,-0.313749998808,0.310450017452
6790,1.23884999752,2.47094988823
8851,-0.8708999753,-0.0384999997914
2534,-2.39289999008,0.217649996281
4893,-1.58839988708,0.702250003815
665,1.02470004559,0.558699965477
4313,-0.341199994087,0.132550001144
1022,-0.0249000191689,-0.212249994278
5880,0.260899990797,0.980700016022
3162,0.679849982262,-0.0185000002384
1282,0.126650005579,0.850650012493
3383,-1.14154994488,0.155149996281
727,0.971750020981,-0.949200034142
4792,0.982850015163,-0.325800001621
4794,-0.727399945259,-0.193349987268
902,0.0706499963999,-0.843349993229
8091,-0.0765999853611,-0.413049995899
3486,1.52490007877,1.20194995403
10818,-0.625800013542,-1.1753000021
3454,-0.440249979496,-0.527300000191
4282,-1.1793500185,0.0
1605,-0.301649987698,-0.369300037622
10644,-0.649449944496,-0.092099994421
2065,0.254199981689,0.410849988461
8321,-0.437900006771,-0.308099985123
8503,-0.268549978733,0.265550017357
7027,1.14424991608,1.09039998055
6850,-1.24530005455,0.384200006723
1978,1.33319997787,0.643149971962
896,0.174300000072,0.71179997921
5777,-0.775149941444,-0.388000011444
1846,0.0895000100136,-1.09894990921
5925,0.111800014973,0.231949999928
142,1.25989997387,0.289750009775
1021,-0.850300014019,-0.599599957466
5699,-0.0188499987125,-0.719449996948
8061,-0.197650015354,0.68155002594
1870,0.0346499979496,0.143850013614
1398,0.742699980736,-0.334049999714
