rid,DOS029_VCAP_24H:BRD-K90734091-001-01-8:5.13,DOS033_A375_24H:BRD-K90734091-001-01-8:5.13,DOS033_A549_24H:BRD-K90734091-001-01-8:5.13,DOS033_HT29_24H:BRD-K90734091-001-01-8:5.13,DOS033_MCF7_24H:BRD-K90734091-001-01-8:5.13,DOS033_PC3_24H:BRD-K90734091-001-01-8:5.13,DOSBIO001_A375_24H:BRD-K90734091:10.2635,DOSBIO001_A549_24H:BRD-K90734091:10.2635,DOSBIO001_HT29_24H:BRD-K90734091:10.2635,DOSBIO001_MCF7_24H:BRD-K90734091:10.2635,DOSBIO001_PC3_24H:BRD-K90734091:10.2635,DOSBIO001_NEU_24H:BRD-K90734091:10.2635,DOSBIO001_NPC_24H:BRD-K90734091:10.2635
5720,-0.397243767977,-0.506171345711,0.28844422102,-0.416306525469,0.906401157379,0.513990402222,-0.178925156593,-0.22331815958,0.278680145741,1.17199707031,1.00506126881,1.2446000576,0.924266695976
466,-0.554486036301,-0.124928712845,-0.539626538754,-0.601107060909,-0.802208960056,-0.950972080231,0.447167426348,1.1880992651,-1.38397014141,0.972023069859,-0.221146255732,-0.583999991417,0.841400027275
6009,-0.646904230118,1.4888869524,-0.502921283245,-0.32211714983,0.452631950378,-0.166224211454,0.498267710209,-0.154088050127,0.741803646088,1.05767357349,0.662857055664,0.72135001421,0.576099991798
2309,-0.568969964981,0.0644858926535,-0.0545008927584,-0.444301575422,-0.196316406131,0.134711071849,0.172191262245,0.103859134018,-1.14488828182,0.551446318626,0.850991010666,0.154949992895,0.168366670609
387,-0.87182533741,-0.40775129199,-0.448412775993,-1.17233204842,-1.26941812038,-0.145347818732,-0.346645116806,0.748564720154,-1.63582026958,0.503876447678,0.788583636284,0.17919999361,0.491300046444
3553,1.12512636185,-0.195762500167,1.43948638439,1.45588493347,0.132670521736,0.0870559215546,-0.0440198034048,-0.809121727943,0.616172015667,1.6270955801,0.0386145412922,-0.865249991417,-0.147100016475
427,0.649117708206,0.385826051235,-0.66113191843,0.306931495667,0.117268048227,-0.397913366556,1.00988519192,-1.0920445919,-0.626631975174,-1.15963590145,-0.595423281193,-0.855499982834,0.787233352661
5898,-0.570771217346,-0.558969199657,-1.62153542042,-0.824013292789,1.36845576763,0.207543969154,0.0766388103366,-0.107240587473,-0.0582593530416,0.121231108904,0.52022087574,-0.654649972916,-0.190133318305
23365,0.173564761877,0.131163984537,-0.0123145580292,-0.446434736252,0.101705878973,-0.325769424438,-0.0762116089463,0.961853563786,-1.31470131874,-0.676129221916,0.21423985064,0.0696000158787,-0.230166703463
6657,1.56658327579,-0.197395384312,1.03004932404,2.06329154968,-0.0437196940184,-0.426661401987,0.633270263672,-0.275885611773,1.63029122353,-0.611941099167,-0.651240944862,0.421549975872,-0.142000004649
5054,-0.113059058785,0.494886040688,0.131138533354,0.455677568913,1.16161203384,-0.0289012491703,2.31888651848,0.261822462082,-0.331281602383,-0.865125775337,-0.0287843048573,-0.269800007343,0.384900003672
3108,-0.589553117752,-1.2075741291,-0.300321519375,-0.581530153751,0.703276336193,-0.615997314453,-0.204392969608,0.333111733198,0.421452045441,-0.331238538027,-0.617084383965,-1.51335000992,-0.591733336449
1950,1.29547119141,0.0601573698223,1.51420843601,1.1047321558,0.00547830760479,-0.0905155241489,0.399996221066,-0.754761755466,1.70724892616,-0.567197442055,0.181972056627,-0.841400027275,0.395799994469
