rid,CPD003_MCF7_6H:BRD-K36756879-003-07-9:10,CPD003_MCF7_24H:BRD-K36756879-003-07-9:10,CPD003_PC3_6H:BRD-K36756879-003-07-9:10,CPD003_PC3_24H:BRD-K36756879-003-07-9:10
5720,0.343700021505,1.407782197,1.14881944656,1.05959999561
466,-0.393150001764,-0.244831651449,0.285120308399,-0.0671000182629
6009,0.334700018167,-0.244885027409,-0.944194674492,-0.665349960327
2309,0.648499965668,0.67046546936,-0.58715492487,0.691149950027
387,0.288399994373,-0.518904089928,0.0926832258701,0.0463999956846
3553,0.32824999094,-0.1862642169,0.212529376149,3.25909996033
427,-0.361949980259,0.402146607637,0.650725603104,1.69110000134
5898,-0.223149999976,-1.00741159916,-0.810236573219,-1.22599995136
23365,-0.360899984837,-0.134564295411,-0.0155453979969,-0.34604999423
6657,1.03429996967,0.26505625248,0.40628528595,-0.666450023651
5054,-0.162799984217,0.0968188717961,-1.16670370102,1.68665003777
3108,0.429450005293,-0.849159836769,2.84921383858,0.0248999893665
1950,1.10800004005,0.908359527588,0.296565026045,0.0744000002742
351,0.152999997139,0.843582987785,-1.47197842598,0.197699993849
4846,-0.288399994373,-0.256115317345,-1.45020890236,-0.638650000095
1452,0.0101500153542,-0.700913310051,-0.75271654129,-0.211149990559
4776,0.0327499955893,0.355216056108,-0.629168152809,-0.259999990463
6908,-0.255400002003,-0.479169219732,0.582460343838,0.502650022507
672,0.125950008631,-0.390988439322,-0.52295511961,1.0298500061
5710,-0.112450003624,-0.394937485456,-0.339277982712,1.02880001068
2115,-0.556100010872,0.00731549784541,-0.395176231861,-0.863499999046
7015,2.15184998512,0.654484689236,-0.911404252052,-1.25189995766
8726,-0.491150021553,-1.44892990589,0.529284000397,-0.0638499930501
2185,0.601300001144,0.0654022619128,0.427299410105,-0.494749963284
3315,0.250250011683,-0.0922044292092,-0.471658825874,-0.0876999944448
5289,0.353749990463,0.983948528767,-0.0545979440212,-0.342599987984
868,0.474900007248,-0.141486212611,2.18712449074,1.2568500042
1677,0.0486999899149,-0.401454389095,-0.176733911037,-0.841400027275
7043,0.2132999897,-0.960409641266,-0.302714914083,-0.676750004292
5613,0.0250999927521,1.20866024494,0.0374566167593,0.142599999905
595,-0.0570999979973,-0.197522103786,-0.806470513344,-0.379649996758
4793,0.263099998236,0.267384141684,2.65041184425,0.39494997263
2736,-0.12065000087,-0.6555159688,0.100451365113,-1.13125002384
5290,-0.238800004125,0.0408894754946,1.64684593678,-0.825800001621
6194,-0.18259999156,0.547504425049,0.033408164978,0.1617000103
1676,0.613099992275,-0.110942840576,-0.509422719479,-0.743600010872
23512,0.96130001545,-0.561312437057,-0.796808242798,-1.48030006886
148022,0.505400002003,-0.789689421654,-0.156942516565,-0.634500026703
1906,0.720449984074,0.0413309559226,-0.208707779646,-1.31965005398
8878,-0.168850004673,0.802150607109,-0.282850503922,0.749300003052
3091,0.273050010204,0.809059560299,-1.10920798779,0.310949981213
5743,-0.265049993992,0.217759594321,5.58254766464,1.14660000801
5321,-0.115199998021,0.233738467097,-0.178336441517,-0.185699999332
4144,-0.527700006962,-0.623175263405,-1.2515809536,0.310349971056
1981,-0.180150002241,-2.01284193993,-1.14952898026,-1.17830002308
695,-0.183250010014,0.0941392928362,-0.689777493477,-0.388000011444
10398,0.0707499980927,0.358265787363,-0.223818302155,0.020499996841
5708,-0.122250005603,-0.601599514484,-0.22840872407,-5.21484994888
1213,-1.24100005627,-0.657159507275,-0.325520455837,-0.0797000005841
226,-0.801900029182,-0.240583300591,-0.609054923058,-0.18900001049
6777,-0.957349956036,-0.33733767271,-0.0266389995813,0.0179499983788
2113,0.414349973202,0.209686517715,-1.5739659071,-1.42075002193
3329,-0.0163500010967,-0.744650244713,-0.598263263702,-0.277599990368
1050,-0.111000001431,-1.66158699989,-0.415353178978,0.165450006723
9491,0.272300004959,-0.182643100619,-1.00534439087,0.836399972439
22926,-0.3424000144,-0.457761257887,-1.65887904167,0.0177499949932
5899,0.082800000906,-0.394458711147,1.40491628647,0.120049998164
5467,1.20670008659,-0.270836174488,0.930177867413,0.735650002956
6774,0.027999997139,-0.946678340435,-0.146221250296,-0.646149992943
1788,-0.0347000062466,-0.153235182166,-0.0609834641218,-1.12664997578
5921,-0.0681999996305,0.122138850391,0.0635445415974,1.04954993725
5721,-2.25589990616,0.74524974823,1.04998636246,0.588100016117
2263,1.23489999771,0.52495098114,-0.593563258648,-0.498300015926
808,0.465449988842,-0.8147174716,-0.361459076405,0.0796499922872
30001,-0.028599999845,-1.0735834837,-0.162507236004,1.03135001659
348,0.273699998856,0.413527309895,0.446382641792,1.10669994354
30849,1.80554997921,-0.742092132568,0.332859158516,1.85249996185
1454,0.00110000371933,0.552327334881,0.648201644421,0.648150026798
