rid,PRISM001_A375_6H:BRD-K80723690-001-01-8:5,PRISM001_A375_24H:BRD-K80723690-001-01-8:5,PRISM001_MCF7_6H:BRD-K80723690-001-01-8:5,PRISM001_MCF7_24H:BRD-K80723690-001-01-8:5,PRISM001_PC3_6H:BRD-K80723690-001-01-8:5,PRISM001_PC3_24H:BRD-K80723690-001-01-8:5
5720,-0.309619694948,-0.604526162148,0.29285416007,-0.548853814602,-0.903198480606,-0.752870440483
466,-0.594509899616,-0.326855897903,0.664406657219,0.847577571869,-0.735984444618,-0.460176557302
6009,-1.56086432934,-0.394968569279,-0.0860450640321,0.605392813683,-0.662810385227,0.538266718388
2309,0.537583708763,0.171147584915,-0.378704935312,0.0480228960514,0.427840918303,0.0152917057276
387,-1.07872164249,-0.462281256914,0.130270168185,-0.0322359390557,0.420818835497,0.490031242371
3553,0.456036686897,-0.519532442093,-0.458018362522,0.79158949852,0.0779400095344,-0.202775299549
427,-0.540635585785,0.347012907267,0.548335433006,1.06544077396,-0.340395390987,0.566894590855
5898,-0.813876032829,-0.59477186203,0.396490603685,0.600988566875,-1.0510699749,-1.04226994514
23365,0.0612343996763,0.527415275574,0.35331851244,-0.735208332539,-0.092356055975,0.801901400089
6657,0.254411876202,-0.0932742208242,-1.12789952755,0.0702855885029,0.422718942165,-1.27471208572
5054,0.331008970737,-0.315281510353,-0.00517868250608,-0.0732365101576,0.879369258881,0.762963891029
3108,-0.244242727757,-0.214353844523,0.530597627163,-0.756382167339,-2.41133999825,-0.79968214035
1950,0.450826376677,0.2156239748,-0.581345915794,0.713335692883,-0.865612387657,0.0596986860037
351,-0.722006380558,0.718572616577,-0.819236755371,-1.93798840046,1.05989551544,0.416206240654
4846,0.870221614838,0.295591533184,0.661393940449,-0.188076019287,-0.0711792185903,0.638918459415
1452,-0.252669811249,-0.246944800019,0.345963656902,-0.321991413832,-0.188057884574,-0.0799429118633
4776,0.313296675682,0.179935216904,-0.918963193893,0.657799005508,0.500545918941,-0.187641829252
6908,-1.13212656975,0.334963858128,0.331870138645,0.319590628147,-0.836083650589,0.109775543213
672,-0.0101910233498,0.337769925594,0.285357117653,0.408645004034,-0.300194650888,1.35169553757
5710,-0.464305818081,0.233926340938,-0.153255343437,-0.373296797276,0.0636848211288,-0.438110202551
2115,0.00258819758892,1.54896497726,0.0300522744656,0.110177606344,0.374344646931,0.99662232399
7015,0.0830307602882,0.299333393574,-0.643474698067,1.03136849403,0.147384226322,-0.25018325448
8726,-0.0781369656324,-0.0962761193514,0.447049975395,0.733413338661,-0.33623021841,0.472935199738
2185,0.456141203642,0.499421596527,-0.712353885174,0.864238262177,0.566571474075,-0.740907073021
3315,0.612203121185,-0.0676874369383,-0.252910584211,0.0,0.688717603683,0.154093176126
5289,-1.32906019688,-0.963750362396,0.29183357954,-0.0326174534857,-0.961331665516,0.553356409073
868,-0.211638092995,0.392936319113,1.08379995823,0.314253389835,0.0913679972291,-0.74505418539
1677,-0.916375815868,0.320512264967,0.238004416227,0.507805168629,-1.18297600746,-0.268427968025
7043,0.112007431686,-0.574061989784,1.12405502796,0.314483493567,0.277109771967,-0.314576208591
5613,0.16601768136,0.0124187991023,-0.633934140205,-0.269429385662,0.0949963405728,0.175991848111
595,0.0431529432535,-0.685642778873,0.693764090538,-0.477959692478,0.431970000267,-0.355138242245
4793,0.0669149532914,0.430659592152,-0.0201956406236,-0.0980312228203,-0.600821077824,-0.597045779228
2736,-0.050315991044,0.611907124519,-1.39699685574,0.386101037264,0.615132451057,0.204796746373
5290,0.525915622711,0.237207949162,-0.888344526291,0.546241998672,0.874223053455,-0.860456943512
6194,0.0,0.507360219955,0.252910584211,0.0,-0.0907456204295,0.361341655254
1676,0.407388091087,-0.116590842605,0.50694745779,0.920639276505,0.251245141029,-0.171229377389
