rid,DOS022_VCAP_6H:BRD-K44916273-001-01-8:4.66,DOS022_VCAP_24H:BRD-K44916273-001-01-8:4.66,DOS045_A549_24H:BRD-K44916273-001-01-8:4.66,DOS045_HT29_24H:BRD-K44916273-001-01-8:4.66,ERG010_VCAP_6H:BRD-K44916273-001-01-8:9.321,ERG010_VCAP_24H:BRD-K44916273-001-01-8:9.321,ERG017_VCAP_24H:BRD-K44916273:9.32,ERG017_VCAP_24H:BRD-K44916273:3.11,ERG017_VCAP_24H:BRD-K44916273:1.04,ERG017_VCAP_24H:BRD-K44916273:0.35
5720,-0.494790017605,-0.0438021570444,-0.99274033308,-0.0984500050545,0.942799985409,-0.246394723654,0.808690130711,0.529230773449,-0.615933656693,0.306429803371
466,0.0347106717527,0.18670964241,0.385452985764,0.0653500109911,-0.114250004292,-1.11487436295,-1.03634500504,-0.566448807716,-1.02098798752,-0.541264235973
6009,-0.275702774525,1.29744100571,-0.422709286213,0.110899999738,-0.0512499958277,-0.21184566617,1.02367830276,-0.904434084892,0.0288968682289,-0.879054844379
2309,0.0202737078071,-0.0572906136513,-0.308605760336,-0.36779999733,-0.587949991226,0.204084560275,0.106802582741,-1.24844956398,-0.616459608078,-1.06685388088
387,0.125016137958,0.529242038727,-1.02737176418,-0.60664999485,0.247999995947,0.165376484394,-0.061665199697,-0.815036356449,-1.48445641994,-1.00897538662
3553,0.646711587906,-0.462935090065,0.826684653759,1.22979998589,0.542750000954,-0.246036931872,0.254486739635,1.4322271347,0.712861478329,0.899815678596
427,-0.113600537181,-0.0876815915108,1.12216031551,-0.255499988794,-0.114450007677,-2.23340845108,-0.619884550571,-0.355817526579,-0.980723023415,-0.755940496922
5898,-0.216241657734,-0.627749800682,0.800457715988,1.17079997063,0.100549995899,-3.30538368225,-0.0785983502865,-0.0797721669078,-0.631508469582,0.237862586975
23365,0.302137315273,-0.706786513329,1.69092202187,0.360650002956,0.0423500016332,-0.113101169467,-0.544849812984,-0.904048323631,-1.02170979977,-0.406853318214
6657,0.578445255756,-0.483215898275,-0.411004662514,0.556450009346,0.659950017929,-0.0533943921328,0.735633015633,0.483296096325,1.62279522419,0.0540538877249
5054,-0.298738658428,-0.671013653278,-0.347209006548,-0.240500003099,0.243650019169,-0.617559909821,1.64968335629,1.79786741734,1.46694350243,1.20476746559
3108,-0.152804225683,-0.115557514131,0.357880830765,-0.441449999809,0.110699996352,-0.913006722927,-0.509688973427,-0.395183682442,0.157468557358,1.26587021351
1950,0.613546133041,2.92916107178,1.65577924252,0.79859995842,0.537050008774,0.627139389515,0.923314094543,1.09973812103,1.77967453003,2.19517564774
351,0.718356847763,0.0209094211459,0.769708871841,-0.409150004387,0.155800014734,-0.168773248792,-0.175393909216,0.491549998522,0.886582612991,0.875697731972
