rid,ERG010_VCAP_6H:BRD-K63476888-001-01-6:10.011,ERG010_VCAP_24H:BRD-K63476888-001-01-6:10.011
5720,0.0414999723434,-0.737639427185
466,-0.209199994802,-0.118658542633
6009,0.419300019741,0.054823666811
2309,-1.96510004997,-2.68737888336
387,-0.504150032997,-0.0711253136396
3553,0.349949985743,4.22263669968
427,-0.389099985361,1.25761651993
5898,-2.02160000801,0.955226361752
23365,-0.789800047874,-0.919976592064
6657,0.47310000658,2.29405832291
5054,0.380050003529,0.466256082058
3108,-0.305299937725,0.11978919059
1950,1.06134998798,0.193973511457
351,-0.962400019169,0.957958817482
4846,-1.24769997597,1.3160763979
1452,-1.50174999237,-0.543343067169
4776,0.298550009727,1.30069768429
6908,-0.527200043201,-1.44072830677
672,-1.0625,0.0519961938262
5710,-0.787750005722,-1.53213822842
2115,-1.70755004883,2.00297355652
7015,-0.150099992752,0.76601099968
8726,-1.09109997749,0.728253483772
2185,-0.0108499974012,1.60347127914
3315,0.00284999608994,0.484111756086
5289,-0.134849995375,0.667704641819
868,-0.354200005531,2.32258844376
1677,0.967099964619,3.49224066734
7043,0.146799981594,3.51999664307
5613,0.356900006533,1.72090172768
595,-0.0974999964237,-1.64056992531
4793,0.12650001049,-1.00248634815
2736,1.04299998283,3.91191053391
5290,0.310600012541,-0.288525640965
6194,0.0,-0.83083999157
1676,0.731199979782,1.80492925644
23512,-0.885649979115,-1.54628181458
148022,-1.11220002174,0.140964210033
1906,0.851800024509,1.98830974102
8878,-0.413100004196,-1.54916238785
3091,-0.535499989986,0.0504609793425
5743,0.362500011921,0.532438635826
5321,0.800500035286,1.75166869164
4144,0.0491999983788,-0.458427250385
1981,0.398950010538,-0.166167035699
695,-0.130549997091,0.0287720113993
10398,-0.362749993801,2.83071756363
5708,-1.5421500206,0.588914394379
1213,-1.03674995899,-1.3724398613
226,-0.665700018406,-0.853746652603
6777,-0.364149987698,0.497362434864
2113,0.738749980927,2.49784231186
3329,-0.488700002432,-0.981834292412
1050,0.599700033665,-2.04188585281
9491,0.29905000329,0.950043439865
22926,0.544100046158,0.7194480896
5899,0.741299986839,0.733920812607
5467,4.41485023499,-0.225198894739
6774,-0.249700009823,1.72305977345
1788,0.239849999547,1.86223852634
5921,-0.591000020504,0.217196524143
5721,0.308999985456,-0.250288307667
2263,0.879550039768,0.988484025002
808,0.939100027084,0.765787363052
30001,-1.28865003586,-1.44799375534
348,-0.603450000286,1.30742824078
30849,-0.651350021362,0.139451786876
1454,-1.23199999332,0.819952905178
6500,-0.483850002289,0.0580127537251
5627,0.442799985409,-0.155169397593
5715,0.225349992514,-1.36079132557
4791,-0.428149998188,0.751078605652
56924,0.923299968243,-0.263179332018
2690,0.0226999819279,-0.616608858109
1019,-0.772300004959,-2.06454896927
51422,1.05820000172,0.062993824482
5788,0.678550004959,2.09759688377
6709,-0.637600004673,0.237464725971
1277,0.869899988174,0.653857111931
