rid,DOS002_VCAP_6H:BRD-K15672359-001-01-9:4.98,DOS002_VCAP_24H:BRD-K15672359-001-01-9:4.98,DOS032_A549_24H:BRD-K15672359-001-01-9:4.98,DOS032_HT29_24H:BRD-K15672359-001-01-9:4.98,DOS032_MCF7_24H:BRD-K15672359-001-01-9:4.98,DOS032_PC3_24H:BRD-K15672359-001-01-9:4.98,MUC.CP004_MCF7_6H:BRD-K15672359-001-01-9:9.9611,MUC.CP004_MCF7_6H:BRD-K15672359-001-01-9:3.3204,MUC.CP004_MCF7_6H:BRD-K15672359-001-01-9:1.1068,MUC.CP004_MCF7_6H:BRD-K15672359-001-01-9:0.3689,MUC.CP004_MCF7_24H:BRD-K15672359-001-01-9:9.9611,MUC.CP004_MCF7_24H:BRD-K15672359-001-01-9:3.3204,MUC.CP004_MCF7_24H:BRD-K15672359-001-01-9:1.1068,MUC.CP004_MCF7_24H:BRD-K15672359-001-01-9:0.3689
5720,-0.944850027561,0.943282842636,-0.383949995041,0.0390972197056,1.5095499754,0.919699966908,0.461977154016,-0.900637507439,0.117166653275,-0.302030414343,0.648975610733,-0.0784554854035,0.500023841858,0.0481244176626
466,0.0898000001907,0.850638568401,-0.12444999814,-0.81664788723,0.82539999485,0.355899989605,-0.0587202012539,-0.092248275876,-0.0757666826248,-0.0340046584606,0.915411114693,0.876725435257,0.993366003036,1.2877779007
6009,0.914099991322,0.989043354988,0.393849998713,-0.211410373449,0.964150011539,0.59249997139,0.121487624943,-0.478302508593,-0.318033337593,0.202123194933,0.944783627987,0.294824033976,0.257829815149,0.62078499794
2309,0.327399998903,1.41770255566,-0.676200032234,-1.10795640945,-0.974099993706,0.980749964714,0.357600241899,0.0605387687683,0.401600003242,1.16924285889,-0.438996493816,-0.119876354933,-0.0994072258472,-0.224252164364
387,0.655799984932,0.411458522081,1.53240001202,-0.572985649109,0.779550015926,0.538399994373,0.674613952637,-0.801314651966,-0.0262333340943,0.276486188173,1.12097227573,0.0239359736443,-0.0137407183647,-0.11799813807
3553,-0.321550011635,-1.10370373726,1.02199995518,1.35569691658,1.53849995136,0.757749974728,-0.601124227047,1.17119932175,-0.167933344841,-0.931084990501,-0.940132558346,-0.301272690296,-1.05490684509,-0.741186738014
427,-2.35860013962,0.135733217001,-0.316749989986,0.544665277004,-0.782949984074,-0.923499941826,0.648013651371,-0.152142822742,1.11066663265,1.07495260239,0.934495329857,0.520702719688,0.610136389732,0.438900858164
5898,-0.744550049305,-0.260260045528,0.912349939346,0.547418177128,-2.70420002937,-0.0593000054359,-0.341182053089,-0.503154277802,-0.235433354974,0.988009214401,0.239316761494,0.194884091616,0.465250402689,0.344228386879
23365,0.983700037003,-0.0833557993174,0.968549966812,0.586684465408,-0.0092000067234,-0.194600015879,0.311390459538,-0.572888672352,-0.176033318043,0.814912319183,-0.576368927956,-0.259060800076,-0.0213703215122,-0.786160171032
6657,-0.0726999938488,-0.9739844203,-0.0264500081539,0.673190414906,0.387950003147,-1.07010006905,-0.665964066982,-0.0111042922363,0.23796671629,-0.910845756531,-1.15702962875,-0.242830887437,-0.970922648907,-0.954116284847
5054,-1.15410006046,0.313670963049,-0.199399992824,-0.230048298836,0.279449999332,-0.12555000186,0.939792394638,0.717853248119,-0.0202666670084,-0.394454032183,-0.0867441222072,-0.0518687069416,0.19467997551,-0.0214734375477
3108,-0.212849989533,-0.286578536034,0.954199969769,-0.53508913517,0.364499986172,-0.142100006342,0.367687344551,-0.432525038719,-0.317633330822,1.94742417336,0.637981295586,0.0787184387445,0.546908736229,-0.248347878456
