rid,CPC009_A375_6H:BRD-K21773564-001-01-8:10,CPC009_A549_6H:BRD-K21773564-001-01-8:10,CPC009_A549_24H:BRD-K21773564-001-01-8:10,CPC009_HA1E_6H:BRD-K21773564-001-01-8:10,CPC009_HCC515_6H:BRD-K21773564-001-01-8:10,CPC009_HEPG2_6H:BRD-K21773564-001-01-8:10,CPC009_HT29_6H:BRD-K21773564-001-01-8:10,CPC009_MCF7_24H:BRD-K21773564-001-01-8:10,CPC009_PC3_6H:BRD-K21773564-001-01-8:10,CPC009_PC3_24H:BRD-K21773564-001-01-8:10,CPC009_VCAP_6H:BRD-K21773564-001-01-8:10,CPC009_VCAP_24H:BRD-K21773564-001-01-8:10
5720,-0.730436861515,0.355070471764,0.335900008678,-1.46995425224,-0.270012229681,0.640275001526,0.0123952440917,0.898350000381,-0.698913693428,-0.327965378761,0.332717716694,0.590751111507
466,0.577406406403,0.544539630413,-0.0187999997288,1.62534725666,0.96927177906,1.30021858215,2.38984847069,0.782499969006,1.64908361435,-1.00605392456,-0.0332169383764,0.44853746891
6009,-0.505620121956,0.824266016483,0.235300004482,0.391052901745,-1.27547085285,0.847433328629,-1.05004417896,0.385549992323,-0.128837734461,-0.136512041092,0.0504970103502,0.493662178516
2309,1.10077393055,0.237076103687,-0.352999985218,-0.430144280195,1.55739545822,0.338168591261,0.539308488369,-0.182800009847,0.0839732289314,-0.242749333382,-0.295697689056,0.559131979942
387,-1.45207369328,0.587041914463,0.652599990368,-0.965123355389,-0.490178048611,0.487572878599,-1.91631031036,1.54145002365,-2.98925995827,-0.278897374868,0.28152987361,0.210772633553
3553,-0.0113242864609,-1.16981673241,-0.296400010586,0.43280673027,0.392682135105,-0.245545148849,0.769867300987,-0.172949999571,-0.820894062519,0.0168833080679,0.740286409855,-0.888136148453
427,0.118574537337,-0.0468108355999,-0.446999996901,0.333466172218,-0.19558557868,1.00907254219,1.15700018406,0.812650024891,0.352311998606,-0.409047484398,-0.603014409542,-0.648423850536
5898,1.25185823441,-0.55060338974,0.0166999995708,0.71770042181,0.0870751440525,0.119752563536,1.56028258801,0.029650002718,0.950747966766,0.655957579613,0.533698439598,0.0815269201994
23365,-0.691889822483,0.53891402483,1.38870000839,-0.142814487219,-0.467000871897,0.151350349188,0.532989919186,-0.985199987888,-0.378285974264,0.0534635186195,0.069196164608,-0.586910843849
6657,-0.679393291473,-0.942280113697,0.0772000029683,0.278272151947,-0.115210436285,-1.35666704178,-0.0238287784159,0.000349998474121,0.698843538761,0.764208197594,-0.717626988888,-0.506569385529
5054,0.19108620286,-0.0382332652807,-1.37810003757,-1.06358230114,-0.566210448742,1.00167441368,0.925242602825,0.718299984932,-0.47366592288,0.0893195793033,0.12984585762,-0.391951262951
3108,-0.860445022583,0.525698065758,0.0505000017583,0.0590758770704,-0.150950014591,-0.32599952817,0.143391430378,-0.592350006104,0.0152681171894,0.877235889435,-0.316608130932,0.721106946468
1950,-0.103851988912,-0.75766479969,-1.0039999485,-3.37144732475,-0.290211349726,0.206131607294,0.933311522007,-0.174499988556,-0.0218938589096,0.00778324902058,-0.514749407768,0.100387588143
