rid,CPC019_A375_6H:BRD-K71303366-001-01-3:10,CPC019_A549_6H:BRD-K71303366-001-01-3:10,CPC019_A549_24H:BRD-K71303366-001-01-3:10,CPC019_HA1E_6H:BRD-K71303366-001-01-3:10,CPC019_HCC515_6H:BRD-K71303366-001-01-3:10,CPC019_HEPG2_6H:BRD-K71303366-001-01-3:10,CPC019_HT29_6H:BRD-K71303366-001-01-3:10,CPC019_MCF7_6H:BRD-K71303366-001-01-3:10,CPC019_MCF7_24H:BRD-K71303366-001-01-3:10,CPC019_PC3_6H:BRD-K71303366-001-01-3:10,CPC019_PC3_24H:BRD-K71303366-001-01-3:10,CPC019_VCAP_6H:BRD-K71303366-001-01-3:10,CPC019_VCAP_24H:BRD-K71303366-001-01-3:10,MUC.CP005_MCF7_6H:BRD-K71303366-001-01-3:9.8579,MUC.CP005_MCF7_6H:BRD-K71303366-001-01-3:3.286,MUC.CP005_MCF7_6H:BRD-K71303366-001-01-3:1.0953,MUC.CP005_MCF7_6H:BRD-K71303366-001-01-3:0.3651,MUC.CP005_MCF7_24H:BRD-K71303366-001-01-3:9.8579,MUC.CP005_MCF7_24H:BRD-K71303366-001-01-3:3.286,MUC.CP005_MCF7_24H:BRD-K71303366-001-01-3:1.0953,MUC.CP005_MCF7_24H:BRD-K71303366-001-01-3:0.3651
5720,0.0672048702836,-1.60850000381,-1.81106972694,0.0962963178754,-0.290378689766,-0.458688616753,0.260186105967,-0.146040827036,-1.37040424347,-0.243546903133,-0.737457811832,-0.651923954487,-3.01422977448,-0.772237300873,-0.81146633625,-0.24267166853,1.21382308006,-0.412235766649,-0.137854993343,-0.188206359744,-0.0531479865313
466,-1.12819540501,-0.264400005341,-1.38275516033,-0.0834822058678,0.287915289402,-1.56492567062,-1.7095489502,-0.945993542671,-1.06067764759,-1.208319664,-0.608523249626,-0.317963421345,-1.52605211735,-0.373579740524,0.201614946127,0.353334605694,0.647136688232,-0.0422440171242,-0.277591139078,0.760587930679,-0.0440116077662
6009,-0.196989893913,-0.677199959755,0.613863527775,-0.311569839716,0.440130650997,-0.361897677183,-0.992325246334,0.37301415205,-0.515576839447,-0.332022130489,-1.17924118042,-0.0931709706783,-0.160851955414,-0.917691767216,-0.388726204634,-0.34967443347,0.366625249386,0.0363702178001,-0.953034281731,-0.60076636076,-0.765028834343
2309,-0.13929708302,-0.972149968147,-0.529713153839,0.45858502388,1.28901124001,-1.74907422066,0.243615299463,-0.323511987925,1.14957308769,1.06451869011,-0.0989585369825,1.43770813942,0.182388156652,0.95787447691,-0.957835018635,-0.483954638243,-0.621611475945,1.39424824715,-0.55779838562,-0.27179262042,-0.448085606098
387,1.67538142204,-0.904550015926,0.657700359821,0.73149484396,-0.349745839834,0.787957787514,0.220351353288,2.40193033218,-1.10973155499,0.962667286396,0.258298158646,1.24368226528,1.49360525608,-0.294300585985,0.362799733877,0.0526248216629,1.33319294453,-0.634021699429,-0.972267746925,-0.335235565901,-0.431173115969
3553,3.66092419624,1.12489998341,1.29846692085,0.635173201561,0.792891740799,0.382537066936,1.71125721931,-0.407632768154,0.454921990633,2.93811011314,3.50677704811,0.211098268628,0.998504757881,-0.296284556389,-0.442815363407,-0.017157047987,-0.279862970114,-0.00711938738823,1.27964246273,-0.425482660532,0.221400350332
427,0.658368766308,0.58520001173,0.573326051235,-0.493821084499,-0.436389267445,-0.275187939405,-1.42875266075,-0.892628371716,-0.345516562462,-0.698647141457,-0.0190535932779,-0.909864068031,-0.553048729897,0.29705530405,0.0417965948582,-0.0123949348927,1.48625361919,0.155789330602,-0.638970434666,-0.755202531815,-0.475961178541
5898,-1.24193358421,0.25799998641,-0.385705322027,0.293127298355,-0.191759377718,0.626693129539,0.811057627201,-0.816493391991,0.229827612638,-0.701660752296,0.0987860038877,-0.344971299171,0.59222215414,-0.851000070572,0.232406079769,-0.10645391047,1.01954579353,-0.0153834447265,0.368532329798,0.615166783333,0.876459777355
23365,-0.410240352154,-0.538100004196,-0.946868956089,0.248909056187,0.0988356620073,0.722084522247,-0.763109862804,3.22433519363,-0.542196512222,1.05867552757,0.0396230593324,0.159722656012,0.666364729404,0.388996422291,0.0580065622926,-0.151898622513,0.957893788815,-0.0561224967241,-0.136230975389,-0.136231869459,-0.163319438696
6657,-1.19295060635,0.222750008106,1.28433728218,0.999592006207,-0.352440655231,1.36232495308,0.96695369482,-0.305250108242,1.49371814728,-0.0761157870293,0.0661967545748,0.246335148811,1.31202125549,0.356832146645,-0.564120948315,-0.34372228384,-1.03528642654,0.630732834339,0.1377402246,-0.592815756798,0.366424232721
