rid,CPC005_A375_6H:BRD-K18518344-001-03-5:10,CPC005_A375_24H:BRD-K18518344-001-03-5:10,CPC005_A549_6H:BRD-K18518344-001-03-5:10,CPC005_A549_24H:BRD-K18518344-001-03-5:10,CPC005_HA1E_6H:BRD-K18518344-001-03-5:10,CPC005_HA1E_24H:BRD-K18518344-001-03-5:10,CPC005_HCC515_6H:BRD-K18518344-001-03-5:10,CPC005_HT29_6H:BRD-K18518344-001-03-5:10,CPC005_HT29_24H:BRD-K18518344-001-03-5:10,CPC005_MCF7_24H:BRD-K18518344-001-03-5:10,CPC005_MCF7_6H:BRD-K18518344-001-03-5:10,CPC005_PC3_6H:BRD-K18518344-001-03-5:10,CPC005_PC3_24H:BRD-K18518344-001-03-5:10,CPC005_VCAP_6H:BRD-K18518344-001-03-5:10,CPD002_MCF7_24H:BRD-K92923799-001-01-0:10,CPD002_MCF7_6H:BRD-K92923799-001-01-0:10,CPD002_PC3_6H:BRD-K92923799-001-01-0:10,CPD002_PC3_24H:BRD-K92923799-001-01-0:10
5720,-0.592162132263,-3.36673688889,-0.478736162186,-3.47219872475,-1.16374993324,-3.94934844971,-0.401099979877,-0.451149433851,-6.14484977722,-2.56754302979,-0.0411435589194,0.347430288792,-0.753170132637,-0.503024101257,-0.356644719839,0.614336788654,2.65359425545,-1.27324390411
466,4.41164827347,1.67076706886,3.75425386429,-0.462821424007,2.31909990311,2.13105392456,4.22480010986,1.32658672333,-0.239099994302,0.221420526505,0.499100029469,-0.893974483013,0.283700495958,-0.284371763468,-0.276174724102,1.03647887707,0.908867001534,0.0326649099588
6009,0.939422488213,2.73572778702,1.19390535355,1.39339470863,0.971899986267,2.53134536743,0.300099998713,-0.267124891281,-1.11020004749,1.91958427429,0.186356663704,0.48047888279,0.12176990509,-0.289538472891,3.39262247086,0.0168367624283,1.51231777668,0.107933081686
2309,1.739620924,3.46603989601,1.28654265404,1.65469312668,1.5109500885,3.68012142181,1.78449988365,0.253384202719,4.05030012131,5.48908805847,2.7963142395,2.15152025223,-1.16378498077,-0.924296438694,3.2580075264,1.46506989002,-0.22754637897,-3.37075424194
387,0.857501327991,6.21715450287,0.0260566473007,0.773188948631,0.614749968052,0.729941368103,-0.313600003719,0.716434776783,1.56730008125,1.26394701004,1.10383486748,0.434788763523,0.408636838198,-1.30778169632,1.73692703247,0.0911920815706,2.08852386475,0.261891245842
3553,0.975365161896,0.058458507061,1.20033979416,0.994658470154,5.54975032806,2.86679434776,1.00189995766,0.850795447826,2.37785005569,2.1956744194,0.514164626598,4.05075550079,-0.125497311354,-0.87095105648,2.38247919083,1.44121313095,4.16441011429,-0.79218518734
427,-0.0964695066214,-0.10930262506,0.179962426424,-0.191835269332,0.237850010395,0.0880684480071,-0.662999987602,0.137080684304,-0.623149991035,-0.673638403416,-0.538734376431,0.0444559454918,-1.14965939522,-0.205821841955,0.221566975117,0.474906265736,1.01598167419,0.91970705986
5898,0.328850448132,3.38720703125,-0.560267210007,0.818241298199,0.747799992561,2.60498571396,1.44075000286,1.07833063602,3.58310008049,3.654910326,0.681298434734,-1.48699045181,2.26659536362,-0.476898372173,2.17838311195,0.840183317661,-0.972092926502,1.39235091209
23365,-1.79088175297,-4.18259906769,-0.737181186676,-0.449355214834,0.156499996781,-0.433465212584,-0.828099966049,0.138623952866,0.461950004101,-0.654393732548,-0.527703106403,-0.786450207233,-0.481240451336,-0.984093129635,-1.64396524429,3.76244258881,-0.0867845416069,-0.526575684547
6657,0.394926548004,0.445388257504,3.12165665627,-0.499374270439,0.712949991226,3.23540282249,-0.365799993277,0.910829007626,2.12774991989,1.28354752064,0.98942476511,-0.0361248850822,1.27072536945,-0.532329201698,2.56954431534,1.56898868084,0.530252277851,1.85691928864
5054,-0.225870877504,-0.208959951997,6.87210226059,8.69832324982,-0.107649996877,-2.19562792778,0.567099988461,0.00223502377048,-0.396950006485,2.66395664215,1.42028963566,1.01382446289,1.18253076077,-0.46047013998,1.58243453503,0.792850732803,1.13746762276,1.04887270927
3108,-0.83052110672,-2.02511262894,-0.966371178627,0.0739137753844,0.664650022984,0.822929382324,-1.91014993191,0.0565704777837,-0.624050021172,-1.55068683624,0.510837435722,-1.11534786224,0.114000305533,-0.469711482525,-0.630281090736,0.139004856348,0.755176663399,0.628101289272
1950,0.781069219112,2.47490787506,1.22626554966,0.370334386826,3.20504999161,2.76185846329,0.480549991131,0.442716985941,0.817900002003,2.37870502472,0.306554347277,2.55624198914,1.87863349915,-0.727706551552,2.84595966339,1.49054574966,0.913581252098,1.07215952873
351,0.0445431619883,0.668788313866,0.85044503212,0.986426353455,1.0461499691,1.8453438282,0.450549989939,0.578770756721,0.0,0.434634536505,0.297739267349,2.2360086441,-0.169618308544,0.0693181529641,1.69090390205,0.0645206570625,0.00627335906029,1.41119980812
4846,-0.489874631166,1.08631074429,1.14410090446,-0.183050647378,3.44999980927,1.51254749298,-0.276399970055,0.382044792175,-0.901399970055,0.354176044464,0.133423432708,0.314109265804,-0.0281855128706,0.0819318294525,0.237551555037,-0.287557095289,-0.12437915802,0.194303482771
1452,2.26744890213,4.08192634583,1.95158588886,1.55964112282,0.250149995089,3.93148159981,-0.217049956322,1.06698310375,2.54190015793,2.09568405151,-0.803408682346,0.961705982685,-0.165689617395,-2.45567941666,2.91314220428,-0.339314103127,0.946265935898,-0.23358361423
4776,1.6995600462,3.65124940872,1.14162778854,1.24332010746,-0.618100047112,2.17428231239,-0.306050002575,1.55982995033,1.39139997959,0.316718637943,0.64931833744,0.449530273676,0.356774300337,-0.671915054321,1.83929789066,1.01635432243,0.251340448856,0.957687139511
6908,-1.80020177364,-5.12167072296,-0.934835910797,-2.40832519531,2.68844985962,5.17282009125,2.35905003548,-0.513658046722,3.43945002556,1.96060347557,1.60390520096,-2.7049946785,-4.38976430893,0.0984628796577,1.70382142067,-0.279596418142,-2.50296735764,-4.48348808289
672,-4.36105632782,-9.66173553467,-4.36507415771,-6.27560472488,-2.96264982224,-0.700792312622,-3.4376502037,-2.01904273033,-1.42155003548,-3.9347114563,-2.70152544975,0.0673789381981,-0.399717152119,-2.26949501038,-2.88230657578,-2.72694420815,0.248202800751,-0.071513146162
5710,-2.99456357956,-6.26042366028,-3.04192018509,-2.70823001862,-2.40339994431,-5.54290056229,-0.844099998474,-2.45100259781,-5.10554981232,-7.29240751266,-2.81683158875,-0.541867494583,-0.3093085289,-1.40847539902,-6.96157312393,0.0542209632695,-0.679895699024,-0.299892634153
2115,1.17741966248,1.25192737579,-0.78687697649,-0.110376894474,0.787349998951,0.932010114193,-1.58544993401,-1.13091993332,0.284799993038,0.875020265579,-0.121716439724,-0.799117863178,-2.99328613281,-0.358756691217,1.31462132931,0.803357958794,1.08563220501,-1.50156116486
