rid,CPC007_A375_6H:BRD-K58214070-001-07-3:10,CPC007_A549_6H:BRD-K58214070-001-07-3:10,CPC007_A549_24H:BRD-K58214070-001-07-3:10,CPC007_HA1E_6H:BRD-K58214070-001-07-3:10,CPC007_HCC515_6H:BRD-K58214070-001-07-3:10,CPC007_HT29_6H:BRD-K58214070-001-07-3:10,CPC007_HT29_24H:BRD-K58214070-001-07-3:10,CPC007_MCF7_6H:BRD-K58214070-001-07-3:10,CPC007_MCF7_24H:BRD-K58214070-001-07-3:10,CPC007_PC3_6H:BRD-K58214070-001-07-3:10,CPC007_PC3_24H:BRD-K58214070-001-07-3:10,CPC007_VCAP_6H:BRD-K58214070-001-07-3:10
5720,-2.64849019051,-1.97139585018,-3.37623548508,-2.59603452682,-2.17530012131,-1.92051577568,-1.8488650322,-0.89863049984,-1.48920190334,-1.97388207912,-2.21415495872,-1.89099907875
466,-5.61775779724,-2.73066759109,-2.10844755173,-5.20537757874,-5.96899986267,-2.55855083466,-1.22251260281,0.130168378353,-0.784276127815,-1.76086735725,-0.614971160889,-1.27207791805
6009,-0.399140655994,2.23147130013,-1.04156339169,0.332960367203,-0.919250011444,-1.22956800461,-0.24588111043,0.829308509827,0.500506341457,-0.875455141068,-1.45629429817,-0.371235519648
2309,7.15004682541,6.41752767563,0.402569413185,3.35112380981,4.23409986496,4.68894767761,1.4578589201,-0.189236491919,-0.44375488162,2.60656642914,1.04859542847,4.62545251846
387,-0.801377654076,2.55116295815,0.478892713785,1.7392847538,-1.43029999733,-0.0214354507625,0.543519377708,0.977001965046,-0.362725883722,0.11312161386,-0.531609714031,-0.530227839947
3553,2.87791347504,-0.291115134954,1.14887404442,0.531191825867,2.09674978256,0.609467685223,-0.0822639763355,-0.354048550129,0.0229467302561,-0.533990323544,-0.580267250538,2.0120780468
427,-1.29483318329,-0.331046044827,-0.702962458134,-0.208564937115,-0.204649999738,0.938688158989,-0.155993536115,-0.154975682497,-0.249572694302,0.423632383347,-0.103782236576,-1.41952848434
5898,0.450947076082,-0.246454522014,0.803868770599,3.5142621994,1.41234993935,0.506483852863,1.00263535976,-0.222759142518,0.188587978482,1.31139624119,0.312016755342,0.845112681389
23365,-0.262226581573,1.56692814827,1.27999722958,0.554318904877,0.423099994659,0.171929970384,0.1064016819,1.27650403976,0.0363204926252,1.19061648846,0.12637796998,0.665712475777
6657,-0.30599296093,-0.0965745523572,0.312882721424,1.45515716076,-0.904099941254,0.745994150639,0.042999945581,-1.33099234104,-0.0820494443178,1.46417379379,0.845189571381,0.868355691433
