rid,CPC004_A375_6H:BRD-K54771420-001-03-2:10,CPC004_HA1E_6H:BRD-K54771420-001-03-2:10,CPC004_HA1E_24H:BRD-K54771420-001-03-2:10,CPC004_HCC515_6H:BRD-K54771420-001-03-2:10,CPC004_HCC515_24H:BRD-K54771420-001-03-2:10,CPC004_HEPG2_6H:BRD-K54771420-001-03-2:10,CPC004_HT29_6H:BRD-K54771420-001-03-2:10,CPC004_MCF7_6H:BRD-K54771420-001-03-2:10,CPC004_PC3_6H:BRD-K54771420-001-03-2:10,CPC004_PC3_24H:BRD-K54771420-001-03-2:10,CPC004_VCAP_6H:BRD-K54771420-001-03-2:10,CPC004_VCAP_24H:BRD-K54771420-001-03-2:10,CPC015_A375_6H:BRD-K54771420-001-03-2:10,CPC015_A549_6H:BRD-K54771420-001-03-2:10,CPC015_A549_24H:BRD-K54771420-001-03-2:10,CPC015_ASC_24H:BRD-K54771420-001-03-2:10,CPC015_HEPG2_6H:BRD-K54771420-001-03-2:10,CPC015_HT29_6H:BRD-K54771420-001-03-2:10,CPC015_MCF7_6H:BRD-K54771420-001-03-2:10,CPC015_MCF7_24H:BRD-K54771420-001-03-2:10,CPC015_NPC_24H:BRD-K54771420-001-03-2:10,CPC015_PHH_24H:BRD-K54771420-001-03-2:10,CPC015_SKB_24H:BRD-K54771420-001-03-2:10,NMH002_FIBRNPC_24H:BRD-K54771420-001-09-9:10,NMH002_FIBRNPC_6H:BRD-K54771420-001-09-9:10,NMH002_NEU_6H:BRD-K54771420-001-09-9:10,NMH002_NEU_24H:BRD-K54771420-001-09-9:10,NMH002_NPC_6H:BRD-K54771420-001-09-9:10,NMH002_NPC_24H:BRD-K54771420-001-09-9:10
5720,-0.140832766891,-1.39656317234,-0.468557715416,-1.48580563068,-0.61298418045,-0.512633323669,1.00206410885,0.0707300156355,0.41686090827,-2.16225385666,-1.29705989361,-1.11520802975,0.0550508722663,0.170449987054,-0.260334283113,2.12389850616,1.28349995613,0.126733332872,0.911062836647,0.492475092411,-0.379875004292,0.0384999997914,1.2159999609,0.51428258419,0.837404727936,0.413166671991,0.706146895885,0.468368530273,1.00786375999
466,-0.105876892805,0.272133827209,0.135318309069,1.60714328289,0.205169290304,-0.42893332243,0.133394241333,0.714626371861,0.145397081971,-0.324745804071,-1.24908363819,0.246228143573,0.252276986837,-0.481299996376,0.0569848753512,-0.0720658972859,-0.790050029755,-0.488166689873,0.674155116081,0.634469330311,0.210450023413,-0.724049985409,-0.297949999571,0.174173176289,-1.22226333618,-0.0576333403587,0.696357429028,0.250760138035,-1.11556446552
6009,-1.72304677963,0.379225492477,-0.164307177067,0.342407166958,-0.451573848724,-0.445033371449,-1.40402555466,0.56626278162,-0.00360551476479,-0.0199556015432,0.229781523347,-0.916908919811,-0.304635614157,0.810199975967,-0.805569410324,0.124838374555,1.50249993801,-0.134933322668,0.785986304283,0.0660198554397,-0.0268750041723,0.398150026798,-0.124549999833,0.721268177032,0.570205926895,0.135600030422,0.665975093842,0.804060220718,1.18751943111
2309,-0.568091750145,0.284254133701,-0.7256103158,1.54811477661,-0.121938295662,0.0428000167012,-0.842028737068,-1.29864954948,-0.20040038228,1.04350745678,-0.604191601276,-0.409386634827,1.19482469559,-0.193300008774,-0.29476377368,0.213472962379,0.736200034618,2.0654001236,-0.127324402332,-0.577111542225,0.08057500422,-0.400150001049,1.0896999836,-0.145396336913,0.348995923996,0.156033337116,0.920076549053,-0.132833689451,1.36496376991
387,-1.6243429184,0.150704950094,-0.391576707363,0.657520294189,-0.540153324604,-0.6644333601,-0.806421518326,0.638575255871,-0.293883532286,0.171566426754,-0.864292383194,0.0623322427273,0.330290138721,1.22415006161,-0.313230395317,0.589160978794,2.71749997139,-0.334366679192,0.0274970978498,-0.501008868217,0.0220750123262,0.688899993896,0.82564997673,0.433017492294,0.0502936691046,-0.208066642284,0.338946729898,0.365715384483,1.54820013046
3553,0.0544834323227,1.1516327858,2.13241219521,0.907842040062,-0.809317469597,0.401033341885,0.636359810829,-0.130781590939,0.397568851709,1.13534390926,1.64392757416,0.323809295893,-0.529904603958,-1.18169999123,0.356523126364,-0.0675320401788,-0.607149958611,0.194600000978,-0.511648356915,-0.368859648705,0.0914250016212,-0.666400015354,-0.625099956989,-0.120870426297,-0.173565030098,-0.639433383942,0.204307585955,-0.816154837608,-0.22352810204
427,-0.951233029366,-0.446597218513,0.354588449001,1.10450553894,-0.403850495815,-1.58759999275,-0.199794709682,-0.766910910606,0.0534448586404,-0.385033637285,-1.31551122665,0.97236675024,0.421415537596,-0.232800006866,0.223871976137,-1.1047604084,-0.820699989796,-0.648833394051,-0.316863894463,0.706562697887,0.764950037003,0.258700013161,0.632899999619,0.124954789877,-1.97386050224,-0.259500026703,0.297106444836,-0.0908846259117,-0.820585608482
5898,0.756846785545,0.628167271614,0.485128432512,1.68871939182,-1.27219462395,-1.35010004044,0.725878477097,-0.568493485451,0.499663680792,-0.685851573944,-0.202527984977,0.182723551989,-0.825232803822,-0.653600037098,-0.0900647491217,0.524457931519,-0.82699996233,0.206900000572,0.358435124159,-1.13321757317,-0.863150000572,-0.0578000023961,0.361149996519,0.531554579735,-1.17140340805,-0.441366672516,-0.403938531876,0.044122248888,-5.2099571228
23365,-0.83345502615,0.0913336724043,-0.348285794258,1.11260581017,0.431443750858,-0.0451000034809,0.33197581768,-0.00420105457306,-0.751171767712,1.18788778782,-0.534762978554,-0.481805533171,-0.375173211098,0.340200006962,-0.00600311160088,-0.327561616898,1.67215013504,0.767866671085,-0.294873565435,-0.558572053909,0.695625007153,-0.723349988461,-0.237750008702,0.408864110708,-0.220469549298,0.972133398056,-0.633353948593,0.315155625343,0.398977935314
6657,-0.53335827589,0.18143260479,0.485693782568,2.2794919014,0.602904319763,0.259900003672,0.642745375633,0.417288810015,0.456118583679,0.220801457763,0.265136897564,-0.109789825976,-1.55140125751,-0.190999999642,0.495564311743,-0.632066190243,-1.15840005875,0.903333365917,-1.05907702446,0.451776385307,0.0470500290394,-0.825299978256,-0.597100019455,-0.559409499168,0.463276654482,0.0979999899864,0.861694037914,-0.0889735519886,0.878072142601
