rid,DOS029_VCAP_24H:BRD-K07110772-001-01-9:4.96,DOS033_A375_24H:BRD-K07110772-001-01-9:4.96,DOS033_A549_24H:BRD-K07110772-001-01-9:4.96,DOS033_HT29_24H:BRD-K07110772-001-01-9:4.96,DOS033_MCF7_24H:BRD-K07110772-001-01-9:4.96,DOS033_PC3_24H:BRD-K07110772-001-01-9:4.96,MUC.CP006_MCF7_6H:BRD-K07110772-001-01-9:9.925,MUC.CP006_MCF7_6H:BRD-K07110772-001-01-9:3.3083,MUC.CP006_MCF7_6H:BRD-K07110772-001-01-9:1.1028,MUC.CP006_MCF7_6H:BRD-K07110772-001-01-9:0.3676,MUC.CP006_MCF7_24H:BRD-K07110772-001-01-9:9.925,MUC.CP006_MCF7_24H:BRD-K07110772-001-01-9:3.3083,MUC.CP006_MCF7_24H:BRD-K07110772-001-01-9:1.1028,MUC.CP006_MCF7_24H:BRD-K07110772-001-01-9:0.3676
5720,0.62156355381,-0.692855596542,0.391467988491,0.972347617149,0.374309659004,0.154966652393,-0.257347524166,-0.0791105553508,-0.707021296024,-0.253189831972,-0.637243509293,-0.625701010227,-0.414641499519,0.507709860802
466,0.580794513226,-0.96591335535,0.0446634292603,0.0155381606892,0.0261484086514,-0.402400016785,0.617197036743,0.162101864815,-0.199708759785,1.69940745831,0.656975626945,0.485017955303,0.408545911312,0.503515422344
6009,-0.18269251287,-0.81783246994,-0.291429370642,1.74162137508,-0.0644968748093,-0.832399964333,0.00659948587418,-0.721294403076,0.279878646135,0.34064501524,-0.93930888176,-0.207986339927,1.08225131035,0.817279040813
2309,-0.352924793959,-0.519241213799,0.267539769411,1.34913825989,-0.317577779293,0.725433409214,-1.08277738094,-0.422112107277,-0.783221304417,-1.30382490158,0.588783383369,0.751117348671,-0.578322052956,0.0773905292153
387,0.28188586235,-0.468951314688,0.129731923342,-0.0332626961172,-0.965583145618,-0.229566663504,0.079812772572,-0.330521583557,-0.384170979261,-0.253599792719,0.152566224337,-0.531721115112,0.0902990400791,1.35286474228
3553,-0.168020009995,0.367192447186,-0.196921288967,0.0652570277452,0.510841071606,-1.62970006466,0.307242065668,-0.062890842557,0.428580224514,-0.00563326664269,-0.356418758631,-0.387087762356,-0.156824022532,-0.867231786251
427,0.449519306421,1.47914481163,0.905640423298,-0.530286073685,0.212512880564,-0.222733333707,0.77605843544,0.273322820663,0.46973413229,2.30056595802,0.613367676735,-0.346024364233,0.0449401140213,-0.251241594553
5898,0.231735676527,-0.100578270853,-1.86091935635,-0.165866389871,-0.0895667970181,0.741666674614,0.316267251968,0.737633943558,-2.40708708763,0.534532666206,0.604137957096,-0.138469219208,0.201834738255,0.233367115259
23365,0.326080083847,-0.203328892589,-0.843915462494,-0.27044916153,-0.0499274432659,0.629866659641,-0.35698980093,0.40588092804,-1.14148139954,-0.572260856628,3.55420827866,-0.424017310143,-1.27641701698,-0.850790143013
6657,-0.724983215332,0.240186795592,-0.0404676645994,0.108553543687,0.632514417171,0.642666697502,0.206995874643,0.876314878464,0.273426353931,0.205998197198,-0.121016032994,-0.409274339676,-0.125272706151,-1.02571618557
5054,1.00280857086,-2.36213803291,0.992281317711,-2.12206745148,1.17451870441,-0.21320001781,-0.263119101524,0.79337567091,1.05607151985,-0.342606544495,-0.488788664341,-0.0869269073009,1.05111813545,-0.158157855272
3108,-1.15076291561,-0.474309682846,-1.00162279606,-0.0938467979431,0.442060768604,0.434000015259,-1.13562095165,-0.229312941432,-0.0850805342197,-0.5514549613,0.238996237516,-0.941472291946,0.116294078529,0.0189626514912
1950,0.0859762430191,-0.21059513092,-0.0329041779041,-0.12960216403,0.39117628336,0.7730666399,0.897257983685,-0.415306389332,2.15807461739,0.753655970097,-0.351537823677,0.596253395081,1.19645786285,0.254006564617
351,-3.8140411377,0.447164714336,-0.630488038063,-0.369887322187,0.579854011536,0.627966701984,0.0102553069592,-0.727656245232,0.794426083565,-0.354505181313,-0.433413118124,0.192468702793,0.844335854053,-0.573551952839
4846,0.239718675613,-4.94347906113,-0.585263252258,0.948577821255,0.630537033081,0.270933330059,0.935212254524,0.211079701781,0.873911142349,-0.523980379105,0.58016872406,-0.573097527027,-1.40522623062,-0.186581104994
1452,0.203568518162,0.235206246376,0.510277748108,-0.119633466005,-0.00340209901333,0.199100017548,-0.849578142166,-0.489165604115,-0.507420837879,0.0261327885091,-0.319375634193,-0.645161271095,-0.304764091969,0.58560603857
4776,2.49054789543,1.06885838509,-0.157427802682,-0.283376842737,0.87053501606,0.622500002384,-0.137449383736,1.06418275833,0.910194694996,0.245834708214,-0.417831480503,0.0550917163491,0.875133574009,-0.721128880978
6908,0.0563742592931,-0.573040723801,0.31624597311,0.462378829718,0.465837031603,0.187666594982,-0.450410544872,-0.0582015365362,-0.715924859047,0.767637312412,-0.133833259344,-0.0666190013289,-0.348327368498,0.705963969231
672,0.00159025192261,-0.124947227538,0.75150179863,0.833529531956,0.945985376835,-0.500200033188,0.302360981703,0.203116461635,-0.128859847784,0.536520004272,0.783340513706,0.375901728868,0.249146342278,1.13250124454
5710,0.309413552284,-0.236821949482,0.509256899357,-0.241704106331,-0.715037763119,-0.378833353519,1.33147001266,-0.858629465103,-0.531489253044,1.52456700802,0.746171951294,0.0181247740984,-0.662678003311,-0.445412456989
2115,-0.98682653904,-0.50107395649,-1.27394723892,-0.597959518433,0.720056295395,0.733966708183,-0.871962785721,-0.357500374317,0.608272790909,-0.678288638592,-0.0279543399811,-0.386440098286,-1.02759313583,-0.781115651131
