rid,CPC019_A375_6H:BRD-K60772276-001-01-1:10,CPC019_A549_6H:BRD-K60772276-001-01-1:10,CPC019_A549_24H:BRD-K60772276-001-01-1:10,CPC019_HA1E_6H:BRD-K60772276-001-01-1:10,CPC019_HCC515_6H:BRD-K60772276-001-01-1:10,CPC019_HEPG2_6H:BRD-K60772276-001-01-1:10,CPC019_HT29_6H:BRD-K60772276-001-01-1:10,CPC019_MCF7_6H:BRD-K60772276-001-01-1:10,CPC019_MCF7_24H:BRD-K60772276-001-01-1:10,CPC019_PC3_6H:BRD-K60772276-001-01-1:10,CPC019_PC3_24H:BRD-K60772276-001-01-1:10,CPC019_VCAP_6H:BRD-K60772276-001-01-1:10,CPC019_VCAP_24H:BRD-K60772276-001-01-1:10
5720,-0.0921360850334,-0.227650001645,1.42622709274,0.871200561523,0.107555538416,-0.709100961685,0.671532154083,-0.372800022364,1.18862974644,0.0195784419775,0.458074301481,0.594000339508,0.888440668583
466,0.306885033846,0.350849986076,-0.40206104517,0.987413346767,0.75142198801,-0.0381508618593,1.18337893486,0.0599666684866,-0.778164505959,0.414796054363,1.43287873268,0.61943089962,-0.674408614635
6009,0.802280902863,0.351999998093,1.24057078362,1.51217007637,-0.192823141813,-0.278866916895,0.475327283144,-0.0158333182335,0.78662443161,0.410974442959,0.240044385195,0.379894793034,0.208203166723
2309,1.61244761944,-0.18164999783,0.956575989723,-1.4766664505,-1.10711205006,-0.939645469189,0.920764565468,-0.225833341479,0.467529714108,-0.389904260635,2.9659280777,0.21673104167,1.42828667164
387,0.56213092804,-0.970950007439,1.06051647663,-0.360902249813,-0.457002997398,-0.842876672745,0.137641787529,0.287566691637,1.35739898682,0.259096711874,-0.279050379992,-0.205211490393,0.2716807127
3553,-0.881974101067,-0.0918500125408,-0.359139591455,-0.161968871951,-0.165775731206,1.74400913715,-0.64957177639,-0.0406666919589,-0.533615529537,-1.32817554474,-0.335858553648,-0.236873850226,0.342779576778
427,0.294878453016,-0.186749994755,-0.582893192768,-0.0297724604607,-1.13228082657,-0.199826478958,0.0770331844687,0.164166659117,-0.448839247227,0.220640093088,0.877258658409,0.0870560780168,0.934539079666
5898,-0.133038058877,0.360550016165,-0.535663485527,1.15526413918,1.16994297504,0.173000901937,0.489977777004,-0.0688333213329,-1.41057062149,0.220464318991,0.10875749588,-0.314062476158,-0.64228272438
23365,0.223842203617,0.142399996519,-0.169299483299,1.31533265114,0.984798967838,-0.281489253044,-0.00472304224968,0.255833387375,-0.240974605083,-0.36424985528,-0.049185719341,-0.903982520103,-0.427335977554
6657,-0.224090412259,0.91369998455,0.318235486746,0.0427442193031,0.4059022367,1.33649659157,-0.874418139458,0.12513333559,-0.503346681595,-0.585874557495,0.478952407837,-0.776450276375,0.317493468523
5054,-0.360682070255,0.295399993658,-0.270807594061,0.621969103813,0.454295694828,-3.58892011642,2.14974451065,-0.168466627598,-0.511212527752,-0.958640635014,-0.457593500614,0.160872668028,-0.276908159256
3108,-0.00287053734064,-0.820999979973,1.15695500374,-0.211002141237,-0.261247634888,-0.453093826771,-0.805765151978,0.623566687107,0.893254995346,-0.91098099947,-0.368657261133,-0.540664792061,0.063549041748
1950,0.134553357959,-0.227699995041,-0.40705421567,1.1195936203,-0.0206690579653,0.71697729826,-0.0808132216334,0.171733349562,-0.370075106621,2.77405953407,-0.962446570396,0.388688266277,-0.27447861433
351,0.233603730798,0.0010000000475,-0.0468171983957,-0.0913173556328,0.851298987865,0.218298882246,0.000522017478943,-0.18056666851,-1.18210184574,-0.102439701557,-0.429972738028,0.812475442886,-0.206734865904
4846,-0.505176842213,1.20179998875,1.69542610645,-0.322568416595,-0.426486313343,-1.12608385086,-0.637079179287,-0.269999980927,-0.629120349884,-0.353365957737,0.674099624157,0.143277451396,0.851811468601
1452,0.495800286531,-1.19299995899,1.38106036186,-0.917087852955,-0.556227326393,0.118579372764,1.42055559158,0.380466669798,1.41498839855,0.147075429559,-1.38141334057,0.217813521624,0.0582116544247
4776,-1.02276062965,-0.501450002193,0.872080922127,-0.470921933651,-0.428421646357,1.23013424873,-0.760051727295,-0.0830999910831,-0.943031609058,-0.672684907913,-1.07411897182,-0.44074422121,0.604314684868
6908,0.43694666028,-0.0402999818325,2.45968270302,1.04828083515,0.408154219389,-0.914698600769,1.16566538811,0.0105666518211,1.38393676281,0.673773407936,0.426838248968,0.318739622831,0.548891782761
672,0.0303056612611,0.75049996376,-0.365109592676,0.501608073711,1.4604845047,-0.0299697741866,0.681709170341,0.0510666668415,0.137504920363,0.118178427219,0.127660900354,0.473317414522,-0.425387501717
5710,1.04034245014,0.467899978161,1.18649840355,0.439322769642,0.0023997426033,-0.866066336632,0.515707910061,-0.36316666007,0.287827044725,0.813136160374,0.428502708673,0.0479884445667,1.24686062336
2115,-0.220597475767,0.584949970245,-0.649441003799,0.166105717421,0.397234559059,0.2483818084,0.0937502086163,0.247433334589,-0.178900033236,-1.16698682308,0.410128265619,-0.0935045406222,0.805319607258
