rid,CPC001_HA1E_6H:BRD-K02275692-003-03-4:10,CPC001_HA1E_24H:BRD-K02275692-003-03-4:10,CPC001_HCC515_6H:BRD-K02275692-003-03-4:10,CPC001_HCC515_24H:BRD-K02275692-003-03-4:10,CPC001_PC3_6H:BRD-K02275692-003-03-4:10,CPC001_PC3_24H:BRD-K02275692-003-03-4:10,CPC001_VCAP_6H:BRD-K02275692-003-03-4:10,CPC001_VCAP_24H:BRD-K02275692-003-03-4:10,CPC017_A375_6H:BRD-K02275692-003-03-4:10,CPC017_A549_6H:BRD-K02275692-003-03-4:10,CPC017_A549_24H:BRD-K02275692-003-03-4:10,CPC017_ASC_24H:BRD-K02275692-003-03-4:10,CPC017_HEPG2_6H:BRD-K02275692-003-03-4:10,CPC017_HT29_6H:BRD-K02275692-003-03-4:10,CPC017_MCF7_6H:BRD-K02275692-003-03-4:10,CPC017_MCF7_24H:BRD-K02275692-003-03-4:10,CPD002_MCF7_24H:BRD-K21815137-003-01-1:10,CPC017_NPC_24H:BRD-K02275692-003-03-4:10,CPC017_PHH_24H:BRD-K02275692-003-03-4:10,CPC017_SKB_24H:BRD-K02275692-003-03-4:10,CPD002_MCF7_6H:BRD-K21815137-003-01-1:10,CPD002_PC3_6H:BRD-K21815137-003-01-1:10,CPD002_PC3_24H:BRD-K21815137-003-01-1:10
5720,1.06496727467,-0.332460135221,0.945550024509,-0.327253699303,-0.203958317637,-1.86049187183,1.17522835732,1.10343205929,-0.0761170089245,0.970100045204,-1.31016671658,-0.48101747036,-0.741737127304,0.110571801662,0.896596252918,0.16814635694,-2.21415519714,-0.276482075453,0.409679532051,0.103849992156,-2.4353530407,-1.12322366238,-3.75892210007
466,-0.104311808944,0.969010949135,0.135000005364,-0.38524633646,-0.29525706172,0.857042074203,1.04047167301,0.246858224273,1.6756362915,0.632760286331,-1.29439997673,-0.484031349421,-0.218575149775,0.132811844349,-0.571923315525,0.0650663375854,0.268557786942,-1.84204137325,1.20867538452,-0.335299998522,-0.466200590134,-0.5404535532,-1.67254567146
6009,-0.135721743107,0.504068434238,-1.28519999981,-1.21589970589,-0.756946504116,0.714781105518,0.12946178019,1.23175799847,-0.113841697574,-1.051181674,-0.0629000067711,-0.292557299137,-0.177851557732,-0.186415046453,0.00619212165475,-0.213762626052,0.224676117301,0.828650772572,-1.06044697762,-1.26594996452,0.991340994835,0.0678475275636,1.95687544346
2309,0.116136372089,-0.430744767189,-0.950900018215,-0.800144553185,0.690219223499,-0.865689992905,-0.280497789383,0.250561803579,0.673578083515,0.988369464874,0.65813344717,-0.546916365623,-0.651106059551,1.05890607834,0.536630153656,-0.657674789429,0.176553070545,0.438498467207,-0.635903954506,0.321450024843,0.912422776222,3.27961730957,-0.80073517561
387,0.764193058014,0.448313832283,-0.461349993944,-0.0679370462894,-0.0995410382748,0.798683941364,0.197752907872,-0.465321421623,-0.315069854259,1.6905798912,-0.30919995904,-0.427480012178,-0.445798844099,0.842028915882,-1.03667247295,0.448906421661,1.40618979931,0.305225014687,-0.52787488699,0.643600046635,1.51662492752,0.906977593899,1.9196023941
3553,-0.38272356987,5.33728122711,-0.152250006795,0.00419666618109,0.339907675982,0.00482815876603,-0.698026776314,-0.8061170578,-1.00813853741,-1.12252879143,-0.245766669512,-0.0982357263565,0.00712922215462,-1.1138740778,0.934706091881,-0.61519575119,-0.47952786088,-0.365134239197,0.44765663147,2.22514986992,-1.34365749359,0.263476699591,-0.426824450493
427,0.265964329243,0.0504205673933,-1.06089997292,-0.183420956135,-0.543763041496,0.108879670501,-0.302846550941,0.0341922007501,-0.234289065003,-0.956546008587,-0.252566725016,-0.00752411782742,-0.566777944565,0.8894084692,0.79076564312,0.312718600035,-0.194507360458,-0.565286576748,0.691221654415,-0.497300028801,0.464805305004,-0.295267313719,-1.42638576031
5898,0.2076510638,0.674476504326,-0.214700013399,0.668382287025,-0.252410918474,0.676939487457,-0.0880532041192,-0.927532553673,-0.126648321748,0.584386944771,-2.85170006752,-0.332983613014,-0.173783570528,0.403649747372,-0.735316574574,0.718599140644,-0.81438857317,-0.826289594173,-0.149532333016,-0.0510500073433,-0.293192028999,-1.09938800335,-0.169907301664
23365,-1.21062910557,-1.74245023727,-1.63639998436,0.38858705759,-0.0906175523996,-0.294265717268,-0.54243439436,-0.714385211468,-0.538555204868,1.0598911047,5.14503383636,0.273734301329,-1.10156345367,0.847661614418,-0.93521219492,0.666753411293,0.262470006943,0.0625316426158,0.111385434866,-0.7949000597,0.143198609352,-0.0630386695266,2.9164083004
6657,-0.149441093206,0.107006132603,0.299549996853,0.280862182379,-0.1085357517,0.137615889311,-1.11654961109,-0.31598725915,-0.790403902531,-0.562315165997,-0.352766633034,0.447715401649,0.290112733841,-1.62904846668,0.265949726105,-1.27320790291,0.581776380539,0.147652059793,1.79645681381,1.93099999428,2.68381214142,-1.29475688934,0.906538665295
