rid,DOS050_HT29_24H:BRD-K83727172-001-01-3:5,DOS050_MCF7_24H:BRD-K83727172-001-01-3:5,DOS050_PC3_24H:BRD-K83727172-001-01-3:5,ERG015_PC3_24H:BRD-K83727172-001-01-3:10.2115,ERG015_PC3_6H:BRD-K83727172-001-01-3:10.2115,ERG015_VCAP_24H:BRD-K83727172-001-01-3:10.2115,ERG015_VCAP_6H:BRD-K83727172-001-01-3:10.2115
5720,-0.868473887444,-0.352500021458,-1.63935005665,0.954246520996,0.505655825138,1.26737868786,0.446535825729
466,-0.942025303841,-0.311049997807,-1.15999996662,0.455231428146,1.08508527279,0.400997877121,1.18718671799
6009,-0.704159975052,1.44354999065,-0.875149965286,0.281729876995,0.864278197289,0.17105409503,0.331762313843
2309,0.449369102716,1.76285004616,-0.579299986362,-0.0923485159874,-0.261194944382,-0.0935317128897,0.0601572245359
387,-0.197399020195,0.85045003891,0.71179997921,-0.40757215023,0.266035676003,0.53779566288,-0.271700829268
3553,0.469642549753,-1.50144994259,0.633850038052,-0.384623885155,-0.319835841656,-1.27587366104,-0.85387969017
427,0.547792971134,-1.35890007019,-2.19120001793,0.0893583521247,1.12856245041,0.579659819603,1.03220391273
5898,0.200067311525,-0.0112500190735,0.275150001049,0.42016646266,0.249267175794,-0.0297012925148,0.36157476902
23365,0.761176109314,0.365700036287,1.32564997673,-0.732979893684,0.195037424564,-0.644885182381,0.429345071316
6657,0.940778791904,-1.89240002632,0.985399961472,0.331021815538,-0.362859666348,-0.894883453846,-1.02348136902
5054,-0.552084922791,-0.67015004158,0.508149981499,-0.61731928587,-0.542485237122,-1.43203341961,0.0817680358887
3108,-0.159280538559,2.37709999084,1.88275003433,0.492920219898,0.0629454255104,0.152910366654,0.190465137362
1950,-0.323988676071,-1.31640005112,-0.717750012875,-0.273454248905,0.143015116453,0.390623539686,-0.469065070152
351,1.35459303856,-2.26119995117,0.659900009632,-0.0959354490042,-0.72996109724,-0.322400003672,-0.619549512863
4846,-0.632331848145,-0.593800008297,-1.2485499382,0.415450274944,-0.825097262859,0.202230170369,0.130580425262
1452,0.0750940591097,-1.4457000494,1.05594992638,-0.707834720612,-0.233297348022,0.182360336185,0.391196131706
4776,0.584975004196,-1.67815005779,1.73274993896,-0.211222961545,-0.981824457645,-1.25653338432,-0.6762393713
6908,-1.05608403683,-0.181049987674,-0.546199977398,0.135657668114,0.561791419983,0.997928023338,1.02184379101
672,0.318571507931,-0.973750054836,-0.0221000015736,-0.205160170794,0.56136405468,0.0887757241726,0.85172355175
5710,-0.194569051266,-0.15000000596,-0.55520004034,-0.639192938805,0.151532143354,-0.499824732542,0.406591355801
2115,1.29963612556,0.323799997568,0.27404999733,0.0217959210277,0.183110311627,0.183595791459,-0.25796020031
7015,0.503425955772,-1.13600003719,1.72864997387,0.681535661221,-0.614097714424,-0.163812875748,-0.291079729795
8726,-0.438337743282,2.27624988556,0.683450043201,-0.0702734589577,-0.0423476696014,1.81724596024,0.39258313179
2185,0.532412052155,-2.22259998322,1.41859996319,0.359338253736,-0.732157409191,-0.22939658165,-1.01188635826
3315,-0.744601666927,0.00034999998752,-0.0157999992371,0.261884599924,-0.810767412186,-0.0368602871895,-0.198647201061
5289,0.747094035149,-1.04270005226,-0.90315002203,0.149419650435,-0.246991187334,0.0393553748727,0.570107758045
868,-0.117938861251,-0.527000010014,1.78280007839,-0.594673395157,-0.67304122448,-0.380812913179,-0.800041079521
1677,-0.00503414869308,-1.26524996758,-1.1346000433,-0.509597361088,-1.10568881035,-0.623357832432,-0.864296376705
7043,0.580250740051,-0.387099981308,2.30220007896,-0.450084626675,-0.553967118263,-1.13552379608,-1.0712877512
5613,0.484138607979,-0.883049964905,0.358099997044,0.186911076307,-0.422428309917,-0.126587063074,-0.486274391413
595,1.82793331146,-1.56599998474,-1.20439994335,-0.594266891479,-0.049278870225,-0.43778398633,0.696866214275
4793,-0.153271153569,-0.514800012112,-1.18315005302,-0.113161027431,-0.798797786236,0.14309592545,0.147461012006
2736,0.547167479992,-1.21850001812,3.00134992599,0.483836680651,-0.425496160984,0.240220874548,-0.760910689831
5290,-0.583419620991,-0.577099978924,2.30690002441,0.382983893156,-0.662664711475,0.0478091835976,-0.629131197929
6194,-0.000365753076039,0.00065000000177,-1.03164994717,-0.705622255802,0.701562285423,0.75923961401,-0.601985573769
1676,0.577890872955,-0.96280002594,2.15180015564,0.0761560946703,-0.88582277298,-1.24149870872,-0.803942918777
23512,-1.24390852451,-0.66764998436,-0.622049987316,0.192658290267,-0.47122117877,-0.865794658661,0.228526860476
148022,0.659871518612,0.775699973106,-0.527499973774,-0.743645250797,-0.197770059109,-0.0208174884319,-0.464794665575
1906,-0.0512145757675,-1.60255002975,-0.27500000596,0.366622239351,-0.522717118263,-0.441655874252,-0.401739865541
8878,-0.0873801335692,0.381699979305,0.0317500010133,-0.120392084122,0.729764759541,-0.932072341442,0.453132838011
3091,-0.200959727168,-2.28079986572,-0.246099978685,0.47759026289,0.0546586513519,-1.05167627335,0.0795165970922
5743,0.0739588737488,-0.708999991417,-0.993950009346,-0.583955705166,-0.182599648833,-0.969651758671,-0.597514927387
5321,-2.14333772659,-0.800599992275,0.520050048828,0.550433516502,-0.5466786623,-0.284487068653,-0.784440279007
4144,0.0425606071949,-0.903999984264,0.547450006008,-0.580073475838,-0.303286850452,0.173966646194,-0.622759401798
1981,-0.286195039749,-0.549000024796,1.2079000473,-0.70252263546,-0.878904700279,0.162657260895,-0.781096816063
695,3.12820458412,3.19379997253,-0.723349988461,0.809967517853,0.752369642258,0.0408321134746,0.263002246618
10398,0.540660619736,-1.82400000095,-0.37650001049,-0.102482713759,-0.924697637558,-1.07744526863,-1.09704828262
5708,0.174887388945,0.274649977684,0.0539500005543,-1.06917357445,1.56129968166,-0.473028093576,-0.82958906889
1213,-0.675010681152,0.885900020599,0.536449968815,-0.568662822247,0.534437537193,0.0071459710598,0.369663417339
226,-1.04044783115,0.231200009584,-0.534749984741,-0.807593643665,-0.757563054562,-0.476291924715,0.0180945917964
6777,3.4073009491,0.560500025749,1.0489000082,-0.319288849831,-0.0541155636311,-0.372468143702,-0.172751024365
2113,-0.584637522697,-2.89084982872,0.710600018501,-0.333420306444,0.0852372795343,1.53669536114,-0.588004946709
3329,0.625502049923,0.169099986553,0.334899961948,-0.0304765254259,-0.100598022342,1.09330785275,-0.0224327612668
1050,0.948018789291,0.776299953461,-0.626349925995,-0.566013395786,-0.363352566957,0.693380355835,-0.056377530098
9491,0.373925924301,-1.39409995079,0.976199924946,-0.214720308781,0.0258392244577,-1.07720971107,-1.27534365654
22926,0.249551743269,0.058050006628,1.10420000553,-1.06706357002,-0.145325824618,-0.605350852013,-0.277348697186
5899,-0.385640978813,0.460000038147,0.10925000906,-0.18954116106,0.61962479353,1.27733397484,0.249304398894
5467,3.17678046227,0.469200015068,2.38914990425,-0.0332856178284,-0.852443814278,-0.808840036392,-0.176367729902
6774,-0.150903224945,0.863799989223,1.01699995995,1.05681109428,0.127867758274,0.022605240345,-0.53811532259
1788,0.87834405899,-2.43044996262,0.640750050545,0.303678870201,-0.986252903938,-0.394102632999,-1.02876675129
5921,-0.884722948074,1.05229997635,0.692849993706,0.125637978315,0.503676593304,-0.652394175529,0.33063107729
5721,-0.735509097576,0.799000024796,-0.500349998474,1.06015145779,1.070566535,1.146525383,0.0574869886041
2263,-0.664598703384,-0.0912500023842,0.909049987793,0.505308032036,-0.857995867729,-0.84124481678,-1.00439965725
808,0.265633285046,-1.23269999027,0.508100032806,0.199951171875,-0.840324044228,-1.3875797987,-1.20596456528
30001,0.18607622385,-0.178499996662,-0.767300009727,0.12435644865,1.50508713722,0.172675982118,-0.232398614287
348,0.0424637198448,-1.20710003376,0.211500003934,-0.00922852754593,-0.744989752769,-0.932236015797,-0.839762568474
30849,-0.296227753162,-0.197199985385,-0.90055000782,-0.817715346813,0.571554660797,0.232441887259,0.67093282938
1454,-1.21266245842,1.37055003643,0.245100006461,-0.5606726408,-0.323242813349,-0.843293845654,-0.48651188612
6500,0.694013774395,0.901799976826,0.861150026321,0.0893524736166,0.47493454814,-0.458127915859,0.608177304268
5627,-0.399217784405,-0.142849996686,-0.194900006056,0.144090816379,0.984152555466,0.962987661362,0.478202313185
5715,-0.263990342617,-1.64835000038,-0.288100004196,-0.383687913418,-0.588451802731,-1.61339902878,-0.666543245316
4791,0.477347582579,-1.34179997444,-0.443599998951,-0.411902219057,-0.544110000134,0.332113355398,-0.529076099396
56924,0.631421029568,0.560299992561,-0.911000013351,-0.892592608929,0.119650900364,0.538181424141,0.698965668678
2690,-0.0288921240717,0.30910000205,-2.0966501236,-0.0536548942327,0.536234557629,0.42119166255,0.335160851479
1019,-1.13238990307,-0.220999985933,1.05120003223,0.071714758873,0.280452996492,0.923651814461,0.352003157139
51422,0.720697641373,0.0877999961376,1.1591501236,0.104299545288,-0.057424724102,0.251508384943,-0.0874440595508
