rid,CPC001_HA1E_6H:BRD-K97330509-001-01-4:10,CPC001_HA1E_24H:BRD-K97330509-001-01-4:10,CPC001_HCC515_6H:BRD-K97330509-001-01-4:10,CPC001_HCC515_24H:BRD-K97330509-001-01-4:10,CPC001_PC3_6H:BRD-K97330509-001-01-4:10,CPC001_PC3_24H:BRD-K97330509-001-01-4:10,CPC001_VCAP_6H:BRD-K97330509-001-01-4:10,CPC001_VCAP_24H:BRD-K97330509-001-01-4:10,CPC016_A375_6H:BRD-K97330509-001-01-4:10,CPC016_A549_6H:BRD-K97330509-001-01-4:10,CPC016_A549_24H:BRD-K97330509-001-01-4:10,CPC016_ASC_24H:BRD-K97330509-001-01-4:10,CPC016_HEPG2_6H:BRD-K97330509-001-01-4:10,CPC016_HT29_6H:BRD-K97330509-001-01-4:10,CPC016_MCF7_6H:BRD-K97330509-001-01-4:10,CPC016_MCF7_24H:BRD-K97330509-001-01-4:10,CPC016_NEU_24H:BRD-K97330509-001-01-4:10,CPC016_NPC_24H:BRD-K97330509-001-01-4:10,CPC016_SKB_24H:BRD-K97330509-001-01-4:10
5720,-1.23730993271,-1.78582680225,0.520300030708,0.257034152746,0.105366840959,0.680656433105,0.388818085194,0.551163077354,0.589312434196,0.00159999728203,0.662659287453,0.587766647339,-0.0971999764442,0.0490047521889,0.414334475994,0.329281419516,-0.459297120571,-0.469151556492,0.423857867718
466,1.06992697716,3.08145260811,-0.486949980259,-0.424811959267,0.65183120966,0.76034617424,0.626259088516,0.511612415314,0.644143462181,0.100650012493,0.544391155243,-1.0163333416,0.0267000198364,0.741317808628,0.457744061947,0.632372140884,-0.643975555897,0.0102599263191,0.457335412502
6009,0.94304817915,1.10700929165,-0.67745000124,1.53534257412,-0.477995663881,0.805999517441,0.150591164827,0.329192340374,-0.707153439522,0.108049988747,0.498710483313,-3.7732000351,-0.652700066566,0.0427723526955,1.23264527321,-0.301199615002,-1.17124605179,0.313220500946,-0.00692918896675
2309,0.147581517696,0.101106703281,0.356600016356,-0.345281928778,-0.455384045839,-1.47262310982,0.268459588289,-0.274927794933,0.211840286851,-0.376949995756,1.08033418655,0.357199966908,0.0422666817904,0.0428902506828,0.376821696758,-0.10406922549,-2.19538903236,1.12483203411,-0.695532858372
387,0.461114048958,0.0508639961481,-0.208050012589,0.291416823864,0.524868547916,-0.044678337872,-1.1934684515,0.970729887486,-0.418303281069,0.685699999332,0.568071603775,-1.11816680431,-0.429533362389,1.10041296482,0.784126341343,-0.342816084623,-0.613793671131,-0.220815241337,0.311756789684
3553,1.22329211235,0.592536211014,0.227249994874,-0.966333270073,-1.5391715765,-0.308629274368,-0.575737774372,-0.692408442497,-0.74927598238,0.539499998093,-0.84102833271,0.715166628361,-0.630433320999,-0.22847700119,-0.187553375959,-0.592748761177,1.16877830029,-0.105024650693,-0.9982457757
427,0.391936182976,-0.519898891449,-1.34555006027,-0.0514961332083,-0.0732849538326,0.613782286644,-0.195661365986,0.815622448921,0.606464147568,0.828399956226,0.381744682789,-0.241700008512,0.386033326387,1.6393674612,0.0947452634573,0.0492870211601,0.402178823948,-1.38749110699,-0.954191446304
5898,0.548538506031,3.48088765144,-0.368149995804,-1.14562427998,0.939446866512,0.764498591423,-0.663903772831,0.00611234875396,0.256811380386,-1.43165004253,-0.172588229179,-0.172000020742,-1.26766681671,0.0585409775376,0.514314830303,0.181489646435,0.476786315441,0.306295216084,0.101852752268
23365,0.202560022473,1.1074410677,-0.645749986172,-0.321401655674,-0.136215642095,-0.641120731831,0.273673593998,0.11406108737,-0.639238238335,-0.832949995995,-0.763563752174,-1.05876672268,-1.07733345032,-0.0936702787876,-0.466059684753,-0.800865530968,0.406575977802,0.897761046886,1.22943747044
6657,-0.313574790955,-0.585407733917,-0.0283500105143,0.807713031769,-1.06065523624,0.177689880133,-0.907933115959,-0.937520623207,-0.153364464641,0.858699977398,-0.726886153221,1.51403343678,-0.324433386326,-0.6497656703,-0.238108053803,-0.584290444851,-0.0509426146746,0.30324447155,-0.559073448181
