rid,CPC003_HA1E_6H:BRD-K32696739-001-02-6:10,CPC003_HA1E_24H:BRD-K32696739-001-02-6:10,CPC003_HCC515_6H:BRD-K32696739-001-02-6:10,CPC003_HCC515_24H:BRD-K32696739-001-02-6:10,CPC003_PC3_6H:BRD-K32696739-001-02-6:10,CPC003_PC3_24H:BRD-K32696739-001-02-6:10,CPC003_VCAP_6H:BRD-K32696739-001-02-6:10,CPC003_VCAP_24H:BRD-K32696739-001-02-6:10,CPC010_A375_6H:BRD-K32696739-001-16-6:10,CPC010_A549_6H:BRD-K32696739-001-16-6:10,CPC010_A549_24H:BRD-K32696739-001-16-6:10,CPC010_HA1E_6H:BRD-K32696739-001-16-6:10,CPC010_HCC515_6H:BRD-K32696739-001-16-6:10,CPC010_HEPG2_6H:BRD-K32696739-001-16-6:10,CPC010_HT29_6H:BRD-K32696739-001-16-6:10,CPC010_MCF7_6H:BRD-K32696739-001-16-6:10,CPC010_MCF7_24H:BRD-K32696739-001-16-6:10,CPC010_PC3_6H:BRD-K32696739-001-16-6:10,CPC010_PC3_24H:BRD-K32696739-001-16-6:10,CPC010_VCAP_6H:BRD-K32696739-001-16-6:10,CPC010_VCAP_24H:BRD-K32696739-001-16-6:10
5720,-0.715350031853,0.13650906086,-1.14037048817,0.169392675161,0.208128809929,0.578853964806,0.285751760006,0.0309500023723,0.990694642067,-0.265000015497,-6.56640005112,-0.156679660082,0.379550546408,0.511428534985,0.351114183664,0.473845511675,-0.781058430672,0.76563924551,1.76899838448,0.00191999971867,0.309682279825
466,-1.37405002117,0.661680936813,-0.471030294895,-0.0162524096668,0.20691499114,0.995723605156,-0.0180725455284,-0.575500011444,0.889781117439,-0.238500028849,-0.784550011158,0.947552442551,1.09943628311,0.812961578369,0.386172771454,-0.42521071434,1.01671683788,-0.582746624947,0.29080414772,0.332880020142,-0.00287027657032
6009,-0.246450006962,-0.347486495972,0.0151491165161,0.595204353333,0.104718029499,0.691312015057,0.00543639063835,0.345550000668,1.24026596546,0.773350000381,-1.03644990921,0.409512042999,-0.110321819782,-0.594254136086,0.267354309559,-0.0279770493507,0.754420638084,1.27725315094,0.527937233448,0.24125996232,0.834656596184
2309,-1.77339994907,0.609682321548,-0.258938550949,0.407087862492,0.992001473904,-0.139027744532,-0.343236982822,0.00214999914169,0.880423784256,-0.582050025463,1.03705000877,-0.358015209436,-0.134934604168,-0.79085123539,-0.899608433247,-0.50930505991,-1.07993876934,0.694549441338,-0.370417058468,-0.521740019321,-0.692921221256
387,0.53250002861,0.799608469009,0.419480323792,0.0653194487095,-0.00651951134205,0.650477051735,1.12601709366,-0.613399982452,1.20511412621,-0.707149982452,-1.37249994278,0.379574894905,-0.897123932838,-1.00719988346,0.190753474832,0.184498026967,1.18893158436,0.605199933052,1.06919372082,-0.142059981823,-0.356971383095
3553,-0.548600018024,0.793978214264,-0.18071629107,-0.811228334904,1.09578692913,0.967856884003,0.34488260746,0.773350059986,1.27819097042,-0.518499970436,2.91380000114,-0.429945409298,-0.47087931633,0.119638115168,-0.619460701942,-0.491755485535,1.45161092281,0.566240429878,0.302424997091,0.21862000227,-0.70927888155
427,1.06910002232,0.810028970242,-0.647763550282,-0.0814431607723,0.400521486998,1.58873784542,-0.00300724804401,1.00215005875,0.0759280323982,0.1195499897,6.06480026245,0.399800151587,1.35575914383,0.682587504387,0.932682871819,-0.307194292545,-0.712767660618,-0.324073255062,-0.436467200518,0.99849998951,-0.0829974859953
5898,-1.10710000992,-0.0325421988964,-0.100402027369,0.146107345819,0.434645146132,0.113933585584,-0.0718100667,0.0731000006199,0.441546440125,-1.17464995384,-0.448149979115,0.487689435482,0.237752437592,0.0153100742027,0.218816503882,-0.0452847927809,-0.0458549521863,-0.774670124054,0.242859914899,0.0352599918842,-0.953434705734
23365,1.58445000648,0.834467172623,0.742267072201,-0.0946390405297,0.888265371323,0.766561388969,0.574151515961,0.755750000477,1.69391524792,-0.461449980736,0.123750001192,-0.107808098197,-0.998188853264,-0.509859144688,-0.27111056447,-0.50393640995,0.751114785671,-0.413336902857,0.117597579956,0.0584800243378,0.564670622349
6657,-1.03209996223,-0.173921197653,0.0404869541526,0.300122380257,-0.23326022923,0.200373873115,-0.287084907293,0.547599971294,0.631970524788,-0.840849995613,4.7171497345,-0.31124201417,-0.721325933933,0.75048160553,-0.14865295589,-0.6384152174,-0.388822317123,-0.513695001602,-1.02158403397,0.0245800018311,-0.192785993218
5054,0.0397999882698,-0.0406865142286,-0.658240973949,0.00301743671298,0.960017740726,-0.578112244606,-0.586913883686,1.25664997101,-0.32552844286,-1.49769997597,-2.57639980316,-1.32923293114,0.400606453419,0.730603694916,0.552316069603,0.861489832401,0.379410684109,-0.773864924908,-0.317168742418,-0.368239998817,-0.5113235116
3108,-0.174500018358,0.16898880899,0.167809695005,0.111419096589,-0.0827495008707,-0.134263157845,-0.18138691783,-0.926750004292,2.23288798332,-0.441500008106,3.80060005188,-0.176875591278,-0.393593728542,-1.67289447784,0.384299039841,-0.265326887369,1.32421600819,0.081165522337,-0.456661939621,-0.144820004702,-0.559553325176
1950,-0.32824999094,-0.2050537467,-1.2399315834,-0.535086274147,-0.674719691277,-0.602089226246,-0.634679555893,0.135899990797,0.299266606569,0.714150011539,4.69614982605,-0.76336979866,1.00189781189,0.787574648857,-0.497572511435,-0.422830015421,-0.632356345654,-0.663163840771,-0.858983039856,-0.160600036383,-0.5817887187
351,-0.253299981356,-0.328594177961,-1.1021168232,0.657224535942,-0.166461542249,-0.0442405343056,-0.320846676826,0.0,-0.919834911823,-0.247400000691,2.43235015869,-0.772282540798,-0.171860665083,0.372041344643,0.256346523762,-1.00498223305,0.303713291883,-0.274160802364,-1.27457475662,-0.060919996351,0.089856788516
4846,-0.567650020123,-0.240391090512,-1.04641461372,-0.143367782235,0.0673099756241,-0.350126087666,-0.480893671513,-0.0530000030994,-1.24917817116,0.34295001626,0.116599917412,0.754757165909,0.308519005775,-1.0736798048,0.138344660401,0.358029186726,-1.94052612782,-0.472940683365,-0.0936444997787,-0.0319199897349,-0.788650631905
1452,1.29799997807,0.420653641224,1.0336483717,-0.310808300972,0.20633623004,-0.0124923884869,-0.933776021004,0.450299978256,0.310783326626,-0.579949975014,-2.07115006447,-0.778633773327,-0.314922899008,-0.972160637379,-0.262288808823,-0.531355261803,-0.0804158002138,-0.539269328117,0.531380236149,0.984959959984,-0.37364512682
