rid,CPC011_A375_6H:BRD-K56614220-001-15-8:10,CPC011_A549_6H:BRD-K56614220-001-15-8:10,CPC011_A549_24H:BRD-K56614220-001-15-8:10,CPC011_HA1E_6H:BRD-K56614220-001-15-8:10,CPC011_HT29_6H:BRD-K56614220-001-15-8:10,CPC011_MCF7_6H:BRD-K56614220-001-15-8:10,CPC011_MCF7_24H:BRD-K56614220-001-15-8:10,CPC011_PC3_6H:BRD-K56614220-001-15-8:10,CPC011_PC3_24H:BRD-K56614220-001-15-8:10,CPC011_VCAP_6H:BRD-K56614220-001-15-8:10,CPC011_VCAP_24H:BRD-K56614220-001-15-8:10,CPD001_MCF7_6H:BRD-K56614220-001-13-3:10,CPD001_MCF7_24H:BRD-K56614220-001-13-3:10,CPD001_PC3_24H:BRD-K56614220-001-13-3:10
5720,0.27404999733,-1.13209283352,0.105967581272,-0.273500025272,0.479275465012,-0.0623500049114,-1.06760001183,-0.0683363899589,-0.403758972883,-0.702084481716,0.248905047774,0.978366374969,1.82587718964,-0.200813233852
466,0.0900499969721,1.13444662094,-0.198622763157,0.114650003612,0.549690246582,-0.811999976635,-1.3234000206,0.57973587513,-0.558896183968,1.10114753246,0.84834164381,-3.97266244888,-0.702218711376,0.215979635715
6009,0.0,0.631462156773,0.178920462728,-1.18675005436,0.513797521591,0.771350026131,-1.12329995632,0.339116513729,-0.445675462484,1.15459489822,-0.171325221658,1.20346283913,2.1125330925,-0.289608478546
2309,-0.197499990463,-0.54876935482,0.673705816269,-0.0124000012875,1.45539689064,0.465449988842,1.6590000391,-0.435056090355,0.121090531349,-1.51519358158,0.379757523537,2.80483841896,-0.00700008124113,0.283593803644
387,-0.107749998569,-0.221768081188,-0.0640878528357,-0.372850000858,0.101483650506,-0.891900002956,-0.800999999046,-0.499837040901,-1.62019467354,0.399156928062,-0.415078103542,1.00257885456,0.25802063942,-0.662229418755
3553,-0.934249997139,-0.700574159622,-0.862093448639,-0.492699980736,-0.645560622215,-0.0726500153542,-0.598399996758,-0.258852630854,-0.511059165001,-0.647398650646,-0.89261507988,0.932484686375,0.835421323776,0.6880890131
427,-0.789149999619,-0.822401642799,0.671301364899,0.231799960136,-0.126181229949,-0.149700000882,-1.48010003567,0.587488770485,-0.993600666523,1.13966667652,0.746316790581,-0.947694301605,-0.0360298454762,0.159646779299
5898,-0.467299997807,0.747368872166,0.231767058372,1.23199999332,0.135593056679,-0.941699981689,-0.757499992847,0.183316141367,-0.738276064396,0.870113670826,0.469783186913,-2.31950068474,-0.649372577667,0.940580606461
23365,-0.353650003672,-0.201508715749,-0.130770921707,-0.240850031376,1.26727390289,-0.364749997854,0.265799999237,0.549873054028,0.218877285719,1.11361587048,0.450701296329,-0.107734709978,-0.948977410793,-0.570923089981
6657,-1.09755003452,0.564762711525,-1.18892383575,-0.167200028896,-1.0147331953,0.944499969482,0.377099990845,0.0133901759982,1.07164382935,-1.36818778515,-1.16645240784,1.70704638958,1.55819821358,-0.160898670554
