rid,CPC012_A375_6H:BRD-K25731886-001-01-3:10,CPC012_A549_6H:BRD-K25731886-001-01-3:10,CPC012_A549_24H:BRD-K25731886-001-01-3:10,CPC012_ASC_24H:BRD-K25731886-001-01-3:10,CPC012_HA1E_6H:BRD-K25731886-001-01-3:10,CPC012_HCC515_6H:BRD-K25731886-001-01-3:10,CPC012_HT29_6H:BRD-K25731886-001-01-3:10,CPC012_MCF7_6H:BRD-K25731886-001-01-3:10,CPC012_MCF7_24H:BRD-K25731886-001-01-3:10,CPC012_NEU_24H:BRD-K25731886-001-01-3:10,CPC012_PC3_6H:BRD-K25731886-001-01-3:10,CPC012_PC3_24H:BRD-K25731886-001-01-3:10,CPC012_PHH_24H:BRD-K25731886-001-01-3:10,CPC012_SKB_24H:BRD-K25731886-001-01-3:10,CPC012_VCAP_6H:BRD-K25731886-001-01-3:10,CPC012_VCAP_24H:BRD-K25731886-001-01-3:10
5720,-0.0779869779944,0.0247038155794,-8.8985004425,-0.482899993658,-0.366279006004,-0.173895850778,-1.09900331497,-0.455747306347,-0.582885742188,10.0,1.13471281528,0.660367846489,10.0,0.142049998045,-1.16275835037,-0.593603372574
466,0.105972886086,1.42953908443,3.61299991608,-0.797599971294,-0.343185245991,1.14901447296,0.481228470802,0.385846912861,0.0168268308043,5.82569980621,1.03499257565,0.213561072946,-1.83010005951,0.131099969149,-1.25122797489,-1.65020370483
6009,0.306959062815,1.29597365856,-1.17420005798,-6.64930009842,0.612148165703,0.705442965031,-0.833934545517,0.864915072918,0.132089555264,-8.06284999847,0.787012815475,1.30651760101,-2.14459991455,-4.52859973907,-0.785713613033,-0.184162631631
2309,0.747506856918,-0.294203519821,-0.730799973011,-2.33750009537,-2.40463733673,-1.54740965366,-0.647154986858,0.570745944977,0.0504131950438,-0.539950013161,-0.125220745802,-1.56336176395,1.11179995537,-1.45340001583,-0.769605338573,0.0317223742604
387,0.148028060794,0.275033771992,-10.0,-5.93480014801,0.163162112236,0.116008251905,-1.36536931992,0.170315459371,1.41366958618,2.55754995346,1.39866220951,1.33818101883,-2.28229999542,-1.53115010262,-0.0273090600967,1.03468608856
3553,-0.422283411026,-0.0158983841538,-1.23629999161,10.0,0.476341843605,-0.549965500832,0.476237595081,-0.102709546685,0.563524782658,10.0,-0.879432976246,-0.545810580254,-3.16129994392,-0.0851500034332,0.647435903549,0.802028536797
427,0.118625693023,0.643837153912,10.0,6.73390007019,1.33322000504,1.38640677929,1.65641140938,0.499838620424,0.965528845787,8.37269973755,0.631520092487,-0.384962826967,3.7295999527,4.8407497406,0.0231502242386,-0.648408353329
5898,-0.0428077690303,1.12039756775,1.89359998703,7.37459993362,-0.353676348925,1.18196547031,-0.286661028862,-0.691853642464,-0.316298514605,4.08759975433,-1.82368338108,-0.663827776909,2.73340010643,1.14735007286,-0.360726505518,-0.395904809237
23365,1.14800858498,0.347678512335,7.21129989624,-3.81850004196,-0.732980072498,1.64936506748,0.713535249233,0.0743877589703,-0.291480839252,1.58089995384,-0.0410223603249,1.55972671509,0.562399983406,-2.58944988251,-0.57866537571,0.208680734038
6657,-0.0222447626293,0.0551521517336,3.56710004807,8.06659984589,1.85284876823,-1.51958394051,0.64194047451,-0.277574360371,0.770503818989,-3.4904499054,-0.959491848946,-0.32868283987,4.92129993439,3.56269979477,1.131051898,0.3046002388
5054,0.209612160921,-0.139475002885,3.04380011559,-2.79250001907,-1.29678380489,0.860257565975,1.86507797241,-0.385953903198,0.0263817608356,2.8874001503,-0.413704991341,0.331020951271,-3.83380007744,-1.07050001621,1.38687086105,0.385868608952
3108,0.0869025886059,0.332038521767,4.31529998779,0.776700019836,0.00572973489761,-0.260715454817,0.100745886564,-0.520381569862,-0.720164179802,7.17710018158,0.0416280031204,0.110782951117,10.0,3.05204987526,0.602640688419,0.612044215202
1950,0.114082418382,-0.448148071766,4.33010005951,-1.09340000153,2.16584205627,0.58564054966,1.2386661768,0.846493244171,0.979143977165,6.89319992065,-0.48885717988,0.0214280039072,-0.942099988461,7.3466501236,1.19874048233,1.72941696644
351,0.435656040907,0.519722759724,-4.31290006638,-10.0,1.81497395039,0.696004986763,0.134315401316,0.564912199974,0.864571034908,-9.84350013733,0.0686670988798,0.0316765233874,-0.00400000018999,-10.0,-0.156326860189,-0.126287460327
4846,0.00953701138496,1.61510396004,0.364800006151,10.0,1.60053122044,-0.507921397686,-0.766940653324,0.182449638844,0.373628288507,8.52460002899,-0.29878038168,-0.591357111931,2.53299999237,3.93510007858,1.27130413055,1.44143223763
1452,-0.366797894239,0.0454189777374,-2.05679988861,4.01359987259,-1.63989138603,0.122781120241,0.112347409129,-0.205658629537,-0.339934229851,0.792699992657,0.777652382851,-0.185368031263,-0.0502000004053,0.433450043201,0.517965316772,0.88656270504
4776,-0.521179020405,0.178775191307,2.10389995575,4.70529985428,1.35303997993,0.0809708088636,1.03796076775,-0.0257331244648,0.981740772724,5.21010017395,-1.67328262329,0.309609413147,0.182999998331,2.04890012741,0.709316134453,1.46721673012
6908,0.441989958286,1.25980138779,5.59289979935,2.25650000572,-0.0429055690765,0.90672647953,-0.98512595892,0.252028077841,0.414984405041,3.56879997253,1.3633351326,1.02324748039,0.9075999856,0.148149996996,-0.533195078373,-0.215470865369
672,0.168756172061,-0.141433700919,1.7390999794,1.37049996853,-0.129898697138,0.651013731956,0.0899730846286,0.332602709532,-0.155358850956,9.25074958801,-0.802288234234,0.219665706158,5.22049999237,2.57379984856,0.216754674911,-0.833711922169
5710,0.201730936766,-0.466636359692,-3.01690006256,-3.46939992905,-2.39877295494,-0.610108077526,-0.428176701069,-0.601464867592,-0.254293739796,-4.49784994125,1.03877091408,0.256933361292,-0.563300013542,-2.2718000412,-1.29922699928,-0.5266726017
2115,0.417576432228,-0.529899358749,10.0,10.0,1.33815383911,0.188125222921,-0.392568290234,-0.0796764791012,0.17719578743,8.89715003967,-1.47669744492,-0.65808814764,10.0,8.93544960022,-0.444845944643,0.964059054852
7015,-0.201374813914,0.410929441452,-3.89310002327,-0.33520001173,1.03167617321,-0.111032634974,0.817717254162,-0.12471228838,0.956881582737,3.44239997864,-1.54604554176,-0.597017228603,-1.34159994125,0.594850063324,1.50316357613,1.06781613827
8726,-0.141596645117,-0.683755517006,1.72539997101,0.0,-0.685883939266,1.42316555977,0.756306707859,-0.0319076403975,-0.480344206095,9.40200042725,0.682534575462,0.362327516079,-2.06590008736,0.414399981499,-0.605335652828,0.214090198278
