rid,DOS029_VCAP_24H:BRD-K27597389-001-01-8:5.06,DOS033_A375_24H:BRD-K27597389-001-01-8:5.06,DOS033_A549_24H:BRD-K27597389-001-01-8:5.06,DOS033_HT29_24H:BRD-K27597389-001-01-8:5.06,DOS033_MCF7_24H:BRD-K27597389-001-01-8:5.06,DOS033_PC3_24H:BRD-K27597389-001-01-8:5.06,DOSBIO002_A375_24H:BRD-K27597389:10.129,DOSBIO002_A549_24H:BRD-K27597389:10.129,DOSBIO002_HT29_24H:BRD-K27597389:10.129,DOSBIO002_PC3_24H:BRD-K27597389:10.129,DOSBIO002_MCF7_24H:BRD-K27597389:10.129,DOSBIO002_NEU_24H:BRD-K27597389:10.129,DOSBIO002_NPC_24H:BRD-K27597389:10.129
5720,-1.34622740746,0.731552839279,0.108540177345,-1.24644994736,-1.4545378685,-1.17569565773,-0.0793333351612,-0.538566708565,-0.202026188374,1.56119501591,0.435257911682,-0.0231000185013,1.15284514427
466,-3.12132310867,-0.674705862999,-0.0785356163979,-0.0945499837399,-1.54981637001,0.00475828722119,0.814433395863,-0.0819666683674,-0.173164337873,0.479968845844,0.744409024715,0.117700010538,0.768623411655
6009,1.12148594856,0.0468142330647,1.84292244911,1.98944997787,0.321570396423,0.897251188755,-0.00886667147279,0.0711666718125,-0.261948645115,-0.411416947842,-0.368037313223,-1.56844997406,0.484723240137
2309,1.23954916,0.41245752573,-0.0166467428207,0.14659999311,2.18025636673,0.0381704419851,0.942466616631,0.0978666692972,-0.899908542633,-0.118066050112,-0.675483644009,-0.439649939537,-0.133285447955
387,0.843711435795,-0.667973220348,1.92697525024,1.63565003872,1.25540792942,0.634690701962,0.135233327746,-0.387833327055,-0.665548026562,0.973341286182,-0.190641731024,-0.435299992561,0.314259499311
3553,1.76024162769,-0.544753849506,-0.62112724781,-0.338550001383,-1.57717680931,-0.776347577572,0.318899989128,-0.362633347511,-0.271180540323,0.272117137909,1.00109946728,0.870199978352,-0.737022936344
427,-3.24957251549,-0.250997900963,-0.292964458466,-0.539099991322,0.378157347441,-0.0760882273316,0.0795333385468,-0.453333377838,0.0440717637539,-0.326067179441,3.7478749752,0.638399958611,-0.331097006798
5898,-1.8814715147,-2.53126883507,-1.33785009384,-0.18180000782,-0.820159137249,-0.42078858614,-0.271966665983,0.133366703987,-0.541019082069,0.267890661955,0.0957464575768,-0.0511000007391,-0.117648929358
23365,-0.168964892626,-0.721594929695,1.56947278976,-0.403349995613,2.36538553238,-1.70779967308,0.124133378267,-0.379166692495,0.132297962904,-0.354524374008,-0.335808098316,-0.946250021458,-0.308285653591
6657,0.898319542408,-0.39506700635,-1.01720070839,-0.329399973154,-1.24959337711,0.48234719038,-0.471300065517,0.509166717529,-0.105416372418,-0.54207098484,0.61022233963,-1.37269997597,0.532694280148
5054,-1.01039481163,-3.99758768082,-0.430821508169,1.16980004311,-0.5792491436,-0.543307423592,0.986400067806,0.277733355761,-0.862301647663,-0.574164032936,1.56560277939,0.74255001545,-0.240681543946
3108,4.93332719803,0.813889026642,3.48598146439,0.453649997711,1.02861309052,0.75917160511,0.650499999523,-0.174733325839,-0.997432768345,-0.782104492188,-0.425478816032,1.46595001221,-0.17559748888
1950,0.361266851425,0.608571231365,-0.918610692024,-0.721500039101,-1.04993665218,0.577344477177,-0.103366687894,-0.754433333874,-0.263359189034,-1.02881336212,0.605708897114,0.499249994755,0.361203700304
351,-0.581453800201,0.307470440865,-1.50696694851,-0.744899988174,-0.699718654156,-0.2565959692,0.176233336329,-0.648899972439,-0.115031450987,-1.06647837162,0.183158785105,-0.480549991131,-0.233145341277
4846,0.246586322784,-0.585629105568,0.156516134739,0.0145500004292,-0.857566475868,-0.578632473946,0.754499971867,0.281700015068,0.115222081542,0.321148753166,0.249630093575,0.740100026131,-0.491068959236
1452,-2.21708989143,0.564632356167,0.662278056145,-1.16645002365,0.856773138046,-0.103837125003,-0.0201999992132,-0.081933349371,-0.286316007376,-0.587007582188,0.660037875175,-0.692750036716,0.4566424191
