rid,CPC003_HA1E_6H:BRD-K12357156-001-01-5:10,CPC002_HA1E_6H:BRD-K47105409-001-04-6:10,CPC003_HA1E_24H:BRD-K12357156-001-01-5:10,CPC002_HA1E_24H:BRD-K47105409-001-04-6:10,CPC003_HCC515_6H:BRD-K12357156-001-01-5:10,CPC002_HCC515_6H:BRD-K47105409-001-04-6:10,CPC003_HCC515_24H:BRD-K12357156-001-01-5:10,CPC002_HCC515_24H:BRD-K47105409-001-04-6:10,CPC003_PC3_6H:BRD-K12357156-001-01-5:10,CPC002_PC3_6H:BRD-K47105409-001-04-6:10,CPC003_PC3_24H:BRD-K12357156-001-01-5:10,CPC002_PC3_24H:BRD-K47105409-001-04-6:10,CPC003_VCAP_6H:BRD-K12357156-001-01-5:10,CPC002_VCAP_6H:BRD-K47105409-001-04-6:10,CPC003_VCAP_24H:BRD-K12357156-001-01-5:10,CPC002_VCAP_24H:BRD-K47105409-001-04-6:10,CPC018_A375_6H:BRD-K12357156-001-01-5:10,CPC018_A375_6H:BRD-K47105409-001-09-5:10,CPC018_A549_6H:BRD-K12357156-001-01-5:10,CPC018_A549_6H:BRD-K47105409-001-09-5:10,CPC018_A549_24H:BRD-K12357156-001-01-5:10,CPC018_A549_24H:BRD-K47105409-001-09-5:10,CPC018_ASC_24H:BRD-K12357156-001-01-5:10,CPC018_ASC_24H:BRD-K47105409-001-09-5:10,CPC018_HEPG2_6H:BRD-K12357156-001-01-5:10,CPC018_HEPG2_6H:BRD-K47105409-001-09-5:10,CPC018_HT29_6H:BRD-K12357156-001-01-5:10,CPC018_HT29_6H:BRD-K47105409-001-09-5:10,CPC018_MCF7_6H:BRD-K12357156-001-01-5:10,CPC018_MCF7_6H:BRD-K47105409-001-09-5:10,CPC018_MCF7_24H:BRD-K12357156-001-01-5:10,CPC018_MCF7_24H:BRD-K47105409-001-09-5:10,CPC018_NPC_24H:BRD-K12357156-001-01-5:10,CPC018_NPC_24H:BRD-K47105409-001-09-5:10,CPC018_PHH_24H:BRD-K12357156-001-01-5:10,CPC018_PHH_24H:BRD-K47105409-001-09-5:10,CPC018_SKB_24H:BRD-K12357156-001-01-5:10,CPC018_SKB_24H:BRD-K47105409-001-09-5:10,MUC.CP006_MCF7_6H:BRD-K47105409-001-04-6:10,MUC.CP006_MCF7_6H:BRD-K47105409-001-04-6:3.3333,MUC.CP006_MCF7_6H:BRD-K47105409-001-04-6:1.1111,MUC.CP006_MCF7_6H:BRD-K47105409-001-04-6:0.3704,MUC.CP006_MCF7_24H:BRD-K47105409-001-04-6:10,MUC.CP006_MCF7_24H:BRD-K47105409-001-04-6:3.3333,MUC.CP006_MCF7_24H:BRD-K47105409-001-04-6:1.1111,MUC.CP006_MCF7_24H:BRD-K47105409-001-04-6:0.3704
5720,-2.68949985504,0.631328165531,-0.413026452065,0.0717130750418,0.411799997091,-0.396167963743,0.119718506932,-0.340960502625,-2.91837072372,0.299700677395,-0.265159249306,-1.06973409653,0.625134527683,0.0768974870443,0.406899988651,0.897276163101,0.717542588711,-0.642935633659,0.733300089836,-1.39130270481,0.526300013065,0.883849978447,-0.469895541668,0.137363553047,-0.0101658888161,-0.822588443756,-1.69644010067,-1.38683640957,0.252700120211,-0.846142053604,-0.528700113297,-1.35638046265,0.262552917004,-0.61939740181,0.267025142908,-0.468983352184,1.7877342701,-0.434366703033,0.422691822052,-0.0584010481834,-0.103609524667,-0.23527276516,-0.325476467609,0.326230049133,0.284237205982,-1.17921733856
466,0.847249984741,0.451030641794,0.871669471264,0.0227685794234,0.848933339119,0.724946856499,-0.235680341721,0.301799535751,-0.361903548241,-0.168216228485,-0.598139643669,-0.638082683086,2.01033568382,0.617826879025,-0.410549998283,0.38621082902,0.23439925909,-0.296602368355,-0.413600027561,-0.558845758438,-0.0383500009775,1.09439992905,0.686152935028,-0.907395124435,-1.78106641769,-2.95132398605,-0.062268357724,0.519023954868,0.162312433124,0.188233926892,-0.327923417091,-0.583733677864,0.266957938671,-0.0182224009186,-0.868966341019,-0.31503251195,0.166900828481,0.203099966049,-0.0243982076645,0.272558271885,-2.14902663231,-0.681523323059,-0.129053622484,-0.273373216391,-0.0055474974215,-0.367067068815
6009,-0.826550006866,-0.119268536568,-0.672466278076,-0.552069604397,0.64436674118,-0.616749763489,-0.705040633678,-1.3183516264,-0.0140399113297,0.678196430206,0.558752954006,-0.612219929695,1.1075476408,-0.604238808155,-0.0350999981165,-1.12173056602,-0.45745947957,0.606819093227,0.0458332896233,-0.893761098385,0.284950017929,0.449500024319,-0.0932779014111,0.330242931843,-0.0841999202967,-0.238554656506,0.115021109581,-0.283276379108,-0.0919969677925,-0.807857811451,-0.0956489369273,1.04932761192,-1.1611675024,-0.327748298645,-0.195784091949,-0.336532115936,-0.562079012394,-0.137166649103,0.660739481449,-0.405238866806,1.38012170792,0.115175560117,-0.313151150942,-0.190946757793,-0.0607610866427,-1.11471819878
2309,0.733950018883,-0.982622623444,-0.369106918573,-0.47980466485,0.956799983978,1.19944751263,-0.0279635488987,-1.39727783203,1.0681385994,0.320749282837,0.31276768446,0.341430008411,1.40629673004,0.374747782946,0.29675000906,0.87257373333,0.630472362041,1.37812113762,0.499399960041,1.83286213875,0.999799966812,-0.246799990535,0.333252251148,-1.15287268162,0.796107292175,-0.3010828197,-0.207949504256,0.483308374882,-0.765960514545,-1.29814100266,-0.0757333785295,0.646099090576,-0.247941434383,0.0736422613263,-0.507396996021,0.211523205042,0.370211660862,-0.0257666707039,-0.0462560653687,-0.172535404563,-0.856703460217,-0.370096951723,-0.326850533485,-0.514368534088,-0.302885770798,-0.349891155958
387,0.233399987221,1.01638531685,-0.308450102806,-0.307269394398,-0.456800013781,-0.703059434891,-1.63669729233,-0.387049406767,-0.109005153179,0.14603663981,-0.264185190201,-0.686549305916,1.69002604485,-0.922700047493,0.0248499810696,-0.0662393122911,0.478773713112,-0.695296168327,0.0832999944687,0.397086650133,-0.365850001574,0.00655001401901,-0.597864508629,0.414893269539,-0.265956968069,0.940282464027,0.548120617867,0.289998352528,-0.145525127649,-0.80480825901,-0.530200183392,3.05483388901,-0.295965611935,-0.502123832703,-0.644640445709,-0.0367508530617,-1.21098530293,-0.67746669054,0.716599583626,0.353421449661,3.73858070374,-0.0717168450356,0.408527046442,-0.0244026519358,-0.640496730804,-1.05706930161
3553,1.66595005989,-0.0555154830217,-1.56325745583,-0.963001728058,-0.335566669703,-0.0682929903269,1.14969837666,0.333242803812,0.481460243464,-0.690141558647,0.0925008356571,-0.188064455986,1.29889273643,-0.612001776695,0.00194999575615,-0.810007810593,0.350764155388,-0.271010816097,0.239633351564,0.625139951706,0.665300011635,0.135899990797,0.263729631901,2.58981323242,0.350189089775,0.823822617531,0.953821897507,1.36363852024,0.433221042156,0.108729243279,-0.26707854867,-0.129006206989,1.2718603611,1.290771842,0.403962224722,1.95975673199,0.54013133049,0.606600046158,0.109618365765,-0.177065104246,2.15831899643,0.141585662961,1.88707387447,0.642986774445,0.516865372658,1.03259754181
427,0.725849986076,-0.247675105929,0.223818823695,-0.255528271198,0.391233354807,0.489939332008,0.43589219451,-0.18900372088,0.142381578684,0.0108685735613,0.0422371998429,-0.891643643379,1.31410574913,0.0790357291698,0.577600002289,-0.0514158084989,0.468192726374,0.996514081955,-0.763033390045,-0.705430090427,-0.478349983692,0.0846000015736,0.530299127102,-0.141701698303,-0.11394906044,-0.401685357094,0.315542250872,-0.364222854376,-0.154409587383,0.416846096516,0.315458238125,-0.295489341021,-0.508237481117,-0.961644947529,0.608553647995,-0.872213602066,0.472661018372,-1.38143336773,0.587118089199,0.155617624521,-0.919317960739,-0.304605573416,0.018409922719,-0.255985379219,-0.584002435207,0.0130753517151
5898,-2.37779998779,0.135636329651,-0.714807987213,-0.832424044609,-0.0837666392326,-0.331695079803,-1.05698156357,-0.996122777462,0.823358356953,-0.304837733507,0.0610986612737,-0.517676472664,2.09461641312,0.330857843161,0.556299984455,-0.0923508703709,-0.61383664608,-0.345659196377,-0.417833328247,0.167451202869,-1.56314992905,-0.00455000251532,0.864367008209,-0.665289103985,-0.57570463419,-0.271401405334,0.53556483984,1.57969999313,0.433835446835,-0.424085795879,-0.620843648911,0.462571084499,-0.201462119818,0.454316735268,0.0360216572881,0.517389297485,-0.637356877327,0.115666657686,-0.439739137888,-0.176141709089,-1.19688057899,-0.128802508116,-1.73895668983,-0.839061439037,-0.0773936808109,-0.460328966379
23365,0.627050042152,-1.1298084259,0.664951443672,0.257989257574,0.314033329487,0.565059065819,0.854929566383,1.18176424503,1.29796302319,-0.41426128149,0.316847532988,-0.51812505722,2.14790511131,-0.333446741104,-0.171700000763,-0.597951352596,0.206801757216,0.517835557461,0.0358333289623,1.95097577572,0.489900052547,-0.386599987745,0.62166506052,0.47085249424,0.0225511174649,-0.217937201262,0.268852084875,-0.16133415699,0.105280347168,0.572471082211,-0.984769523144,0.312050312757,-0.221089422703,0.751150429249,-0.654979884624,0.0938546955585,-0.529429554939,0.469666689634,2.14061808586,0.97889727354,-0.265204966068,0.078679472208,-0.21471747756,-0.678908407688,-0.457711905241,-0.749785423279
6657,0.847400009632,-0.0620475150645,-1.40252792835,-1.04152846336,0.250233352184,-1.94524431229,-0.20230923593,-0.241348236799,1.92563867569,0.50799703598,0.806675851345,0.186442375183,1.31760776043,-0.902488410473,1.14649999142,-1.05457675457,0.696337401867,0.617271006107,-0.0157666355371,1.57800662518,0.155700027943,-0.10150000453,0.316537380219,-0.472273111343,-0.603473067284,0.718483924866,0.688379228115,0.290730118752,-0.623210668564,0.507186353207,0.567157328129,-0.509461045265,-0.256462454796,0.527564525604,-0.0163588598371,0.770430028439,-0.0341878905892,0.102033346891,-0.691310286522,-0.184044644237,2.81271314621,3.35285139084,1.0815757513,-0.037987627089,0.964723825455,1.89909434319
