rid,CPC020_A375_6H:BRD-K03394322-001-02-6:10,CPC019_A375_6H:BRD-K03394322-001-03-4:10,CPC020_A549_6H:BRD-K03394322-001-02-6:10,CPC019_A549_6H:BRD-K03394322-001-03-4:10,CPC019_A549_24H:BRD-K03394322-001-03-4:10,CPC020_HA1E_6H:BRD-K03394322-001-02-6:10,CPC019_HA1E_6H:BRD-K03394322-001-03-4:10,CPC020_HCC515_6H:BRD-K03394322-001-02-6:10,CPC019_HCC515_6H:BRD-K03394322-001-03-4:10,CPC019_HEPG2_6H:BRD-K03394322-001-03-4:10,CPC020_HT29_6H:BRD-K03394322-001-02-6:10,CPC019_HT29_6H:BRD-K03394322-001-03-4:10,CPC020_MCF7_6H:BRD-K03394322-001-02-6:10,CPC019_MCF7_6H:BRD-K03394322-001-03-4:10,CPC020_MCF7_24H:BRD-K03394322-001-02-6:10,CPC019_MCF7_24H:BRD-K03394322-001-03-4:10,CPC020_PC3_6H:BRD-K03394322-001-02-6:10,CPC019_PC3_6H:BRD-K03394322-001-03-4:10,CPC020_PC3_24H:BRD-K03394322-001-02-6:10,CPC019_PC3_24H:BRD-K03394322-001-03-4:10,CPC020_VCAP_6H:BRD-K03394322-001-02-6:10,CPC019_VCAP_6H:BRD-K03394322-001-03-4:10,CPC020_VCAP_24H:BRD-K03394322-001-02-6:10,CPC019_VCAP_24H:BRD-K03394322-001-03-4:10
5720,-0.324692040682,-0.398455739021,1.0189499855,0.359299987555,-0.0816931426525,-0.969201624393,1.31285321712,0.086249999702,0.0958666652441,-0.818021893501,0.151974111795,-0.230856448412,-0.434130698442,0.348291873932,0.23293235898,0.0304433070123,0.112640865147,-0.237268283963,1.01967954636,-0.464635640383,-0.992143750191,-0.379449278116,-0.0151000097394,0.374208748341
466,0.240881204605,-0.700380086899,0.376199960709,0.22349999845,1.79988980293,0.00256103277206,1.1042869091,1.69644999504,0.00983333028853,-0.441876530647,0.720707654953,0.581462621689,0.892885088921,0.504039168358,0.796788752079,1.40871834755,-0.826345086098,-0.457208931446,0.835283279419,-0.806863725185,0.810884773731,-0.0346199572086,-0.0064355134964,0.331726461649
6009,1.14134979248,-1.05693411827,1.05674993992,-0.683749973774,0.313422292471,0.0890811160207,-0.820751667023,1.68260002136,-0.138400003314,0.356756150723,0.503430843353,0.067264534533,0.610619366169,-1.03001391888,1.11469197273,-0.683805346489,-0.660124182701,-0.434101074934,0.185613408685,0.056439768523,0.0233465433121,-0.591816008091,-0.156963050365,0.178244486451
2309,0.774579405785,-0.810396492481,-0.952199995518,-1.08980000019,-1.28676462173,0.387132823467,0.8618054986,-2.11675000191,0.149000003934,1.8701672554,0.838468253613,-0.913426876068,0.485496103764,-0.197018370032,-1.2128007412,-0.676597714424,-0.79500323534,-0.330286979675,0.39729604125,-0.936141431332,-0.18315076828,1.26903367043,0.753417730331,0.855476975441
387,1.30708694458,0.102232307196,1.71010005474,-0.0796499997377,-0.651111245155,0.405964463949,0.0192199163139,0.268949985504,-0.13913333416,0.64012503624,0.13648532331,-0.285380899906,0.934968113899,-0.389513045549,0.238033920527,0.550173103809,1.08846950531,-0.468719363213,0.398153930902,-1.23232519627,0.2439455688,-2.4428896904,0.0185143500566,-0.0131377503276
3553,-0.681183218956,-0.590460419655,-1.15470004082,0.08884999156,-0.558179199696,-1.04773271084,-1.09076762199,-0.312350004911,-0.870333313942,0.31390812993,-0.706372082233,-0.207118719816,-0.426217794418,-1.01323890686,-0.72537457943,0.669944167137,0.452775686979,-0.745117008686,-0.153008714318,-0.871560335159,-0.413964569569,1.91833555698,0.184921175241,-0.621967673302
427,-0.232162535191,0.185676574707,1.20364999771,-0.89335000515,0.103263899684,-0.713147640228,0.259565740824,2.3451499939,0.0517999902368,-2.36581993103,0.420685708523,-0.69673794508,0.314970999956,0.760543346405,2.21427083015,0.193720132113,0.983710408211,0.827593207359,0.00891250371933,-1.03067588806,1.54050016403,-0.520805835724,0.507087111473,0.651288211346
5898,0.283388406038,0.745971679688,-0.135549992323,0.440799981356,0.893750667572,0.454707801342,0.458094120026,1.19249999523,-0.19116666913,0.0681678280234,0.612050414085,-0.981463551521,0.832124650478,0.186500474811,0.405155420303,0.164580911398,1.22041726112,-0.463239192963,-0.588406920433,-0.0388646051288,-1.89315533638,-0.319744467735,-0.556057631969,-0.959371745586
23365,1.12595677376,0.609507441521,1.59750008583,0.157649993896,0.683430194855,0.0606674998999,-1.02863621712,1.46549999714,-0.115033328533,-0.753920316696,0.606703519821,0.350164473057,0.0430872440338,-0.0365508049726,-0.454975366592,-0.119748882949,0.169213265181,0.30363714695,0.0241652205586,0.75799793005,-0.33769980073,-1.21203684807,-0.221391618252,0.405384004116
6657,-0.539849638939,1.05191230774,-0.384999990463,0.233199998736,-0.676012635231,-0.374752491713,-0.749834954739,-0.29129999876,0.163900017738,-1.05864775181,-0.706963062286,-0.518373370171,-0.547434449196,-0.838174045086,-0.65375238657,0.134568080306,0.325786620378,0.53614628315,-0.810199141502,-0.0843807160854,0.767046749592,1.40283322334,0.874914944172,-0.594584226608
