rid,DOS059_A549_24H:BRD-K65426421-001-01-3:5,DOS059_HT29_24H:BRD-K65426421-001-01-3:5,DOS059_MCF7_24H:BRD-K65426421-001-01-3:5,DOSBIO002_A375_24H:BRD-K65426421:10.0733,DOSBIO002_A549_24H:BRD-K65426421:10.0733,DOSBIO002_HT29_24H:BRD-K65426421:10.0733,DOSBIO002_PC3_24H:BRD-K65426421:10.0733,DOSBIO002_MCF7_24H:BRD-K65426421:10.0733,DOSBIO002_NEU_24H:BRD-K65426421:10.0733,DOSBIO002_NPC_24H:BRD-K65426421:10.0733
5720,-1.08819997311,-1.47804999352,0.0733500123024,1.13520634174,0.83496516943,-1.03264033794,-0.110944241285,-1.54988503456,-0.23259998858,0.334391206503
466,0.648000001907,-0.370350003242,0.709499955177,0.422714531422,-0.129242241383,-0.376118957996,0.225560471416,-0.873872995377,-0.230700001121,-0.172244265676
6009,-1.5992000103,-2.10704994202,1.62680006027,-0.176067858934,0.136223912239,1.21332192421,-0.546386599541,-0.272403419018,-0.205199986696,0.508069097996
2309,-0.408699989319,-0.620500028133,0.937649965286,0.442072570324,0.655506372452,0.482675611973,0.384931921959,-0.729477465153,-0.361099988222,0.517044484615
387,7.59130001068,-1.32964992523,3.68660020828,-0.701553404331,0.542520284653,0.365686416626,0.449973672628,0.62454855442,0.900099992752,0.832953631878
3553,0.613099992275,0.440449982882,-0.299400001764,0.319307208061,-0.246334433556,0.34355738759,-0.570930421352,-0.116298489273,-0.289600014687,-0.398192465305
427,-2.29380011559,2.10209989548,-0.571300029755,-0.455580294132,-0.716491878033,-0.604341566563,0.449623912573,-0.059951916337,1.32430005074,-0.62687087059
5898,-0.930400013924,0.302000015974,0.938549995422,0.187872245908,-0.716326534748,-0.278860092163,0.859836101532,-3.79819583893,0.0618000030518,1.01098608971
23365,0.2962000072,-0.454099982977,1.13505005836,-1.00791764259,-0.178389027715,0.0758900269866,-0.862630546093,1.17636013031,0.104699984193,-0.349951386452
6657,0.190799996257,1.64349997044,0.053250014782,0.882897794247,0.727327048779,0.978637158871,-0.621997416019,0.627091526985,0.334749996662,0.966112971306
