rid,CVD001_HEPG2_6H:BRD-A13020530-001-01-7:10,CVD001_HEPG2_6H:BRD-A13020530-001-01-7:2.5,CVD001_HEPG2_24H:BRD-A13020530-001-01-7:10,CVD001_HEPG2_24H:BRD-A13020530-001-01-7:2.5,CVD001_HUH7_6H:BRD-A13020530-001-01-7:10,CVD001_HUH7_6H:BRD-A13020530-001-01-7:2.5,CVD001_HUH7_24H:BRD-A13020530-001-01-7:10,CVD001_HUH7_24H:BRD-A13020530-001-01-7:2.5,CVD001_PHH_6H:BRD-A13020530-001-01-7:10,CVD001_PHH_6H:BRD-A13020530-001-01-7:2.5,CVD001_PHH_24H:BRD-A13020530-001-01-7:10,CVD001_PHH_24H:BRD-A13020530-001-01-7:2.5
5720,-1.22631120682,-0.396161645651,-1.19997024536,-0.230019658804,-0.496519893408,-0.160031557083,-2.46499991417,-0.79797488451,-1.90790295601,-0.368041574955,0.327399998903,0.0878393575549
466,-2.86915254593,-1.97780895233,-4.19917821884,-1.29738712311,-2.47397136688,-2.52071094513,-9.44289970398,-0.968932509422,-1.47004580498,-1.75209021568,-1.0243999958,-0.488893926144
6009,-1.16570723057,0.187869235873,0.0323841869831,-1.00097036362,-0.681889414787,-0.22986869514,0.90030002594,-0.49536049366,-0.45552355051,0.976929783821,-1.2268999815,0.256063014269
2309,0.22543759644,0.206845223904,-0.0819445848465,-0.874518275261,-3.35896253586,-0.769339323044,0.408699989319,-0.881832003593,-0.197085350752,-0.159369856119,-0.210949987173,-0.22006341815
387,-2.41871762276,0.372937321663,0.355152070522,0.29238063097,-3.17375946045,1.13177347183,-2.33629989624,0.319404900074,-1.13191688061,0.884148836136,-1.33879995346,1.30157756805
3553,0.908179402351,-0.537498831749,0.336045950651,0.436104595661,6.52864408493,0.28035363555,10.0,0.053974211216,0.776192843914,1.42274677753,1.49364995956,0.215038120747
427,-2.93553137779,0.281649887562,-0.31187081337,2.05379843712,-1.21185326576,0.621633172035,-1.54649996758,1.84379601479,-1.8995320797,-0.238977730274,-0.570949971676,0.393276274204
5898,0.595630466938,-0.182645827532,1.09166431427,-0.180301353335,0.0476386249065,1.02468323708,0.413199990988,1.19916009903,-1.06304001808,1.27921891212,1.19095003605,1.87097930908
23365,-2.14490175247,0.488550513983,-1.04343557358,0.668143391609,-3.06780862808,0.617273330688,-2.30430006981,-0.296366453171,-0.84119451046,-0.187699437141,-1.04170000553,0.617521107197
6657,2.41748046875,0.850863814354,1.62867200375,-0.0287596732378,5.81998729706,0.345685571432,7.29780006409,0.140013575554,1.21164107323,0.883780360222,2.45000004768,0.100136592984
