rid,CPC013_A375_6H:BRD-K72192970-001-01-7:10,CPC013_A549_6H:BRD-K72192970-001-01-7:10,CPC013_A549_24H:BRD-K72192970-001-01-7:10,CPC013_ASC_24H:BRD-K72192970-001-01-7:10,CPC013_HA1E_6H:BRD-K72192970-001-01-7:10,CPC013_HCC515_6H:BRD-K72192970-001-01-7:10,CPC013_HEPG2_6H:BRD-K72192970-001-01-7:10,CPC013_HT29_6H:BRD-K72192970-001-01-7:10,CPC013_MCF7_6H:BRD-K72192970-001-01-7:10,CPC013_MCF7_24H:BRD-K72192970-001-01-7:10,CPC013_NEU_24H:BRD-K72192970-001-01-7:10,CPC013_NPC_24H:BRD-K72192970-001-01-7:10,CPC013_PC3_6H:BRD-K72192970-001-01-7:10,CPC013_PC3_24H:BRD-K72192970-001-01-7:10,CPC013_SKB_24H:BRD-K72192970-001-01-7:10,CPC013_VCAP_6H:BRD-K72192970-001-01-7:10,CPC013_VCAP_24H:BRD-K72192970-001-01-7:10
5720,-0.723866224289,-0.416799992323,-0.0375354737043,0.0904302150011,-0.509810686111,-0.506749987602,-0.159428119659,-0.147619664669,-0.125179946423,-0.0296510141343,-0.415399998426,-0.674499988556,1.23363530636,0.443597555161,0.593951582909,0.533039927483,-0.432465702295
466,-0.606339693069,-0.337750017643,0.964249014854,0.599788367748,-1.09766554832,-0.647100031376,-0.223670870066,0.104744248092,0.49211204052,0.278869330883,0.861150026321,-0.586455345154,-0.749995529652,0.294842034578,0.94139289856,0.51368522644,-0.341853141785
6009,-1.24001348019,-0.928099989891,0.49061858654,-0.879710197449,-2.15917015076,-1.14770007133,0.933851957321,-0.273455053568,-0.240523651242,0.666347980499,-0.0733000040054,1.17769908905,-0.237796381116,0.240460187197,0.042471498251,-0.681077003479,-0.492916762829
2309,0.332210242748,0.101700000465,0.291720569134,0.311343073845,-0.257114708424,1.80089998245,-0.749454975128,0.564417779446,-0.739290416241,-0.644889473915,-0.126050010324,1.47096848488,1.00023686886,1.3727837801,0.49975797534,0.488237589598,0.123706974089
387,-0.460583090782,-1.02359998226,0.594014644623,-0.0728506296873,-1.28647530079,-0.426149994135,0.432490944862,-0.19801132381,-1.79899036884,-0.0791682824492,-0.705999970436,1.19237589836,-0.527339398861,0.360372036695,0.736681699753,0.314327955246,-0.0382875800133
3553,0.549856424332,0.447050005198,0.0798774957657,2.53067708015,1.38935768604,1.2554500103,0.251429736614,-0.288584440947,0.176740020514,0.234164834023,0.654249966145,-0.165018826723,1.20886862278,0.701454758644,-0.504225730896,-0.663453638554,-0.162870541215
427,-0.394248247147,-2.10155010223,0.491303831339,0.347735762596,-0.0205271244049,1.65380001068,-0.772308588028,-0.575372159481,0.333523482084,0.372510969639,1.90839993954,0.79526591301,-0.631039142609,-0.343686044216,1.10070061684,-0.502893209457,-0.132922515273
5898,-2.23014712334,0.325200021267,-1.11296319962,0.262807667255,-0.233761683106,1.5694000721,0.245670005679,-0.775504827499,-0.824624598026,0.204179525375,1.22769999504,-0.360376536846,-1.11750662327,-0.368316084146,0.0687093809247,-0.361305832863,-0.396491736174
23365,0.438454449177,0.52294999361,-1.1709266901,0.204908207059,-0.146511673927,0.914449930191,-0.760790705681,-0.850745558739,-0.797305345535,-1.06097376347,-0.83134996891,-0.111539363861,0.0405157394707,-0.864578068256,0.292764157057,-1.02339959145,-0.341365844011
6657,-0.19257876277,1.15404999256,-0.277731776237,-0.843686461449,1.50087475777,0.060900002718,-0.126593351364,-1.16421818733,0.667621612549,0.204012662172,-0.3804500103,0.448237061501,0.524528682232,-0.731175243855,-1.14465975761,-0.633428394794,-0.040634572506
5054,0.103212699294,0.00850000977516,0.151509717107,-0.108892433345,-1.34534025192,2.05815005302,2.42662143707,0.0710829719901,-0.12611220777,-0.0191223174334,0.293300002813,-0.879471302032,-0.886959969997,-0.168826639652,0.865494728088,-0.231254070997,0.829300761223
3108,-0.0577467978001,0.46875,-0.728847026825,-0.14882671833,0.432023584843,-0.387199997902,1.10366868973,-0.830753862858,0.538750648499,0.177327126265,0.295549988747,-0.289134651423,-0.207885667682,0.712143599987,0.052765160799,-0.195188596845,-0.645065307617
1950,1.0172303915,-0.473200023174,-0.16858458519,-0.560791313648,1.67199313641,1.66004991531,0.0489403754473,-0.146756008267,0.695813596249,0.547882974148,3.17065000534,0.131231874228,-0.0379258133471,0.0073484480381,-1.15189290047,0.454855024815,1.06476485729
351,0.784730017185,0.46724998951,-0.396082311869,-0.174654394388,-0.126107960939,-0.599300026894,-1.74703705311,-0.071985155344,0.778826713562,-0.100028723478,0.000300000014249,-0.155531987548,-0.695692896843,-0.0201242342591,-1.3157043457,0.0169488992542,-0.0636215955019
4846,-0.221827745438,-0.702350020409,-0.0601507127285,0.528535723686,3.07598733902,1.56489992142,0.983100533485,-0.467955946922,0.797863543034,-0.311518400908,-0.315750002861,-0.0174344182014,1.31726980209,0.237552419305,-0.394774854183,0.603023946285,-0.320074409246
1452,1.015797019,-0.803750038147,-0.480224490166,0.51610147953,0.487852811813,0.971449971199,0.149968966842,-1.30750584602,-0.50812202692,-1.03851759434,-0.101400002837,0.316086113453,-0.838804900646,0.440394222736,-1.3311098814,0.187296748161,0.211932301521
4776,1.03700220585,0.263949990273,0.351908922195,-0.0185735821724,0.950021445751,0.560250043869,-0.435770839453,0.0097244810313,0.609573304653,0.540086746216,0.100199997425,0.336465716362,1.01222991943,-0.680839955807,0.229170590639,-0.714096069336,0.447537124157
6908,-0.414379477501,-0.580800056458,-0.455452501774,0.117164768279,-1.51990151405,-1.16980004311,1.62719249725,0.878813385963,0.185738265514,0.328525036573,0.166900008917,1.48351669312,-0.979667246342,0.0481134131551,0.454728752375,0.905349493027,-0.00909933820367
672,0.170101463795,1.05129992962,0.782269954681,0.00703317672014,-1.23377025127,0.736349999905,-0.609043121338,0.571537673473,0.0350100398064,-0.13942964375,-0.0404500067234,-1.04594862461,-0.305370241404,-0.520724892616,-0.592468500137,-0.0737632662058,0.170853033662
5710,1.15215790272,0.00885000824928,0.178157195449,0.561961650848,-1.66869413853,-0.625550031662,0.483179569244,-1.36262762547,0.199109584093,0.120461478829,-0.0556499958038,-0.00275310873985,-0.169390752912,0.306339740753,0.497423887253,0.152158975601,-0.238734856248
2115,0.438976675272,0.726699948311,-0.131660208106,0.0355805456638,0.932153820992,0.27555000782,-0.334783256054,-0.82616686821,0.193197339773,-0.371765613556,2.00504994392,-0.577594339848,-0.375839948654,0.81816893816,-0.170884922147,-1.01886057854,-0.551675617695
7015,-0.302511811256,-0.053650021553,-0.238684698939,-0.364434510469,0.974529385567,1.90684998035,-0.0612329319119,-0.203354805708,0.752365589142,0.175402700901,0.594799995422,0.0665568038821,0.51520472765,-0.153477579355,-0.48099681735,-0.0370888710022,0.40136051178
8726,-0.626437008381,-0.435600012541,-0.332206785679,-0.328432261944,0.385664105415,0.616800010204,0.517305672169,0.131770759821,-0.818456411362,-0.268067896366,0.489050030708,-1.24081635475,-0.203474014997,0.152718007565,-0.277170062065,0.0215305685997,0.228286594152
2185,0.303628742695,0.393500030041,-0.0379276871681,-0.0917476564646,1.1562615633,0.998049974442,-0.511925041676,-1.15657973289,0.702095329762,-0.0141261257231,0.198849990964,0.297858566046,1.07191336155,-0.737429141998,-0.757378697395,-0.918611049652,-0.352123141289
3315,-0.949724853039,-0.645650029182,-0.512642025948,0.0,-1.98017883301,-2.05119991302,-0.581660628319,-0.890072405338,-0.307345122099,-1.50673532486,0.899150013924,0.832926392555,-0.5843744874,0.0336493812501,-0.000238462263951,0.867907226086,-0.535809516907
5289,-1.54253804684,1.08044993877,-0.452956020832,0.771044790745,-0.169306337833,1.71514999866,0.0112609565258,-1.19420564175,0.788607239723,-0.46187287569,0.520850002766,-0.367721199989,2.22510838509,0.346604317427,0.370556712151,-0.716024816036,-0.508688390255
868,-0.454430222511,-0.677949965,-0.344284981489,-1.15153193474,0.78931760788,1.02014994621,-0.907641172409,1.19018828869,0.764180004597,-0.804805278778,-0.539200007915,1.41858887672,1.38809323311,-1.0858849287,-1.04037749767,-0.941693365574,-0.00780434347689
1677,0.52617841959,0.129649996758,0.45628002286,-0.826071739197,1.19106221199,1.1699000597,0.350820243359,0.786181330681,0.449363231659,0.541674971581,0.00524999946356,-0.162864804268,-0.0507750287652,-0.349797129631,-0.747800469398,0.00613202340901,0.180672124028
7043,0.406527459621,0.616050004959,-0.270269930363,-0.519578933716,0.975744664669,0.53275001049,0.0401672497392,-1.11096274853,0.0755020827055,-1.28674471378,0.0467999987304,1.06148409843,0.539739787579,-1.44318151474,-0.528863549232,-1.22117865086,0.0263348780572
5613,0.813795030117,0.320149987936,-0.379598408937,-0.511606454849,1.14313399792,1.25450003147,-0.71862924099,-0.528223156929,-0.159302398562,-0.531764149666,-0.216700002551,-1.02532243729,1.12642669678,-1.20133757591,-0.935932278633,-0.90270960331,0.229015737772
595,0.451392710209,-0.0644500032067,-0.307990849018,0.316223561764,-1.27059280872,-2.67209982872,0.358848333359,0.345238864422,-0.307437807322,-0.770839929581,0.305299967527,0.532018780708,0.31587806344,0.456619203091,1.48549580574,0.0149748325348,0.0650993287563
4793,-0.425610244274,-0.567000031471,-0.271705597639,-0.467366665602,0.428432434797,2.18125009537,1.35701298714,-0.169539600611,0.178954973817,-0.0727054029703,-0.269600003958,2.08346915245,0.585785627365,0.250563621521,-0.128086864948,0.46490329504,0.256060421467
2736,0.810828626156,1.24615001678,0.225003004074,0.518603682518,1.9745900631,0.492500007153,-0.0530112832785,-0.137784361839,0.30900606513,0.313278049231,0.0490500032902,1.15364360809,0.760259270668,-0.893204569817,-0.480734705925,-0.55333417654,-0.846384823322
5290,-0.19210255146,-0.34010002017,0.282893031836,-1.15020298958,0.657791793346,1.63205003738,-1.47996449471,-1.08391261101,-0.245038956404,1.40474486351,-0.247200012207,-0.672139585018,0.256328940392,-0.532775342464,-1.35489666462,0.718649506569,0.802928924561
6194,0.000271324504865,0.0,0.365511834621,0.0,-0.00157220091205,-0.000999999931082,-0.00449441000819,0.42142996192,0.265138298273,0.338541090488,-0.0010000000475,0.0596660487354,-0.599625110626,-0.176425367594,9.2099297035e-05,0.000538007589057,-0.000468794780318
