rid,DOS027_VCAP_6H:BRD-K15460493-001-01-6:5.03,DOS027_VCAP_24H:BRD-K15460493-001-01-6:5.03,DOS051_A549_24H:BRD-K15460493-001-01-6:5.03,DOS051_HT29_24H:BRD-K15460493-001-01-6:5.03,DOS051_MCF7_24H:BRD-K15460493-001-01-6:5.03,DOS051_PC3_24H:BRD-K15460493-001-01-6:5.03
5720,-0.740400016308,0.189972132444,0.137449994683,0.154600024223,0.851999998093,0.284150004387
466,0.126150012016,0.25078395009,-1.14029991627,-1.33340001106,-0.0453999936581,-1.04799997807
6009,-0.701600015163,-0.748480796814,-0.296899974346,0.415600001812,-1.2064499855,0.42460000515
2309,-1.50779998302,-0.486439526081,0.796000003815,-0.754249989986,0.620650053024,1.19169998169
387,-1.73839998245,0.429628610611,-0.528600037098,0.242250025272,-0.35925000906,-0.879299998283
3553,1.25714993477,-0.516672968864,1.40705001354,1.33095002174,0.46875,0.00309997797012
427,0.815150022507,0.337785363197,-0.494150042534,-0.237000003457,0.0684999972582,-0.536900043488
5898,-0.28845000267,0.155095532537,0.0986000299454,0.827900052071,-3.28480005264,-0.244949996471
23365,0.11464998126,0.0205781310797,0.0613999962807,-0.50619995594,0.620099961758,-0.541499972343
6657,0.68155002594,-0.262804925442,0.643800020218,0.518499970436,0.463599979877,-0.00234999507666
5054,0.689700007439,-0.0955317690969,-0.773050010204,-0.390049993992,-0.148650020361,-1.33354997635
3108,0.0331499576569,0.960677742958,-0.591799974442,-0.257400006056,-0.825199961662,0.40989997983
1950,1.11434996128,1.76129257679,0.00535000860691,0.354250013828,0.00279998779297,0.664950013161
351,0.855350017548,0.0956309065223,0.00170000002254,0.355950027704,0.0062500089407,0.753399968147
4846,-0.352699995041,0.377944499254,-0.317350000143,-0.872049987316,0.145500004292,0.269749999046
1452,-1.61529994011,-1.67484068871,-1.15985000134,-0.210350006819,0.660099983215,-0.680700004101
4776,2.01929998398,0.163008570671,0.40569999814,0.460749983788,0.155750006437,-0.527249991894
6908,-0.316250026226,0.0742706134915,0.90180003643,0.32800000906,-0.352100014687,-0.285500019789
672,-0.778499960899,0.411643087864,-0.105199992657,-1.32920002937,0.1053000018,0.314449995756
5710,-0.427649974823,-0.218995392323,-0.696099996567,0.597800016403,0.277999997139,0.189500004053
2115,0.41654998064,1.10345101357,0.743999958038,-0.618000030518,0.00339999981225,-0.0791000127792
7015,1.31825006008,-0.0811947956681,0.193100005388,-0.347000002861,0.380649983883,0.0618499815464
8726,-0.402099996805,0.109535306692,-0.478600025177,-0.157149985433,0.195700004697,-0.528699994087
2185,0.943250000477,-0.240584045649,0.289600014687,0.647250056267,-0.0314999967813,0.00495001673698
3315,-0.201350018382,-0.798450767994,-1.81840002537,0.244499996305,0.0,-0.165950000286
5289,-0.716300010681,-0.260526716709,0.843600034714,0.435699999332,-0.271950006485,0.678599953651
868,-0.273750007153,0.806762695312,0.165049999952,0.237350016832,0.812849998474,0.596049964428
1677,-0.0187500119209,0.276392132044,0.367650002241,-0.0857000052929,0.118349999189,1.10920000076
7043,0.693850040436,-0.0595444589853,1.07959997654,1.06690001488,0.133950009942,-0.577849984169
5613,0.182149991393,-0.0234602689743,1.21775007248,-0.61905002594,1.76160001755,-0.453649997711
595,-0.112149983644,0.356899559498,-0.790250003338,-0.15664999187,-0.225300014019,-0.441549986601
4793,-1.00310003757,0.60400390625,0.180700004101,0.265100002289,-0.376150012016,-0.587149977684
2736,1.34159994125,-0.334276407957,0.433899998665,0.611050009727,0.372749984264,0.804449975491
5290,1.60960006714,-0.542189061642,1.15369999409,0.189049988985,-0.0866000056267,-0.444249987602
6194,-0.347299993038,-0.0149585567415,0.0,-0.337249994278,0.00034999998752,-0.178750008345
1676,1.34175002575,-0.639203190804,0.225650012493,0.470400035381,0.0746499896049,-0.563199996948
23512,0.651250004768,0.152782171965,-1.20354998112,-0.208350002766,0.540849983692,0.42999997735
148022,-1.52854990959,-0.207976341248,0.675549983978,0.05759999156,1.00390005112,0.0644499957561
1906,0.750200033188,-0.526536345482,1.16630005836,-1.98809993267,-0.645249962807,0.0210500024259
8878,0.0540999993682,2.1081931591,0.645150005817,0.716899991035,-0.549100041389,-0.38734999299
3091,-0.601449966431,-1.46500182152,-0.573599994183,-0.4225499928,0.322249978781,0.634199976921
5743,1.07490003109,-0.70057874918,0.829100072384,-0.956249952316,-0.665199995041,0.221099987626
5321,1.54715001583,-0.519447922707,5.50764989853,0.197950005531,-0.275449991226,0.723150014877
4144,1.03060007095,-0.702929615974,0.111500002444,0.595749974251,0.749800026417,0.441699981689
1981,-0.689749956131,-0.919886291027,4.93879985809,-0.271250009537,0.247000008821,0.892199993134
695,0.604699969292,-0.258103370667,0.84475004673,0.365000009537,-0.0348500013351,-0.557200014591
10398,0.410449981689,-0.257636845112,1.17974996567,0.457949995995,0.191650003195,0.595749974251
