rid,CPC010_A375_6H:BRD-A74608937-014-04-1:10,CPC010_A549_6H:BRD-A74608937-014-04-1:10,CPC010_A549_24H:BRD-A74608937-014-04-1:10,CPC010_HA1E_6H:BRD-A74608937-014-04-1:10,CPC010_HCC515_6H:BRD-A74608937-014-04-1:10,CPC010_HEPG2_6H:BRD-A74608937-014-04-1:10,CPC010_HT29_6H:BRD-A74608937-014-04-1:10,CPC010_MCF7_6H:BRD-A74608937-014-04-1:10,CPC010_MCF7_24H:BRD-A74608937-014-04-1:10,CPC010_PC3_6H:BRD-A74608937-014-04-1:10,CPC010_PC3_24H:BRD-A74608937-014-04-1:10,CPC010_VCAP_6H:BRD-A74608937-014-04-1:10,CPC010_VCAP_24H:BRD-A74608937-014-04-1:10
5720,0.209716796875,0.236349985003,-0.121799997985,-0.227921515703,0.636169314384,-0.527697920799,0.365208148956,-1.26374447346,0.157228082418,0.391655683517,-1.08534944057,0.150187313557,0.1369779706
466,-0.0355186387897,-0.0192999988794,0.559549987316,-0.26322388649,-0.498809129,0.517601430416,0.787716448307,-0.699386775494,-0.883997499943,0.306407779455,0.48916208744,-0.0790580809116,0.00445598363876
6009,-0.57668530941,-0.0189999938011,-0.406199991703,-1.12932574749,0.361573666334,-0.907186865807,0.414408445358,-0.856270253658,-1.30798661709,-1.61137568951,-0.458908200264,0.270892858505,0.766732335091
2309,-0.682900726795,-0.748100042343,0.194400012493,0.691195845604,-0.144283697009,0.758850693703,-0.250069141388,0.274920046329,-0.136030137539,0.00518534611911,-0.0118420422077,0.172053262591,0.585264921188
387,-0.429686069489,-0.576950013638,-0.0653500035405,0.00566047430038,-1.08468461037,-0.176130503416,-0.368253946304,-0.0303188934922,0.246549516916,0.508167028427,-0.636059045792,-0.268899530172,0.462807893753
3553,0.726150095463,-0.348250001669,-0.209299996495,0.722973167896,-0.168112516403,-0.847537636757,0.586034417152,0.515357732773,-0.316449970007,0.763007581234,0.70435333252,0.245494559407,0.265098571777
427,-0.436438888311,-1.36124992371,-0.54825001955,-1.16853737831,0.327470809221,0.193407684565,-0.421158999205,0.359679549932,-0.229696750641,-0.125378146768,-0.414647877216,-0.441864162683,-1.36174404621
5898,0.0938025414944,-0.327849984169,0.379949986935,0.000311605632305,-0.662103772163,1.09119653702,0.291505694389,-0.512456774712,0.404910594225,0.796828091145,0.501250445843,0.451233625412,0.19011682272
23365,-0.799211144447,-0.578400015831,0.196150004864,-0.0440977886319,0.219484239817,0.0929158329964,-0.436333298683,1.8731944561,0.782871901989,0.724926412106,-0.417976945639,0.775940656662,-0.0405443012714
6657,0.49337592721,-0.378400027752,-0.232450008392,0.0840000733733,-0.525811314583,-0.321419686079,-0.208697289228,0.24238859117,-0.415393143892,-0.286643326283,0.72821354866,0.874148726463,-0.714450001717
5054,-0.260995924473,-0.0464500039816,0.351499974728,-1.07814395428,-0.39299762249,0.649624705315,-0.400636166334,-0.780629754066,-0.504480719566,1.2051949501,-0.0823316127062,0.218341052532,0.0913897454739
3108,-0.366724699736,-1.24205005169,-0.979599952698,0.897097826004,-1.15378522873,0.900573253632,-0.186469078064,0.545900285244,0.0232509970665,-0.373979330063,-0.344387054443,-0.225283905864,-0.0554684326053
1950,1.13508152962,-0.735749959946,-0.22705000639,0.181007191539,-0.122757077217,-0.619413018227,-0.544802129269,-0.468793362379,-0.329555362463,1.31584596634,0.587088465691,-0.661433756351,-0.284013330936
351,0.531461000443,-0.0375999957323,-0.185749992728,-0.556826651096,-0.73456132412,0.131449490786,-0.411744713783,0.11090374738,-0.39373511076,-1.12338066101,-0.394905030727,0.0727874711156,-1.16954493523
4846,0.703454732895,0.665350019932,0.0787500068545,0.491015970707,0.78698694706,0.461612045765,-0.325032621622,1.01814186573,0.49952045083,-0.820046305656,-0.356283783913,0.158693864942,0.11852863431
1452,0.152833417058,0.826449990273,-0.871100008488,-0.258925080299,0.200192496181,0.638269901276,-0.234613314271,-0.0383473783731,-0.345674872398,0.945209920406,-1.44062125683,0.326572418213,0.997304677963
4776,0.0482563823462,-0.108849994838,-0.539950013161,0.66000521183,0.375458091497,0.0909102261066,-0.591814577579,-0.186091139913,-0.673209309578,0.601644992828,0.300684511662,-0.637247204781,0.0974013879895
6908,-1.01961648464,0.0133500099182,-0.228500008583,-0.619937956333,0.641008973122,-0.00748011469841,0.445851922035,-0.15043669939,-0.0698214173317,0.525512695312,-1.18576622009,0.412605017424,0.260396420956
672,-0.398665249348,0.0477499961853,1.03750002384,0.952586889267,0.276004970074,0.181185662746,-0.0989466309547,0.309230089188,0.500373840332,-0.404219865799,-0.255237072706,0.0884570926428,0.710022985935
5710,-1.09036374092,0.758599996567,0.543850004673,-0.753016531467,0.695820689201,-0.0192975997925,-0.282485663891,0.0879359692335,0.58982437849,0.726460933685,-0.482031524181,-0.57445025444,-0.40197083354
2115,-0.536067485809,0.374300003052,-0.789650022984,0.338311433792,0.365689516068,-0.832329630852,-0.29904872179,1.32814908028,-1.13973402977,-0.0238810107112,0.392628252506,0.111309118569,-0.801315665245
7015,0.672945082188,0.887250006199,-0.327899992466,0.210464179516,-0.213619381189,0.219828426838,-0.789880037308,-0.161045908928,-0.591826438904,-0.422933697701,0.869557440281,-0.327911764383,-0.233873337507
8726,-0.294241845608,-0.808799982071,0.47570002079,0.106156602502,-0.637275338173,0.1140890643,0.84910929203,0.374887794256,0.484167277813,-0.0869525074959,-0.129567027092,0.522671103477,0.392203748226
2185,-0.0110408067703,0.00644999742508,-0.638650000095,-0.0927965193987,-0.645192563534,-0.645941078663,-0.361525326967,0.446604251862,-0.340599745512,-0.567747473717,1.17339777946,-0.600750088692,-1.01522946358
3315,-0.155082419515,0.266300022602,0.0,-0.456868350506,0.418442726135,0.218211829662,-0.739917635918,-0.0330911949277,0.240351647139,0.412154644728,-0.107507281005,0.230696558952,-0.283791393042
5289,0.474505662918,-0.453500032425,-0.635300040245,-0.958381295204,-0.949224352837,-0.420042872429,-0.575728416443,0.43890234828,-0.424868822098,-0.508032083511,0.493466168642,-0.481777727604,-0.295641928911
868,0.171671152115,0.777750015259,0.674950003624,0.16562269628,-0.188850075006,-0.0400814712048,0.328951776028,-0.720010399818,-0.978565394878,0.408149152994,0.579646468163,0.097722530365,-0.73117262125
1677,0.307488024235,-0.487499982119,-0.0888999998569,0.920931518078,0.224250376225,-0.535979926586,-1.1811645031,0.0576972290874,-0.320430338383,-0.237682417035,0.903919696808,1.92022943497,0.347784936428
7043,0.195309609175,0.299449980259,-0.0958999991417,0.539276778698,0.517051339149,-0.495743274689,-0.192831605673,1.65123260021,0.567469656467,-0.884738445282,0.881053805351,0.262023180723,-0.0221570432186
5613,-0.347884356976,0.17634999752,-0.270200014114,0.347768187523,0.392947554588,-0.19770000875,-0.284895718098,0.424191117287,-0.182906091213,0.0770652145147,0.98623251915,-0.0101868957281,0.1225925982
595,-0.0596278905869,0.238700002432,0.120700001717,0.728622436523,0.559160470963,0.532223522663,1.07437670231,1.05939161777,0.821484863758,0.705793380737,-0.192429736257,0.404882699251,1.85683774948
4793,0.0164126753807,1.14179992676,0.417349994183,0.518564462662,-0.790438234806,0.320509910583,0.394018232822,1.2467366457,0.507047832012,1.04367566109,-1.06669449806,-0.251633524895,0.762045204639
2736,0.126022487879,-0.166649997234,-0.461900025606,0.191107198596,0.128251314163,-0.939253747463,0.192721322179,0.405081361532,-0.810110270977,-0.798147559166,1.18193328381,0.089863806963,-0.368136227131
5290,-0.041960760951,-0.356700003147,-0.425499975681,0.38022044301,-0.149482294917,-0.93956053257,-0.367683261633,-1.21523857117,-0.91646194458,-0.435659170151,0.53632414341,0.0558272898197,-0.120893105865
6194,-0.0574904121459,-0.266750007868,-0.143050000072,0.492936402559,-1.5647983551,-0.145435273647,0.097819507122,-0.511070668697,-0.667284727097,0.465774834156,-2.05009937286,-0.0488044694066,0.0929399579763
1676,-0.369559943676,0.70459997654,0.384350001812,0.721467018127,0.454045414925,-0.459192544222,-0.247990220785,0.410577833652,-0.17441880703,0.206795364618,0.765846371651,-0.404962837696,0.0392247922719
23512,0.276474118233,1.60584998131,0.257099986076,0.366520047188,0.747262179852,0.910203874111,0.719383299351,0.257442772388,0.00310506578535,0.729734301567,0.869969725609,0.0878252089024,0.0189996883273
148022,0.391583561897,-0.251350015402,0.165199995041,0.891213357449,-0.188740521669,0.663752436638,-0.138662785292,1.09840607643,0.151309370995,0.513228356838,-0.758169412613,0.496807307005,0.84863114357
1906,-0.136633366346,0.230799987912,0.7269500494,0.0882461816072,0.00641211867332,0.0364876538515,-0.258003592491,0.364235490561,0.0869184955955,-0.988180279732,0.960407376289,0.333666056395,-0.146103441715
8878,-0.0588487386703,-4.36210012436,0.622449994087,-0.260707169771,-2.56534552574,-1.12513136864,0.555340588093,-1.4834420681,0.202057138085,0.486606448889,-0.615838170052,0.293840706348,0.117173373699
3091,0.636847138405,-1.43540000916,-0.296949982643,0.331643283367,1.06840598583,-0.384255200624,-0.279186606407,0.860883951187,-0.936413764954,-0.504320919514,0.162434458733,0.183553189039,0.351900100708
5743,0.880849957466,0.419800013304,-0.674300014973,0.109707504511,0.233453035355,-0.0232228040695,1.32497000694,0.400317013264,-0.0234300345182,1.57877314091,-0.636933267117,-0.484368920326,-0.686670124531
5321,0.0410395935178,0.52095001936,0.0315999984741,0.779005646706,0.806525945663,-0.259452819824,-0.675620377064,-0.249706879258,-0.317445069551,-1.92947816849,1.02555572987,0.0762368440628,-4.75875663757
4144,1.39835107327,-4.23360013962,0.397249996662,0.682711601257,0.324294567108,1.31961917877,0.745395481586,-1.25698280334,-0.129756838083,-1.84823417664,0.123629570007,0.687981665134,0.384007662535
1981,0.0243380665779,0.608099997044,-0.0625499933958,0.966451764107,0.351244390011,1.56405591965,-0.243286430836,-0.403220653534,0.672170579433,0.525609016418,-0.146227374673,-0.165866822004,0.282510817051
695,0.857179641724,0.0355500020087,-0.0596500039101,1.6936237812,0.847290158272,-0.0155569314957,0.136161625385,0.967089116573,0.501338303089,-0.443176209927,-0.262940913439,0.782880425453,0.180013149977
10398,0.0757351964712,0.739750027657,-0.175700008869,0.197260469198,0.909543037415,0.586111187935,-0.239859446883,1.24155175686,0.0916092544794,0.941448867321,0.823700428009,-0.243082135916,-0.0732658207417
5708,0.0367875546217,-0.905900001526,-1.31085002422,-0.601154029369,0.31631141901,2.17416501045,-1.16538786888,0.590260446072,0.908835291862,-3.86696124077,0.256321847439,-0.567290782928,0.249317228794
1213,-1.03941440582,-3.60349988937,0.862200021744,-0.822011351585,0.763094604015,0.391433864832,0.499275326729,1.38885688782,1.17515397072,-0.657086551189,0.191243365407,0.371246695518,-1.9944781065
226,-0.0591079667211,0.342599987984,0.58109998703,0.813066542149,-0.0948741286993,0.758038640022,0.072976693511,0.754792690277,0.342583924532,-0.655214130878,-1.24271762371,0.0520428270102,-0.8591350317
6777,-0.278380453587,-1.09335005283,-0.350699990988,0.0784407258034,-0.329045087099,0.588645040989,0.0696456283331,0.526339292526,-0.105612710118,1.27634823322,0.269482731819,-0.321159601212,-0.341671198606
2113,0.773663043976,0.694100022316,0.217799991369,1.13563275337,-0.377681463957,-0.182775318623,-0.468487471342,1.18574953079,-0.692650556564,0.817818403244,0.9504083395,-0.0159949399531,-0.387332081795
3329,-0.662187159061,0.273149996996,0.416799992323,0.862417936325,0.185363680124,0.999934911728,0.701826870441,0.782907187939,0.744931101799,0.715328991413,-0.886641740799,0.587750613689,1.16213870049
1050,-0.301929354668,-1.24930000305,-0.621350049973,4.22174739838,0.213664159179,0.0361821651459,-0.100684352219,0.320861637592,0.324688583612,0.464605987072,-1.75042247772,-0.0758075863123,0.901055455208
9491,0.419448196888,-0.557600021362,0.101649999619,0.128228023648,-0.204009950161,-0.00139506906271,-1.02060246468,-0.833181321621,-0.0704410746694,-0.582390785217,0.528723478317,-0.421868085861,0.242008030415
22926,-0.36287561059,-0.993200063705,-0.401600003242,1.67672121525,0.06336414814,1.02026057243,-0.383449912071,-0.554283618927,0.239276692271,0.240424871445,-0.643298268318,-0.162455946207,0.185949772596
5899,-0.382684707642,-0.435750007629,-0.430649995804,-1.76077234745,-0.546877324581,0.327781885862,0.654068589211,0.500203847885,-0.395008683205,-0.262495428324,-0.408881247044,-0.958095371723,-0.312754482031
5467,-0.539704322815,0.259200036526,-0.605350017548,0.140271738172,-0.444973051548,-0.57733809948,-0.292453467846,-0.0921804904938,-0.496419280767,0.0572758801281,-0.171468317509,-0.218597143888,0.387880951166
6774,-0.0878781229258,0.0735500156879,0.221799999475,0.868186235428,-0.0314011536539,0.656558990479,0.00975695252419,0.191741898656,0.437886297703,-0.621047377586,0.12903803587,0.666648447514,0.208295822144
1788,-0.0339266359806,0.369450002909,-0.430200010538,0.514326453209,1.27995800972,-0.199375748634,-0.962665915489,0.578275442123,-0.338969618082,-0.657415151596,0.957710325718,-0.235603019595,-0.365870654583
5921,-0.594975471497,-0.458150029182,0.137499958277,0.172404408455,0.0151108130813,-0.00226154923439,0.344725191593,0.994368076324,0.269388467073,0.167741701007,-0.91283249855,-0.182947963476,-0.727564752102
5721,1.19413161278,0.673449993134,-1.07770001888,0.375637292862,0.780351936817,-0.466365903616,0.125435695052,-0.47086763382,0.288648426533,-0.570706546307,-1.06422185898,-0.222218096256,0.637711286545
2263,1.59027421474,-0.170899987221,-0.689900040627,0.106283016503,0.262903988361,-0.00255730748177,-0.699500381947,-0.889228999615,-0.47247928381,-0.663774728775,0.28987929225,-0.366273880005,-0.316203176975
808,-0.0486144721508,0.394150018692,-0.366299986839,0.707309305668,-0.305071264505,-0.16917039454,-1.23641264439,-0.582340657711,-0.234967723489,-0.100257359445,-0.245430901647,-0.784211158752,0.14060343802
30001,-0.250499039888,-0.67460000515,-0.621999979019,-1.03094339371,0.84994572401,0.0347608327866,-0.310325503349,-0.317991912365,-0.432727724314,-0.161496177316,-1.00867891312,-0.235035955906,0.466835856438
348,0.175392821431,0.497950017452,0.513599991798,0.295752972364,0.256229311228,-0.118310183287,-0.883121132851,-0.785514473915,-0.232015192509,1.81992065907,0.219360351562,-0.612379670143,-0.928136527538
