rid,CRCGN001_HA1E_6H:BRD-K88145757-001-01-6:10,CRCGN001_HA1E_24H:BRD-K88145757-001-01-6:10
5720,-1.16955757141,-3.19560003281
466,-1.35183358192,1.71255004406
6009,-1.67175292969,-4.10925006866
2309,-2.12983345985,-3.08000016212
387,-1.69378817081,-2.94394993782
3553,1.52635478973,2.5857000351
427,1.56349933147,3.73635005951
5898,1.59377467632,2.73290014267
23365,0.782794773579,2.47744989395
6657,0.526005327702,1.45705008507
5054,0.458841323853,2.40495014191
3108,1.59389221668,5.70359992981
1950,1.79918837547,3.28625011444
351,-1.03425753117,-2.91680002213
4846,2.42588281631,4.13920021057
1452,0.135216653347,1.27680003643
4776,1.40762066841,2.00250005722
6908,-1.53844130039,-3.06535005569
672,-0.849822103977,0.915650010109
5710,-0.568169534206,-2.88175010681
2115,2.19388890266,3.89190006256
7015,1.0435410738,2.62855005264
8726,0.058658733964,0.266950011253
2185,1.18210124969,1.93524992466
3315,-0.385299801826,-2.70079994202
5289,1.78297972679,3.47615003586
868,2.19401454926,3.46920013428
1677,3.0302195549,4.70230007172
7043,1.15095210075,0.898999989033
5613,0.947301387787,1.13065004349
595,0.71327495575,1.66440010071
4793,1.28270173073,-1.1618500948
2736,1.16965734959,2.96665000916
5290,0.992693424225,0.563049972057
6194,-2.37465834618,-10.0
1676,0.371517241001,0.702149987221
23512,-0.523351490498,0.454300016165
148022,1.86500835419,4.21259975433
1906,1.16548573971,1.84804999828
8878,-0.508561611176,-1.75975000858
3091,-0.370964884758,-0.324000000954
5743,1.18157696724,3.2961499691
5321,0.341160953045,0.273599982262
4144,0.28885871172,-1.24709999561
1981,-1.47868406773,-1.20650005341
695,2.421179533,5.15700006485
10398,1.23820400238,2.19534993172
5708,0.691347837448,-0.981850028038
1213,-2.99550008774,-2.28690004349
226,0.646750688553,-1.19330000877
6777,0.966060638428,3.81465005875
2113,0.993114173412,2.20085000992
3329,-3.00625753403,-3.75365018845
1050,-0.792726993561,-1.81075000763
9491,0.57856798172,0.586250007153
22926,0.782352685928,2.59034991264
5899,2.00203609467,3.86245012283
5467,2.20710110664,4.00600004196
6774,0.413824796677,0.664049983025
1788,0.836116552353,0.946599960327
5921,2.11115312576,2.47210001945
5721,-0.793462991714,0.507050037384
2263,1.01357424259,1.09420001507
808,0.238992407918,0.740000009537
30001,-1.37586772442,1.40584993362
348,2.49651551247,4.31519985199
30849,-2.4476878643,-0.335850000381
1454,-1.41266870499,-4.4796500206
6500,-1.17438471317,1.81130003929
5627,-0.923228442669,0.631899952888
5715,-0.399128913879,-3.0436000824
4791,1.94899380207,4.05324983597
56924,1.18196201324,3.86595010757
2690,1.70463752747,6.21084976196
1019,-1.20342290401,-3.82375001907
51422,1.46702337265,4.23219966888
5788,1.57919621468,2.23784995079
6709,-1.26065719128,-0.693549990654
1277,1.01986825466,2.26300001144
993,-1.9562151432,-3.65974998474
7157,-1.12600922585,-2.7310500145
1958,1.95812475681,5.69709968567
4582,2.45064043999,5.72389984131
9212,0.431011259556,-1.66934990883
8440,-0.499157607555,-0.227800011635
6790,1.13671076298,2.24349999428
8851,0.871098577976,1.33089995384
2534,0.10737644136,-0.753250002861
4893,0.376491218805,1.56914997101
665,-0.59667044878,1.83844995499
4313,0.624052643776,0.505349993706
1022,-0.0872455760837,1.52414989471
5880,1.67721557617,7.09014987946
3162,-0.491764217615,-3.23029994965
1282,0.803018629551,2.13639998436
3383,1.48815798759,3.87375020981
727,1.71034932137,2.06150007248
4792,-0.272795498371,0.522899985313
4794,1.47288107872,2.45469999313
902,0.957745730877,1.60019993782
8091,-0.920582234859,-1.92350006104
3486,1.66536152363,3.54034996033
10818,1.39802718163,1.55049991608
3454,0.709778666496,0.549300014973
4282,-1.98346734047,-10.0
1605,-3.01729011536,-2.96409988403
10644,2.46248865128,4.46529960632
2065,2.83105278015,5.71395015717
8321,1.63554465771,2.25034999847
8503,1.37457633018,3.5693500042
7027,0.123089924455,1.86890006065
6850,1.49427473545,2.90129995346
1978,-1.05347120762,-4.75969982147
896,1.40791785717,1.82404994965
