rid,DOS024_VCAP_6H:BRD-K12980773-001-01-7:5,DOS024_VCAP_24H:BRD-K12980773-001-01-7:5,DOS053_A375_24H:BRD-K12980773-001-01-7:5,DOS053_A549_24H:BRD-K12980773-001-01-7:5,DOS053_MCF7_24H:BRD-K12980773-001-01-7:5,DOS053_PC3_24H:BRD-K12980773-001-01-7:5
5720,0.0245499908924,1.24543857574,0.643700003624,-1.09665000439,0.601000010967,1.3451499939
466,0.19034999609,-0.176509529352,1.53244996071,-0.625750005245,0.700800001621,-1.39954996109
6009,-0.428650021553,1.16100645065,0.655749976635,0.0885000005364,1.86989998817,0.352249979973
2309,0.13124999404,-4.78114557266,-0.111800014973,-0.348850011826,-0.668549954891,1.85669994354
387,0.35119998455,-1.25059950352,0.821099996567,-0.414200007915,0.180399999022,1.20880007744
3553,-0.873100042343,1.14065527916,-1.40744996071,0.764800012112,0.110100015998,0.400949954987
427,-0.390950024128,-0.238976210356,0.535799980164,0.204050004482,-0.0931499972939,-1.14454996586
5898,-0.492100000381,0.0939096361399,0.170100003481,-0.520750045776,0.059249997139,-0.561700046062
23365,-1.38459992409,-0.576530754566,0.130900010467,0.914049983025,1.76150000095,-0.11590000242
6657,-0.363650023937,1.64802145958,-1.19895005226,-0.0324999988079,-0.176599994302,0.738649964333
5054,0.108199983835,0.763357460499,-0.352500021458,0.657249987125,-1.67139995098,-0.0406999960542
3108,-0.142149999738,-0.146562755108,-0.216399997473,0.25024998188,1.077450037,-0.0413999855518
1950,2.75419998169,-1.28019201756,0.377000004053,0.164700001478,-0.746899962425,-0.063299998641
351,-0.337249994278,0.685570240021,0.151000007987,-0.46724998951,-0.197200000286,-1.50285005569
4846,1.17015004158,0.720107913017,-0.36645001173,0.294600009918,0.0464000031352,0.557749986649
1452,1.01719999313,-1.37262356281,-0.777049958706,-0.169249981642,-0.110899984837,-0.0726500153542
4776,-0.40860003233,0.963624596596,-1.01164996624,0.308999985456,-0.878749966621,0.398650020361
6908,0.150849997997,-0.877499103546,0.810649991035,-0.192750006914,0.712399959564,0.602199971676
672,-0.440699994564,-1.26783978939,-0.339749991894,0.744150042534,-0.309149980545,-0.421099990606
5710,-0.812700033188,0.136812478304,-0.15395000577,-0.147650003433,-0.312550038099,-1.10364997387
2115,-0.276299983263,0.483993470669,0.153500005603,0.915950000286,-0.624550044537,0.597899973392
7015,0.107550010085,-0.147976264358,-0.296949982643,0.0154500007629,-0.0717500001192,1.44365000725
8726,-0.279399991035,-0.162178397179,1.30680000782,-0.0811000019312,0.58085000515,-1.05379998684
2185,-0.361200004816,1.03376603127,-1.38835000992,0.533699989319,-0.0976499989629,0.999150037766
3315,0.164999991655,-0.501198172569,0.379099994898,0.485949993134,-1.45729994774,1.18994998932
5289,-0.677549958229,0.0161388963461,-0.216899991035,-0.0243999958038,0.0024000108242,0.762799978256
868,-0.0536999925971,0.304300695658,-0.879400014877,0.189999967813,-0.985899984837,1.00655007362
1677,0.766350030899,0.17190515995,-0.530349969864,-0.0213499963284,0.116500020027,0.709649980068
7043,-0.627750039101,0.91782194376,-1.05124998093,0.703849971294,0.361800014973,-0.162050008774
