rid,CPC020_A375_6H:BRD-K66766661-001-15-0:10,CPC020_A549_6H:BRD-K66766661-001-15-0:10,CPC020_HA1E_6H:BRD-K66766661-001-15-0:10,CPC020_HCC515_6H:BRD-K66766661-001-15-0:10,CPC020_HT29_6H:BRD-K66766661-001-15-0:10,CPC020_MCF7_6H:BRD-K66766661-001-15-0:10,CPC020_MCF7_24H:BRD-K66766661-001-15-0:10,CPC020_PC3_6H:BRD-K66766661-001-15-0:10,CPC020_PC3_24H:BRD-K66766661-001-15-0:10,CPC020_VCAP_6H:BRD-K66766661-001-15-0:10,CPC020_VCAP_24H:BRD-K66766661-001-15-0:10
5720,0.757211208344,-0.194659158587,-0.368798583746,-0.464749991894,0.477290630341,-0.273559033871,-0.742923498154,0.125255182385,-0.411286950111,-0.247969865799,-0.723285019398
466,0.592127382755,0.200922206044,-0.36392635107,0.652925014496,0.229153603315,0.560656964779,0.0379323512316,0.354070156813,0.372363120317,-0.195830568671,-0.143162488937
6009,0.943990528584,0.315637528896,0.300544321537,0.424050033092,0.238728657365,0.276655256748,0.422570973635,-0.369563221931,-0.302116632462,-0.0139639154077,-0.0391780808568
2309,0.332798302174,-0.049245133996,0.10997826606,0.281649976969,1.01570153236,0.483892589808,-0.185424923897,0.359777361155,-0.194153934717,4.50248336792,-0.934681534767
387,0.574038147926,0.566819548607,0.652447879314,0.55717498064,-0.292722523212,0.393563002348,-0.306025415659,0.837035179138,-0.146563857794,0.0882799625397,0.47659188509
3553,-0.624147415161,-0.417870640755,0.0729900300503,-0.466300010681,-0.287690162659,-0.447812378407,-0.107698902488,-0.394119352102,-0.187628507614,-0.204988718033,-0.223075658083
427,-0.170895054936,0.14501619339,-0.80515730381,0.629925012589,-0.478231608868,0.711042702198,-0.361674189568,0.324468851089,0.272291600704,0.234278708696,0.901911914349
5898,-0.358220458031,1.08378493786,0.250577718019,0.610074996948,0.216058820486,0.446501225233,-0.0601107478142,0.125007137656,0.271639168262,-0.514170646667,0.25609433651
23365,-0.777855873108,-0.447283387184,0.278388231993,0.222324982285,0.182322815061,0.586224377155,0.504525780678,0.979898154736,0.535336613655,0.135885357857,-0.541707277298
6657,-0.067705988884,-0.257417738438,0.191390067339,-0.0564249977469,-0.593140900135,-0.467448890209,-0.604514122009,-0.887218952179,-0.783666670322,-0.203164815903,-0.354803174734
5054,-0.231650069356,-0.0105635523796,0.78623175621,0.34810000658,-0.51544213295,1.8031578064,0.393251419067,-0.166160464287,0.671042025089,0.261960983276,-0.49600726366
3108,1.54132461548,1.00161516666,-0.910251498222,0.30529999733,0.591491103172,-1.09378814697,0.499341189861,0.614518225193,-0.365508139133,0.477015435696,0.392227858305
1950,-0.00473390519619,-0.797370195389,-0.0987273529172,-0.517374992371,-0.568077683449,-0.697558820248,-0.486530840397,-0.618432700634,-0.621790409088,-0.110983006656,-0.248888134956
351,0.226202130318,-0.551899075508,0.0628595203161,-0.137625008821,0.239810287952,-0.439745932817,-0.427350878716,-0.760926008224,0.0669611692429,0.27587300539,-0.212813004851
4846,-0.434988617897,-0.0746800899506,-0.125362306833,-0.61905002594,0.0518944635987,-0.356631755829,-0.391860067844,0.19622695446,-1.2727265358,-0.390219271183,-0.0224962234497
1452,-1.09144568443,-0.425562888384,0.278310418129,0.575625002384,-0.434920907021,0.584721624851,-0.146803036332,-0.162447810173,0.367600828409,1.35056519508,0.755849957466
4776,-0.763704717159,-0.193258851767,0.108106836677,-0.214424997568,-0.78209233284,-0.628049373627,-0.218431532383,-0.821860790253,-0.269596636295,-0.207233950496,-0.326631188393
6908,-0.09312171489,0.431286811829,-1.10398554802,0.144224971533,-0.280324190855,0.757007062435,0.191057175398,0.522363066673,-0.181471139193,1.27676939964,0.0401504486799
672,0.367514014244,-0.0711807310581,-0.242262899876,0.277200013399,0.385388493538,0.110910721123,0.671840965748,0.255008935928,0.326023638248,0.829737842083,-2.54370951653
5710,-0.494807064533,0.705469787121,-0.395601183176,0.117199987173,0.611160457134,0.266292691231,0.459350049496,0.364256799221,-0.352617681026,0.955040156841,0.280445486307
2115,2.31098103523,0.499816477299,-0.336342394352,-0.0705749988556,-0.274187594652,-0.0923170745373,-0.291640460491,-0.130201995373,0.603855907917,0.280419439077,-0.18646812439
7015,-0.579470992088,-0.0675861090422,0.476136863232,-0.0532999932766,-0.0472965911031,-0.0916405245662,-0.516162872314,-0.79691183567,0.281653165817,-0.0120492503047,0.096194550395
8726,-0.249042794108,1.84559011459,-0.47500243783,-0.213525012136,0.804899275303,1.3064365387,0.489191383123,1.21126449108,0.630660057068,0.487706393003,-0.337349206209
2185,-0.057540114969,0.0821359306574,0.149834722281,-0.145699977875,-0.545995950699,-0.522420167923,-0.44081056118,-0.819286525249,-0.58868676424,-0.00789006613195,0.00591219961643
3315,-0.277122378349,-0.148471340537,0.50223916769,-0.271000027657,0.697461366653,0.620455861092,-0.164241850376,0.364288836718,-0.744758844376,-0.730872571468,-0.217678815126
5289,-0.643511772156,-0.605485737324,-0.178861707449,0.346000015736,-0.568637371063,-0.0142705664039,-0.711477577686,-0.377653062344,-0.48636123538,0.183061555028,0.268856614828
868,0.313376992941,-0.668872952461,0.342088192701,-0.433050006628,-0.144692122936,0.134068757296,0.431590586901,-0.00622628210112,-0.692969441414,0.0264623556286,-0.470612555742
1677,-0.977604746819,-0.525008440018,0.592780590057,0.233550012112,-0.206983983517,-0.115675702691,-0.642715454102,-0.419380903244,0.0740003809333,-2.03060102463,-0.606390476227
7043,0.468301832676,-0.768382906914,0.447513073683,0.555250048637,-0.214549735188,-0.220237344503,-0.653901994228,-0.353835344315,-0.16952162981,-0.138092592359,-0.129148572683
5613,-0.929363012314,-0.578277170658,0.0751627981663,0.151600003242,-0.475729167461,-0.781881392002,-0.063887283206,-0.753312647343,0.123686544597,1.85781896114,-0.0331350117922
595,0.34590819478,0.67642134428,0.00169555842876,0.716049969196,0.77214461565,1.35365140438,0.213734343648,0.512409389019,0.243632733822,0.407326102257,0.841264486313
4793,-0.556054294109,0.822772979736,0.280009835958,1.00569999218,0.509832441807,0.668830871582,-0.176736533642,0.784078478813,-0.252600103617,0.552680313587,1.51555967331
2736,0.396206617355,0.297624528408,0.450136691332,0.152300000191,-0.404781162739,1.05673003197,-0.566428184509,-0.467377692461,-0.752151668072,-0.0720096379519,0.253261655569
5290,-0.165805026889,0.521579265594,0.809096455574,-0.199699997902,-0.0969261229038,-0.674510300159,-0.423131644726,-0.67662781477,0.0297212954611,-0.275022238493,0.153595119715
6194,0.19704207778,-0.0911522209644,0.000149138446432,-0.460500001907,-0.183470278978,0.426238894463,0.284491330385,-0.311910688877,-0.456877171993,0.0871322005987,0.190659150481
1676,-0.755449950695,0.372859090567,0.780308365822,-0.0376999974251,-0.292949289083,-0.0418946743011,0.0645730495453,-0.609276711941,-0.00763348117471,-0.603888392448,-0.139394447207
23512,-2.53164672852,0.945948958397,-0.119569256902,0.205474972725,0.692003488541,0.162018790841,-0.0439237728715,0.146266683936,-1.20275819302,-0.320282489061,-0.555524170399
148022,-0.102223753929,-0.0377837605774,-0.277883768082,0.776450037956,-0.00410511344671,0.97673279047,0.312479734421,0.900915503502,-0.391369283199,-0.573544919491,0.744592547417
1906,-0.533951103687,0.021311879158,-2.18426060677,-0.482674986124,-0.709774851799,-0.0415930077434,-0.333750844002,-1.22786664963,0.22285425663,-0.449418455362,-0.371285676956
8878,-0.33276990056,0.0991296544671,-0.130725055933,0.942925035954,1.0603402853,-3.19449782372,-0.311932951212,0.488608658314,-0.0667437314987,0.729836463928,0.104979306459
