rid,CPC020_A375_6H:BRD-A87848830-001-01-9:10,CPC020_A549_6H:BRD-A87848830-001-01-9:10,CPC020_HA1E_6H:BRD-A87848830-001-01-9:10,CPC020_HCC515_6H:BRD-A87848830-001-01-9:10,CPC020_HT29_6H:BRD-A87848830-001-01-9:10,CPC020_MCF7_6H:BRD-A87848830-001-01-9:10,CPC020_MCF7_24H:BRD-A87848830-001-01-9:10,CPC020_PC3_6H:BRD-A87848830-001-01-9:10,CPC020_PC3_24H:BRD-A87848830-001-01-9:10,CPC020_VCAP_6H:BRD-A87848830-001-01-9:10,CPC020_VCAP_24H:BRD-A87848830-001-01-9:10
5720,0.628200829029,-0.944850027561,0.925252914429,0.983850002289,-1.3486893177,0.646616578102,-0.448000133038,0.972343981266,-0.0959389954805,-0.502528309822,-0.329407036304
466,0.78919929266,-1.40365004539,1.52277469635,1.0013500452,-0.31922057271,1.05859470367,0.823859214783,0.752322494984,-1.27893280983,1.1999117136,-0.107667334378
6009,-0.908940315247,-0.94939994812,1.22076165676,0.252700001001,-0.575822114944,0.152438491583,-0.339575231075,0.00494695082307,0.510491251945,0.681824207306,-0.31152254343
2309,-0.952864825726,-0.00315000116825,-0.817231535912,-0.176849991083,-0.869362592697,0.215569600463,2.11723780632,0.41563847661,0.905032515526,-0.686238050461,-0.332926660776
387,-0.823258280754,-0.869199991226,0.571818232536,1.21659994125,-0.58610355854,-1.51946210861,0.0667898505926,0.589054226875,1.08695268631,-0.851647436619,-0.692732810974
3553,-0.475375056267,1.51974999905,-0.063442632556,-0.309300005436,1.36878609657,-0.438522338867,0.0229999423027,1.04656791687,0.48927745223,-0.00996605679393,0.542230367661
427,0.22569283843,0.604350030422,-0.185510903597,1.08634996414,0.09835742414,0.366076409817,0.838413536549,0.734541714191,-0.306356817484,0.350196361542,0.533216059208
5898,-3.69446587563,-1.52540004253,1.05745947361,1.38625001907,-0.410202711821,-0.7636911273,0.0521804690361,0.602898716927,-1.74692940712,0.116388686001,-0.0774053484201
23365,4.22940349579,0.0,0.250080943108,-0.521849989891,0.35252571106,-1.33011651039,0.455481648445,-0.339904099703,0.220487043262,-0.853268444538,-0.36770427227
6657,-0.475120633841,1.84634995461,-0.818841636181,0.114500001073,0.435477495193,0.893688857555,0.221188604832,-1.22517240047,-0.313197106123,1.40784394741,0.35893958807
