rid,CPC014_A375_6H:BRD-K89014967-001-01-9:10,CPC014_A549_6H:BRD-K89014967-001-01-9:10,CPC014_A549_24H:BRD-K89014967-001-01-9:10,CPC014_ASC_24H:BRD-K89014967-001-01-9:10,CPC014_HA1E_6H:BRD-K89014967-001-01-9:10,CPC014_HCC515_6H:BRD-K89014967-001-01-9:10,CPC014_HEPG2_6H:BRD-K89014967-001-01-9:10,CPC014_HT29_6H:BRD-K89014967-001-01-9:10,CPC014_MCF7_6H:BRD-K89014967-001-01-9:10,CPC014_MCF7_24H:BRD-K89014967-001-01-9:10,CPC014_NEU_24H:BRD-K89014967-001-01-9:10,CPC014_NPC_24H:BRD-K89014967-001-01-9:10,CPC014_PC3_6H:BRD-K89014967-001-01-9:10,CPC014_PC3_24H:BRD-K89014967-001-01-9:10,CPC014_PHH_24H:BRD-K89014967-001-01-9:10,CPC014_SKB_24H:BRD-K89014967-001-01-9:10,CPC014_VCAP_6H:BRD-K89014967-001-01-9:10,CPC014_VCAP_24H:BRD-K89014967-001-01-9:10
5720,-2.23021602631,1.0004093647,1.4777148962,-0.627479612827,0.298158526421,-0.0155622959137,0.656376600266,1.25853562355,0.160145223141,1.804718256,0.283499985933,-0.921889960766,0.38846668601,0.512517511845,-0.924433946609,-0.919350504875,1.29770207405,0.362205475569
466,-0.154686361551,-0.141273498535,-0.0784428417683,0.701978445053,0.126786857843,-0.513590991497,-1.28714609146,-0.470842510462,0.290794759989,0.951471924782,0.70459997654,0.245689660311,-0.0544333457947,0.0121821686625,-0.120337769389,0.00405134260654,-0.292710244656,0.310305655003
6009,0.365712493658,1.07472193241,0.792356133461,0.249529093504,0.134626090527,-0.977779269218,-0.169314607978,-0.317709505558,0.171382904053,0.0725159794092,0.441700011492,1.14039242268,-0.403033345938,0.346580564976,0.166124418378,-0.378210633993,-0.366187334061,-0.652820289135
2309,0.284489572048,2.92494940758,0.75120806694,0.137393027544,0.722284674644,0.10599565506,-0.193554356694,2.29762101173,-0.639896154404,-0.332348704338,1.27865004539,0.126563251019,0.034100022167,0.12888020277,-0.884865045547,1.1363568306,0.459952265024,0.31841391325
387,-0.737378776073,-0.274995356798,0.626755356789,0.216002434492,-0.119063571095,-0.18807002902,-0.992130815983,0.069393210113,-0.138900905848,0.24093721807,-0.645049989223,1.97363984585,-2.70146656036,-0.24001827836,-0.885472774506,0.714063107967,-0.160353213549,0.305812656879
3553,-0.0626820996404,-0.0755580067635,0.285297304392,0.875675439835,-1.28764855862,0.246846884489,0.619372010231,-0.230621486902,-0.322398781776,-0.903100907803,-0.224350005388,-0.00277894735336,0.131333351135,-0.223247632384,-0.442651212215,-0.0357854217291,-0.516030788422,-0.72433835268
427,0.205172792077,0.30568549037,-0.89748609066,1.42752599716,-0.269971966743,0.141351372004,0.143214255571,0.557295441628,-0.0706696286798,0.0844244211912,1.14719998837,0.582612633705,0.655400037766,-0.162200316787,-1.05234861374,0.405434459448,0.534192144871,0.415524274111
5898,-0.267755329609,0.00766810774803,-0.926642119884,-0.43483248353,0.179768964648,-0.60481095314,-1.06760394573,0.909555912018,0.690399289131,-0.20838791132,-1.04694998264,-0.345297127962,0.0338999927044,-0.366467446089,-0.117954045534,0.373512357473,0.238066494465,-0.279604971409
23365,-0.0592773556709,-0.293255776167,0.191166311502,-0.0843010693789,0.0672249346972,-0.138696730137,-1.17467093468,0.0705509781837,-0.169232428074,0.0220752395689,-0.326200008392,-0.832105398178,0.0610666722059,-0.756524443626,-0.816432058811,0.285278856754,0.41967728734,-0.729098081589
6657,5.86270523071,-0.769258320332,2.56857132912,0.912396550179,-0.204435124993,0.414309024811,0.816152095795,-0.469087719917,0.795682489872,-0.958722352982,0.340700000525,-0.0461356788874,-0.0340999662876,-0.603548526764,-1.08257675171,-0.0784197077155,-0.539852023125,-0.0388886407018
