rid,CPD002_MCF7_24H:BRD-A80567352-003-01-6:10,CPD002_MCF7_6H:BRD-A80567352-003-01-6:10,CPD002_PC3_6H:BRD-A80567352-003-01-6:10,CPD002_PC3_24H:BRD-A80567352-003-01-6:10
5720,-1.74499964714,-2.02002978325,-2.29693579674,-2.07577753067
466,0.206805199385,-0.28878107667,-0.72120642662,-0.17106577754
6009,0.490849673748,0.413035303354,-0.0276712328196,0.442438662052
2309,-0.636843800545,-1.53603899479,1.43041503429,1.06636679173
387,0.295359611511,0.136332929134,-0.485123634338,-0.52247273922
3553,-0.05861094594,2.51227402687,0.0538364052773,-1.15470790863
427,0.257486194372,-0.501195073128,0.378345310688,0.526737689972
5898,0.319985866547,-0.876536726952,-1.84677231312,-1.30331671238
23365,1.33529412746,-0.964139223099,-0.360977351665,-0.321827054024
6657,-0.344240784645,1.54692924023,1.60142099857,0.197553083301
5054,-0.360889911652,0.786712229252,-1.87432777882,-1.9663271904
3108,0.404132544994,2.6671860218,0.448748528957,0.582050263882
1950,0.0965931639075,0.146364480257,0.456004917622,0.0743106305599
351,-0.0999511182308,-0.281722664833,2.13446569443,1.01550126076
4846,1.48780536652,2.71604537964,-0.323573231697,0.0634721666574
1452,0.765102148056,-0.466589272022,-0.787254869938,-1.47120726109
4776,0.449296653271,0.396497488022,1.71891927719,0.461192131042
6908,-0.859574258327,-0.695157289505,-1.19538426399,-1.04048156738
672,0.201268047094,1.5655220747,0.710026860237,-0.221854031086
5710,0.323642551899,-0.281135857105,-2.76473665237,-0.00495879352093
2115,1.34140992165,0.74355006218,-0.408005416393,-0.831397891045
7015,0.542297482491,-0.69634783268,0.968128442764,1.29619848728
8726,0.921279251575,0.632851183414,-0.302585065365,-0.402289688587
2185,-0.144065022469,0.194420307875,1.70811891556,0.278052538633
3315,-0.539813697338,-0.501139461994,-1.09234333038,-0.932777941227
5289,-1.91854810715,-0.530599355698,-1.40657496452,-0.743615090847
868,-5.54408693314,0.523263931274,0.779275178909,0.0544343404472
1677,-0.388677358627,-0.0368910096586,3.97274398804,-0.567547976971
7043,0.858813405037,-0.337248295546,1.90436339378,-0.0759828239679
5613,0.00107049942017,0.550213217735,2.53000164032,1.01792728901
595,0.517617464066,-0.0822488963604,-0.113055028021,-1.62551188469
4793,0.693736374378,1.47323095798,1.07667922974,-0.422881126404
2736,-0.496592462063,1.19722294807,1.5279648304,-0.651386499405
5290,-0.200610935688,0.999295592308,0.924896657467,1.39074397087
6194,1.18250370026,0.287587821484,-0.323068022728,1.69539046288
1676,0.363219320774,-0.138785287738,2.16794085503,0.537665724754
23512,-0.904584467411,-1.07956457138,0.421478301287,-1.01955902576
148022,-0.8402582407,-1.8334416151,-0.503836870193,-0.379066228867
1906,-0.000751540064812,-4.27061700821,1.15088260174,0.197206020355
8878,-0.075818002224,-0.573587059975,-1.07663118839,-1.43728995323
3091,0.00150049477816,-0.804347097874,0.137988567352,0.0995928272605
5743,1.26842260361,0.362988233566,-0.504301726818,-0.513589441776
5321,0.339115679264,-0.859048843384,1.104403615,0.879242420197
4144,-0.276985108852,0.547291994095,0.879484176636,0.845415353775
1981,-0.134219974279,0.698797523975,0.144509702921,-0.664824962616
695,-0.450928121805,-0.0360262393951,1.01384711266,-1.22122144699
10398,-0.251370131969,0.265626341105,0.0661376416683,-0.705086946487
5708,0.0493957772851,0.337714195251,-0.967187166214,-2.43701910973
1213,0.195688962936,0.313590019941,-0.955906927586,0.293840050697
226,-0.144809067249,-0.597030997276,-0.431354701519,-0.778137803078
6777,1.41406428814,0.457582473755,0.871923685074,0.459073722363
2113,-0.809840857983,-0.560352325439,1.11450982094,-0.0147157758474
3329,0.190463483334,-0.0116939842701,-2.63745832443,-2.80860614777
1050,-0.890348434448,-0.202380523086,4.61924362183,0.384680002928
9491,-0.174603670835,-0.169839203358,0.604763865471,0.44462788105
22926,-1.17734265327,-0.0254503488541,0.378224551678,-1.20558905602
5899,-1.05572867393,-0.217465877533,-0.785746157169,-1.22951900959
5467,1.54100298882,-0.00655607879162,0.74182844162,-0.494975954294
6774,0.134498238564,2.15025997162,-0.354901582003,0.616463363171
1788,0.00886406376958,0.3092867136,0.715922832489,0.752217948437
5921,-0.615916669369,4.21695899963,-0.685746192932,-0.80187523365
5721,-0.105591952801,-0.0457965433598,-2.6701593399,0.440046221018
2263,0.766961455345,0.453756928444,1.45160317421,1.16101384163
808,0.71390080452,1.441437006,0.0196801126003,0.0314223244786
30001,-0.824813306332,1.58357810974,-0.0529201775789,-1.28590023518
348,0.811188578606,0.0529607534409,2.47126531601,0.0336742699146
30849,0.771284878254,0.726743400097,0.461031734943,-0.542930245399
1454,-0.555751800537,-0.872742533684,-0.598541855812,-1.10706472397
6500,-0.135838389397,-0.552361011505,1.04980611801,-1.17957484722
5627,0.0437865108252,1.79728806019,-0.398200511932,-0.911917090416
5715,1.42385530472,0.0394297093153,-1.19759845734,-0.0672430694103
4791,-1.90649938583,1.7105935812,-0.167783558369,1.09002053738
56924,0.827869057655,-0.165468543768,-1.56308281422,-1.05135011673
2690,0.253542155027,2.6549987793,-0.567645549774,-0.407166659832
1019,0.657101154327,-0.527505755424,-0.790651202202,0.629696071148
51422,-0.47528013587,-0.521480202675,-1.15050971508,0.434981316328
5788,-0.0615411065519,0.447226762772,0.727305412292,0.451373547316
6709,0.183713823557,1.6927011013,0.261912375689,-1.33664679527
1277,-0.0484766513109,1.98315608501,-0.254741609097,0.0904164463282
993,0.277008116245,-0.193352937698,-0.465578705072,0.392736405134
7157,-0.0284531265497,-0.694557905197,3.76474118233,-1.15002679825
1958,0.0401494503021,3.82119822502,0.268768012524,0.578363597393
4582,-0.121651470661,1.92546987534,2.76401305199,-0.542125701904
9212,0.0349516794086,-0.325783014297,-0.675669074059,0.123093664646
8440,1.02201116085,1.23806834221,-0.368967056274,-0.294220298529
6790,0.0912130624056,-3.54469156265,-0.349322229624,-0.631568014622
8851,0.659604609013,0.689989984035,3.03941249847,0.94861382246
2534,-0.288509190083,-0.739088177681,-0.93458211422,-1.42664325237
4893,-0.860974550247,-0.833382844925,1.16747963428,0.0710285082459
665,0.415443122387,-0.303761452436,-1.35970008373,-1.57375597954
4313,0.188892364502,0.476349115372,1.33868908882,1.08510196209
1022,-0.625319242477,-1.17936444283,-0.853023648262,0.497916400433
5880,-0.663029015064,2.53484773636,0.101877167821,-0.0399698726833
3162,-0.726262688637,-1.35507321358,-1.01816058159,-0.855235636234
1282,0.480771511793,-0.102316766977,1.40510487556,0.913799166679
3383,-0.819150805473,0.947158694267,0.299867153168,0.0927872657776
727,0.0430579185486,-0.0248464941978,4.48360729218,1.41899931431
4792,-0.139653116465,-0.460623592138,-0.583441495895,-1.22700572014
4794,0.580914378166,0.200583487749,1.3963612318,0.0748229026794
902,-0.385651648045,-0.0198522508144,-0.912189245224,-1.23851358891
8091,-0.489375531673,0.351137399673,0.520162045956,-1.52933061123
3486,-0.71122944355,0.445852726698,0.291753053665,-0.492477536201
10818,0.2553409338,-0.357747644186,1.18274974823,-0.137468412519
3454,0.255353093147,0.342103391886,2.4421043396,1.06841289997
4282,-0.866684615612,0.0473909378052,-0.41495013237,0.435654550791
1605,0.804357171059,1.04834342003,-1.26038706303,-1.73114752769
10644,-0.539978682995,0.221779599786,-0.440661877394,-1.47819161415
2065,1.26147627831,1.2667440176,0.101289004087,-0.00732778012753
8321,-0.825348138809,-0.344959318638,1.30020534992,1.04491782188
8503,0.37860250473,0.598804891109,1.14680421352,0.0455245375633
7027,0.217158913612,-0.181357070804,0.282151132822,0.0482270121574
6850,-0.757032454014,0.342932581902,0.90102571249,-0.29812669754
1978,-0.0613475106657,-0.0377667844296,-3.2768008709,-4.20310306549
896,0.30403059721,0.0694739371538,0.694409191608,-0.14336553216
5777,-1.4470038414,4.22073698044,0.685543835163,0.0179370939732
1846,-0.418096601963,-0.539284229279,-0.642442405224,-0.0989463031292
5925,-0.355054318905,-0.837886929512,0.881503641605,-0.0498365312815
142,-0.0541480630636,0.0956186652184,-0.377200692892,-0.972185671329
1021,0.106437116861,4.46921491623,7.83940696716,-0.403714746237
5699,-0.942177355289,-1.28664207458,-0.532399654388,-0.613368332386
