rid,CPC011_A375_6H:BRD-K81473089-003-21-2:10,CPC011_A549_6H:BRD-K81473089-003-21-2:10,CPC011_A549_24H:BRD-K81473089-003-21-2:10,CPC011_HA1E_6H:BRD-K81473089-003-21-2:10,CPC011_HT29_6H:BRD-K81473089-003-21-2:10,CPC011_MCF7_6H:BRD-K81473089-003-21-2:10,CPC011_MCF7_24H:BRD-K81473089-003-21-2:10,CPC011_PC3_6H:BRD-K81473089-003-21-2:10,CPC011_PC3_24H:BRD-K81473089-003-21-2:10,CPC011_VCAP_6H:BRD-K81473089-003-21-2:10,CPC011_VCAP_24H:BRD-K81473089-003-21-2:10,CPC020_A375_6H:BRD-K81473089-311-05-2:10,CPC020_A549_6H:BRD-K81473089-311-05-2:10,CPC020_HA1E_6H:BRD-K81473089-311-05-2:10,CPC020_HCC515_6H:BRD-K81473089-311-05-2:10,CPC020_HT29_6H:BRD-K81473089-311-05-2:10,CPC020_MCF7_6H:BRD-K81473089-311-05-2:10,CPC020_MCF7_24H:BRD-K81473089-311-05-2:10,CPC020_PC3_6H:BRD-K81473089-311-05-2:10,CPC020_PC3_24H:BRD-K81473089-311-05-2:10,CPC020_VCAP_6H:BRD-K81473089-311-05-2:10,CPC020_VCAP_24H:BRD-K81473089-311-05-2:10
5720,0.979412138462,-0.106080316007,0.241479635239,0.377900004387,0.565616846085,-0.0213499963284,0.146249979734,1.18973875046,-0.150660037994,0.181379586458,0.842062234879,-0.107339113951,-1.06850004196,0.172062397003,-2.81559991837,-0.0888974666595,0.28237721324,-0.407525092363,-1.06200182438,-1.37055289745,-0.271205812693,-1.14264976978
466,0.1155128479,0.634091079235,-0.134942039847,0.177850037813,-0.170022413135,0.358749985695,-0.847649991512,1.25543761253,0.757465898991,0.747399628162,0.6249563694,-0.0553507432342,-1.99755001068,-0.377539217472,0.800350010395,0.240151062608,1.00468456745,-0.0752477645874,-0.641417324543,-0.367381453514,-0.0227804817259,0.254427582026
6009,0.155289530754,-0.142119884491,-0.46202903986,0.166349992156,-0.486585408449,0.240350008011,-2.06359982491,0.166343986988,-0.410753428936,0.301253646612,-0.0202090144157,-0.112000107765,-0.380850017071,-0.230078369379,-1.18519997597,-0.702726840973,-0.304571390152,0.667078852654,-0.400492846966,-0.676663458347,1.06545221806,-1.05155897141
2309,-0.507244467735,0.377068519592,0.132305309176,-0.12990000844,-0.558238267899,-0.302049994469,-0.506500005722,-0.304188787937,-0.239930093288,-0.957524478436,-0.529076218605,-0.338763177395,0.187399998307,0.618186473846,-0.737550020218,-1.37855839729,-0.48285356164,-0.102398201823,-0.946103453636,-0.43840354681,-0.317488223314,-0.179566726089
387,-0.416000902653,0.230717122555,-1.20188474655,0.373750001192,-0.109811417758,-0.570399999619,-0.945850014687,0.86467975378,-0.0744625777006,-0.184646204114,-0.406057357788,-0.279411822557,-0.200350001454,1.12554073334,1.13464999199,-0.0949022397399,1.23979532719,-0.188733160496,-0.457583487034,-0.598888635635,-0.593516349792,0.361264288425
3553,-0.112075127661,-0.36464959383,0.444687157869,0.198200017214,-0.314205020666,-0.11630000174,1.59815001488,-0.250576853752,0.118845656514,0.287690252066,-0.173308581114,-0.0160543806851,1.08130002022,0.127294629812,-0.671599984169,0.85611730814,-0.423942625523,-0.482254356146,0.60961830616,0.137977048755,1.31286430359,0.370803594589
427,-1.16364645958,0.0228550732136,-0.0697170644999,-0.709600031376,-0.00564939342439,0.0916000008583,0.135549992323,0.163203582168,0.155008137226,0.441954195499,1.00912606716,-0.522912561893,-0.243900001049,-1.03911066055,0.183499991894,0.986325383186,0.922867953777,-0.255760401487,-0.141819596291,0.0263437628746,0.153644070029,0.878987908363
5898,-0.433236539364,0.568159103394,-0.151263833046,1.21285009384,-0.0358376055956,0.115799993277,-0.433349996805,0.760974645615,0.495697200298,-0.148335158825,0.406800717115,-0.107874080539,0.159350007772,-1.21113944054,1.3735499382,0.056741386652,0.861100792885,0.382511556149,-0.662449598312,-0.919183254242,0.120299227536,0.99846804142
23365,-0.775162220001,-0.341745018959,0.754849076271,-0.0507000014186,-0.338923841715,-0.897650003433,-0.459199965,-0.0735579058528,0.50873208046,0.911192774773,-0.862072587013,1.23087024689,-0.802899956703,-0.718251168728,0.385100007057,0.24921245873,0.499161243439,2.63801264763,0.760330319405,-0.319703876972,-0.040718652308,-0.936627864838
6657,0.361664175987,-0.273707956076,0.893323302269,0.221499994397,-0.27722170949,0.184449970722,-0.33575001359,-0.775382578373,-0.43933236599,0.485455155373,-0.734330058098,-0.0465402565897,1.57060003281,0.638216972351,0.381749987602,1.06552910805,-0.563289642334,0.357254356146,0.915184497833,0.771948456764,1.02060973644,0.137755021453
