rid,DOS013_VCAP_24H:BRD-K03257659-001-01-0:5.01,DOS040_A375_24H:BRD-K03257659-001-01-0:5.01,DOS040_HT29_24H:BRD-K03257659-001-01-0:5.01,DOSBIO001_A375_24H:BRD-K03257659:10.0189,DOSBIO001_A549_24H:BRD-K03257659:10.0189,DOSBIO001_HT29_24H:BRD-K03257659:10.0189,DOSBIO001_MCF7_24H:BRD-K03257659:10.0189,DOSBIO001_PC3_24H:BRD-K03257659:10.0189,DOSBIO001_NEU_24H:BRD-K03257659:10.0189,DOSBIO001_NPC_24H:BRD-K03257659:10.0189
5720,-0.905400037766,0.594449996948,-1.83325004578,0.667023003101,-0.185147359967,0.191593512893,-0.0488687604666,-0.245319455862,-0.424300014973,1.23684871197
466,-0.755950033665,1.90919995308,-0.912649989128,-1.63417541981,-0.457803785801,0.243204206228,0.341966122389,-0.409406423569,-0.303200006485,1.86140656471
6009,-0.516499996185,0.189099997282,-0.886800050735,2.57663464546,-0.616047024727,-0.0905295908451,-0.428006231785,0.162256941199,-1.05739998817,0.86047577858
2309,-1.38765001297,4.50425004959,0.908049941063,0.381769567728,-0.667834460735,-0.937190890312,-0.347015619278,-1.20739459991,-1.01789999008,0.0440221875906
387,1.05145001411,2.13359999657,1.18005001545,-0.684095859528,-0.307659476995,-0.107212990522,-0.30057233572,-0.306606501341,-0.551750004292,-0.916105270386
3553,0.873549997807,0.0636000037193,-0.262749999762,0.162383317947,0.0825443267822,0.782289683819,0.204417228699,0.154741883278,1.61769998074,0.217166781425
427,0.571449995041,0.18900001049,3.03795003891,-0.734707057476,0.50315874815,-0.629125356674,0.0591207742691,-0.245589971542,0.123250007629,-0.619570851326
5898,-1.02024996281,-0.615100026131,0.0409499928355,-2.5698890686,-1.64837813377,-0.0374487042427,0.206976205111,0.963919818401,1.41890001297,0.634014010429
23365,-0.605550050735,-1.19525003433,0.920300006866,-1.63380646706,-0.300289422274,0.0746040418744,0.151690930128,-0.744419813156,0.446900010109,-0.129669398069
6657,1.38139998913,0.493300080299,2.86574983597,1.1874191761,1.09745180607,1.15367925167,0.00202181003988,1.00300300121,-1.41449999809,-1.22106790543
5054,-0.420450031757,0.567200005054,1.07975006104,0.0917325913906,-0.578401088715,0.36260792613,-0.328260928392,-0.20020404458,1.01304996014,-0.411499559879
3108,0.0851999893785,2.94670009613,5.08365011215,-0.497949570417,0.699267685413,-0.918787896633,-0.471335202456,0.0423173159361,0.69779998064,-1.09087204933
1950,-0.224099993706,0.311900019646,0.363099992275,0.0992283821106,1.30454456806,1.52500355244,0.660025715828,-0.419412136078,-0.140200018883,-0.232203960419
