rid,DOS024_VCAP_6H:BRD-K07125273-001-01-1:4.88,DOS024_VCAP_24H:BRD-K07125273-001-01-1:4.88,DOS053_A375_24H:BRD-K07125273-001-01-1:4.88,DOS053_A549_24H:BRD-K07125273-001-01-1:4.88,DOS053_MCF7_24H:BRD-K07125273-001-01-1:4.88,DOS053_PC3_24H:BRD-K07125273-001-01-1:4.88,MUC.CP001_MCF7_6H:BRD-K07125273-001-01-1:9.7503,MUC.CP001_MCF7_6H:BRD-K07125273-001-01-1:3.2501,MUC.CP001_MCF7_6H:BRD-K07125273-001-01-1:1.0834,MUC.CP001_MCF7_6H:BRD-K07125273-001-01-1:0.3611,MUC.CP001_MCF7_24H:BRD-K07125273-001-01-1:9.7503,MUC.CP001_MCF7_24H:BRD-K07125273-001-01-1:3.2501,MUC.CP001_MCF7_24H:BRD-K07125273-001-01-1:0.3611,MUC.CP001_MCF7_24H:BRD-K07125273-001-01-1:1.0834,MUC.CP001_NKDBA_24H:BRD-K07125273-001-01-1:9.7503,MUC.CP001_NKDBA_24H:BRD-K07125273-001-01-1:3.2501,MUC.CP001_NKDBA_24H:BRD-K07125273-001-01-1:1.0834,MUC.CP001_NKDBA_24H:BRD-K07125273-001-01-1:0.3611
5720,-1.5773999691,-0.406123071909,-0.540950000286,0.545099973679,-0.744150042534,-0.154400020838,-0.773600041866,-0.100654706359,-0.455288887024,-0.685021698475,-0.64432489872,0.869074761868,-0.958541989326,-0.366100013256,0.395808815956,-0.280024349689,-0.107936710119,-0.527100920677
466,-0.454750001431,-0.57202064991,0.458400011063,-0.44779998064,0.342100024223,0.369350016117,0.1223000139,0.53929901123,0.47922950983,0.95039242506,-0.688683867455,-0.510537803173,0.00885028392076,-0.401649981737,1.24701154232,0.281525373459,1.16095983982,1.22611892223
6009,-1.01374995708,0.672251880169,0.054850012064,-0.511349976063,-0.921550035477,-1.17449998856,0.844600081444,-0.219709053636,-0.163505554199,-0.0399627164006,0.613032460213,-1.2585221529,0.74370855093,0.51139998436,0.303534120321,-0.536875784397,0.399407505989,0.524909734726
2309,-0.966300010681,0.593723416328,-1.14990007877,-1.0380500555,-3.74880003929,-0.366649985313,-0.67150002718,0.0482121109962,-0.0548599511385,-0.337820321321,0.159242495894,-0.35115480423,0.640450239182,0.172649994493,-0.355422884226,-1.20082342625,0.273367524147,0.463931918144
387,-0.235349982977,0.510208070278,0.0423999875784,-0.188599988818,-0.146399989724,-1.69825005531,-0.260233342648,-0.219153627753,-0.445694774389,-0.278739094734,0.494747579098,-0.170825883746,0.486362874508,0.541149973869,0.896480500698,-0.700150072575,0.640376210213,0.413204491138
3553,0.805199980736,-0.628835260868,1.62275004387,1.20934998989,2.28570008278,0.330950021744,0.367466747761,-0.338430345058,0.321151793003,0.0195094347,-0.974770784378,1.07495486736,-0.746644735336,-1.29219996929,-1.98100280762,-0.307964086533,-1.84871423244,-1.83099830151
427,0.463400006294,-0.749920368195,0.121399998665,-0.512349963188,-0.13124999404,-0.13734999299,-0.840433299541,-1.04554200172,-0.645207047462,0.354410290718,0.0512093305588,-0.0312987416983,-0.144767731428,-0.237200006843,-0.0958571508527,-0.139916181564,-0.206230044365,-0.419891029596
5898,0.549250006676,0.785305321217,0.295599997044,0.508399963379,-0.0780000090599,0.416399985552,-3.27353358269,0.793325841427,-0.370926260948,1.45278835297,-2.13918447495,1.05501616001,-1.91073000431,-1.31404995918,0.0871917754412,-0.404471129179,-0.411847263575,0.505209684372
23365,0.355300009251,0.0588502585888,1.09804999828,-0.191550001502,-0.130050003529,-0.74874997139,-0.480700045824,-0.439006656408,-0.386838883162,0.389138042927,0.925896048546,0.277081042528,-1.02875339985,0.589800000191,0.490878105164,-0.321461498737,0.33012893796,0.903288304806
6657,0.175949990749,-0.728856682777,0.734500050545,0.682749986649,1.33010005951,0.616750001907,-0.592966675758,-0.827834486961,-1.14885962009,-0.947932958603,-0.978044807911,0.980098307133,-0.936722755432,-0.907249987125,-1.59798800945,-0.232061177492,-1.67146527767,-1.61292743683
5054,0.294900000095,0.0241937488317,0.390549987555,-0.439300000668,-0.392549991608,-0.91914999485,-0.101799994707,0.0759533941746,-0.527109742165,1.07235836983,-0.571607649326,1.25241649151,-0.551053762436,-0.202350005507,1.06622517109,0.817632079124,0.940520048141,0.863880574703
3108,0.103150010109,-0.286689281464,-1.23870003223,-1.34979999065,-0.547299981117,-0.0176499970257,-0.246233344078,-0.363198965788,-0.189727798104,-0.2312040627,-0.926707983017,-0.518891632557,-0.682715296745,-0.587599992752,0.0527735874057,2.49579048157,-0.497730851173,0.367513269186
1950,0.104599997401,-0.441900789738,-0.146850004792,-0.864150047302,-0.109650015831,0.47619998455,-0.442200034857,-0.104621261358,0.321530282497,-0.103910416365,-0.19282451272,0.999528646469,-0.224829390645,0.145949989557,-0.935513794422,0.168746650219,-0.817319273949,-0.882115364075
351,1.04910004139,0.887554109097,0.939999997616,0.13560000062,0.748899996281,0.798049986362,0.64633333683,0.0959025174379,0.515566587448,-0.499987781048,0.0440245531499,0.688376605511,-0.0944946780801,-1.20904994011,0.100192606449,-0.163226485252,0.501899838448,0.304790228605
4846,-0.789900004864,0.446679055691,0.0512999966741,0.857450008392,-0.546350002289,1.4700499773,-0.315400004387,0.1363504529,0.493058979511,0.424620211124,-0.16575743258,-0.262120634317,0.515685081482,-0.201549991965,-1.6608196497,-0.957848131657,-0.887351155281,-0.715582370758
1452,-2.08984994888,0.19839155674,-0.90575003624,-0.345949977636,-0.148899972439,0.778249979019,0.182833343744,0.180955708027,-0.292462229729,-2.04337787628,-0.356150448322,0.504269301891,0.35823315382,0.043799996376,-0.410635501146,0.152329862118,-0.290023565292,0.0526795461774
4776,0.914649963379,0.496776938438,1.86999988556,-0.469249993563,1.21449995041,0.690649986267,0.0593666657805,-0.721575677395,-0.564986467361,-0.797199368477,-0.240181788802,1.02738726139,-0.595868885517,-0.662899971008,-1.18756628036,0.183233693242,-1.56916987896,-1.46932673454
6908,-0.74255001545,-0.859393596649,0.609799981117,0.62784999609,-0.209199994802,0.669849991798,-0.552533388138,0.440133839846,-0.483761638403,0.807812094688,0.322954952717,-0.735763132572,1.04759645462,0.670050024986,0.889183521271,-0.380759894848,0.856926560402,0.987428128719
