rid,DOS030_VCAP_6H:BRD-K12189280-001-01-1:4.93,DOS030_VCAP_24H:BRD-K12189280-001-01-1:4.93,DOS034_A375_24H:BRD-K12189280-001-01-1:4.93,DOS034_A549_24H:BRD-K12189280-001-01-1:4.93,DOS034_HT29_24H:BRD-K12189280-001-01-1:4.93,DOS034_MCF7_24H:BRD-K12189280-001-01-1:4.93,DOS034_PC3_24H:BRD-K12189280-001-01-1:4.93
5720,1.77603411674,-0.337265968323,0.643988490105,0.444630771875,-0.677749991417,-0.159558326006,1.19609665871
466,1.41200327873,-0.24094158411,0.994068443775,-0.750032901764,-0.422050029039,-2.98072528839,0.505143225193
6009,1.82350361347,-0.481579422951,0.501666367054,0.207746475935,-1.02489995956,0.458597183228,0.53002923727
2309,-0.0941109359264,0.291503727436,0.656395852566,-0.474253863096,-0.969399988651,-1.53078770638,0.853476524353
387,-0.514855146408,-0.539422631264,-0.453233361244,-0.132422834635,-1.03104996681,0.159660965204,-0.904543876648
3553,-0.777634382248,-1.24870562553,0.282720834017,-0.18497389555,1.74734997749,1.22777140141,-0.0823870226741
427,0.27282333374,-0.608576416969,0.0207883119583,-0.0197177901864,0.763949990273,-0.647479295731,0.574239969254
5898,0.244104504585,1.61020517349,0.136208474636,0.578415393829,0.803249955177,0.676290929317,0.148568958044
23365,0.380242049694,-0.854416191578,-0.840173244476,0.490892678499,-0.889899969101,-0.364014387131,-0.61587023735
6657,-0.786421895027,0.87506788969,1.19483375549,-0.257739692926,1.50119996071,2.56912088394,1.23505616188
5054,0.477974295616,0.47742959857,-0.0728083252907,-0.85989266634,0.913550019264,-0.400014519691,-0.026218265295
3108,-0.0340179204941,-0.770105957985,0.160336852074,-0.676394939423,-0.299750000238,0.785493135452,0.562526226044
1950,-0.870848298073,0.735856413841,0.967658102512,-0.459565728903,2.27865004539,0.714793920517,0.853814661503
351,0.565949440002,-0.475240170956,-0.104303926229,-0.0222063660622,0.536449968815,0.267517656088,-0.623184919357
4846,-0.0177080892026,-0.391465485096,0.663536310196,-5.66609764099,1.04315006733,0.19906398654,-0.397015094757
1452,0.749720394611,-1.23075151443,0.153061270714,-0.976300835609,0.323450028896,0.515182554722,-0.762179136276
4776,-1.33425974846,-0.613989472389,-0.51603025198,-0.0185606852174,1.73425006866,1.3921790123,-0.198818609118
