rid,CPC003_HA1E_6H:BRD-K70330367-003-03-8:10,CPC003_HA1E_24H:BRD-K70330367-003-03-8:10,CPC003_HCC515_6H:BRD-K70330367-003-03-8:10,CPC003_HCC515_24H:BRD-K70330367-003-03-8:10,CPC003_PC3_6H:BRD-K70330367-003-03-8:10,CPC003_PC3_24H:BRD-K70330367-003-03-8:10,CPC003_VCAP_6H:BRD-K70330367-003-03-8:10,CPC003_VCAP_24H:BRD-K70330367-003-03-8:10,CPC015_A375_6H:BRD-K70330367-003-03-8:10,CPC015_A549_6H:BRD-K70330367-003-03-8:10,CPC015_A549_24H:BRD-K70330367-003-03-8:10,CPC015_ASC_24H:BRD-K70330367-003-03-8:10,CPC015_HEPG2_6H:BRD-K70330367-003-03-8:10,CPC015_HT29_6H:BRD-K70330367-003-03-8:10,CPC015_MCF7_6H:BRD-K70330367-003-03-8:10,CPC015_MCF7_24H:BRD-K70330367-003-03-8:10,CPC015_NPC_24H:BRD-K70330367-003-03-8:10,CPC015_PHH_24H:BRD-K70330367-003-03-8:10,CPC015_SKB_24H:BRD-K70330367-003-03-8:10,CPD002_MCF7_24H:BRD-M94527406-103-01-4:10,CPD002_MCF7_6H:BRD-M94527406-103-01-4:10,CPD002_PC3_6H:BRD-M94527406-103-01-4:10,CPD002_PC3_24H:BRD-M94527406-103-01-4:10
5720,-0.745849967003,-1.27660417557,-0.210836052895,0.104017093778,-0.467585265636,0.242134869099,-1.69005823135,-1.06640005112,0.528503358364,0.789600014687,0.593200027943,-0.256834328175,0.0963000059128,-0.171820685267,0.638576984406,0.54400652647,0.526348233223,-0.567650020123,-0.16249999404,-1.29540371895,-1.21910750866,-0.734879255295,-3.22459983826
466,-0.0257999897003,-0.079706966877,-0.493914961815,0.0452412888408,-0.258098423481,-0.495934605598,-0.428925275803,-0.840350031853,-0.163344219327,0.805750012398,1.26050007343,0.516480147839,-1.06325006485,-0.474696934223,-0.243782788515,-0.387545466423,1.31373071671,0.0746999979019,-1.08190000057,-0.500158309937,-0.054267257452,0.341497898102,-0.194799989462
6009,-1.67460000515,0.37790119648,0.153483048081,-0.362032949924,0.065911501646,0.330111891031,0.105030193925,-0.970300018787,-0.777919113636,0.795199990273,-0.0515666604042,0.249319195747,0.0587999969721,0.0672157257795,-0.371935337782,-0.887654721737,0.114165261388,0.137900009751,-0.907799959183,0.141141444445,0.388622462749,-0.301715016365,-0.260499954224
2309,-0.445699989796,-0.343200325966,-0.594044804573,-0.556648492813,-1.53391087055,0.58313703537,-0.335549712181,-0.113250017166,0.230981856585,-0.194900006056,1.09619998932,0.705247998238,-0.155499994755,-0.117828324437,-0.22961127758,0.439349472523,-0.675973892212,-0.477200001478,-0.668599963188,0.778727650642,-0.751303553581,0.0521902218461,-0.0428999960423
387,-0.884849905968,-0.071434378624,-0.622953176498,-0.533555984497,-0.559339940548,-0.6791010499,-0.657811224461,-0.00785000622272,-0.204033479095,0.645850002766,1.52336668968,-0.189545750618,0.749949991703,-0.216434448957,0.112555369735,0.148749113083,0.145652651787,-0.339349985123,-1.03834998608,1.04979431629,-0.913067519665,-0.0446201190352,1.49189996719
3553,0.528599977493,1.86024093628,1.7474476099,-0.891719937325,-0.271490782499,-0.758813738823,-0.0492968484759,0.723800003529,0.331522762775,-0.145850002766,0.237533330917,-0.131520450115,0.162249997258,0.176413357258,0.994630336761,-0.579419136047,-0.737596094608,-0.608049988747,1.10289990902,-0.151536852121,0.371031045914,-0.138730168343,-0.800049960613
427,0.350199997425,-0.343153685331,1.0230563879,-2.9779279232,0.10609523952,-0.536688446999,1.50228226185,-0.396399974823,-0.871674418449,0.295549988747,0.74243324995,0.372302174568,-0.612550020218,-0.0917687267065,-0.454925715923,0.270149827003,1.40838027,-0.179700002074,-0.322200000286,0.0331303738058,1.35383892059,-0.188310205936,-0.642149984837
5898,-0.304150015116,0.0348006188869,-8.46730327606,-1.01614809036,-0.612296760082,-0.912800967693,-0.578774213791,-0.413049995899,0.366464436054,-0.068549990654,0.609566688538,0.764252781868,-0.76734995842,-0.382928788662,0.154915645719,-0.322584241629,-0.710500538349,-0.491800010204,0.489849984646,-0.403846234083,-0.129554077983,0.374640166759,-0.132049977779
23365,-0.648750007153,-1.1064401865,0.697322189808,-0.271144747734,-0.102913238108,-0.274566441774,-0.414789199829,-0.0863499939442,-0.511956930161,0.206399992108,0.488499999046,-0.278255552053,-0.241500020027,0.280704528093,-0.0604570806026,-0.0385127663612,-0.735026359558,0.608250021935,-0.519100010395,0.977108359337,-0.808252751827,-0.212730109692,2.43709993362
6657,0.539950072765,1.09975528717,-0.215386494994,-0.407264143229,2.57464337349,0.238437205553,0.197337627411,0.54549998045,-0.558123469353,-0.58470004797,0.437966674566,0.175603121519,-0.162500008941,-0.0288946628571,0.306599318981,-0.423510491848,0.434726476669,-1.1671500206,1.63285005093,-0.268588572741,0.0933271944523,0.674166500568,-0.0733499974012
