rid,DOS059_A549_24H:BRD-K07476637-001-01-9:5,DOS059_MCF7_24H:BRD-K07476637-001-01-9:5
5720,-0.907549977303,0.535549998283
466,-0.933200001717,0.260849952698
6009,1.52549993992,-0.0789999961853
2309,0.330449998379,-0.0243999958038
387,-0.289449989796,1.1467499733
3553,0.119250014424,0.39904999733
427,-0.0886999964714,-0.752449989319
5898,0.222799986601,-0.0231500267982
23365,-0.257099986076,3.23659992218
6657,1.13915002346,-0.983999967575
5054,0.365300029516,1.01164996624
3108,-0.215700000525,0.088049992919
1950,0.134600013494,-1.09294998646
351,-1.39864993095,0.421800017357
4846,-0.838950037956,-1.62475001812
1452,-0.402899980545,-1.86159992218
4776,0.651049971581,-0.218500003219
6908,-0.114499986172,0.110349997878
672,-1.077450037,-0.588100016117
5710,-0.475699990988,-0.58235001564
2115,0.473600029945,-0.0187500119209
7015,-1.6494499445,-1.40810000896
8726,-0.897100031376,-1.26620006561
2185,1.10785007477,-0.127999991179
3315,0.266699999571,0.603100001812
5289,-2.06190013885,-1.62129998207
868,1.85815000534,0.597200036049
1677,-1.82574999332,-0.125450015068
7043,1.46659994125,0.884199976921
5613,1.15015006065,-0.209199994802
595,-0.254200011492,1.16390001774
4793,0.691500008106,0.813949942589
2736,-2.11124992371,-0.44319999218
5290,-0.6304500103,-0.370200008154
6194,-0.298550009727,0.00034999998752
1676,-0.735499978065,-1.52505004406
23512,-0.975899994373,-0.397450000048
148022,-0.0703499987721,1.00845003128
1906,-1.84220004082,0.177700012922
8878,-0.312150001526,0.497049987316
3091,-0.21099999547,1.34119999409
5743,-0.945999979973,0.896600008011
5321,-3.8492000103,-1.79070007801
4144,0.793449997902,-0.632600009441
1981,0.143000006676,0.685350000858
695,0.311749994755,-0.196549981833
10398,-0.264899969101,-0.505650043488
5708,-1.01955008507,0.199900016189
1213,-0.290099978447,-1.85989999771
226,-0.317900002003,-0.192499995232
6777,-0.0796499997377,-0.639500021935
2113,1.20210003853,-0.995749950409
3329,-5.67159986496,-0.0706499814987
1050,1.16925001144,-0.206799998879
9491,-0.812249958515,-1.18090009689
22926,-0.891950011253,-0.138999998569
5899,-0.356399983168,0.879199981689
5467,0.585700035095,2.22804999352
6774,0.574000000954,1.96055006981
1788,0.634599983692,-0.627949953079
5921,-0.327000021935,2.25320005417
5721,1.51874995232,-1.59479999542
2263,0.526700019836,1.12225008011
808,-4.65079975128,-0.425950020552
30001,-0.460500001907,2.64720010757
348,2.51765012741,-1.55760002136
30849,0.320450007915,0.285250008106
1454,-1.84424996376,-2.43195009232
6500,-0.215100049973,0.567999958992
5627,0.00515002012253,2.88969993591
5715,0.180799990892,0.80739992857
4791,0.780200004578,-0.805900037289
56924,1.63464999199,1.46589994431
2690,4.03824996948,0.642549991608
1019,-0.860249996185,-1.60134994984
51422,-0.247449994087,-1.28344988823
5788,1.02134990692,0.804450035095
6709,-0.345599979162,1.04250001907
1277,1.33104991913,0.886299967766
993,-1.90744996071,-1.01545000076
7157,-0.0130499899387,1.04844999313
1958,0.36210000515,1.19650006294
4582,1.17630004883,0.714949965477
9212,-0.951099991798,0.354999989271
8440,-0.398149967194,1.64230000973
6790,0.171899974346,0.520049929619
8851,-0.0577999949455,0.214299991727
2534,1.31009995937,-0.899300038815
4893,-2.68595004082,0.869349956512
665,-1.02524995804,-2.46304988861
4313,0.996399998665,-0.40419998765
1022,-0.203350007534,-0.102500021458
5880,0.801450014114,0.333899974823
3162,0.37855002284,0.483699977398
1282,0.622049987316,-0.937200069427
3383,1.36084997654,1.74399995804
727,-0.852550029755,0.0630500093102
4792,-0.65315002203,0.370850026608
4794,-1.13880002499,-0.851000010967
902,-2.58669996262,-1.370849967
8091,-1.04464995861,0.739849984646
3486,-1.07735002041,-0.642199993134
10818,1.05760002136,-0.212750002742
3454,1.29644989967,-0.661250054836
4282,-1.50839996338,-1.18914997578
1605,-1.98450005054,0.235599994659
10644,1.21300005913,-1.90399992466
2065,1.21239995956,0.857750058174
8321,-0.771049976349,-2.18550014496
8503,1.18370008469,-1.70309996605
7027,-1.19339990616,-0.868849992752
6850,-0.416400015354,-0.518899977207
1978,0.957050025463,-3.15954971313
896,0.488999992609,-1.39974999428
5777,-0.721249938011,-0.483150005341
1846,-0.205199956894,-0.236349999905
5925,-0.230450004339,-1.93615007401
142,0.461199998856,0.215149998665
1021,1.17729997635,1.05075001717
5699,-1.06470000744,-0.501600027084
8061,-0.820399999619,-0.189100012183
1870,0.460850000381,-0.530849993229
1398,0.66654998064,0.868499994278
3312,-0.142900019884,1.49904990196
891,-0.231550008059,0.766000032425
4775,-0.203549981117,-1.37325000763
5111,0.368149995804,-0.46645000577
5696,-5.49819993973,0.145550012589
5588,0.253949999809,-0.596949994564
6839,-0.45355001092,1.13599991798
329,1.17980003357,0.0610500276089
5058,-0.309799969196,-0.674450039864
998,0.648050010204,0.786899983883
9134,-0.601549983025,-1.78990006447
6616,-0.697899997234,-0.942450046539
5223,0.526700019836,2.13085007668
4690,1.49415004253,-1.45674991608
958,0.23219999671,-0.699050009251
1616,2.35944986343,1.5544500351
991,0.579750001431,0.724650025368
6347,1.45905017853,1.40129995346
6714,-0.00769999623299,-0.0245999693871
652,2.87085008621,0.084500014782
4331,-0.202549993992,0.4007999897
7099,0.874350011349,-1.1944000721
10320,-0.229600012302,-1.87730002403
2042,-0.354649990797,-0.20744997263
843,0.58805000782,-0.673350036144
840,0.191349998116,-0.167800009251
7048,0.870150029659,1.54159998894
4851,-0.0940499976277,-0.24675001204
6464,-0.254299998283,1.08120000362
23410,1.70029997826,2.81640005112
54205,0.578999996185,-1.67829990387
2770,0.0901999920607,-0.28955000639
80204,0.790500044823,0.41685000062
4208,-1.06079995632,0.391849994659
