rid,CPC003_HA1E_6H:BRD-K08554278-001-02-4:10,CPC003_HCC515_6H:BRD-K08554278-001-02-4:10,CPC003_PC3_6H:BRD-K08554278-001-02-4:10,CPC003_PC3_24H:BRD-K08554278-001-02-4:10,CPC003_VCAP_6H:BRD-K08554278-001-02-4:10,CPC018_A375_6H:BRD-K08554278-001-02-4:10,CPC018_A549_6H:BRD-K08554278-001-02-4:10,CPC018_A549_24H:BRD-K08554278-001-02-4:10,CPC018_ASC_24H:BRD-K08554278-001-02-4:10,CPC018_HEPG2_6H:BRD-K08554278-001-02-4:10,CPC018_HT29_6H:BRD-K08554278-001-02-4:10,CPC018_MCF7_6H:BRD-K08554278-001-02-4:10,CPC018_MCF7_24H:BRD-K08554278-001-02-4:10,CPC018_NPC_24H:BRD-K08554278-001-02-4:10,CPC018_PHH_24H:BRD-K08554278-001-02-4:10,CPC018_SKB_24H:BRD-K08554278-001-02-4:10
5720,0.999700009823,0.322194814682,1.30439484119,-3.64157676697,1.08663344383,0.77816927433,-1.62886691093,-0.0558000206947,1.9240000248,0.0804333090782,0.851358830929,0.107398435473,0.302382647991,0.836551070213,0.530970036983,-0.315127372742
466,-0.562650024891,-2.39240980148,0.266594290733,3.42947769165,-1.51295232773,0.807530462742,0.111454375088,0.134250000119,-0.614549994469,0.858300089836,-2.65604543686,-0.227023392916,0.630106687546,-0.146020263433,0.213664248586,-1.55808877945
6009,-0.24739998579,0.286257684231,0.818836152554,1.71732139587,-0.181799277663,1.17370724678,0.0564342066646,0.203199997544,-0.403600007296,0.917299985886,-0.0156777203083,-0.0429572016001,-0.204034030437,0.575480282307,0.445682883263,0.415787726641
2309,-3.66050004959,-2.83982944489,-4.13783550262,-0.959444046021,-1.75655210018,1.13847458363,-0.633038878441,-0.282550007105,-0.159150004387,-0.300333350897,0.186618477106,-0.0869365930557,-0.473398864269,0.279814094305,1.19217479229,-0.714346766472
387,1.44939994812,1.16126585007,1.69589555264,0.656268894672,0.724702596664,-0.0237901210785,-0.0794413685799,-0.301800012589,-0.595149993896,-0.028033323586,0.231220901012,-0.424095183611,0.215776741505,-0.0348251275718,0.536212801933,0.202679827809
3553,0.264100015163,1.07269215584,-1.58501839638,-2.02862811089,1.13812935352,-0.732122659683,0.580617427826,-0.246399998665,-1.13765001297,-0.256300032139,-0.19395250082,-0.425413936377,0.0932766348124,-1.14434158802,2.06967902184,-0.808097720146
427,1.29879999161,0.319781273603,0.98973107338,-0.263280034065,0.90905803442,-0.10518848151,1.40755057335,0.469749987125,-0.138000011444,0.286466658115,-0.603583812714,1.10514688492,0.377546131611,2.35479331017,1.25193142891,-0.333711564541
5898,-0.105199992657,-1.59365999699,0.27070659399,4.34344339371,0.0193997416645,-1.30701315403,-1.12202310562,-0.290300011635,0.312099993229,-0.19129998982,-2.28399777412,-1.22398686409,-0.926483511925,-0.567896902561,0.597643494606,-1.27195549011
23365,0.731500029564,-0.271183103323,1.9401409626,1.77422058582,-0.634604752064,-0.997284770012,1.28351664543,-0.46565002203,-1.3383500576,-0.399566650391,-0.302012622356,-0.172217190266,-0.359511345625,-0.923980534077,0.697525560856,-0.631448805332
6657,0.316549986601,-0.95606559515,1.22248339653,2.67452073097,1.52138197422,-0.802486121655,1.4399753809,-0.934749960899,0.171100020409,-0.167933344841,0.564884305,0.239121600986,0.00743134319782,0.0361370891333,1.45280814171,-0.752393603325
