rid,CPC003_HA1E_6H:BRD-K25875056-001-01-2:10,CPC003_HA1E_24H:BRD-K25875056-001-01-2:10,CPC003_HCC515_6H:BRD-K25875056-001-01-2:10,CPC003_HCC515_24H:BRD-K25875056-001-01-2:10,CPC003_PC3_6H:BRD-K25875056-001-01-2:10,CPC003_PC3_24H:BRD-K25875056-001-01-2:10,CPC003_VCAP_6H:BRD-K25875056-001-01-2:10,CPC003_VCAP_24H:BRD-K25875056-001-01-2:10,CPC016_A375_6H:BRD-K25875056-001-01-2:10,CPC016_A549_6H:BRD-K25875056-001-01-2:10,CPC016_A549_24H:BRD-K25875056-001-01-2:10,CPC016_ASC_24H:BRD-K25875056-001-01-2:10,CPC016_HEPG2_6H:BRD-K25875056-001-01-2:10,CPC016_HT29_6H:BRD-K25875056-001-01-2:10,CPC016_MCF7_6H:BRD-K25875056-001-01-2:10,CPC016_MCF7_24H:BRD-K25875056-001-01-2:10,CPC016_NEU_24H:BRD-K25875056-001-01-2:10,CPC016_NPC_24H:BRD-K25875056-001-01-2:10,CPC016_SKB_24H:BRD-K25875056-001-01-2:10
5720,-2.49254989624,0.498020678759,-2.52482414246,0.453212916851,-0.187105104327,-0.0302024781704,-0.0126525014639,0.490400016308,-0.209775596857,-0.013450011611,-1.06375026703,0.498036712408,0.597731351852,0.139426678419,-0.324748694897,-0.140038952231,-0.413700014353,0.787706911564,-0.238187581301
466,-2.66134977341,0.380549967289,1.10687041283,0.632436871529,0.64736187458,0.182916730642,0.875615060329,-0.111049994826,-0.226772069931,0.457149982452,-0.552953124046,-0.539398789406,0.854188799858,-0.696956038475,-0.332636862993,0.20997184515,0.435900002718,0.316227763891,0.297667920589
6009,-0.609799981117,-0.107945650816,-0.884843051434,-0.179409429431,0.0971229821444,0.239283755422,0.912819325924,0.19739998877,-0.560214102268,0.124850004911,-0.874924957752,-0.628531396389,0.193886816502,-1.12293219566,-0.230249285698,-0.748636543751,0.543233335018,0.358148783445,-0.0157083570957
2309,-1.04190003872,-0.0768323168159,0.319489151239,-0.389085531235,-0.737001895905,-0.243485361338,-0.88064968586,-0.259700000286,0.351716995239,0.427849978209,-0.442633002996,0.338156104088,-0.465585529804,-0.646690011024,-0.175688013434,0.347319722176,-0.730300068855,0.590554118156,-0.158889889717
387,-0.350400000811,0.106919236481,1.0903172493,-0.180244058371,-0.343382179737,0.372417837381,0.294528186321,-0.21574999392,-1.42158257961,-0.711950004101,-0.891482889652,0.243669822812,-0.694557070732,-0.578233838081,-0.961244225502,-0.129480138421,-0.252200037241,-0.0348799675703,-0.0944048091769
3553,0.420849978924,-0.27806019783,0.0284960493445,0.420191764832,0.00444137211889,0.251579165459,-0.585774183273,-0.846300005913,0.738769650459,0.124400004745,1.10515928268,-0.0631239414215,-0.178448677063,1.76077699661,0.246240228415,-0.501299679279,-0.537999987602,0.196920648217,0.157444491982
427,-0.301600009203,0.139275446534,1.05230748653,-1.01179885864,-0.0773884505033,0.28315871954,0.391724050045,-0.339249998331,-0.0063695833087,-0.511200010777,0.498144716024,-0.0760213732719,0.202723294497,0.272562414408,-0.86790573597,0.0205035991967,0.420099973679,0.0619324445724,-0.764441132545
5898,-1.14339995384,0.197059482336,0.995072245598,0.158130824566,-0.267418086529,-0.856083929539,0.389608055353,-0.359600007534,-1.71544480324,0.218149989843,0.950854182243,0.611405134201,1.11057245731,0.97189283371,0.196982935071,-0.236252292991,-0.0188999772072,-0.0813017114997,0.792593479156
23365,0.829349994659,0.690013647079,0.733820915222,-0.181504637003,-0.339410841465,0.175393849611,-0.74385279417,-0.342549979687,0.621862769127,0.901549994946,0.530393004417,-0.0063678175211,1.26295340061,0.344215154648,0.598332762718,0.656466722488,0.796666681767,0.145613402128,-0.137526199222
6657,0.98290002346,-0.495713293552,2.61484885216,0.687514722347,0.732509315014,0.425299882889,-0.269461512566,-0.162799999118,0.415083646774,-0.55419999361,0.569717943668,-0.366019278765,-0.0792001634836,1.44508385658,0.397984862328,-0.654489934444,0.180166661739,0.123570114374,-0.496237963438
