rid,DOS021_VCAP_24H:BRD-A92729194-001-01-4:5.04,DOS044_A375_24H:BRD-A92729194-001-01-4:5.04
5720,-0.873000025749,-0.124800011516
466,0.259400010109,-0.75444996357
6009,0.0776000022888,0.0147999823093
2309,-0.31479999423,-0.306299984455
387,1.57729995251,1.11159992218
3553,-1.75380003452,-0.88915002346
427,0.280200004578,0.691449999809
5898,-2.37290000916,-1.10500001907
23365,0.820200026035,1.05054998398
6657,0.569199979305,-0.291999995708
5054,2.79920005798,-0.552049994469
3108,0.138300001621,1.75495004654
1950,-1.66320002079,0.308250010014
351,0.0,0.392149984837
4846,0.266499996185,0.521749973297
1452,0.44240000844,0.0676000118256
4776,-1.0625,-0.251450002193
6908,1.77400004864,-0.0831499993801
672,-1.89390003681,0.100400000811
5710,-1.48919999599,-0.855099976063
2115,2.52959990501,-0.0256500020623
7015,0.725499987602,-0.816649973392
8726,0.345600008965,-0.411300003529
2185,-0.65030002594,-0.227499991655
3315,-0.726400017738,0.313099980354
5289,-0.447699993849,0.030500009656
868,-1.17610001564,-0.367950022221
1677,-1.28349995613,-0.372799992561
7043,-2.05480003357,-0.157849997282
5613,-1.75619995594,0.939650058746
595,2.25329995155,-0.633350014687
4793,-1.60920000076,0.147650003433
2736,-1.79770004749,-0.307850003242
5290,-1.47850000858,0.475400000811
6194,0.0,0.0
1676,-0.658299982548,0.28180000186
23512,1.31309998035,0.702250003815
148022,0.25569999218,-0.107999995351
1906,-1.12259995937,0.392949998379
8878,0.171499997377,-0.848699986935
3091,-0.788800001144,-1.00515007973
5743,-0.488099992275,0.0703500062227
5321,-2.6642999649,-1.71024990082
4144,0.674499988556,-0.0516499876976
1981,0.32080000639,1.35659992695
695,-2.93420004845,-0.692299962044
10398,-1.45449995995,-0.49279999733
5708,1.17900002003,-0.699550032616
1213,-10.0,0.0980499982834
226,-0.39620000124,-6.09589958191
6777,1.4103000164,0.0271000042558
2113,0.854799985886,0.0188000053167
3329,-0.456200003624,-0.0792999863625
1050,-0.904399991035,-0.756299972534
9491,-0.419999986887,-0.972350001335
22926,-1.17019999027,-0.816349983215
5899,0.834800004959,0.161250010133
5467,0.0439000017941,0.440549999475
6774,1.7093000412,-0.971199989319
1788,-0.577199995518,-0.352149993181
5921,-0.723800003529,-1.46224999428
5721,0.256199985743,-0.367949992418
