rid,DOS050_HT29_24H:BRD-K09957764-001-01-1:5,DOS050_MCF7_24H:BRD-K09957764-001-01-1:5,DOS050_PC3_24H:BRD-K09957764-001-01-1:5,DOSBIO001_A375_24H:BRD-K09957764:10.0717,DOSBIO001_A549_24H:BRD-K09957764:10.0717,DOSBIO001_HT29_24H:BRD-K09957764:10.0717,DOSBIO001_MCF7_24H:BRD-K09957764:10.0717,DOSBIO001_PC3_24H:BRD-K09957764:10.0717,DOSBIO001_NEU_24H:BRD-K09957764:10.0717,DOSBIO001_NPC_24H:BRD-K09957764:10.0717
5720,0.209322750568,0.168249994516,-0.686900019646,0.997497200966,0.957707703114,-0.674325346947,-0.334340631962,-0.418095886707,1.21230006218,0.955894947052
466,0.903490424156,-0.230200022459,-0.412649989128,0.77784717083,2.46276283264,0.52222931385,-0.264814376831,0.138684779406,-1.10685002804,-0.449679434299
6009,0.768534898758,-0.25514999032,-0.00195000320673,-0.16972579062,0.429443508387,-0.451739758253,-0.150271594524,0.387393772602,1.01744997501,0.902536153793
2309,0.157145112753,0.695299983025,0.0771000087261,-0.267926156521,0.393968403339,0.320516884327,-0.827488899231,0.280648201704,-0.351449996233,0.612054049969
387,0.18834246695,-1.37384998798,0.42334997654,0.250360816717,-0.448000490665,0.547255456448,0.0909508466721,-0.0396100580692,-1.07455003262,-0.629563689232
3553,-1.4720749855,-0.370499998331,-1.22035002708,-0.562984824181,-0.746720314026,-1.10329437256,-0.0635216534138,-0.2107000947,-0.516550004482,0.391596257687
427,-0.262087762356,1.1004999876,-0.734800040722,0.102091103792,2.65217733383,0.170782014728,0.565088272095,-0.761941432953,0.812650024891,-0.358281940222
5898,-0.172126382589,0.800249993801,-0.694850027561,-0.410007864237,0.860524058342,-0.384564161301,-1.57805418968,-0.35107332468,-0.737800002098,-1.00914859772
23365,-0.372639417648,-0.586449980736,0.363650023937,1.66819727421,-0.0374032706022,0.258745670319,0.450006633997,-0.499003142118,-0.558099985123,-0.363025814295
6657,-1.38203895092,1.94800007343,-0.437950015068,0.132266968489,-1.33637595177,-1.11764216423,0.122341528535,1.07540392876,0.45355001092,0.425500005484
5054,0.0928168818355,-0.220349997282,-0.56945002079,-0.471523880959,0.754554688931,0.652330040932,0.855516433716,-0.50254958868,-0.357749998569,0.397556006908
3108,-1.01842880249,-2.14350008965,-1.19830000401,0.591541171074,0.455077409744,-0.445070564747,-0.432096421719,-0.44653314352,-0.827800035477,-0.776973485947
