rid,CVD001_HEPG2_6H:BRD-K51980294-001-01-9:10,CVD001_HEPG2_6H:BRD-K51980294-001-01-9:2.5,CVD001_HEPG2_24H:BRD-K51980294-001-01-9:10,CVD001_HEPG2_24H:BRD-K51980294-001-01-9:2.5,CVD001_HUH7_6H:BRD-K51980294-001-01-9:10,CVD001_HUH7_6H:BRD-K51980294-001-01-9:2.5,CVD001_HUH7_24H:BRD-K51980294-001-01-9:10,CVD001_HUH7_24H:BRD-K51980294-001-01-9:2.5,CVD001_PHH_6H:BRD-K51980294-001-01-9:10,CVD001_PHH_6H:BRD-K51980294-001-01-9:2.5,CVD001_PHH_24H:BRD-K51980294-001-01-9:10,CVD001_PHH_24H:BRD-K51980294-001-01-9:2.5
5720,-0.100328654051,0.253489851952,0.753945291042,-0.171558201313,0.297868609428,0.622837543488,0.146398067474,0.0310797896236,0.771369218826,1.0258333683,-0.32663333416,0.0783528983593
466,-0.598136782646,-0.636770665646,0.213587582111,0.574109613895,-0.675295352936,0.0942328125238,-0.16310621798,0.196740984917,0.725228488445,-0.892066717148,-0.790100038052,-1.18618047237
6009,-0.957175970078,-0.95395898819,-0.67434233427,0.0671073719859,-0.588564813137,-1.26268005371,-0.570314824581,-0.189370468259,-0.359304189682,0.0205666422844,-0.265333354473,-0.646312832832
2309,-0.248434826732,0.212987840176,-0.306456804276,-0.483965814114,0.143945544958,-0.411920160055,-0.0574681982398,-0.385605573654,0.65666115284,-0.361866682768,-0.793833374977,-1.25342583656
387,-0.263519197702,-0.228015840054,0.0215846374631,-0.265309453011,0.228928521276,-0.492308735847,-0.157962799072,0.195764884353,0.599284410477,-0.257633328438,-0.0175666734576,-3.00342416763
3553,-0.847477674484,0.111871294677,-0.441923439503,-0.904186964035,0.0916696935892,-0.980879426003,-0.331309854984,-0.639844655991,-1.76526141167,0.0490999817848,0.652766704559,-0.0512425750494
427,0.0790634900331,-0.614208221436,0.293629407883,0.0437373965979,-1.75356209278,-0.773962438107,-0.814043879509,0.0110382810235,-0.657463610172,-1.04140007496,0.182366684079,-0.19763033092
5898,-0.751881241798,-0.437451601028,-0.570217967033,-0.345501184464,-0.400300532579,-1.34948861599,-0.62520301342,-0.757647097111,-0.30534017086,-0.532299995422,-0.00963331758976,1.00372183323
23365,-0.394950866699,0.207796424627,-0.433516234159,-0.342992663383,0.689325690269,-0.38202804327,0.612562298775,-0.202285736799,-0.2114161551,0.043799996376,-0.502633333206,-1.27284860611
6657,-0.711014986038,0.0208380520344,-0.18857896328,-0.646920979023,-0.287987589836,-0.848654448986,-0.529274940491,-0.55507093668,-0.782150506973,0.294233322144,0.334866672754,1.90628015995
5054,0.0390948243439,-0.493668615818,-0.577475368977,-0.255168646574,-0.0582899227738,-0.488773137331,-0.108344390988,-0.274033784866,0.293254375458,-0.321933329105,-0.322800010443,-1.48577356339
3108,-0.813472211361,-0.744281709194,-0.328634083271,-0.531819224358,-1.23344695568,2.24132061005,-0.677043795586,1.40180504322,-0.136096760631,-0.135800018907,-0.496033340693,0.267134815454
1950,-0.885421395302,-0.430086195469,-1.22843766212,0.312651157379,-0.335752427578,-0.407020628452,0.175886124372,-0.38010135293,-1.42779707909,0.346033364534,-0.16223333776,2.56270647049
351,-0.120438188314,-0.152568042278,-0.777084171772,-0.853250086308,-0.742306113243,-0.0777748227119,-1.59552371502,-0.0951210707426,-0.396954387426,0.799933373928,0.511700034142,1.66415369511
4846,0.559085488319,-0.500584363937,0.105445437133,-0.410066813231,-0.384323745966,0.0639082118869,0.141994535923,-1.21453523636,0.208312883973,-0.189533352852,-1.08653342724,0.920050382614
1452,-0.0971494019032,-1.07773005962,-0.893739700317,-1.77394759655,-0.24784719944,0.228659957647,-0.845859885216,-0.0437677428126,-0.695946991444,-0.414233326912,0.449500024319,-0.546867489815
4776,-1.08272361755,-0.486244261265,-0.345725059509,0.514128625393,0.188606634736,0.600771009922,-0.479229807854,-0.42163297534,-1.18671536446,0.0752333402634,0.596300005913,0.936752796173
6908,-0.693705677986,-0.27732861042,-0.522247850895,0.298615038395,-0.742591679096,-0.402971088886,-0.145428195596,0.156849890947,0.104245275259,0.514066696167,-0.116600006819,-2.22328209877
672,0.963322877884,0.772478699684,1.16478610039,1.47996675968,0.130768612027,0.555373847485,0.0444627180696,1.4647538662,0.242880195379,0.198700040579,0.100500002503,0.396633267403
5710,0.00433287024498,0.0694178715348,-0.946581304073,-0.735807299614,0.714265167713,-0.382657051086,0.264190077782,0.286477297544,-0.372393786907,-0.524833321571,1.02806663513,-1.3622879982
2115,0.768458425999,-0.0164670497179,-1.33805561066,0.180434629321,0.526868402958,0.466685205698,0.661554694176,0.901970028877,-0.234290331602,-0.615566670895,0.322366684675,1.21903717518
7015,0.954864025116,0.317193120718,0.994782447815,0.104172438383,1.1222499609,1.06080269814,-0.289311885834,-0.333664804697,-1.33927226067,0.393966704607,-0.109333328903,1.86025643349
8726,0.197575256228,0.50037842989,0.31085050106,-0.56297814846,-0.724256157875,-0.639441132545,0.0379296541214,-0.0996007025242,0.202385216951,0.694800078869,0.0996333286166,-0.257358103991
2185,-1.3440374136,-0.51463830471,-0.59922927618,0.0662017017603,-1.66121387482,0.708709478378,-0.28362300992,-0.458746731281,-0.0176525563002,0.0487333312631,0.700633347034,1.68618166447
3315,1.23047184944,0.590248644352,1.03712522984,0.0724084824324,0.603320777416,0.762200713158,0.0572737753391,-0.548714399338,-0.00442644953728,-0.479666680098,-0.284033328295,-1.12217748165
5289,-0.688529133797,-0.786686062813,-0.265872091055,-0.520068764687,0.111351922154,-1.23610138893,-0.294025838375,-0.798573970795,-0.219338729978,-0.740966677666,0.287000000477,1.72321498394
868,-0.160622209311,-0.036302536726,-0.978306949139,-0.440917909145,-0.378478854895,-0.0365081094205,-0.339258313179,-0.134316831827,-1.01409721375,0.0940666794777,0.764333248138,-0.18414247036
1677,0.722601354122,0.409472882748,1.00619125366,0.789664030075,0.270408421755,-0.889779269695,-0.0810814648867,-0.202705770731,-0.129169613123,-0.0552333518863,-0.101933315396,2.54510307312
7043,-1.47580075264,-1.06530082226,-0.859503030777,-0.764853656292,0.588749170303,0.91249191761,-0.534417450428,-1.16318893433,-0.971656680107,0.0344000160694,-0.00336664542556,-0.217067927122
5613,-0.925742506981,-0.317987293005,-1.24362528324,-0.422761321068,-1.00842499733,0.434256255627,-0.0938848778605,-0.11434803158,-1.59148383141,-0.039500027895,-0.190133333206,1.89277625084
595,0.44586750865,0.359561383724,0.386272788048,-0.492868751287,1.78087449074,-0.0345547050238,-0.1481513381,-0.387670367956,1.40171194077,0.325466662645,0.257533341646,-0.903515338898
4793,-0.0217265598476,-0.809739232063,0.0153981028125,-0.341920912266,0.292187422514,-0.292097091675,-0.015400454402,-0.635624945164,4.25556755066,-0.520400047302,-0.211400017142,0.651620447636
2736,0.111148416996,0.191494524479,-0.273089945316,-0.085650742054,0.345015794039,-0.218123733997,-0.103114925325,-0.384532421827,-0.33606761694,0.53223335743,0.156366661191,1.40975224972
5290,-0.431926518679,-0.181755840778,-1.09683823586,-0.0828270763159,-0.985280334949,0.403843224049,-0.552665412426,-0.0510226860642,-1.11072325706,0.49986666441,-0.300366699696,0.546640753746
6194,0.00025180861121,-0.000502719485667,-0.00659636734053,-0.0537115558982,-0.106012195349,-0.508516132832,-0.570177614689,0.0366273708642,-0.187295600772,-0.000200000009499,-0.183933347464,-0.0898524671793
1676,-0.314477235079,-0.336278945208,-0.708349943161,-0.854826688766,0.551978051662,0.0375066697598,-0.527760982513,-1.17906725407,-1.32143187523,0.084766626358,0.594600021839,1.2563611269
23512,-1.06905198097,0.420132905245,-0.38205987215,0.110490083694,1.19009840488,-0.158582240343,0.198630049825,-0.291920185089,-0.365233510733,-0.216466665268,0.339999973774,-1.524122715
148022,0.130786344409,-0.366681665182,-0.26670473814,-0.423960626125,0.737103164196,-0.201653063297,-0.0470407605171,-0.478625386953,0.260547578335,-0.329066693783,-0.421233326197,-0.430655300617
1906,-0.597843766212,-0.597908258438,-1.07131171227,0.410223066807,-0.316323459148,-0.206909894943,-0.712656319141,-0.523576557636,-0.972250938416,-0.117200016975,0.511466741562,1.77017498016
8878,-0.327196866274,-0.14608438313,-0.300067067146,-0.508756995201,0.391919523478,-0.458888351917,-0.540711283684,-0.643099069595,0.276253849268,0.224833339453,-0.911599993706,-2.91320729256
3091,-0.332333683968,-0.501351237297,-0.684830904007,-0.28658503294,-0.888364255428,-0.600914478302,0.0814376920462,-0.937265813351,-0.607286334038,-0.847033381462,0.44319999218,0.330235749483
5743,-3.41881275177,1.60944890976,-1.29565382004,0.309824615717,-0.305156052113,0.738148033619,0.816321849823,0.749696433544,-0.559503853321,-0.116500020027,-0.0917333289981,1.20585846901
5321,-0.675504148006,0.00589072704315,-0.860077083111,0.159486144781,-0.515654802322,-0.157595679164,-0.409567266703,0.413540273905,-0.799821615219,-0.939966678619,0.397666692734,1.39220666885
4144,-3.2824306488,0.610257685184,-0.440119683743,0.236691489816,-0.0261075310409,0.248833209276,0.0144918523729,0.135580763221,0.332820832729,0.400366723537,0.443533360958,-0.458582520485
1981,-0.138045758009,-0.0680971443653,0.260364115238,0.0662054270506,0.211737602949,2.03276515007,0.648701310158,-0.585903584957,1.02145016193,0.243499994278,0.712433338165,0.946086227894
695,0.292193293571,-0.359133124352,0.474499464035,0.289370566607,-0.0834588259459,0.112090006471,0.309738576412,-0.147931739688,-1.15148341656,0.0891000255942,-0.54713332653,0.549832224846
10398,0.726672887802,-0.708345234394,0.500673174858,0.297481060028,-0.0310346782207,-0.308156877756,0.17402151227,-0.969673871994,0.429358303547,-0.558800041676,0.155400022864,0.496773838997
5708,0.0392843931913,-0.863977730274,-1.8642553091,-0.717367470264,0.535306930542,-0.355604141951,1.21037459373,0.0507696419954,-0.113128647208,0.00753334164619,-0.107233330607,-1.67554843426
1213,-1.08951425552,-0.0361915528774,-1.13492631912,0.00211274623871,-0.961416602135,0.324251830578,0.193797439337,-0.164640069008,0.88017141819,0.205199986696,-0.903566718102,0.645486354828
226,-0.289636909962,-0.328729987144,0.14306165278,0.371101200581,-0.420026451349,-0.684053301811,-0.721835255623,0.628943443298,-0.148812204599,0.339800000191,-0.836633324623,-0.374236732721
6777,-0.263326585293,-0.057679630816,-0.116907522082,-0.636620402336,0.751275420189,0.413905978203,-0.57457447052,-0.35884180665,1.25272977352,-0.157033339143,0.0280999839306,0.636736154556
2113,-0.0947450697422,0.566303730011,-0.460619926453,-0.139583557844,-0.587371587753,-0.00729042291641,0.273976057768,-0.00931157171726,0.434226036072,-1.95873332024,0.30680000782,1.16626286507
3329,0.634870409966,-0.402191907167,0.523774862289,-0.284572064877,-0.263747274876,0.0255430936813,1.19743323326,-0.338129460812,0.788649559021,0.580433368683,0.0525333285332,-1.89367640018
1050,1.00446462631,0.778881907463,0.400754451752,0.616434156895,0.234829753637,0.849907457829,1.02798056602,0.598031103611,1.12272930145,-0.573933362961,-0.24960000813,-0.829454660416
9491,-0.595198214054,-0.141514137387,-0.536674201488,0.290106773376,-1.35317897797,0.61908686161,-0.255772471428,-0.577803134918,0.0632639527321,-0.0364999771118,0.870233356953,1.44942593575
22926,-0.225579082966,-0.365174531937,-0.159731760621,-0.600299596786,0.207575067878,0.297291517258,-0.322517037392,0.217697530985,0.997282981873,-0.635900020599,-0.216366678476,-1.2869631052
5899,-0.405167043209,-0.573098003864,-1.02323865891,-0.317013025284,0.208717942238,0.0511698573828,0.3494977355,-0.0191280916333,0.134308084846,0.160866677761,0.94990003109,-0.825779139996
5467,-0.957113564014,-0.506465613842,-0.820801496506,-0.676478624344,-0.200556010008,0.21661990881,0.26043766737,-0.524166882038,-0.313885033131,0.146899998188,0.503566682339,-0.215193688869
6774,-0.184724003077,-0.314584583044,-0.159520506859,-0.595591247082,0.608358502388,-0.546181857586,-0.237612947822,-0.863691568375,0.699243664742,0.425066679716,-0.138966649771,0.37554705143
1788,0.849450469017,-0.280093342066,0.29826593399,-0.0115375220776,0.50984454155,-0.48635789752,-0.0768893659115,0.842628180981,-0.613303303719,-0.22499999404,0.952466666698,2.09479737282
5921,-1.03986203671,1.03226780891,-0.209188371897,-0.538479566574,-0.545728862286,-0.339488595724,-0.626425325871,-0.12812012434,0.451371312141,0.13883331418,0.207200005651,-1.54891860485
5721,0.211901500821,0.388828396797,0.428974866867,-0.514635324478,0.453070133924,0.3973929286,-0.509145915508,0.75961881876,0.294065594673,-0.754000008106,0.307099997997,0.549263834953
2263,-0.410681843758,0.068211555481,-0.146567195654,1.61444735527,-0.132015988231,0.564448833466,-0.0358439683914,-0.405515819788,-0.462001740932,0.325333356857,0.571600079536,0.994406461716
808,-0.536067068577,0.654105484486,0.430803716183,0.352261513472,1.03537166119,-0.0489562228322,-0.330923140049,-0.523186922073,-1.07674443722,-0.0669000148773,0.607933342457,1.79954600334
30001,-0.260236293077,-0.379816889763,0.0972043350339,0.0503315627575,0.109082907438,-0.447182893753,0.693421125412,-0.362811177969,0.244467258453,0.188600003719,0.417566686869,-1.38006210327
348,0.316065073013,0.506139397621,0.698255717754,-0.717125177383,0.462464302778,-1.52777528763,-0.0874509736896,-0.300641745329,0.541731238365,-0.792500078678,0.830200016499,-1.19091463089
30849,-0.818688929081,0.823181331158,0.494735300541,-0.0741497203708,0.600353598595,0.179597020149,0.817773401737,0.102589502931,0.191202908754,0.516066670418,-0.569566726685,-0.0788298770785
1454,0.220753192902,-0.281764864922,-0.113311558962,-0.839227437973,0.383595615625,-0.676583945751,-0.135394185781,-1.17579877377,-0.212111577392,-0.935366630554,-0.183400005102,-0.83185750246
6500,-1.10008144379,0.207003891468,0.180885106325,0.523638963699,1.07130861282,0.0526330918074,0.408251255751,0.669900655746,0.00875255465508,0.389066666365,0.919166684151,-0.790054440498
5627,0.0577677637339,0.357340395451,0.566825628281,0.63301628828,-2.32119679451,-0.408426374197,0.152809619904,-0.00866786856204,0.51696395874,0.205766662955,-0.233300000429,-1.28411531448
5715,-0.08988045156,-0.021161839366,-0.219983160496,-0.889062166214,0.421283900738,-0.971915900707,-1.07505595684,-0.210799589753,0.379558801651,-0.05126670748,-0.681633353233,-0.0576427578926
4791,-0.419614136219,-0.629926741123,-0.428902208805,-0.125652194023,0.474690258503,-0.621047794819,0.169063046575,-0.225875794888,-0.755974054337,-0.992599964142,-0.0858333259821,0.865717530251
56924,0.34149235487,-4.11189603806,-1.02563595772,-0.221553251147,0.0427335426211,0.197076275945,-0.0876378715038,-0.136219620705,-0.957202017307,-0.196166649461,0.396233350039,-0.819879412651
2690,0.18435177207,-0.383283257484,-0.351718902588,-1.30415892601,0.176793754101,-0.0815017074347,0.645429730415,0.531877994537,2.06534337997,0.142466664314,0.317133337259,-0.130464553833
1019,-0.378625512123,-0.651499629021,0.353818327188,0.256387233734,0.282810091972,0.614158630371,0.100760728121,-0.319169938564,-1.07522296906,-0.353533327579,0.631300032139,0.211118116975
51422,-0.417467474937,0.37655249238,-0.107431560755,-0.103467129171,-0.991408884525,-0.457931876183,-0.294664084911,-0.0611726343632,0.539377808571,0.162166684866,-0.285066664219,-0.338314920664
5788,0.04563331604,0.151601180434,-0.303974837065,0.820488631725,-1.07004916668,0.829010486603,-0.714453518391,0.41481000185,0.207467511296,-0.228033334017,0.391566693783,1.21862661839
6709,0.308069556952,0.183184534311,0.114838548005,-1.09057450294,-0.106420628726,-1.1947439909,1.09388995171,0.662408351898,1.00799739361,0.324599981308,-0.437066704035,-1.59157466888
1277,0.807889044285,-0.353574216366,0.298880010843,0.0389069095254,0.441885411739,0.629669725895,-0.126135975122,1.05728292465,-0.714961886406,0.607966661453,-0.137466669083,1.23998141289
993,0.349154502153,0.624183237553,0.201147675514,0.407806694508,0.450577050447,-0.495024889708,0.432400822639,0.664967238903,0.0741213858128,0.376633346081,-0.582833349705,1.39328813553
7157,0.836182594299,0.011372089386,0.549851238728,0.248622000217,-0.703075289726,-0.268738508224,0.727080464363,-0.0383285880089,-0.60787153244,0.187433332205,0.641666650772,-2.84358549118
1958,-0.44506508112,-0.511338949203,-0.436614006758,-0.464325129986,-0.466586619616,-0.679472327232,-0.793786585331,-0.777660429478,0.412489652634,-0.0938333421946,0.495333373547,-0.89803224802
4582,-0.299122691154,-4.18156719208,-0.259067982435,-0.539780497551,0.148911654949,0.379781007767,1.11444830894,0.817181646824,-0.537075638771,0.307266712189,0.142866671085,0.225907027721
9212,-0.270883649588,0.430849790573,0.725153326988,-0.821693956852,0.785239219666,0.287836164236,0.650083065033,0.204538702965,-1.18489289284,-0.462100028992,-0.50866663456,0.587859749794
8440,0.413879543543,0.0192862898111,-0.061234280467,-0.133357822895,-0.0498059093952,0.454107433558,-0.0300397276878,0.0187235176563,0.31912919879,0.663000047207,-0.346400022507,-0.0683110058308
6790,-0.0305444374681,0.384167194366,0.345671504736,0.298046261072,0.6237205863,0.292865216732,0.527756750584,0.184591442347,-1.15773236752,0.000999987125397,-0.512700080872,-0.323017716408
8851,0.0684299618006,0.106279939413,-0.379456877708,-0.15304453671,0.900716245174,-0.685458660126,-0.0126982033253,0.495547920465,-0.773382306099,-0.150933325291,-0.567866683006,1.49345088005
2534,0.339335739613,-0.342964529991,-0.531839609146,-0.381372511387,-1.4519982338,-0.442200064659,-0.0234041139483,0.034191314131,-0.100108452141,0.0257333517075,-0.270333379507,-0.823940515518
4893,-1.06956243515,-0.670009374619,-0.835608005524,-0.3357411623,0.780083179474,0.188637733459,0.373319983482,0.126832962036,-4.31040859222,0.630933344364,1.14156675339,1.55341124535
