rid,CPC001_HA1E_6H:BRD-K97061094-001-03-2:10,CPC001_HA1E_24H:BRD-K97061094-001-03-2:10,CPC001_HCC515_6H:BRD-K97061094-001-03-2:10,CPC001_HCC515_24H:BRD-K97061094-001-03-2:10,CPC001_PC3_6H:BRD-K97061094-001-03-2:10,CPC001_PC3_24H:BRD-K97061094-001-03-2:10,CPC001_VCAP_6H:BRD-K97061094-001-03-2:10,CPC001_VCAP_24H:BRD-K97061094-001-03-2:10,CPC016_A375_6H:BRD-K97061094-001-03-2:10,CPC016_A549_6H:BRD-K97061094-001-03-2:10,CPC016_A549_24H:BRD-K97061094-001-03-2:10,CPC016_ASC_24H:BRD-K97061094-001-03-2:10,CPC016_HEPG2_6H:BRD-K97061094-001-03-2:10,CPC016_HT29_6H:BRD-K97061094-001-03-2:10,CPC016_MCF7_6H:BRD-K97061094-001-03-2:10,CPC016_MCF7_24H:BRD-K97061094-001-03-2:10,CPC016_NEU_24H:BRD-K97061094-001-03-2:10,CPC016_NPC_24H:BRD-K97061094-001-03-2:10,CPC016_SKB_24H:BRD-K97061094-001-03-2:10,CPD001_MCF7_6H:BRD-K97061094-001-15-6:10,CPD001_MCF7_24H:BRD-K97061094-001-15-6:10,CPD001_PC3_24H:BRD-K97061094-001-15-6:10
5720,0.500318944454,0.068849042058,0.260749995708,0.42125287652,0.0880601108074,-0.253357410431,0.647879362106,1.10811054707,-0.478927344084,-2.61220002174,-1.56544852257,-0.507390618324,-0.212531670928,-0.745107293129,-1.32510113716,-0.770827412605,-0.955407977104,0.828341245651,0.362931579351,-0.910929083824,-0.529928743839,-0.40659403801
466,1.80014681816,1.0604146719,0.379099994898,0.663778364658,-0.276578128338,0.0454600937665,0.353573858738,0.577342748642,-0.772665381432,-2.34959983826,-0.576367557049,0.374986052513,-1.11275780201,-0.649694979191,-0.186392605305,-1.69218325615,-0.207990959287,0.0633142590523,1.08328688145,0.37642583251,0.264120697975,-0.64874124527
6009,0.393224716187,-0.200934231281,-0.0568500012159,0.205113783479,0.0714631453156,-1.34839034081,-0.393305212259,0.7434207201,-0.297686725855,-3.56284999847,0.313498109579,-0.1689594239,0.341076791286,0.0580794140697,-0.690534114838,-1.06046628952,-1.11002361774,0.00166036188602,0.229225412011,-0.295404940844,-0.547837138176,0.656032800674
2309,-0.35507491231,0.030704639852,-0.729300022125,-0.783718407154,-0.721029222012,0.623446583748,0.244000583887,-0.494627296925,-0.741871595383,-1.82244992256,-0.305669546127,0.369211792946,-0.638252735138,1.55912184715,-0.945552945137,0.954354584217,1.06677961349,0.185056596994,-0.64718234539,-0.24277792871,-0.279210150242,-0.219486176968
387,0.872274637222,-0.26894646883,1.02645003796,0.0904820710421,-0.574765861034,-0.141842275858,0.868092775345,0.457631528378,-0.634700357914,-1.52095007896,0.0614520162344,-0.209046825767,-1.85275554657,0.951106667519,-0.701997280121,1.2758140564,-0.63327050209,0.944712817669,0.302513211966,0.136296987534,-0.590511858463,0.469679027796
3553,-1.01425993443,-0.29887098074,-0.909799993038,-0.123149037361,-0.188999220729,-0.44953507185,-1.06755614281,-1.02295958996,-0.41199362278,3.66960000992,0.951134443283,-0.0710978060961,0.572842538357,-0.244097739458,1.59307026863,0.760640621185,0.14354917407,-0.244330555201,-0.466006755829,0.385538458824,0.360947132111,-0.32336461544
427,1.12428569794,0.481280237436,0.766950011253,-0.955884218216,0.112821891904,0.125898048282,-0.337709724903,-0.607790589333,-0.163203716278,-1.06130003929,-0.793528497219,0.324885815382,-0.00791946053505,-0.775399446487,0.963917672634,-0.127340227365,0.735854506493,-1.24616289139,-0.0787114351988,0.371378660202,-0.125798270106,0.624195933342
5898,0.859543561935,0.519767284393,0.210950016975,-0.174709171057,-0.283747255802,-0.46255299449,0.0995817929506,-1.1592592001,0.0207820646465,0.403949975967,-5.07393217087,-0.200216010213,-0.557647883892,-0.510830402374,0.843929111958,-0.861543059349,0.691364586353,0.25117751956,-0.0102590620518,0.866558909416,0.233738660812,0.373549848795
23365,0.790030360222,-1.13254547119,-0.0338499844074,-0.40013384819,-0.19095274806,0.095010779798,-0.633464813232,-0.535759866238,-0.037234723568,-1.54259991646,-0.160179778934,0.876940310001,0.468185693026,-0.141077399254,0.196629241109,-0.10380384326,-0.910528540611,0.579500377178,1.53802490234,-1.82558119297,0.578677773476,1.07916259766
6657,-0.261936724186,-0.442876040936,0.296249985695,0.299157977104,0.227575495839,-0.212328761816,-0.705269694328,-1.62221467495,0.24945230782,2.38390016556,-0.171419262886,-0.526961803436,0.276679426432,-0.133198037744,1.17216336727,1.31874132156,0.353950500488,0.273351162672,-0.968027949333,0.309650927782,0.418950676918,-0.193983852863
