rid,CPD001_MCF7_6H:BRD-K10671814-001-11-4:10,CPD001_MCF7_24H:BRD-K10671814-001-11-4:10,CPD001_PC3_24H:BRD-K10671814-001-11-4:10,BRAF001_A375_24H:BRD-K10671814-001-11-4:10,BRAF001_A375_24H:BRD-K10671814-001-11-4:2.5,BRAF001_A375_24H:BRD-K10671814-001-11-4:0.625,BRAF001_A375_24H:BRD-K10671814-001-11-4:0.15625,BRAF001_A375_6H:BRD-K10671814-001-11-4:10,BRAF001_A375_6H:BRD-K10671814-001-11-4:2.5,BRAF001_A375_6H:BRD-K10671814-001-11-4:0.625,BRAF001_A375_6H:BRD-K10671814-001-11-4:0.15625,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:10,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:2.5,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:0.625,BRAF001_HEK293T_24H:BRD-K10671814-001-11-4:0.15625,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:10,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:2.5,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:0.625,BRAF001_HEK293T_6H:BRD-K10671814-001-11-4:0.15625
5720,0.818636655807,0.313106775284,0.290631532669,-0.969228565693,-0.84040004015,0.100260920823,0.0491911247373,-0.103867426515,-1.5759165287,-0.142677918077,0.257614552975,-0.377658605576,-0.87507712841,-0.143080934882,0.282140403986,-1.85347592831,-0.258778512478,0.343353122473,0.0905972719193
466,1.03953671455,0.163858503103,-0.863905251026,-0.556931853294,-0.636849224567,0.133060947061,0.0409750901163,0.349639475346,-0.756345748901,-0.106988638639,0.608577311039,-0.346720159054,-0.20838791132,-0.51517355442,0.0894867032766,-0.0253225583583,0.105411477387,0.610450029373,0.135792896152
6009,0.0272068418562,-0.238930463791,0.466565012932,1.49882781506,1.27677357197,0.511844575405,0.0918470323086,0.314681977034,1.29954195023,-0.13763256371,-0.199272245169,0.647990703583,-0.500917851925,-0.147684141994,0.293984055519,1.04649591446,0.117276862264,0.264049857855,0.231234192848
2309,0.807287573814,0.37210059166,-0.0503408908844,-0.580039143562,-0.273330748081,-0.240248113871,0.133909806609,-0.499544322491,0.871394991875,-0.454973459244,0.702029824257,-0.043720588088,-0.671473741531,0.752168953419,0.584222555161,0.470949739218,-0.933834671974,-0.0799113512039,-1.63455748558
387,1.91022491455,-0.626765370369,-0.732960343361,1.71626412868,1.1176507473,0.407715141773,0.654695570469,0.402797579765,1.48613810539,-0.167150497437,0.229004442692,1.28045094013,0.424380540848,-0.219437330961,-0.320489048958,1.38449525833,-0.00714513659477,0.339375972748,-0.0404554829001
3553,-1.46429383755,-0.912679195404,-0.891758799553,-0.11950199306,-0.130090847611,-0.11357074976,-0.448174357414,-0.175216183066,-0.0717976242304,0.28115221858,0.800503671169,1.08318924904,0.0400745123625,-0.322179496288,-0.269738346338,-0.573044240475,-0.362265169621,0.0269810929894,0.0717198476195
427,0.588045060635,-1.14641571045,8.31580257416,-0.866808772087,-0.110132083297,0.278370290995,-0.0676726177335,0.239534959197,0.264355450869,-0.144321352243,-0.411264717579,-0.596017718315,0.228481650352,-0.378778010607,-0.353675186634,-0.733428359032,0.164608001709,-0.104723766446,-0.149770468473
5898,-0.4722648561,-0.418190717697,-0.693093657494,0.534761488438,0.264251291752,0.132714524865,0.496605187654,-0.119545198977,0.227224722505,-0.611162304878,-0.153474837542,0.148526847363,-0.61360514164,0.330590039492,0.128135845065,0.184824377298,-0.514940857887,-0.214226529002,-0.166883632541
23365,-0.869508326054,-0.218804270029,-0.210497766733,1.05936646461,0.612190723419,0.290200889111,0.597342610359,0.0396544635296,0.935084760189,-0.687620937824,-0.48772996664,-0.245632484555,0.23112025857,-0.835687160492,-0.368747621775,0.37244540453,0.491802692413,-0.510625481606,0.288171440363
6657,-1.02915537357,-0.410558819771,-0.703713059425,-0.75706577301,-0.206187665462,-0.338396281004,0.248961135745,0.571564078331,-0.554332613945,0.048827804625,0.317903637886,-0.210544139147,-0.396793633699,0.989408969879,0.0336345136166,-0.68086963892,-0.850053429604,0.087999612093,-0.227612823248
