rid,DOS049_A375_24H:BRD-K17890048-004-01-6:5,DOS049_HT29_24H:BRD-K17890048-004-01-6:5,DOS049_MCF7_24H:BRD-K17890048-004-01-6:5,DOSBIO001_A375_24H:BRD-K17890048:9.6625,DOSBIO001_A549_24H:BRD-K17890048:9.6625,DOSBIO001_HT29_24H:BRD-K17890048:9.6625,DOSBIO001_MCF7_24H:BRD-K17890048:9.6625,DOSBIO001_PC3_24H:BRD-K17890048:9.6625,DOSBIO001_NEU_24H:BRD-K17890048:9.6625,DOSBIO001_NPC_24H:BRD-K17890048:9.6625
5720,0.779050171375,2.51145005226,-0.400949984789,0.912335395813,0.143506079912,-0.301973283291,1.2832916975,0.386859834194,-0.740000009537,-0.738116502762
466,0.862036049366,-1.13600003719,-0.0160999298096,-0.518133878708,0.103554099798,-1.28564476967,0.344381868839,-0.126801714301,-1.85239994526,-0.170425102115
6009,0.33439552784,0.476700007915,0.388150006533,0.781347751617,0.829191982746,1.04130935669,-0.328896939754,1.0490424633,-0.844250023365,0.184659615159
2309,-0.308513909578,0.34224998951,0.760100007057,-0.0594924390316,-0.248426243663,0.905146956444,0.248648047447,0.70830643177,-1.07815003395,0.375386476517
387,0.588988542557,0.0292500257492,0.150499984622,-0.570431053638,0.280616849661,-0.575256764889,-0.280226528645,1.36005616188,-0.412200003862,-0.0993064045906
3553,-1.15899384022,-1.64164996147,-0.0113000050187,-0.387558400631,-0.643967926502,-0.369346499443,0.0141558349133,0.727331399918,1.57694995403,-0.835954189301
427,0.0196909308434,2.27684998512,-0.0924500226974,1.70221602917,1.27945673466,-0.32576084137,1.07961714268,0.543651819229,-0.0329499989748,-0.347906857729
5898,-0.311390280724,-0.233300000429,0.658599972725,-0.19149979949,0.488067209721,1.3910343647,0.633915841579,2.25014162064,2.04815006256,0.350877344608
23365,-0.718164741993,-0.454050004482,0.0451500117779,-0.257593482733,0.145156562328,-1.20930802822,-0.711350739002,-0.35512316227,-0.762350022793,-0.892331421375
6657,-1.38840723038,-1.28299999237,-0.913349986076,-0.852184772491,-1.59815692902,0.944956123829,0.739947080612,0.0877034217119,-0.99120002985,0.335355997086
