rid,CPC012_A375_6H:BRD-A55565369-001-01-6:10,CPC012_A549_6H:BRD-A55565369-001-01-6:10,CPC012_A549_24H:BRD-A55565369-001-01-6:10,CPC012_ASC_24H:BRD-A55565369-001-01-6:10,CPC012_HA1E_6H:BRD-A55565369-001-01-6:10,CPC012_HCC515_6H:BRD-A55565369-001-01-6:10,CPC012_HT29_6H:BRD-A55565369-001-01-6:10,CPC012_MCF7_6H:BRD-A55565369-001-01-6:10,CPC012_MCF7_24H:BRD-A55565369-001-01-6:10,CPC012_NEU_24H:BRD-A55565369-001-01-6:10,CPC012_NPC_24H:BRD-A55565369-001-01-6:10,CPC012_PC3_6H:BRD-A55565369-001-01-6:10,CPC012_PC3_24H:BRD-A55565369-001-01-6:10,CPC012_PHH_24H:BRD-A55565369-001-01-6:10,CPC012_SKB_24H:BRD-A55565369-001-01-6:10,CPC012_VCAP_6H:BRD-A55565369-001-01-6:10,CPC012_VCAP_24H:BRD-A55565369-001-01-6:10
5720,0.124055959284,-0.653279662132,0.723450005054,-1.13781261444,0.495501697063,0.843675374985,-0.422156184912,0.0272564962506,-0.151352867484,0.0,0.329355925322,-0.22930380702,0.250428497791,0.471127152443,-0.399223983288,0.599212408066,0.441751271486
466,-0.680524647236,-0.276620745659,0.907800018787,-0.721445202827,0.781787157059,0.880590796471,-0.114479005337,-0.200494244695,-0.122468180954,-1.75720000267,0.310892760754,-0.150947928429,-1.13059341908,0.4859765172,0.645151376724,0.408125311136,0.489815056324
6009,-0.178929388523,-1.30194604397,0.410549998283,0.333335310221,1.19668138027,0.257697194815,-0.24329186976,-0.0307666454464,0.334205508232,0.0472999997437,1.75411689281,-0.0873179137707,-0.361183583736,0.352371841669,-0.582928180695,-0.2747002244,-0.335338264704
2309,0.77191400528,-0.671844244003,0.13504999876,-0.0936452150345,-1.42656111717,-0.786173820496,-0.325018584728,0.0671176537871,-0.147964328527,-1.18840003014,-0.366299033165,-0.570921182632,1.338960886,-0.0722770541906,0.309331923723,0.832570075989,-0.200574606657
387,-0.102139472961,0.0410306453705,0.115449994802,-0.860153794289,0.349132239819,0.992096543312,-0.711510658264,-0.262461304665,0.185865432024,0.630500018597,0.293405383825,-0.60124796629,0.563745617867,-0.0421257615089,-0.149428710341,0.613276600838,0.847756803036
3553,0.0788448899984,1.12898445129,-1.15470004082,-0.386898726225,0.161030620337,-1.29493737221,0.187072068453,-0.168800830841,1.19598901272,0.791800022125,-0.255068600178,-0.554175198078,-0.627065300941,-0.936977505684,-0.681965768337,-0.802586317062,-0.531891465187
427,-0.0207160413265,-0.949258029461,-0.319000005722,0.264539182186,-0.0987338721752,0.463991999626,0.13375800848,0.289529830217,0.155842587352,-1.38339996338,0.74316906929,-0.0490375310183,-0.0270106140524,0.93893969059,-0.132583081722,-0.262970626354,-0.473481982946
5898,-0.564385175705,-0.0120974183083,0.2458999753,-1.25208175182,0.260023206472,0.748109340668,-0.103918999434,-0.0598770193756,0.125169098377,-0.472299993038,-0.4896710217,-0.355958074331,-1.30015027523,0.166505426168,-0.00715021789074,-0.00377973355353,0.370664298534
23365,0.348941802979,0.160081371665,0.0508499890566,-0.292688190937,-1.05646407604,1.34795606136,-0.520578861237,-0.603562891483,-0.22112493217,0.462599992752,-0.893438518047,-0.290131211281,0.516617536545,0.716299295425,0.0811115652323,0.42225509882,0.12777325511
6657,0.798580050468,0.905208528042,-0.674199998379,0.174140676856,0.310994565487,-0.871655702591,-0.529046535492,-0.0135036669672,1.50672781467,1.15380001068,0.796355128288,0.859696507454,-0.44186642766,-0.55486446619,-0.407774716616,-0.258445203304,-0.297507166862
5054,-0.0733609199524,-1.33387696743,-0.610749959946,-0.341038346291,-1.44851374626,0.457541823387,0.673151016235,-0.402748674154,0.693428337574,-1.94719994068,-0.165624290705,-0.780759513378,-0.153820812702,-2.40881109238,0.779534041882,-0.231780514121,0.00362634658813
3108,-0.640161037445,-0.757258176804,0.768649935722,0.655857205391,-0.0540599375963,0.535744309425,0.638797819614,0.836145997047,0.194299504161,-0.464300006628,-0.010358184576,0.960114121437,-0.0813499987125,-0.778528511524,0.0217645764351,0.786708533764,0.275588959455
1950,0.488199651241,0.389471650124,0.674650013447,1.3206884861,1.34633946419,-0.756336569786,0.487555027008,0.475902110338,1.58985161781,2.02060008049,0.649076879025,0.979022324085,0.766144096851,-0.601168274879,-0.337055623531,0.504163086414,-1.10811448097
351,0.515443146229,-0.447461158037,-0.357850015163,-0.269602417946,0.0411939173937,-0.327246189117,0.102895542979,-0.289526611567,0.238212704659,0.00200000009499,0.413859963417,0.28043538332,0.41703376174,-0.657648086548,-0.0608709305525,-0.00431377440691,-0.584863066673
4846,0.0792787969112,0.469821929932,-0.544099986553,1.38372612,0.214881271124,-0.0238248407841,0.642571568489,0.157525464892,0.196897506714,-0.352200001478,1.58937907219,0.570525348186,-1.37302076817,0.741809308529,-0.442324578762,0.215929120779,0.570313215256
1452,-0.575305342674,-0.277756750584,0.932099997997,-0.286324113607,-0.522553563118,0.43121778965,-0.271045058966,-0.312795460224,0.197090893984,0.933099985123,-0.536949694157,-0.289933651686,-0.298268139362,1.30050253868,0.528059363365,0.215096190572,0.183265805244
4776,0.504637181759,1.09267902374,-0.595600008965,-0.0334056466818,1.1263563633,-0.720180571079,0.811750888824,-0.569629013538,1.46932339668,0.803200006485,-0.614937186241,0.598478257656,0.78073322773,-0.950045347214,-0.232847750187,-0.267214626074,-0.485044449568
6908,0.0188757218421,-0.586025357246,0.300650000572,-0.0709197819233,1.91752123833,1.10502111912,-0.490722090006,-0.191363200545,-0.460519939661,-0.30680000782,0.353019714355,-0.254347115755,0.323563694954,1.07026851177,0.319948732853,0.619918823242,0.79303252697
672,-0.770595312119,-1.57694101334,-0.0173499882221,0.599390149117,-1.06273591518,0.122515782714,0.0509099662304,-0.489367455244,-0.357507377863,1.65939998627,-2.1324365139,-0.00206515192986,0.595674097538,-0.774515092373,0.038767747581,0.448941648006,-0.343073874712
5710,-0.254488676786,-2.2759103775,-1.42960000038,-0.409829735756,-1.06294536591,-0.854778647423,-0.469885468483,-0.00508940778673,-0.39866772294,1.01549994946,-0.238629221916,0.108291357756,-0.397951513529,1.47337496281,0.289047241211,-0.00301387906075,-0.509109437466
2115,-0.290847241879,0.181466460228,-0.548399984837,-0.822190761566,-0.818982064724,-0.0978974103928,0.0134325027466,0.632018089294,1.4978774786,0.444099992514,-0.55925989151,-0.126892745495,-0.328895866871,-0.574157595634,-0.628115952015,-0.395574182272,-0.259614855051
7015,0.459399104118,0.297466278076,0.444600045681,-0.0117033571005,1.00367033482,-1.34770381451,0.791895210743,0.365385442972,1.03680741787,-1.06860005856,0.96971976757,-0.0165157914162,0.508337199688,-0.137790754437,-0.445974588394,-0.0851883590221,-0.599081218243
8726,-0.829337596893,-0.210609942675,1.49820005894,-0.362309217453,-0.723417937756,0.598449885845,0.331403583288,1.01157534122,-0.694801330566,-1.63030004501,-0.886222183704,-0.124959282577,-1.8156491518,0.395632594824,2.66914319992,0.395287483931,0.527063012123
2185,0.152761057019,0.740476250648,-0.967800021172,0.231538295746,1.20219135284,0.125990658998,-0.695172429085,-0.165389254689,1.61675620079,1.02460002899,0.285604715347,0.141853541136,-0.213168263435,-0.514136850834,-0.417578905821,-0.292031735182,0.202651768923
3315,-0.0577077865601,-1.20038557053,-1.21319997311,0.19115768373,-1.43606948853,-0.0431786775589,-0.206546917558,-0.188303411007,0.00552005553618,-0.383599996567,0.570590734482,-0.817538380623,0.055166464299,0.757235407829,0.000122755300254,-0.0201550722122,0.028008133173
5289,-0.224646359682,0.867832303047,0.756049990654,-0.135690420866,0.896682202816,0.160382702947,0.393499553204,0.50246077776,1.06884086132,-0.648500025272,0.726136445999,0.338453322649,-0.786194980145,-0.698934614658,0.305075705051,-0.223503023386,0.207359910011
868,1.29396748543,1.28172981739,0.389550000429,-0.42082798481,0.275727808475,0.583113193512,0.335649132729,-0.607073605061,0.764574944973,0.0846000015736,0.446375459433,1.998067379,-0.519616305828,-0.131047010422,-1.56793141365,-0.584244370461,-0.310807496309
