rid,DOS030_VCAP_6H:BRD-K09054764-001-01-7:5,DOS030_VCAP_24H:BRD-K09054764-001-01-7:5,DOS034_A375_24H:BRD-K09054764-001-01-7:5,DOS034_A549_24H:BRD-K09054764-001-01-7:5,DOS034_HT29_24H:BRD-K09054764-001-01-7:5,DOS034_MCF7_24H:BRD-K09054764-001-01-7:5,DOS034_PC3_24H:BRD-K09054764-001-01-7:5,ERG015_PC3_24H:BRD-K09054764-001-01-7:10.0009,ERG015_PC3_6H:BRD-K09054764-001-01-7:10.0009,ERG015_VCAP_24H:BRD-K09054764-001-01-7:10.0009,ERG015_VCAP_6H:BRD-K09054764-001-01-7:10.0009
5720,0.112925246358,0.00555008649826,1.26942920685,0.0319886058569,-0.603299975395,0.60776668787,0.216899991035,-3.52206897736,-0.930705666542,-0.407996892929,-0.519832611084
466,0.352669090033,-0.0321197658777,1.11467933655,-0.686576724052,-0.986999988556,-0.235300004482,0.386400014162,-1.57278800011,-1.37058210373,-2.83020997047,-3.37271857262
6009,0.0202111154795,-0.878091871738,-0.559661746025,-0.782288074493,-0.352349996567,0.140066683292,0.261466652155,2.09058952332,-0.787933766842,-0.0229966584593,0.382867783308
2309,0.616406142712,0.808336079121,0.388099581003,-0.590184748173,-0.526399970055,-0.816666722298,0.5271666646,0.347194969654,2.82893323898,0.906993210316,0.840799450874
387,0.355683773756,-0.0839978307486,0.235682010651,0.905397593975,-0.554000020027,0.0300666689873,-0.141066670418,3.20807528496,2.01373314857,-0.975537776947,0.657753705978
3553,-0.40040242672,-1.14343202114,-0.419500082731,-0.283340096474,0.878399968147,0.453999996185,0.549766659737,0.19277498126,0.571912586689,-0.609512984753,-0.0378764867783
427,-0.320142805576,-0.562565743923,0.125648394227,1.31587159634,-0.213400006294,0.0736333280802,0.526933312416,-1.16011452675,-1.58591246605,-2.08958601952,-2.62805843353
5898,1.19331979752,-0.199434936047,0.00599371641874,0.200461938977,0.465700000525,0.487366676331,0.503733336926,-0.439657717943,-1.80363678932,-0.511877000332,0.551194131374
23365,-0.643065214157,-1.16056466103,-0.842314243317,0.0799671411514,-0.149600014091,-0.042066693306,-1.0624666214,1.35841012001,-0.428466200829,-0.958686113358,1.60012471676
6657,-0.28128939867,-0.967051208019,-0.423107028008,-0.271349310875,0.68985003233,0.549133300781,-0.0257000178099,0.747727751732,1.11249291897,0.121570289135,-0.972439110279
5054,0.732534170151,-0.61006295681,0.383024990559,-0.267177522182,0.916750013828,-0.74380004406,0.125766664743,-1.05167043209,-1.10351169109,-0.0834913849831,-1.44539868832
3108,-0.750237762928,-0.572205543518,0.0991857051849,-0.127066195011,-1.58615005016,0.0545333325863,-0.447066664696,-0.576172709465,0.556411266327,0.0832460224628,0.949586391449
